4k2R/2p5/4bPP1/2K2p2/4rP1P/2P5/8/8 b - -,e8d7
2r1k2r/1p2ppb1/p2p3p/4n1p1/3qP2P/P5B1/1PPR1PP1/1K3B1R w k -,d2d4
8/8/3npkp1/2n1p2p/1p2P2P/3NKPP1/1P6/5B2 b - -,d6c4
rnbqkbnr/pp3ppp/4p3/2p5/2Pp4/1P2P3/PB1P1PPP/RN1QKBNR w KQkq c6,b3b4
r1bqkb1r/p4ppp/3p1n2/1pnP4/8/6P1/P3PPBP/RNBQK1NR w KQkq -,g1f3
r5k1/1p2bpp1/4p2p/1Nn1N3/2P2PP1/8/1PK4P/3R4 w - -,e5d7
8/8/7k/3q3p/4Q2P/5KP1/8/8 b - -,d5d1
rnbqkb1r/pp3p1p/3p1np1/2pP4/8/2N2N2/PPP1BPPP/R1BQK2R b KQkq -,f8g7
2r2rk1/pp1n1pbp/b3p1p1/4P3/5P2/NB2B1PP/PP6/2R1R1K1 b - -,g7h6
1rbqnb1k/1p2n3/1N1p3r/PN1Pp1pp/4Pp2/1Q3P1P/4B1P1/R1R1B1K1 b - -,c8d7
6r1/8/8/R3p2K/4k3/5N2/8/8 w - -,f3e5
8/1p5k/pBp5/3p4/1P1P1b2/2P1r3/2K2R2/8 b - -,e3e4
1rbq1rk1/ppp1npbp/2np2p1/8/2P5/2N3P1/PPNQPPBP/R1B2RK1 b - -,a7a6
3q1r1k/6bp/2np4/4pp2/rpP5/3QN3/1PN2PPP/2KR3R w - -,d3d6
4r1k1/1rq2pp1/p2p1nnp/1ppPpN2/2P1P3/6PP/PPQN1P1K/3RR3 w - -,e1f1
8/5pp1/1k2p3/pB2Pn2/P1NP4/2K1b3/8/8 b - -,b6c7
r3r1k1/2q1bpnp/p1b1p1p1/1p2P3/P1pP2P1/2P1BP2/2BNQ2P/RR4K1 w - -,d2e4
1r4k1/2pr1p1p/4p1p1/p2nP1Q1/3PB3/4PRP1/5R1P/2q3K1 w - -,g1g2
3r4/3r1k2/4bN2/1pb3B1/p1n5/P5PB/1P1pPP2/N1R1R1K1 w - -,f6d7
5rk1/2p3q1/Qrppb1pp/4Pn2/8/1PN2N2/P1P3PP/4RRK1 w - -,a6a5
r2qrbk1/pbpn1ppp/1p3n2/3p4/3P4/1PN2NP1/PB2PPBP/2RQ1RK1 w - -,d1c2
1r3rk1/4ppbp/pq4pn/2pNP3/5Bb1/1P2QN1P/P1P2P2/2KR3R b - -,b6a5
2Q5/1Nn1qpkp/6p1/P2p4/1bbN1P2/6PP/6BK/8 b - -,b4e1
r5k1/1q2bppp/1n2p3/2B1P3/2P2PP1/1pN4P/1P3Q1K/5R2 b - -,b6c4
rn1q1rk1/pb2bppp/1pp1pn2/3p4/2PP1B2/2NBPN2/PPQ2PPP/3RK2R b K -,b8d7
8/R2b1p2/2pk2pp/3p4/BPnK3P/2P5/P5P1/8 w - -,a4b3
2n3k1/pp3p2/4b1pp/1P5P/1B1K4/P4P2/6P1/5B2 w - -,h5g6
r1q2rk1/1ppb2bp/2np1np1/p2Np1B1/2P1P3/6P1/PP1QNPBP/3R1RK1 b - -,d7e6
8/1k6/6R1/P6p/3K3P/6P1/8/2r5 b - -,c1d1
5rk1/1p1nbpp1/p2pq2p/P2np3/N3P3/4BQ2/1PP2PPP/3R2K1 w - -,e4d5
1r4k1/5p1p/5npP/2p5/Q6R/2q2BP1/P3PP2/5K2 w - -,a4c6
rn2k2r/pp2bppp/2p5/8/3P1p2/3B1b2/PPP3PP/R1B1K2R w KQkq -,g2f3
5r1k/2Q2q1p/p7/3R1Bp1/7r/7P/6P1/3R3K w - -,c7f7
2kr3r/ppqnbppp/2p1pn2/3p1b2/2P5/1P1P1NP1/PB1NPPBP/R2QR1K1 b - c3,h7h5
6k1/p3Qpp1/1p4p1/1bp2q2/8/P4P2/1P4PP/3R2K1 w - -,d1d8
4k2r/1pp1b1p1/2p1p3/4P3/2P1NPP1/pP6/P5K1/3R4 w - -,d1h1
rn1q2nr/p7/2p1k2p/8/5ppb/2N5/PPPP2P1/R1BQ1K1R w - -,d1g4
5k2/5pp1/4p2p/3pP3/1pqP4/4P2P/1Pb1QKP1/2N5 b - -,c2e4
r5k1/3b4/p1pPp2p/1pP2pr1/1P3B2/R5P1/P3BPK1/8 b - -,g5g6
4k3/2Pb2p1/p2Q1p1p/3B4/5P2/2P4q/1KP5/8 w - -,d5c6
2k5/6R1/1pBp1ppp/8/P2b1P2/2n3P1/7P/5K2 b - -,g6g5
r2q2k1/1pp2pbp/p1b3p1/3B4/P4P2/2N1r2P/1PP3P1/R2Q1RK1 w - -,d5c6
rnb1k2r/ppp1qppp/1n2p3/3pP3/3P1P2/2N5/PPPQ2PP/R3KBNR b KQkq -,c8d7
r1bq1rk1/1pp1n1b1/3P1npp/3PppN1/PB2P3/2N5/4BPPP/R2Q1RK1 b - -,c7d6
2rr2k1/2q2p2/6pb/p3p3/2p1R2p/1PPn1P1P/P1QB2PK/R2B4 b - -,h6d2
r4rk1/3n1npp/b1p1p2q/pP1p1p2/3PP2P/1PQN1PP1/P1N3B1/R4RK1 b - -,c6b5
r1bq1rk1/1p2npbp/2n3p1/p1ppp3/8/1P1PP1P1/PBPNNPBP/R2Q1RK1 w - a6,a2a4
r1bqkb1r/1p1npppp/p2p1n2/2p5/B3P3/2PP1N2/PP3PPP/RNBQK2R b KQkq -,b7b5:e7e5
1n1q1rk1/rb3ppp/1p1bp3/3pN3/3P4/4B1PP/PQR1PPB1/R5K1 w - -,a1b1
3rr1k1/pp3pq1/1np3p1/7p/4P3/1P1R1PP1/P3QNKP/2R5 b - -,d8d3
6k1/1p6/1N1BK3/p1P5/8/8/7P/2r5 b - -,c1a1
3rk3/3r1p1p/4p1p1/1p1R4/3b4/1B2BP1P/1P2KP2/2R5 b - -,d7d5
r2qk2r/1pp2ppp/2np1n2/p3p3/1bP1P3/2NP1QPP/PP3PB1/R1B1K2R b KQkq -,c6d4
r2qr1k1/pp3pp1/3p3p/2p1p2n/2P1P1b1/P1QP2B1/1P1NRPPP/3R2K1 w - -,f2f3
r4rk1/1p2np1p/p1n1pQp1/3pP3/5PP1/2N5/PqP1N2P/2R2R1K b - -,b2b4
rn4k1/5ppp/pp1p4/2pP4/P6q/4r3/1P1NB1PP/R2Q1K1R b - -,b8d7
8/2B5/1R1pk3/2p3P1/1p1r1P2/4K3/2b5/8 b - -,b4b3
8/6k1/3R4/2r3pp/5P2/5KP1/7P/8 b - -,g5f4
2r1kb1r/2qn1p2/pp2pNbp/3nP1p1/P1pP3P/2P2NP1/3B1P2/R2QRBK1 b k -,d7f6
8/kb6/p7/P1p3q1/1pB1p3/8/1PP1Q1P1/1K6 w - -,e2d1
rnbqk2r/pp1pbppp/4p3/2pnP1N1/8/3P4/PPP2PPP/RNBQKB1R w KQkq -,g5e4
2k1r2r/2p3p1/1p3p2/pPbB2p1/3pP1qP/3Q2P1/P5KN/R1B5 b - -,g4h5
3Q4/5ppk/6q1/p3R2p/8/1P5P/P1r2PP1/6K1 w - -,d8h4
r3r1k1/1bp2pb1/1p1pqnpp/pP2p3/P1P1P3/2PQ2NP/1B1N1PP1/R3R1K1 b - -,f6d7
r3r1k1/1bq2p1p/p2p1bp1/2pPN3/1pP2B2/1P1Q3P/P3BPP1/3N1RK1 b - -,f6e5
r2qbr2/1p2bp1k/4p1pp/p2nN3/Pn1PQ3/1BN5/1P1B1PPP/R2R2K1 b - -,e8c6
r1q2rk1/pBp2ppp/1p2pn2/8/8/1P1P2P1/PRPN1P1P/3QR1K1 b - -,c8b7
3r1rk1/p5pp/B1p1p3/2P1np2/1P2q3/1QP3P1/P6P/R4R1K w - -,h1g1
r4r2/p4pk1/1pb1pp1p/2P5/q1P2Q2/8/PPB2PPP/2KR3R b - -,a4a2
r1r4k/8/p4R1p/3q3n/1p1p3Q/6P1/PPP4P/R5K1 b - -,h5f6
R7/2r2k2/4p3/4p2p/4P2P/5P2/6PK/8 b - -,f7g7
3r4/2R1np1p/2Bk2p1/6P1/8/8/5PKP/8 w - -,c7a7
r1bqk1nr/pp2ppbp/2np2p1/2p5/4P3/6P1/PPPPNPBP/RNBQ1RK1 w kq -,c2c3:d2d3
4rk2/5p1p/p1r3p1/2p1q3/P1p2RP1/7P/2BQ4/3R2K1 w - -,f4e4
8/2rbkpp1/p1nbpn1p/1p6/8/1N2PN1P/PP3PP1/1B1RB1K1 b - -,f6d5
r1bq1rk1/pppnppb1/3p2pp/7n/2PP4/2N1PNB1/PP2BPPP/R2QK2R b KQ -,e7e5
Q2bk3/3q3p/7P/p2p1pB1/3Pp3/4P1P1/5PK1/8 w - -,g5h4
3r1r2/p4k1p/bp1p2p1/2p1p3/4P3/1PP1RPNP/P5P1/3R2K1 b - -,f7e6
8/5R2/8/6k1/8/5pPK/3rn1B1/8 w - -,g3g4
r1bq1rk1/pp3ppp/3b1n2/2ppn3/8/2PBPN1P/PP1N1PP1/R1BQ1RK1 w - -,f3e5
r1bqr1k1/1ppn1pbp/3p1np1/p2Pp3/2P1P3/2N2NP1/PP3PBP/R1BQ1RK1 w - a6,h2h3
r1r5/1p1b2k1/p2qpnp1/3pNp1p/3P1P2/4PBP1/PP1Q2P1/2R1K2R w K -,e1f2
2r3k1/1p3pp1/p1n2q2/7p/3p4/P2Q1P2/1PP2BPP/4R1K1 b - -,f6g5
8/7p/3pp3/2k2p2/4bP2/6P1/2N2K1P/8 w - -,c2e3
3r2k1/pp3pp1/3qp1b1/3r2Pp/3P4/4QN1P/PP1R1P2/4R1K1 b - -,g6f5
rn1qk2r/pb1p1ppp/4pn2/bppP4/2P5/P1N1P1P1/1P2NPBP/R1BQK2R b KQkq -,e6d5:b5c4
r1bqk2r/1p2bppp/p1n1p3/5n2/3PN3/5N2/PP3PPP/R1BQRBK1 b kq -,e7b4
r1b1r1k1/pp2qpb1/2p1n1pp/4n3/3NPB2/6PP/PPQ1NPB1/2RR2K1 w - -,f4e3
rq1r2k1/1p3pp1/p1n1b2p/P2np3/R7/2NQ4/1PPNBPPP/5RK1 w - -,c3d5
r1bqk2r/pp1nbp2/2n1p1pp/2ppP3/3P1PQ1/P1NB1N2/1PP3PP/R1B1K2R b KQkq -,h6h5
1r1r2k1/7p/1p6/pPp2p2/P1N5/1Pb5/5PPP/3R1RK1 b - -,d8d4
r3r1k1/pb1p1ppp/3P2q1/1p2B3/2pPn3/6P1/P1Q1PPBP/2R2RK1 w - -,f2f4
3r2k1/1np3pp/1pp5/p3pP1Q/8/PPq5/2P3PP/4RR1K w - -,f5f6
8/6pk/p1R1p3/1p6/8/rP4KP/8/8 b - -,a3b3
6k1/p2qbpp1/1pp3rp/5n2/P2PN3/1P1Q3P/2R2PP1/3R2K1 w - -,d4d5
q2r1kb1/r5p1/np3pQB/p1p5/2p5/P7/1P3PPP/1B1RR1K1 b - -,g8d5
r4r1k/p4ppB/1p2pb2/8/1PPq4/P7/2QB1PbP/3RK1R1 b - -,d4e5
3r4/pp2p1k1/2p2bpp/1q3r2/3P3P/3R1NP1/PPP1Q3/1K2R3 b - -,h6h5
1k5r/pp2q1p1/1b6/3p3p/3r2nP/1Qp2NP1/P1R2PB1/1R4K1 b - -,d4d3
6r1/pp1k4/2pp4/3P1pb1/2P1p3/1P2N1nK/PB6/R7 w - -,d5c6
1r2k2r/2q1bpp1/b4n1p/4p3/NpP1P3/4QBP1/PB3P1P/2R1R1K1 b k -,c7a5
4b1k1/1p4np/1q1p1r2/1P1Pb3/4Pp2/1N1B1Q1P/4N1P1/5R1K w - -,b3d2
8/3k3p/pp2p3/4Pp2/2P1bPP1/P7/1B1KBb2/8 b - -,d7c6
8/2p4p/p6B/4k3/1P2bp2/P2p2P1/r2N1K1P/3R4 b - -,f4g3
r5k1/pp2Qn2/7p/5B2/3q1P2/4R2P/b4NP1/6K1 w - -,e3g3
1r3rk1/p5pp/1qp1p3/3p4/3bn3/P1P5/4QPPP/RNB2RK1 w - -,c3d4
8/2p1k2p/1p1n2p1/3BK3/1P6/P5P1/5P1P/8 b - -,b6b5
