3k4/6p1/pKP2p2/4pP1p/8/3r2PP/2R5/8 w - -,c2a2
5rk1/R7/3P2p1/4p2p/4N2P/6P1/4n2K/8 w - -,a7e7
2k5/p1p5/5q1p/2p2r2/4Q3/1K1N4/PPP4P/8 w - -,e4e8
3R4/p4qpk/7p/8/1P2ppQ1/P1r1b2P/6P1/6BK w - -,d8d1
8/5pk1/p1bb1p1p/qp1p1P1B/2nP3B/3Q4/P3R1PP/7K b - -,a5a3
r2qk2r/pp2ppb1/2np1np1/2p4p/2P1P1bP/2NP2P1/PP2NPB1/R1BQK2R w KQkq -,f2f3
2rq1rk1/pb2ppbp/1p1p1npB/4n3/4P3/1NN2P2/PPPQB1PP/R4RK1 w - -,h6g7
2b5/3k2rp/p1P5/1p1Pp3/3bK3/6P1/P2B3P/2R5 b - -,d7e8
r3r1k1/5pp1/1p1q2p1/1Pnp4/3N4/4P1P1/2Q2PP1/R1R3K1 b - -,d6e5
1r1q1r1k/6bp/1pP1p1p1/pQpnp3/8/3P2P1/P2BPPBP/1R3RK1 b - -,d8d6
6N1/5p2/3k4/7p/2nP1K2/8/5P1P/8 w - -,g8f6
8/ppR5/8/8/P1pk4/8/1r5P/7K w - -,h2h4
2r1r1k1/B7/2p3p1/3p1b2/7P/2N5/PPP2PP1/2R3K1 b - -,c8c7
q1r2bk1/5pp1/3p3p/4p3/r1P5/5N1P/PRQ2PP1/1R4K1 w - -,f3d2
2r1kb1r/1b1npppp/p2p4/3N2P1/1pq1P3/4BP2/PPPQ3P/1KNR3R b k -,a6a5
3k4/8/6p1/1p1B1p2/5P2/6P1/P4K2/1rR5 b - -,b1c1
4rrk1/1bq2p1p/p2p1np1/1p2bP2/5B1P/P1PB4/1P2NQP1/R4RK1 b - -,c7c6
r2q1rk1/ppp3pp/3p2b1/3P4/1nP1p2b/2N1B2B/PPKQ3P/5RNR w - -,c2b3
2b2k1r/1pbp1ppp/2n1pn2/rB6/P3P2Q/2P2P2/1P4PP/R3K2R b KQ -,d7d6
r1bq1rk1/ppppnppp/5n2/3Pp3/1b2P3/2NQ1N2/PPPB1PPP/R3KB1R b KQ -,d7d6
8/8/3p3p/2pP1kp1/1rP2P2/4K1P1/8/4R3 w - -,f4g5
1r2nrk1/3b1pb1/1p4p1/pNpBp2p/P1P4P/1PB1P1P1/5P2/3RR1K1 b - -,d7b5
8/p1r1k2p/2P2pp1/2KRp3/8/1P2P3/5PPP/8 b - -,e7e6
rnb1kbnr/p1pq1pp1/1p2p2p/3pP1B1/3P4/2N4Q/PPP2PPP/2KR1BNR b kq -,g8e7
2r1k2r/1p3pp1/3p1b1p/3Pp3/p1q4P/1NP1BQ2/PP3P2/2KR3R w k -,b3d2
r3k2r/p2p1ppp/1pb1p1n1/8/1b2PP1q/2NBB3/PPP1Q1PP/R4RK1 b kq -,e8g8
8/6k1/3R1p2/8/5PP1/1r6/5K2/8 b - -,g7f7
r1b1kb1r/pp3ppp/2p2n2/4q3/2Q1P3/2N5/PP3PPP/R1B1KB1R w KQkq -,c1e3
8/3n4/4kp2/1P6/4N1P1/8/P2KB3/8 w - -,a2a4
8/8/3p4/pp4p1/2kP2K1/2P5/PP6/8 w - -,g4g5
1r6/1Pk2p2/1R2p2p/2K5/4PP2/8/7P/8 w - -,b6c6
6R1/8/2r4k/1p1p3p/1P2pP2/2P3P1/4K3/8 w - -,e2d2
r2q1rk1/pp3ppp/2p2b2/1P1p4/3Pn1b1/PQN1PN2/4BPPP/2R2RK1 w - -,f1d1
r3kb1r/pbpq1p1p/1pn1pnp1/3p4/2PP4/1P3NP1/P2NPPBP/R1BQ1RK1 w kq -,c1b2
r5k1/1pp1qnpp/6r1/bP1P4/p1b1NQ2/P3P1P1/1B3RBP/3R2K1 b - -,c4b5
6k1/p3q1bp/2r1p1p1/3p2N1/2pP4/2Q4P/PP2RPP1/6K1 w - -,c3e3
r7/p1k1bpp1/2p1p3/N1P1Pn1p/1R1P1P2/5N2/P4PK1/8 b - -,a8b8
2bq1rk1/1pp2ppp/1p1p1n2/7r/2PNP3/3P4/P1PB2PP/R2Q1RK1 b - -,c8g4
8/2p4p/p1kbR3/1p2PQ1K/2p5/6P1/PP6/7q w - -,h5g5
r2q2k1/1p5p/p2p2p1/2pP1b2/2Pn1QP1/2N5/PP2B2P/5R1K b - g3,f5c2
3r1rk1/pb2bpp1/nppq1n1p/3pN1B1/3P1P2/PQN3P1/1P2P1BP/3R1RK1 w - -,g5f6
8/4ppk1/3p2p1/2nP3p/2PNP2P/2rnKPP1/3N4/1R6 w - -,d4b5
rn1r2k1/1p1bbppp/p3p3/2PnN3/1PB4q/2P3N1/P1Q2PPP/R1B2RK1 w - -,g3f5
r1bq1rk1/pp3pbp/2np1np1/2p1p3/P3P3/2PP1N2/1P1NBPPP/R1BQ1RK1 w - e6,d2c4
8/8/3q2k1/5p2/2R3p1/1B4P1/P4PK1/8 w - -,c4f4
3r4/6pp/2B1k3/4pp2/Pr6/4B1P1/2R2PKP/8 w - -,a4a5
r1bq1rk1/pp1nppbp/2pp1np1/8/3PP3/2NBB2P/PPP1NPP1/R2QK2R w KQ -,d1d2
2r3k1/p2rp1b1/1p1pNp2/n2NnPpp/P1P1P1b1/1PR1K1P1/5BB1/7R w - -,h1c1
1rbqrnk1/pp2pp1p/2p3pb/4P3/2P2P2/2N1P1P1/PB4BP/2RQ1RK1 b - -,d8b6
5r1k/6pp/p2p2r1/Pp2p3/1P5q/2PQ1PNP/6PK/5RR1 b - -,h4g3
r1q3k1/pb3pp1/1p1b1n1p/3pNP2/3B4/3PP1P1/2r3BP/Q1R2RK1 w - -,c1c2
rnbq1rk1/pp2ppbp/2p2np1/3p4/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b - -,d5c4
8/1r3pkp/Np1p2p1/pP2n3/5P2/P3P3/6PP/2r2RK1 w - -,f1c1
