8/R7/6P1/1p6/pPk4K/1r5P/8/8 b - -,b3b1
2rq2k1/pp1bn1p1/4pr1p/3nNp2/3P4/PBN5/1P1Q1PPP/R3R1K1 b - -,g7g5
1rb1r1k1/1p5p/p2p2p1/2pPb3/P6q/N1N4P/1P2PPBK/R2QR3 w - -,h2g1
r1b1k2r/1pq2pp1/p3pnBp/3pB3/2pP2P1/2P1P2P/PP3P2/RQ2K2R b KQkq -,c7e7
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/1P2PN2/PB1P1PPP/RN1QKB1R b KQkq -,e8g8
r2r2k1/pbpnqpp1/1p2p2p/3n4/3P4/1QN1PN2/PP2BPPP/R4RK1 w - -,c3d5
8/p5k1/1p1q2p1/n2Pp1Qr/2P1p3/P1P5/2K3P1/3R1N2 w - -,g5c1
8/2P3k1/p2K2p1/5b1p/2r1N2R/8/P7/8 w - -,h4f4
3r1rk1/pb1p4/1p2nqpp/2p1bp2/2P1p2P/PP2P1NR/1BQ1BPP1/1R4K1 b - -,e5b2
1r2kn2/5ppr/q1p1p2p/p1PpP2P/P1bP1N2/2B3R1/2QN1PPK/8 b - -,e8e7
8/8/4k1p1/1p1r4/p1b5/P1B4P/1P1R1KP1/8 w - -,c3d4
r5k1/pp4p1/2p5/2bn3p/6r1/2P3N1/PPK3PP/2BR3R w - -,g3h5
1r3rk1/4R1b1/3p3p/2pP2p1/8/1PNb2P1/P2B1P1P/4R1K1 b - -,c5c4
rnbq1rk1/1p2ppbp/2pp1np1/p5B1/P1PP4/2N1PN2/1PQ2PPP/R3KB1R w KQ -,f1e2
r1b2rk1/pp3ppp/2pbp3/q7/2BPP3/1QP2N2/P4PPP/R4RK1 b - -,b7b6
r2q1rk1/pp2ppbp/1n4p1/3P1b2/3B4/1PN2N2/1P3PPP/R2Q1RK1 b - -,d8d6
3r2k1/p2r1ppp/1p3nq1/1N1PpR2/P3P3/7P/1P2Q1P1/5RK1 b - -,d8e8
1r3rk1/p2bp1bp/3p1npB/8/1qpNP1P1/2N2P2/PPP4Q/2KR3R b - -,b4b2
5bk1/p2r2pp/1p3P2/3p2R1/3Q2K1/1P2P3/PB4q1/8 w - -,g4f4
2r3k1/1B2R3/6p1/1p3pB1/p1bq4/P2p4/1b6/6RK b - -,c4d5
5rk1/3n1p1p/6p1/1Bp3b1/P3R2P/6B1/3r2P1/5R1K b - h3,g5d8
8/4n1R1/4r2p/p6P/1P3kP1/P2K4/8/8 b - -,a5b4
2k1r1r1/1pp4p/p1pbqp1n/5Pp1/4P3/P3B3/1PPNQ1PP/4RRK1 b - -,e6e5
3r2k1/3b1rp1/2p1pqNp/1pPpQ1PP/p4P2/P3RR2/1P2P1K1/8 b - -,h6g5
r3kb1r/pp1qpp1p/3p1np1/8/2PnP3/2N2P2/PP4PP/R1BQK2R w KQkq -,d1d4
8/1B6/R4k1p/1pb3p1/8/2r3P1/2N3KP/8 b - -,f6g7
r3k2r/1pp1qpp1/3bpn1p/p3N3/1nP5/1P1P1N2/1P1BQPPP/2KR3R w kq -,d3d4
r2q1rk1/ppp1ppbp/2n3p1/3p4/2PPb3/P3BNP1/1P2PPBP/R2Q1RK1 w - -,a1c1
6k1/6b1/4p1p1/3q1pBp/p2n3P/3P2P1/Q2NPP2/5K2 w - -,a2d5
r1b1kb1r/pp1n1ppp/2p1p3/q5B1/2PPp3/2N1P3/PP3PPP/R2QKB1R w KQkq -,g5f4
r1bq1rk1/pp3ppp/2n2n2/1BPpP3/8/P1N5/1P3PPP/R1BQK2R b KQ -,c6e5
1n3r1k/3b2bp/3Q4/p1N4p/PpP1q3/8/1P3PPP/R2R2K1 b - -,e4f5
r2q1rk1/1ppn2bp/p2p1ppn/3Pp3/1PP1P3/2N2N2/P1QB1PPP/R4RK1 b - b3,h6f7
3r1rk1/5p1p/q7/1p2Ppb1/8/P5P1/1BQ3bP/3RR2K w - -,c2g2
3rr2k/2p2pq1/1p1b2bp/p2Pp1p1/2P1B1P1/1P2BP2/P1Q3KP/1R2R3 w - -,h2h4
r3r1k1/ppb2ppp/2p1b3/2Pq4/1P1P3Q/P5pP/1B3PP1/R3RBK1 w - -,e1e3
r4bk1/1p6/2pp3p/p5p1/P1P1r3/BP3PP1/8/3R2K1 w - -,f3e4
2b1qr2/5npk/p3p2p/4Pp2/P4P2/4P1P1/B1Q1N1P1/5RK1 b - -,h6h5
6k1/3b1pp1/2p4p/2R1P3/5P1P/6P1/1r4B1/6K1 b - -,b2b3
2kr2r1/ppq1bp1p/2p1pnb1/5p2/PP1P1N2/1BP2QP1/3B1P1P/R3R1K1 b - -,f6e4
r1bqr1k1/pppp1pp1/1b3n1p/6B1/4P2P/1PN5/1PPQ1PP1/2KR1B1R b - h3,d7d6
3R4/pr4pk/1p6/1n1PB3/P3p1p1/4P1P1/5P2/6K1 b - -,b5a3
2r4r/1p1pkp2/p3pnn1/2q3p1/4P2p/P1NQ4/1PPRBPPP/3R2K1 b - -,g6e5
r2r1k2/5ppp/5b2/p2nBN2/1ppP2P1/P6P/1P3PK1/R3R3 w - -,e5d6
5k2/4R3/5P2/6P1/3KB2r/8/8/8 w - -,g5g6
r1qr2k1/p4pp1/2p1pb1p/1pP5/8/2N3P1/PPQ1PP1P/1R3RK1 w - -,c3e4
r1q3k1/P1p1n1r1/1n1p1b2/1Q1Pp3/1N2Pp1p/5P2/R6P/2R1B1NK b - -,h4h3
8/7q/6R1/8/p1kR4/5N2/3B2KP/3n4 b - -,c4b3
r7/1p1b1p1k/2pp1qpp/1Pn1r3/p1P1P3/Q4P2/P1R1N1PP/3R1BK1 w - -,c2d2
R7/P3pk2/r4p2/2pp1P2/8/1K6/8/8 w - -,b3c3
r1bqkb1r/5ppp/p3p3/3nN3/3P4/3B4/PB3PPP/R2Q1RK1 b kq -,f8d6
brrq1nk1/4bpp1/pp1p1n2/4p3/1PP1P2p/PNN1BP2/5QPP/1RR2B1K w - -,c3d5
8/2b1Qpkp/p1N2npq/1p6/8/P1N1P2P/5KP1/3R4 b - -,h6h4
4r3/1b3k2/p4B1p/3P1P1P/1p6/1P6/P1r1BK2/3R2R1 w - -,d1e1
7k/1R4p1/p1b2p1p/4pP2/4P3/2b1B1P1/7P/6K1 w - -,b7e7
r3k2r/1p2bpp1/p2p1n1p/P2P1Nq1/2P1p3/5PP1/1P2BB1P/R2QK2R b KQkq -,g5f5
5r1k/3r1p1p/3NbP1q/pp2R3/3Q4/P5PP/6BK/5R2 w - -,f1f4
r1b1k2r/pp3ppp/2n1pn2/3pq3/2P1P3/2PQ1P2/P1N3PP/R1B1KB1R w KQkq d6,c4d5
rnbqk2r/ppppb1pp/4pn2/5p2/2PP4/2N3P1/PP2PPBP/R1BQK1NR b KQkq d3,e8g8
8/1r4k1/1P1n4/4N3/1K6/4R3/8/8 w - -,b4c5
r1bq1rk1/1p2npbp/p1nN2p1/4p3/4P3/P3BN2/1PPQ2PP/R3KB1R b KQ -,c6d4
2rr2k1/1q1n1pbp/pp1Rp1p1/8/1PP2P2/1N2B2P/P4QP1/3R2K1 w - -,e3b6
8/7p/5bk1/5p2/2BpbP1n/3N4/1P1B3P/6K1 w - -,d3e1
rnb2rk1/p4pbp/3N2p1/1qpP4/8/5N1P/PP1Q1PP1/R1B1K2R b KQ -,b5a6
r1bqk2r/pp2bpp1/1npp1n1p/4p3/3PPP2/2PB4/PP1NN1PP/R1BQ1RK1 w kq -,d2f3
r2q3k/pp1n3p/2p1p3/3ppr2/5PQ1/2N1P3/PPP4P/R4R1K b - -,d7f6
4r3/3b1qkp/6p1/3P4/1R1Q2P1/2P2B2/1P4K1/8 b - -,g7h6
8/1pr2p2/p2bpk1p/P2p1p2/3P1P2/1PPNK3/6PP/2R5 b - -,c7c8
r3r1k1/p4ppp/1p2q3/2ppN3/3Pn3/1P1QP1P1/5P1P/R4RK1 w - -,a1a6
b3n1k1/2p1bppp/4q3/p1n1B1P1/pr2P2P/2N2N2/5PB1/3R1QK1 w - -,c3d5
rnb2rk1/pp2qppp/4p3/b3P3/2B5/3Q1N2/P4PPP/1RBR2K1 w - -,f3g5
2n2r2/3q1rkp/1p2bNp1/pNp1p3/2Pn4/P2PQ1P1/1P2PRBP/5RK1 b - -,f7f6
8/3k4/3b3r/8/8/p4P2/4KN1p/7R w - -,h1a1
6k1/2N4p/p5pb/1p3n2/4r3/1P1R4/P3K1PP/3R4 w - -,e2f3:e2f2
rn4k1/4ppbp/8/pp1rNp2/3P4/1PB3P1/P4P1P/R3R1K1 w - -,a1c1
2k5/2B5/K3p1p1/4P1P1/5P2/8/8/8 b - -,c8c7
r2qr1k1/p2n1pp1/3p3p/3P4/QpP5/2bBPN2/4R1PP/5RK1 w - -,a4c6
3n2k1/1p1r3p/5pp1/PR6/1B4P1/7P/4KP2/8 w - -,b5b6
4k2r/pp3p2/5n1p/4P3/2r5/2N2P2/PP3b1P/2K2B1R w k -,f1c4
rn1qkbr1/pp2pp1p/2p2p2/5b2/3P1B2/2P2N2/PP3PPP/R2QKB1R b KQq -,d8d5
1r1qr1k1/3bbnpp/2n2p2/ppP1p3/1P1p4/P2P1NPP/1BN1QPB1/R3R1K1 b - -,d8c8
rn2k2r/1bqp1pp1/pp2p2p/4P3/2PN1P1b/2N3P1/PPQ4P/3RKB1R b Kkq -,b7h1
2rr2k1/p3qppp/bp2p1n1/3p4/2P5/1PQ1P1P1/P2N1PBP/3R1RK1 b - -,e7c7
6R1/8/5p2/1P2p2k/4P2P/8/1r3PK1/8 b - -,b2b5
r3k2r/1bq1bpp1/pB3n2/4pP2/Ppp1P2p/3B3P/1PPN1QP1/R4RK1 b kq -,c7c6
r1b1qr1k/1pp1p1b1/p4npp/2PPpp2/8/1QN3P1/PP2PPBP/R2RB1K1 b - -,g6g5:a8b8
2kr1b1r/1ppq1ppp/p4n2/3P1b2/Q1P5/2N1BP2/PP4PP/R3K1NR b KQ -,d7a4
2r3k1/1br1npp1/pp1qpn1p/3pN3/3P1P2/P1N2P1P/1P1Q2P1/1BR1R1K1 w - -,c3a4
1R6/1P4p1/3k3p/8/8/b6P/5PP1/6K1 b - -,d6c7
r4r2/p2b1ppk/1p2p3/4P1B1/1bP5/6P1/P3QP1P/5RK1 w - -,e2d3
r4rk1/pp2b1p1/4bn1p/1N2pp2/Q1P5/3qP1P1/P3NPBP/R4RK1 w - -,b5c7
2k5/2b4p/p1n3r1/1p1R1Q2/8/qP4P1/P1P4P/3KR3 b - -,c8b7
1r1qk2r/1p1nppbp/p3b1p1/Q2nN3/3P1B2/2N5/PP2BPPP/R4RK1 w k -,a5d8
3rk2r/pB3ppp/1n2p3/1N5n/1bPp1B2/3P2P1/P3PP1P/R4K1R w k -,f4c7
8/pkp2rp1/2p4p/8/4P1bP/P1R1K1P1/1P1N4/8 w - -,c3b3
