2Qr4/4k3/2p1n2p/P5p1/1P6/8/4K1PP/8 w - -,c8b7
r1b2rk1/2q1bpp1/p1pp4/8/4PB1p/2N4P/PPP1Q1P1/R3R2K w - -,a1d1
rn1qr1k1/pb3pp1/1p1b1B1p/2ppN3/3P4/5NP1/PP2PPBP/2RQ1RK1 b - -,d8f6
r4k2/1b1r1ppp/p3p3/1pR5/1n1N4/4P1P1/PP3PBP/2R3K1 w - -,c1d1
6rk/2p1b2r/1p6/pq1Pp3/4PpP1/5Q2/1PR2BP1/2R2K2 w - -,f1g1
2R5/4P1kp/p4np1/1p1N4/3P2Pb/7P/7K/1r6 b - -,b1e1
6k1/2p2q1p/p2p2p1/5r2/1P3b2/4B2P/P3QPP1/3R2K1 w - -,e2a6
r3k2r/2p2pp1/p1pqpn2/3p2Bp/8/1P1PP3/P1P2PPP/R2Q1RK1 w q -,g5f6
8/8/7R/Pnk5/8/1K6/8/8 b - -,b5a7
2r3k1/2r1b2p/pq4P1/1p1p1PP1/2n1p3/1N1BP3/PP2Q3/1K1R2R1 b - -,h7g6
8/4n3/8/1pp2pk1/p2p2p1/P2P2P1/1PPN1P2/4K3 w - -,b2b3
r1bq1rk1/pp3pp1/1bn4p/3p1n2/8/1NPB1N2/PP3PPP/R1BQR1K1 w - -,d3f5
rn3rk1/pp2p1bp/2b2pp1/2p1P3/3qPP2/6PB/PP1NQ2P/R1B2RK1 w - -,f1f2
1r6/p1pp2kp/b1p3pb/8/2P5/PPN5/4n1PP/1R3RK1 w - -,c3e2
8/6p1/p2bkn1p/B2pNp2/b1pP1P2/P3P2P/1P2B1K1/8 b - -,f6e4
1r3rk1/pb4bp/3pp1p1/q1p2p2/1pPnPP2/1P1PB1P1/P2Q1NBP/4RR1K b - -,a5c7
8/ppp4p/1n5k/5rp1/1qPQ4/1P2R3/P6P/R5K1 w - -,a1e1
r1bqk1nr/1pppbppp/p1n5/4p3/1PB1P3/P1P2N2/3P1PPP/RNBQK2R b KQkq -,d7d6
3rr1k1/1ppbnpqp/p2p2p1/3Pp2n/4P3/2P1Q1NP/PPB2PPN/2R1R1K1 w - -,g3h5
2rr3k/1p1nb1pp/p3Bp2/3P4/4P3/q1p3BP/P3QPP1/R2R2K1 w - -,e2g4
