6k1/5ppp/pp6/4Pn1P/3p4/5K2/PP6/2B5 b - -,g8f8
r5k1/p6p/3P1qp1/2pbr3/1P3p2/R2B1P2/1P4PP/2Q1R1K1 b - -,c5b4
8/5kp1/4p2p/4P3/2pB1P2/5K2/1PP4P/4r3 b - -,f7g6
r1bqk2r/p3bppp/4p1B1/3pP3/N7/8/PP3PPP/R1BQ1RK1 b kq -,h7g6
2k3r1/1p1n1pr1/2pbp3/B4p1p/2PP2bN/5PP1/PP2B1K1/4R2R b - -,g4f3
r4r2/3bp1kp/3p2n1/qp3p2/1Q1N4/1P3P2/P3N1PP/R4R1K w - -,b4a5
r1b1kb1r/ppp1pppp/2n2n2/q7/3P4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,f6e4
2r1kbnr/pp1b1ppp/1qn1p3/3pP2P/3p1PP1/2P2N2/PP5R/RNBQKB2 w Qk -,c3d4
rnb1k2r/ppq1pp1p/3p1np1/8/4P3/2PBB3/P1P1NPPP/R2Q1RK1 w kq -,f2f3
r1b2bk1/1pQ2r2/p1n1p2p/2Np1pp1/3P4/P2BPNP1/1P3PP1/2R2RK1 b - -,f7c7
r1kn1b2/1pp2r2/2n1b3/p1PNp1pp/B3Pp2/P2R1P2/1P1N1BPP/3R2K1 b - -,c8b8
br1r2k1/2q1bpp1/pp1ppn1p/8/2PQP3/BPN3PP/P4PBK/2RR4 w - -,f2f4
8/5p1p/3bp3/6kP/B7/5K2/5P2/8 w - -,a4e8
4rrn1/2pq1nbk/pp1p2pp/3Ppp2/2P2P2/3PB1PP/PP1Q2BK/4RRN1 b - -,g8f6
rn1qkb1r/pp1bpppp/3p1n2/1Bp5/4P3/2P2N2/PP1PQPPP/RNB1K2R b KQkq -,d7b5
1r4k1/1q1b1p1p/3ppbp1/p3n3/P2NP3/1BR1BP2/1P3QPP/6K1 b - -,d7e8
2r2rk1/1b2qppp/1n2p3/p2n4/1bpP4/2N1PNP1/1P1B1PBP/R1R1Q1K1 w - -,c3a4
r2qkb1r/ppp1pppp/2n5/3nP3/2BP2b1/5N2/PPP3PP/RNBQK2R b KQkq -,e7e6
r5k1/3nppbp/n2p2p1/PqpP4/N1N1P3/1r6/1P1BQPPP/R4RK1 w - -,f1e1
r1bqr1k1/5ppp/1p3n2/p2P4/Qb1p4/5NP1/PP3PBP/R1B2RK1 b - -,c8a6
r1b2rk1/1pq2ppp/p1nb4/2pnp3/8/1P1P1BN1/PBPN1PPP/R2Q1RK1 b - -,d5f4
r1bqr1k1/1p1n1pp1/5n2/pP1pb2p/N7/P3P1N1/1B1QBPPP/3RK2R b K -,h5h4
1r2r1k1/p2n1p1p/5pb1/8/1q1PB2P/2p3N1/P1Q2PP1/R3R1K1 w - -,h4h5
2Q3k1/p6p/4p1p1/3p3r/8/5q1P/PPP5/1R4K1 b - -,g8g7
4r1kb/8/1q2P1p1/ppN2r1p/1P2QP2/6PP/6K1/2R1R3 w - -,g3g4
