r2KR3/2P4p/6p1/8/5P2/6k1/8/8 w - -,c7c8q
rnbQ1rk1/ppp2pbp/5np1/4p3/2P1PP2/2N2N2/PP4PP/R1B1KB1R b KQ -,f8d8
r2k1b1r/pq1n1ppp/2n1p3/1N6/2QP4/4PN2/3B1PPP/R4RK1 w - -,a1b1
r3r1k1/ppbq2pp/2p1Pp2/2P4Q/8/1PB5/P4KBP/3R1R2 b - -,d7e6
8/4k1p1/R7/Br6/4KPrp/8/8/8 w - -,a5c3
8/5pp1/4k2p/2P5/3K4/5R1P/2r2PP1/8 w - -,g2g4
2q3k1/2rb1ppp/p2p2n1/Pp1Pp3/3bP1P1/1P4PN/R2BBPK1/3Q4 b - -,h7h5
rn2r1k1/pp1n2bp/1qb1ppp1/3p2B1/3P3P/2N2NP1/PP1QPPB1/2R2RK1 w - -,g5f4
2b1k2r/4b2p/p1p1pPp1/3p4/8/6P1/P2B1PBP/5RK1 b k -,e7f6
6k1/8/p1p5/2qp2P1/5R2/2P2R2/5P2/6K1 b - -,g8g7
r2q1rk1/pp2npb1/2npb1pp/2pNp3/2P1P3/1P1P1NPP/P2B1PB1/R2QK2R b KQ -,f7f5
2q5/6k1/1b6/7p/6PK/5Q2/8/8 b - -,b6f2
r1bn1rk1/1ppq3p/p2p2p1/3P1p2/2P1pNnP/1P2P1P1/Pb1QNPB1/R3K2R w KQ -,d2b2
2r5/p2q1kpp/2n2p2/7P/P4P2/4R1P1/1Q2B3/6K1 w - -,e2c4
r3r1k1/1ppq1pb1/1p2b1pp/8/3P4/P3B1P1/1P3PBP/R2QR1K1 b - -,e6d5
8/n3r1kp/P2Q4/5BpP/4r1P1/8/5PK1/8 b - -,a7b5
3r1k2/1p1r1p1p/1pp1p3/3P1p2/2P2P2/PPR5/3R1KPP/8 w - -,f2e3
r2qkb1r/pb1n1ppp/1pp1pn2/3p4/2PP4/1QN2NP1/PP2PPBP/R1B2RK1 b kq -,f8e7
2r4r/6Qp/p1b2p2/2N2k2/1p1P1P2/1P4P1/P4K1P/8 b - -,h7h5
rnbq3r/1p2kp1p/pn2p1p1/8/2BP4/1QN2N2/PP3PPP/R3K2R w KQ -,d4d5
8/7p/1p4pk/p3q3/P1B5/1P2b2P/6P1/4Q2K b - -,e5e4:h6g7
8/5p2/1p4p1/6kP/8/4P2P/1r3P2/2R3K1 b - -,g5h5
3r1rk1/q1n1pp1p/3n2p1/1pp3N1/8/PP2P1P1/1Q3PBP/2R2RK1 w - -,b2e5
r2q1rk1/1p2bpp1/3pbn1p/p3p3/Pn2PP2/1NN2B2/1PP1Q1PP/R1B2R1K b - -,a8c8
6k1/5p2/1p2p1p1/1P5p/1pBb1P2/1P2q1P1/7P/5Q1K w - -,h1g2
6k1/7p/Qp1q1np1/p1pP1p2/P3r3/1P2PR2/8/3R3K b - -,e4b4
