q7/8/6pk/4Qp2/5Pp1/8/8/K7 w - -,a1b2
5rk1/1p2ppbp/p1bp2p1/q1n5/P4P2/1B2B2P/2P3P1/R2QR1K1 w - -,e3d4
7k/p3q3/5p2/1B1Q2p1/7p/1PP1nP2/P4K2/4r3 b - -,e3d5
1n3rk1/3n1pbp/1p1R2p1/2p1p3/2N1P3/2P1B1PP/1P3PB1/6K1 b - -,b6b5
2r1kb1r/pp1bpppp/3p1n2/q5B1/3QPP2/2N5/PPP3PP/R3KB1R w KQk -,e4e5:e1c1
r3r1k1/pp3ppp/8/5bb1/N1P2P2/1P3K2/P6P/2R2BR1 b - -,g5f6
6k1/1q1b1ppp/pn1p1b2/1p1Pn3/4Pp2/PP1N4/2QNBBPP/6K1 b - -,e5d3
4q2r/p2r3k/1p3Qn1/2P3P1/4B3/2P2P2/P6P/4R1K1 w - -,h2h4
1q6/p3N1pk/7p/2p2Q2/r7/2P1P2P/PP4P1/R6K b - -,h7h8
8/8/R4pk1/8/4K1n1/8/8/8 b - -,g4e5
8/1p1r1rpk/2p4p/3b3Q/4p1R1/PPB3RP/1KP2q2/8 w - -,h5g6
n1rr3k/1pq1b1p1/2n2p1p/p2B1b2/P1PB4/1N4Q1/R6P/2R1N1K1 w - -,g3f3
rq3rk1/3n1pb1/b1p1p1p1/p1ppP2p/5B1P/PPNP1N2/2P2PP1/1RQ1R1K1 b - -,b8c7
r1b1kbnr/pp2pppp/2n5/q7/3p4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,e3d4
8/1k3r2/2p4p/1p6/1P1Q3P/8/2P3PK/8 b - -,f7e7
r2qk3/4pp1Q/1n1pbB2/2p3P1/8/1P4P1/P7/R3R1K1 w - -,g5g6
8/4k3/1p1p2KP/7B/2P2b2/8/8/8 w - -,g6g7
3r4/p3kbp1/1pp1pp1p/4qP1P/P3P1P1/1B3Q2/1PP5/1K1R4 w - -,d1d8
r6k/6p1/7p/4q3/3pr1P1/1P1R3P/P1Q5/1KN5 w - -,a2a4
8/6R1/5p2/1p2p2k/4P2P/1q3P2/3RK3/8 b - -,b3c3
8/8/2p2k2/1b1p2p1/1B1P4/2P2PK1/2r5/4R3 b - -,b5e2
8/1p6/2b1pNk1/8/3B4/P1P5/2P3nP/2K5 b - -,g6f5
8/1r3pkp/6p1/R7/1pBp4/1P1Nr1P1/P4K1P/8 w - -,a5d5
4b1k1/pp4q1/2p3rr/P2p1pNp/1Q1P1P2/1P2P1R1/1KP5/6R1 w - -,g5e6
4k3/2Rb3p/8/2p1p2P/8/P3KP2/2rB4/8 b - -,e8e7
1r3rk1/1p4bp/p2p2p1/P1pPnp2/N3nB1q/4P2P/1PQ1BPP1/R4RK1 w - -,a4b6
r7/pp2qr1k/2pp1np1/2n1b1Bp/2P1P3/2N2P2/PP1QB1RP/R6K w - -,a1g1
3B2k1/pp2p2p/1np1P1p1/q4p2/3b4/1Q3BPP/1P4K1/3R4 b - -,a5e5
r2q1rk1/pb2bppp/1n2p3/2p1N3/Pp2P3/3PB1P1/1P2QPBP/R4RK1 b - -,e7f6
R1k1r3/7p/1p1br3/6Q1/5P2/2P1q3/P5PK/8 b - -,c8c7
8/5k1p/2bP1pp1/8/1BN2PP1/3p2KP/1b6/8 b - -,b2d4
8/2r3p1/1r3k2/4p3/RppR1PP1/4P3/1PK5/8 w - -,f4e5
r4rk1/pp4p1/4p3/2p5/4pP1p/P7/1q2NP1P/1R1QK2R b K -,b2a3
r3r1k1/ppqb1ppp/3bp1n1/2pn2B1/3PN2P/1BP2N2/PP2QPP1/3RR1K1 w - -,d4c5
8/1k1b1Bp1/3P2p1/b1P2p2/2KN1P2/6PP/8/8 w - -,f7g6
2rq1rk1/3pbppp/1pbBpn2/8/1PP5/1QN2NP1/4PPBP/2R2RK1 b - -,e7d6
8/2p5/2p2pk1/2QP2p1/5q2/7r/PPP1K3/6R1 b - -,h3h2
r4rk1/2p1qpp1/4p2p/pp1bN2P/3P2P1/7Q/PPP2P1R/2K3R1 b - g3,e7g5
3r2k1/p1r2pp1/1q2p2p/2NnN3/1p1P3P/1P3BP1/PB3PK1/2RR4 b - -,b6a5
r4rk1/3qb1pp/p1N1p3/1p1n1p2/P2P4/1QP3P1/5P1P/1RB2RK1 w - -,c6e7
6rk/1p2p2p/1q1pNp2/3PnRp1/p3r3/7Q/PP4PP/5R1K b - -,b6e3
8/3R1ppk/5b1p/pp4P1/5P1P/P1r2n1K/6R1/8 b - -,f3e5
2r2rk1/2qnbppp/p1np4/1p1bp1P1/4P2P/1N2B3/PPPQBP2/1K1R3R w - -,e4d5
r7/pp1bk3/1np3pr/4bp2/2p4P/2N1PBPN/PPK2P2/3R3R b - -,a8d8
r1b1k2r/1pq1bppp/p2p1n2/4p3/3QPPP1/2N1B3/PPP1B2P/R4RK1 w kq -,d4d1
r4rk1/1bp2pp1/p1n2q1p/P1pBp3/1p2P3/2PP1N2/1P3PPP/R2Q1RK1 b - -,a8b8
1r3k2/3q4/3p1pp1/2pP4/p1P2P2/4Q1P1/P3R1K1/8 w - -,g2f3
2r3k1/1p2rppn/pq3n2/3pNP1p/3P3P/1P6/P4QP1/1B1RR1K1 w - -,e1e2
2r3k1/1q1nbppp/4pn2/2pp4/r7/3PPNP1/PBR1QPBP/2R3K1 w - -,b2f6
5r1k/4qpp1/1p5p/p3p2P/PnBbP3/1P3QP1/3R1PK1/2B5 w - -,f3f5
3b4/4kpp1/4p1p1/1P1p4/P1n5/5P1P/6P1/2B2K2 w - -,f1e2
8/b6p/P2k2p1/3P4/4p3/R2pp1P1/7P/5K2 w - -,a3a5
8/R7/3rp3/bk6/8/8/1BK5/8 w - -,b2c1
b1rr2k1/4b1p1/7p/p1p2p2/2R1nP2/P2NPB2/1P5P/3RN1K1 b - -,a8d5
2b1r1k1/3n2pp/2pp1p2/7q/1bPQN3/1P6/1BB2PPP/R5K1 b - -,d7e5
r1bq1rk1/pp2ppbp/2p3p1/2p5/4P1n1/3P1N1P/PPPN1PP1/R1BQR1K1 b - -,g4h6
rnr3k1/pp1b1pbp/4pnp1/3p4/PP1N4/2PP2P1/5PBP/RNB1R1K1 w - -,c1f4
2r1k3/1p1bbp1r/3p4/p3q1p1/P1PNPp2/1P1Q3P/4RP2/4RBK1 b - -,g5g4
r2q1rk1/1pp2pbp/p1np1np1/3Pp3/P1B1P3/2N1BQ1P/1PP2PP1/R4RK1 b - -,c6d4
7k/7n/4q3/8/2p2Q2/6P1/4p1KP/8 w - -,f4b8
2kr3r/1bpnqp2/1p1pp3/p5pp/P1PP4/2P1P1BP/4BPP1/R2Q1RK1 b - -,h5h4
r1bq1rk1/1p2npbp/3p2p1/p1p1p3/2Pn4/P1NPN1P1/1P2PPBP/R1BQ1RK1 b - -,a8b8
8/5pk1/pnRbp3/1p1p2p1/1P1P2P1/P2KP2r/4B3/3N4 b - -,b6c4
6k1/ppq2pnp/6r1/P7/2r5/2P2P2/3B1QPP/R4R1K b - -,a7a6
3r1rk1/p1p3pp/1b3q2/2ppNb2/3Pn3/4B3/PP3PPP/RNQ2RK1 w - -,d4c5
4rk2/pp1q2p1/2p2pbp/2Pp4/1P1Pn2P/P1N1Q1P1/5P2/4RBK1 w - -,c3e4
r1bqkb1r/pp3ppp/4pn2/2p1n3/2pP4/6P1/PP2PPBP/RNBQ1RK1 w kq -,d4e5
4rBk1/5pbp/2pp2p1/p7/P3PP2/1qN5/1P1Q2PP/5R1K b - -,g7f8
1r4qk/5Rp1/2p1P1Qp/1p6/3P3P/8/6K1/8 b - -,b5b4
4n1k1/r4pb1/p5p1/1pp1q2p/6QP/P2R4/1P4P1/3R3K w - h6,g4c8
2r3k1/7p/p3p1p1/8/3bP3/PpN3PP/1P1r1PK1/1R3R2 b - -,c8f8
1r1qr1k1/pbnn1ppp/1p1p4/2pP4/2P1PP2/P1NQ2P1/6BP/1RB2RK1 w - -,c1b2
3n4/1p3k2/p2p1np1/2pP1p1p/2Pb1P2/1PN2BPP/P2B2K1/8 w - -,f3d1
1rb2rk1/2q1bppp/p2p4/8/1pN1PBn1/3B1Q2/PPP4P/R4R1K b - -,c8e6
r1bq1rk1/pp2b1pp/4p3/3n1p2/1PR5/3BBN2/P1P1QPPP/3R2K1 w - -,e3d2
8/8/5pk1/6p1/4KnPp/R6P/5P2/8 w - -,a3f3
3r2k1/4bppp/p3p3/P3P3/2P2P2/1QNpB2q/1P6/3R1K2 w - -,f1g1
5nb1/p1k2pp1/2p1p2p/1pN1PP2/1P1KP1PP/PB6/8/8 b - -,c7b6
6k1/5pbp/1Q2nqp1/4p3/N7/1P3P2/P1P4P/1K5R w - -,b6b8
6r1/8/8/p2N4/3KR3/1k5r/8/8 w - -,e4e7
8/pp2rk2/5n2/3p2B1/1P1b4/PB6/8/3K1R2 b - -,f7g6
6k1/2p2p2/5P1p/1p6/1P3p2/2Pr1P2/5P1P/R5K1 w - -,a1c1
