7k/1R6/5p1P/p4N2/P5K1/1P6/7r/8 b - -,h2g2
2rq1rk1/pp1b1ppp/2n5/3pNP2/2pPn1P1/2P1B2P/P3P1B1/1R1Q1RK1 w - -,g2e4
r1bq1rk1/ppp2pbp/3p1np1/3Pp1B1/2P1P3/2NB3P/PP3PP1/R2Q1RK1 b - -,h7h6
4r1k1/p1Q2pp1/5n1p/3p4/8/1P2P2P/q1RN1PP1/6K1 b - -,a2a1
r1b1r1k1/pp2ppbp/1qn2np1/3p2B1/1PpP4/2PBPN2/P2N1PPP/1R1Q1RK1 w - -,d3c2
r1b2rk1/pp2ppbp/2np1np1/q7/3NP3/1BN1B2P/PPP2PP1/R2Q1RK1 b - -,c8d7:a5h5
5bk1/1r3p2/1p1q1np1/pNp4p/P1N4P/4P1PB/1P2R2K/1b6 w - -,b5d6
r1bqkb1r/4pppp/p1pp1n2/8/2B1P3/2N5/PPP2PPP/R1BQK2R w KQkq -,e4e5
8/8/7r/P3R2p/2P5/2K3k1/8/8 w - -,a5a6
8/3b4/2Np1p2/p1kP1P2/P3K2p/2b2B1P/8/8 b - -,d7e8
rnbqkb1r/pp2pppp/3p1n2/2p5/1P2P3/5N2/P1PP1PPP/RNBQKB1R w KQkq -,b4c5
rnbqk2r/pp3pp1/2p1pb1p/3p4/2PP4/2N1PN2/PP3PPP/2RQKB1R b Kkq -,e8g8
r7/6k1/1qpbprbp/1p3p2/3P1Pp1/P1R3PQ/1P2B1N1/3R3K w - -,h3h2
r5k1/5Npp/4p3/2p1Q3/1qP5/3B4/1K4PP/3R3R w - -,b2c1
3r2k1/p2qnp1p/1p1p2p1/3b2B1/3bN3/Q5P1/P4PBP/4R1K1 w - -,a3d3
8/1ppb1k2/p3np1B/2Pp3p/3P3P/PP1B1PK1/8/8 w - -,h6e3
r2qk2r/pp1nbppp/2p1pn2/5b2/2QP4/5NP1/PP2PPBP/RNB2RK1 w kq -,e2e3:b1c3:b1d2
8/6pp/4pk2/p1pr4/P4P2/1PR4P/4K1P1/8 w - -,g2g3
rn1q1rk1/pp2bppp/1n2p1b1/P7/2pPP1P1/5P2/NPB3NP/R1BQ1RK1 b - -,b6c8
2kr1br1/1p3p1p/5p2/p1P1pb2/3n4/1P1NB3/P3BPPP/2KR2R1 w - -,e2h5
2b3k1/q3bp2/2P1p1p1/4P2p/5P2/3Q2PP/6BK/1R6 b - -,g8g7
2r1kb1r/p2npp1p/2q3p1/2p1p3/2P5/2NP3P/PPQ2PP1/R1B2RK1 b k -,f8g7
7Q/8/3k4/p4p1K/P4p2/1P3P2/8/8 w - -,h8f6
8/k1p2p2/P3n2p/1R2P1p1/PN4P1/7r/5K2/8 b - -,h3c3
8/4qk2/p1B1p2p/1p4pP/3b4/6P1/PPQ2P2/6K1 w - -,c2g6
8/7p/1p6/1k3p2/1r1R1PP1/2p4P/4PK2/8 w - -,d4d1
3rN1k1/1b1q1pp1/p6p/1p1nP3/3Q4/5N1P/PP4P1/2R1R1K1 b - -,d8e8
2r3k1/p1r1n1p1/1p1p1q1p/3Pp3/4P1b1/3BQ3/PP4PP/R1R1N1K1 w - -,g2g3
8/8/8/1p1ppp2/1P1B1bk1/7P/r1P1R1K1/8 b - -,g4g5
3r2k1/p3npp1/3qp2p/p2B4/2RP4/5NP1/1PQ2PP1/6K1 b - -,e7d5
r4rk1/pb4b1/1p1qp2p/5p2/2PP2P1/3RQNP1/PP1N1P2/1K5R b - -,f5g4
1r6/3kbp2/2ppn2p/4p1p1/1P2P3/1BP2P2/P4BPP/1K1R4 b - -,e7d8
rnbqk2r/pp3ppp/4pn2/3p4/1bPP4/2NB4/PP3PPP/R1BQK1NR w KQkq d6,g1e2
