8/1pN1k3/3p4/3Pp2p/p1P1n3/8/P1K5/8 w - -,c2d3
r1bq1rk1/pp2ppbp/2n2np1/3p4/3P1B2/2PB1N2/PP1N1PPP/R2QK2R w KQ -,e1g1:h2h3
1r4k1/7p/6p1/PbP2p2/1P6/3p1P2/3NpKPP/1R6 w - -,f2e1
1rbr1nk1/1p2bppp/p3pn2/7q/3NPN2/1P4P1/PBQ2PBP/2RR2K1 b - -,h5h6
3q1rk1/1p3p1p/6p1/2PPb3/1P1p4/3Q2P1/r5BP/3R1RK1 b - -,a2b2
r5k1/7p/2p1RpP1/p1Pp4/1r3q2/6Q1/P4PK1/3R4 b - -,f4g3
2r3k1/6pp/p2p1q2/2rPN3/2p5/2R3PP/P1R1QPK1/8 b - -,f6e5
3r4/pp2P1k1/2p2pp1/q5p1/2Q5/1P2N1N1/5P1P/6K1 b - -,d8e8
rn1qk2r/p1pp2pp/1p2pn2/5pB1/2P1B3/2P3P1/PP2QP1P/R3K1NR b KQkq -,f5e4
r1r3k1/pp2pp1p/3b2p1/n1NP4/1P6/4P1PP/P4KB1/1RR5 b - -,b7b6
q3r1k1/4Bpbp/r2P2p1/1Np5/P7/4n3/1P4PP/R2Q1RK1 w - -,d1e2
2r1r1k1/4ppbp/pBbp2p1/2n5/1qN1P3/1P2QPP1/6BP/1RR4K w - -,g2h3
6k1/5p2/6qp/P2B1p2/3PbB1Q/7P/1r4P1/6K1 w - -,d5e4
r1b1r1k1/pp2qp1p/6pB/3Bp3/2Pb4/1P3QP1/P4P1P/2R2RK1 b - -,e5e4
2kr4/1b1r1p1R/p3p1p1/P2nP1P1/2N2P2/B2P2R1/3PK3/8 b - -,d5f4
r2qr1k1/1b1n1pbp/p2p2pB/2p1p3/2P1P3/3P1NNP/1P3PP1/R1Q1R1K1 w - -,f3h2
k7/p2q4/Pnb1p1r1/RpBpP1p1/2pP1pPr/2P5/2P2PB1/1RQ3K1 w - -,g2f3
1B6/8/1p1Q1nkp/pPp3p1/4q3/P6P/5PP1/6K1 b - -,c5c4
2r5/pb2k3/1p4p1/5p1p/1PP2P1P/P1K3P1/8/3R1B2 b - -,b7a6
8/8/N3p3/5b1p/KP4k1/4R1P1/6r1/8 b - -,g2g3
