4k3/R5K1/P5P1/8/8/8/8/r7 w - -,a7a8
2r2rk1/p3qp1p/1pbp1npQ/4p3/2P1P3/2N2P2/PP1RB1PP/5RK1 b - -,c8d8
rn1qkb1r/pb1p1ppp/1p2pn2/8/2PP4/5NP1/PP3PBP/RNBQK2R b KQkq -,d7d6
rnbq1rk1/pppn1pbp/3p2p1/4p3/2PPP3/2N1BP2/PP1QN1PP/R3KB1R b KQ -,f7f5
1r2n1k1/p4p1p/1p2r1pB/n1p1p3/2P1N3/2P2PP1/P3P1KP/1R1R4 b - -,a5c4
r3r1k1/2pbqppp/1p1p2n1/pP6/2P1P3/P4N1P/1Q3PP1/3RRBK1 w - -,e1e3
rn1qk1nr/ppp1bppp/3p4/4p2b/2B1P3/3P1N1P/PPP2PP1/RNBQK2R w KQkq -,b1c3
r2r2k1/pp2qppp/2n5/1N2pb2/2B5/P3P3/1P3PPP/2R1QRK1 b - -,a8c8
2q1r3/pp3pbk/6pp/2P4n/1Ppr4/4BP2/P5PP/2QRR1K1 w - -,d1d4
r1bqkb1r/ppp2ppp/4pn2/8/3P4/3B4/PPP2PPP/R1BQK1NR w KQkq -,g1f3
rnbqk1nr/pp1pppbp/6p1/2p5/2P1P3/6P1/PP1P1PBP/RNBQK1NR b KQkq e3,b8c6
7R/6r1/1ppk1p2/p1p1p3/4P3/4K1P1/PPP2P2/8 w - -,c2c4
r1b3r1/2k3pp/p1n1p3/1p4N1/5n2/BBP5/P4PPP/R3R1K1 w - -,g2g3
1kn3r1/1pp1n1q1/p3R1p1/3p1pNr/3P1P1p/2PB1Q2/PP4PP/4R1K1 b - -,g8d8
6k1/p3bp2/1p2p1p1/4P3/1nrB4/5NK1/3R1PP1/8 b - -,b4d5
r3kb1r/ppqn1ppp/2p1pnb1/8/2BP2PP/2N2P2/PPPBQ3/2KR2NR b kq h3,h7h5
r1b4R/p6p/2pk3p/1p2p3/7n/1B4N1/PPP2P2/7K w - b6,h8h7
r2r2k1/1b2qpb1/p1ppn2p/1p2p1pn/PP1PP3/1NP2NB1/5PPP/R2QRBK1 w - -,b3a5
8/5pkp/4p1p1/8/1b6/3q3P/4NP2/Q4BK1 b - -,g7g8
6r1/1r6/2k1p2p/2P1BppP/p2P4/Rb3P2/6P1/R5K1 w - -,a1c1
r1q1r1k1/pbpnnpbp/1p1p2p1/3P2B1/2PN2P1/2N4P/PP1QBP2/R3R1K1 b - -,g8h8
5rk1/5p1p/q2p2p1/3P1p2/PQr5/7P/5PP1/RR4K1 w - -,b4b5
8/8/k7/8/PK2b1p1/1P6/2P2B2/8 w - -,c2c3
r5k1/2pb1p1p/pr1p1bp1/3P4/1P6/R3P1P1/2NR1P1P/5BK1 w - -,f1c4
2q1rnk1/4r3/b7/p2P2p1/2pQ1p2/4P3/2BN1PPB/4R1K1 w - -,d2e4
r1bq1rk1/pp2nppp/2n1p3/1NppP3/3P4/2P5/PP1Q1PPP/R3KBNR w KQ -,g1f3
3R4/pb1N1rpk/1p2pp1p/8/1bPBpP2/1P2P1P1/P6P/6K1 w - -,c4c5
1r2k3/1b2bp2/pq6/3pP1p1/8/P1NQ4/NPP5/K6R b - -,d5d4
2r3k1/5p1p/p1P2p2/p3n3/3NB1b1/4P1P1/P4P1P/R5K1 b - -,g4e6
1r2k3/2p4p/p3bp2/P1b1p3/1p2Pp2/3R1PP1/1PPN3P/3R3K b - -,c5e3
2b4r/8/3q1k1b/4pp1p/8/1Q1R4/PPP3PP/1K2R3 b - -,d6c7
4kb2/8/2p1P3/1p2K1B1/p1p5/P1P5/1P6/8 w - -,g5e3
r1q2rk1/p1p2pbp/1n1p2p1/1P1Pp3/1Pp5/P5P1/2Q1PPBP/R1B2RK1 b - -,a7a6
5rk1/2B1p2p/rn2p1p1/p1p5/P2bP3/N5P1/RP3PKP/3R4 w - -,f2f3
8/1p4p1/6R1/4K1PP/p1kp4/P7/1PP2r2/8 w - -,g6g7
6R1/8/6P1/2r5/1pk2K2/5P2/8/8 b - -,b4b3
8/5K2/7k/2N1b1p1/6P1/5P2/8/8 b - -,e5d4
1qr2rk1/pb1nbppp/5n2/4p3/NpN1P3/4BP2/PPQ1B1PP/2R2RK1 w - -,b2b3
1r1qr1kb/2n2p2/pp1p2pB/2np4/PR2P3/R1N5/2PQBPP1/6K1 w - -,e4d5
3q1r1k/ppr1n1pp/3NQp2/8/3P4/1B5P/PP3PP1/4R1K1 w - -,d6f7
rn1qk2r/pbp1bpp1/1p1ppn1p/8/3P3B/2P1PN2/PP1N1PPP/R2QKB1R w KQkq -,f1d3
6k1/1p1r1pp1/pBp1n2p/7b/PP2PP2/6P1/2R3BP/6K1 b - -,e6d4
1rk4r/3b1Np1/2qBn3/p6p/8/3Bb3/1PP1Q1PP/4R2K w - -,e2e3
rnbqk1nr/ppp1ppbp/3p2p1/8/4P3/2N5/PPPPNPPP/R1BQKB1R w KQkq -,g2g3
r3kb1r/ppqn1ppp/2p1pn2/5b2/2B5/P1NP1N2/1PPB1PPP/R2Q1RK1 w kq -,d1e2
