8/1p4k1/p2N4/P7/1n2P3/8/8/6K1 w - -,d6b7
8/6k1/1R6/6p1/3r3p/7K/8/8 b - -,d4f4
6k1/R6p/P7/5KP1/r4P2/8/8/8 b - -,a4c4
5rk1/2q3p1/p1p4p/1pPpp2r/1P6/P4PBB/6K1/2Q2R2 w - -,c1e3
3r1rk1/2pnq2p/1p1p1b2/p2P1pp1/2P1p3/BP2P1P1/P2Q1PNP/2RR2K1 w - -,a3b2
2r1r1k1/4bppp/2p2n2/Pq1p1b2/N2B4/P1R2PP1/4P1BP/3Q1RK1 b - -,c6c5
r3nr1k/5ppp/p1pp4/q3B3/4P1Q1/1P6/P1P1N1PP/3R1R1K b - -,d6e5
r1b1kb1r/p2n1pp1/3ppq1p/2PP4/1p2P3/5N2/1PQ2PPP/RN2KB1R b KQkq -,d6c5
3q2k1/p2r1pbN/3prp2/3N2pQ/4P3/1P5P/P1P3P1/5RK1 w - -,h3h4
2Q5/5kp1/7p/5p2/3P3P/6P1/4qPK1/q7 w - -,c8f5
r1bqr1k1/3p1pp1/2p4p/pp4Pn/4P2B/1P2bP2/PPQ1N1RP/1K1R1B2 b - -,d7d5
8/8/6K1/3kbPB1/1p1p4/2pP3r/P3R3/8 w - -,g5e7
3r1rk1/1b2q2p/p3P3/2p2Bp1/3b4/3QN2P/PP4P1/4RRK1 w - -,g1h1
8/4rpk1/R6p/4r1p1/8/4P1P1/5K1P/4R3 w - -,a6a4
r1r3k1/5pb1/p4pp1/3n2N1/PqB4Q/4B2P/6P1/3R2K1 w - -,h4h7
r1q1k2r/pp3pp1/2p2np1/2nPp3/2P1P3/2N3P1/PPQ3BP/R3K2R b KQkq -,a7a5
r1b1k2r/1pqnbppp/p2ppn2/8/4PP2/1N1BB3/PPPNQ1PP/R3K2R w KQkq -,e1c1
rnb1k2r/pp1n1ppp/2p1p3/q2pP3/3P4/P1P2P2/2PB2PP/R2QKBNR b KQkq -,a5b6
r4qk1/N4p1p/Q3p1p1/3P4/R7/2b3PP/5P2/5BK1 b - -,e6d5
2rq1rk1/p2n1ppp/1p2pn2/2p5/2PPb3/P2BPN2/1B1Q1PPP/2R1R1K1 w - -,d3e4
6r1/1p1b2k1/pP1p3q/2p1p3/2P2Ppr/3P2P1/P3P3/1R2QRK1 w - -,g3h4
