B7/2r5/8/8/6p1/4k1P1/6K1/8 b - -,c7c2
2r2rk1/p1qn1pp1/1p2p2p/1Pp1P3/P1P5/5BPP/4QP2/1RR3K1 w - -,c1e1
2b1nrk1/4ppbp/p2p2p1/2pPn3/Pq2PP2/2N1N3/1P2B1PP/2BQ1RK1 b - f3,e5d7
1r6/8/8/6p1/1P4Pp/1K1R3P/6k1/8 b - -,g2h2
3r1k2/2n2p1p/pR1r1Pp1/P1pP4/2P5/7P/4B1P1/1R5K w - -,b6d6
r2q1rk1/pbpn2pp/1p1pp3/5p2/2PPn3/P1BBPN2/1P2QPPP/R4RK1 w - -,a1c1
1N6/4rpp1/6k1/p7/P1R5/5K2/1b3PP1/8 w - -,b8c6
8/p3Qpk1/4b1p1/1p6/r6q/2p2R1P/P5PK/8 w - -,e7c5
8/4kp2/4p3/4P1p1/2B5/4n1B1/1b4PP/4K3 w - -,c4b5
r2q1rk1/ppp1npb1/3pbnpp/1P2p3/2P5/2NP1NP1/PB2PPBP/1R1Q1RK1 b - -,d8d7
r4r1k/p2qn2p/3bpp2/1p1p1p1P/2pP1P1N/2P1P3/PPQ3P1/1K1R1B1R b - -,f8g8
6k1/6p1/p7/8/PPr4B/5P1P/1Rb3PK/8 w - -,a4a5
2rr2k1/1bq2ppp/pp2p3/8/2P5/1PN2PP1/P3QP2/2RR2K1 b - -,h7h6
r1b2rk1/2q3pp/2pn1p2/p3p3/Pp2P3/1N1BQ3/1PP2PPP/R4RK1 b - -,c8e6
r5k1/2qr1ppp/p3bn2/1pb1p3/2p1P3/2P1R1NP/PP1N1PP1/R1B2QK1 w - -,e3e1
1b4rk/7r/8/3Rp3/1p2Q1N1/5P1N/P5PK/2q5 w - -,d5b5
1b5r/p5p1/1p4k1/3K1pp1/1P1B4/P3PP1P/8/6R1 w - -,f3f4
2rr3k/4qbpp/5p2/1pN1p3/1P1nP3/4QN1P/5PP1/R1R4K w - -,a1a5
r2q1rk1/ppp2pp1/1n1p1bp1/3Pn3/2P5/1PNB1P2/PB4PP/R2Q1RK1 b - -,e5d3
2kr1b1r/ppqb1p2/2n1p2p/3p2p1/3N1P2/1NP1BQ2/PP4PP/R4RK1 w - -,a1c1
1Q6/p5rk/3p2pp/3Pp3/1p6/2P4P/P4qRK/1BR5 b - -,f2f4
3rk2r/1p1qppb1/p3b1p1/3N2Pp/3P4/4BQ1P/PP3PB1/2R2RK1 b k -,e6d5
r2q1rk1/pb1pb1pp/2n1p3/2pn1p2/2NP4/1P3NP1/PB2PPBP/R2Q1RK1 w - -,e2e3
4r1k1/p4p2/8/5P2/1pp5/3bB1P1/1Q3KBP/3q4 b - -,c4c3
r1b2r2/p1q2pk1/2p1nnpp/4p3/1p2P1P1/2N1QN1P/PPP1BP2/2K3RR w - -,c3b1
2r1nrk1/1bqp2p1/1p2ppQp/p7/2P5/P1B1P3/1P1RBPPP/3R2K1 b - -,f8f7
8/B2n4/2k5/1p2p2p/1K2P1p1/P5P1/2B1b2P/8 b - -,d7f6
5k2/1p2b3/1q3p1p/p1pQp1p1/P1P1P3/1P1R1P2/6PP/5K2 b - -,b6b4
3r2k1/2r3p1/pb2p2p/1p2Pp2/1PpP1R1P/P1N1K1q1/3R4/Q7 w - -,f4f3
2r2rk1/3qb1p1/pN1p1pb1/1p4Pp/2pNPR1P/3P4/PPPQ4/1K3R2 b - -,d7a7
r4nk1/1rq1p1bp/3p1pp1/2pP4/P3P2P/2B2NP1/1P2QPK1/R6R w - -,h4h5
8/R3k1p1/8/5K2/3B1P2/1r5p/6r1/8 b - -,e7f8
1rr2k2/p2bppbp/2p3p1/2Pp4/4P3/1PN3P1/P4PBP/2RR2K1 b - -,e7e6
r7/p5R1/1p2k3/4P3/6n1/1P6/P4BK1/8 w - -,g7g4
5rk1/pp6/2p5/7p/8/2B1q2P/PP4B1/R5RK w - -,a1e1
rnbq1rk1/5ppp/p4n2/1pbp4/5B2/3N2P1/PP1NPPBP/R2QK2R b KQ -,c5b6
rn1qkb1r/pp3ppp/2p1pn2/3p4/4P3/2N2Q1P/PPPPBPP1/R1B2RK1 b kq -,f8e7:f8b4:f8c5:b8d7:g7g6:d5d4
1r1qr1k1/4nBb1/2bN2pp/4p3/P3p3/B4N1P/5PP1/R2Q2K1 b - -,g8h7
r1r1nk2/1b1n1ppp/1ppp4/pN4P1/1PP1P3/P4P2/1B2BK1P/R4R2 w - -,b5c3
r2q1r1k/1pp3pp/p1n5/3p4/4bPP1/1B5P/PPPQ3R/2KR2B1 b - -,d8d6
3r1rk1/1p1nbppp/pq2pn2/1N6/8/1P4PP/PBP1QPB1/R4RK1 w - -,b5d4
r2r2k1/3nq1pp/bppbp3/p2p1p2/2PP4/PP1NP1P1/1B1Q1PBP/R1R3K1 w - -,d2c3
6R1/4k3/3Np3/p2pP3/1r6/5K2/1P6/4b3 b - -,b4b2
3r4/pp1r1qk1/5pp1/3P1n2/P4N2/1P2BQ2/5PP1/2R3K1 b - -,d8e8
8/6P1/3Rp3/2k1P1rp/8/8/4K3/8 b - -,g5e5
2k5/pb6/1p2R3/2p2p2/2P2r2/1B3P2/PP6/2K5 b - -,b7f3
1kb2Q2/1p3p2/3N3P/3pP3/3P4/p5P1/3q1P2/2r2RK1 w - -,h6h7
7r/k1KR4/2P5/8/8/8/8/8 b - -,h8g8
r1bqnrk1/1p3ppp/3bpn2/p1PpN3/N2P4/PP3B2/1B3PPP/2RQR1K1 b - -,d6c7
3r3k/2q1b2p/2b2p2/n2n2pP/2pPN3/1p3N2/1P2QPP1/1BB1R1K1 w - -,h5h6
2kr4/pp1rbppp/2p1p3/8/2PP4/P3B3/1P1RKPPP/3R4 b - -,b7b6
r2q1rk1/ppp1bppp/1nn5/2Pp4/3P2b1/1PN1BN2/P3BPPP/R2QK2R b KQ -,b6c8
1n1q2k1/2p2rnp/3p1b1B/3Pp2b/N3Pp2/1Q3N2/P3B1PP/2R3K1 w - -,b3b7
r1b5/3nkp2/4p3/2ppP1Q1/1q4p1/1N6/P3RPPP/2R3K1 b - -,e7e8
8/4Rp1k/2r5/7p/6P1/6P1/8/5K2 b - -,h7g6
1K6/8/2Q5/PP4k1/1q6/8/8/8 w - -,a5a6
r3kb1r/1bq1np2/1n2p2p/p2pP1pP/1ppP1P2/P1P1N3/1PBNQ1PB/R4RK1 b kq f3,b4b3
2r2rk1/1b2bppp/pp1qp3/n7/3PP3/P3QN2/1B2BPPP/2RR2K1 b - -,h7h6
8/8/5k2/p1p2p1p/5K1P/2P2P2/1n6/6B1 w - -,f4e3
1r1Rn3/p3Pppk/b3p2p/4q3/Q1p5/P1N3N1/1P3PPP/6K1 w - -,a4e8
r4r1k/pp3n1p/6p1/3B1pq1/2P1p3/1Q2P3/PP3K2/R4R2 b - -,f7e5
6k1/pp2bp1p/4pp2/3p4/1P1P4/PNr1PN2/2q1nPPP/Q2R3K w - -,f3d2
r5k1/2p2p1p/p1r1p1p1/1p6/8/1PPR3P/P4PP1/3R1K2 b - -,a8e8
2r5/p2nb1pp/4kn2/2p5/1p1P1B2/4P3/PPR2PPP/2R3K1 w - -,f2f3
r2r2k1/p1B2ppp/b2P4/8/3b1Q2/q1p3P1/3p1PBP/2R1R1K1 b - -,d8e8
r2rb1nk/pq2b1pp/1p3p2/2nNp3/P3P3/2P2NQ1/1P1BB1PP/4RR1K w - -,e2c4
3q1rk1/4Rp2/3p1n1p/p1pP2p1/BpP3PP/1P3P2/P3Q3/6K1 w - g6,h4g5
r1bqr1k1/1p2bppp/n1p2n2/p2p4/3P4/P1N1P1P1/1PQ1NPBP/R1B2RK1 w - -,f2f3
r4rk1/pp1b4/5nBQ/4pP2/3q3N/7K/PPp4P/2R3R1 b - -,d4d3
3r2k1/ppb1qp1p/1n2p1p1/B7/P7/1QR1PNP1/1P3P1P/6K1 w - -,f3d4
r3nrk1/1b3p2/p3pPp1/q1p3N1/2p2P1p/2P1B3/P3B1PP/3RQRK1 b - -,e8f6
5rk1/q2n1pp1/4pn2/7p/2pP4/2N1P1P1/Rr3P1P/2R2BK1 w - -,a2a7
8/5p2/5p2/p2k1P1p/P1p2P1P/b1P2KP1/8/5N2 w - -,f1e3
r2q1rk1/2p3pp/1bp2p2/p2pP3/2P3b1/1N1Q4/PP3PPP/R1B2RK1 w - a6,c4c5
R7/p1r2k2/1p5p/n1p3p1/P5n1/2P2N2/3B1PP1/6K1 w - -,f3h2
r3r1k1/bp3pp1/p3p3/P3R3/8/1BP2Q1P/1P1q1PP1/4R1K1 w - -,e5e2
r4rk1/1pqnbppb/2p1p2p/1n1pP3/1P1P4/1NP3P1/1B1NQPBP/R1R3K1 w - -,f2f4
r1bq1rk1/pp2bppp/2N1pn2/8/4p3/2N1BP2/PPPQB1PP/2KR3R b - -,b7c6
rn1q1rk1/pb2bpp1/1p2pn1p/3p4/3P3B/3BPN2/PP1N1PPP/R2Q1RK1 w - d6,a1c1
r2nr1k1/ppp2pb1/3p1q1p/6p1/3PP1P1/2NQB2P/PPP3B1/R5K1 w - -,c3d5
3rkr2/1bq2p1p/p3p3/1p4P1/2p4P/P1N5/1PP2QP1/2KRR3 b - -,d8d1
r1r3k1/1p3ppp/3pb3/4p1b1/pqP1Pn2/N1N2P2/PP3BPP/1R2RQK1 w - -,c3d5
r1bq1rk1/pppn1ppp/3b1n2/4p3/4P3/2N2NP1/PPP2PBP/R1BQ1RK1 b - -,d7c5
5k2/1p1n1ppp/r1p5/p1Pp4/N3r3/PP2P3/5PPP/2RR1K2 b - -,f8e8
2q3k1/3b3p/p2p1bp1/Qp1Pp3/4Pp2/2PB1P2/P4BPP/6K1 w - -,f2b6
r1bqkb1r/1p3ppp/p1nppn2/2p5/P3PP2/1PN2N2/1BPP2PP/R2QKB1R b KQkq -,f8e7
r1bq1r1k/pp2bnpp/2p5/3pPp2/4PB2/1QN2PP1/PP4BP/3R1RK1 b - e3,e7c5
8/1p1r2kp/p1p3p1/P1P1p2q/3b1B2/5P2/1PB1R1PP/4Q2K b - -,e5f4
2bq1kr1/5p2/p2p4/p1pPp3/PrN1PnP1/1P3P1p/2PQ3R/R2N3K w - -,d1f2
r4rk1/1p2bppn/pq2p1p1/2pPn1P1/8/2N1PP2/PPQBB2P/1K1R3R b - -,e6d5
2b1rrk1/1p4pp/2pq1n2/p2pNp2/P2P4/1P1QPPP1/6BP/R1R3K1 w - -,d3c3
r1b1k2r/pp2ppbp/2n2np1/2p5/3Pq3/N1P2N2/PP2BPPP/R1BQ1RK1 b kq d3,c5d4
rq3rk1/pb1pppbp/1pn2np1/8/2PNP3/2N1BP2/PP1QB1PP/R3K2R w KQ -,e1g1
4r1k1/1bq2pbp/pp1prnp1/2p3B1/P1P1P3/2N2P2/1P1QB1PP/3RR1K1 b - -,c7c6
r6r/pp1bkn2/4p3/3p1p1P/3RpP2/2N5/PPP1B3/1K5R b - -,a8g8
r3k3/pp3p2/n1p1p1p1/q5Pr/3PP1QP/8/PPPN4/2KR3R w q -,d2b3
rn1qkb1r/p2p1p1p/bp3np1/2pP4/8/PQN2N2/1P2PPPP/R1B1KB1R b KQkq -,f8g7
r2q1r1k/1p2n1b1/2ppPnpp/p3pp2/2P1P3/P1N1B3/1PQ1BPPP/2RR2K1 b - -,f6e4
3r1k2/N4ppp/8/RP6/5P2/3rn3/7P/1R5K w - -,a5a1
1q1r1rk1/1p2pp2/p5p1/3Pp1Pn/7p/1P2P2P/P2Q1PBK/3R1R2 w - -,d2b4
r4rk1/pb2qpbp/1p2Pnp1/2p5/4P2P/B1P2N2/P1Q2PP1/3RKB1R w K -,f3g5
8/8/8/pR1p2k1/P2Pp3/1P2Pr1K/8/8 w - -,h3g2
8/5B2/4Q2K/8/3q3P/6P1/1k6/8 w - -,e6b3
1nQq4/3nkppp/p3p3/Np6/1P6/P4NP1/4PP1P/6K1 w - -,c8c3
8/2B4p/p5p1/N1pk1p2/4p3/PPb1P2P/5PP1/2n2K2 w - -,b3b4
r1bq1b1r/1p3k2/p1n1p2p/2pn1p2/P5p1/3P2N1/1PPN1PPP/R1BQRBK1 b - a3,h6h5
r2qr1k1/pb3ppp/1p2pb2/n2pN3/2PP4/2N2B2/PP3PPP/R2QR1K1 w - -,c4d5
1k5r/pb3P1p/1n1b2p1/2p5/3p1P2/1PNB4/P5PP/1KQ5 b - -,d4c3
r2qr1k1/ppp2pb1/2bp1npp/8/2P1P3/2NBB3/PP3PPP/R2Q1RK1 w - -,f2f3
r1b1k2r/pp3ppp/3ppn2/4n3/2q5/PN4P1/PQ2PPBP/R1B1K2R w KQkq -,c1f4
r1b2rk1/p1pn1ppp/1p2pq2/1B6/3P4/5N2/PPPQ1PPP/2KR3R b - -,f8d8
r5k1/1b3rb1/p5pp/P1p1q2n/2B2N2/1Q6/1P4PP/R4RK1 b - -,e5d4
r3rbk1/1bqn1ppp/p1npp3/1p4P1/4PP2/PNN1B3/1PP2QBP/3R1RK1 b - -,a8c8
8/1p3P2/2n3p1/2r3Pp/p6k/P4R2/1P1K1P1N/8 b - -,c5d5
r4rk1/pp2qppp/5n2/3P2B1/8/2N3P1/PP3P2/R2Q1bK1 w - -,g1f1
6k1/5pp1/7p/3Qpq2/8/6P1/4PPKP/8 b - -,f5f6
3rqrk1/p4ppp/1p1P4/4p3/4RB2/5QP1/Pn3P1P/R5K1 b - -,b2c4
r4r2/4Qpkp/1pq1p1p1/n2p2N1/3P4/2P5/P4PPP/R4RK1 w - -,a1b1
r4rk1/ppqb1pp1/2n1p2p/8/3PR3/2PB1N2/P2Q1PPP/R5K1 w - -,e4g4
2r2rk1/pp2ppbp/2n3p1/5b2/1R1P1B2/1P2P2P/P2QpPP1/3R2K1 w - -,d1e1
2rqk2r/pp3ppp/2n1p3/2bpPn2/5B2/2P2N2/PP2BPPP/R2Q1RK1 w k -,e2d3
rnb1kb1r/pp2qppp/2pp1n2/6B1/8/2NP1N2/PPP1QPPP/R3KB1R b KQkq -,e7e2
1r4k1/1N3ppp/1n6/pp1p1P2/P5P1/2P1P2P/8/1R4K1 w - -,b7c5
3rr1k1/1p3ppp/p1Qp1bn1/8/4P1B1/6BP/PPPR2P1/5R1K b - -,b7c6
3rnnk1/p2q1ppp/1pR5/1P1pP3/3N1P2/P5PP/1B4K1/2Q5 w - -,f4f5
8/1b5k/1p6/pB1pP1QP/Pq6/6K1/1P6/8 b - -,b4b3
1r1qr1k1/1p1n1pbp/p2p1np1/P1pP4/4PP2/2N2B1P/1P4P1/R1BQ1RK1 w - -,f1e1
2r2rk1/pp2b1p1/1qn4p/1P1pp3/3P4/P2BPN2/2R3PP/1Q3RK1 b - -,e5e4
5k2/p3bppB/4p2p/p2pPP2/1n1P2P1/1P1K4/7P/2B5 w - -,d3e2
4b1k1/pr3ppp/4p3/4N3/5P2/3B2QP/1r3qPK/R7 w - -,g3f2
7r/1pkr1pp1/2p1pn2/p5p1/2PP4/P3KPP1/BP1R3P/7R w - a6,h1d1
2q5/p3R3/k7/1p4p1/1P2B3/4B3/8/4K3 b - -,c8c3
6k1/pp5p/2p1n3/4P3/3P2P1/7R/1q6/4QK2 w - -,e1f2
8/1p1k4/5KR1/pP6/P7/7P/6P1/4r3 b - -,d7d6
r1bqkb1r/pp2pppp/2n2n2/2pp4/4P3/3P1PPN/PPPN2BP/R1BQK2R b KQkq -,e7e5
