4Q3/6bk/3p4/6r1/8/1p3R2/pq4PP/5R1K w - -,f3h3
N1b3k1/1p4bp/3p2p1/p2Pq3/2P3P1/4p2P/PPKR4/4N2R w - -,e1d3
r2r2k1/p2q1pp1/Q1p5/3b3p/3P4/1P2BP2/P5PP/R3R1K1 w - h6,e3f2
r2q1rk1/pb1nbppp/1p2pn2/2p5/3PN3/2PB1N2/PP2QPPP/R1BR2K1 b - -,f6e4
r1k4r/2p1bpp1/1p2b1np/p1p1P3/P1P5/1PN2N1P/1B1R1PP1/3R2K1 b - -,c8b7
3r1r2/pp2p1kp/5pp1/8/2qP4/Q7/P4PPP/R2R2K1 w - -,a3e7
r2qnrk1/3b1pbp/1pnB2p1/P2Qp3/2P1P3/2N2N2/4BPPP/R4RK1 b - -,e8d6
7r/pp2kn2/4p3/8/2p2B2/P1P3P1/5P1r/3RR1K1 b - -,b7b5
3r3k/6p1/7p/3n1N2/8/pNP2P1P/P5P1/4qQK1 b - -,e1f1
2q4r/4pk1p/p1p1bpp1/4R3/P2Q4/5B2/1PP2PPP/3R2K1 b - -,f6e5
8/3nk1Q1/4pp2/2p5/q6P/1pP5/1P6/3KR3 b - -,e7d6
r4rk1/1ppbqp1n/n2p2p1/p2Pp2p/1PP1P3/P1N2P2/3NBRPP/1R1Q2K1 b - -,a5b4
r2q1rk1/pb1nppbp/1p1p1np1/2p5/1P1P4/B1P1PN2/P2NBPPP/R2Q1RK1 b - -,d8c7
2r2rk1/1bq1bppp/p2ppn2/8/3NPP2/R3BB2/1PP2QPP/5R1K w - -,a3c3
4k3/1r3p2/1p2nBp1/2p1P2p/7P/P3P3/2R1KPP1/8 w - -,f2f4
5r2/4k3/8/4p2P/4N2K/5P2/6P1/8 b - -,e7f7
8/3rnpkp/2pq1p2/4p3/P1R1P3/1R4P1/2Q2PKP/8 b - -,h7h5
r4q2/5pbk/2pNnnpp/1pP1p3/1P2P1P1/R3BP2/2Q4P/2NR2K1 b - -,a8a3
3rr1k1/4bp1p/p3b1pB/4Q3/1P6/q2B2P1/5P1P/3RR1K1 b - -,e7f8
7k/1R4p1/3p1p1p/3P3P/p3P1P1/P1r5/5K2/8 w - -,b7d7
r3r1k1/pp3p1p/6p1/3pb2q/4nNn1/1P1PPQP1/PBR2PB1/2R3K1 b - -,h5h2
r3kb1r/pp1npppp/2pp4/q7/3Pb1P1/5N1P/PPPBQPB1/R3K2R b KQkq -,a5d5
r1b1k2r/1p1p1ppp/p1n2q2/2b1p3/2N5/1PP2B2/P4PPP/R1BQ1RK1 w kq -,b3b4
5Rk1/5pn1/6p1/2p1Q2p/2B3P1/2P1P2P/6PK/4q3 b - -,g8f8
r5k1/1bpn1qpp/1p1p3r/5p2/p1PPpP2/P3P1B1/1P2BQPP/2R2RK1 w - -,f1d1
8/8/4k1b1/p2r2pp/2N3P1/3P3R/PPK5/8 w - -,g4h5
6k1/2pR2pp/2p2p2/1nB5/1P2P3/r4P2/5KPP/8 w - -,g2g4
2rqnr2/p3ppkp/1pp1b1p1/3p4/2PP3N/2P3PP/P3PPB1/1RQR2K1 w - -,h4f3
8/p4b1p/1p3kp1/1B1PRp2/5P1P/P7/2r3PK/8 w - -,d5d6
r1bqr1k1/pp2ppbp/6p1/2NPn3/8/6P1/PPQ2PBP/R1B1R1K1 b - -,c8g4
1r5k/3n1p2/2pp4/3P2p1/1P2P3/2NB4/8/6K1 w - -,d5c6
r2qr3/2nb3k/6pp/2pP1p2/p1R1P3/P2N2P1/3BQ1BP/b5K1 w - -,d3c5
2k5/p1qrn1QB/1p2p3/3bP1Bp/2p5/2P5/P1P2PPP/3R2K1 w - -,g5e7
2r5/1nP1b2p/4kpp1/3p4/1PN2P2/5K1P/6P1/3RB3 w - -,c4e3
8/8/p1np4/k3b2R/5p2/3K4/3N1P2/8 w - -,d2c4
r1b1k2r/1q1nbp1p/p2ppnp1/1p6/3NP3/1BN1B1Q1/PPP2PPP/2KRR3 w kq -,e3h6
r2q1r1k/pp1n2np/3p4/2pPPp2/2P5/2N1R1PP/PPQ3B1/5RK1 b - -,d8g5
8/1br2pkp/p2rp1p1/2p1N3/8/1P3P2/P1P3PP/3R2K1 w - -,d1d6
8/8/8/2k5/4Rp2/1r3P2/4K3/8 w - -,e4f4
r4rk1/1p1q2pp/2np1n2/p3pb2/2Pp4/P2P1NPP/1P3PBK/R1BQ1R2 b - -,h7h6
8/8/2pB4/2Nb1k2/5P2/8/2K5/r7 b - -,a1a3
r3r1k1/ppp2pp1/2np3p/5q2/2P1p3/2P3P1/PPQ1PPBP/3R1RK1 b - -,e8e5
6k1/5pb1/6p1/3RP2p/r2B1P2/5KPP/8/8 w - -,d5d7
r4r1k/ppP2p2/1n6/6NN/b6P/4P3/PP1R1PP1/R5K1 b - -,a8c8
r2q1rk1/pp1bbpp1/4pn1p/8/2Bp3B/5N2/PPP1QPPP/3R1RK1 w - -,f3d4
8/pp3p1p/2p1k3/8/2P5/PP2bN2/6PP/3K4 w - -,d1e2
rnbqr1k1/ppp1bppp/5n2/3p4/3P4/2N2NP1/PP2PPBP/R1BQK2R w KQ -,e1g1
5rk1/2q2p1p/p2pp1p1/2n5/2PbPN2/1r5P/1P2QPP1/1R1R2K1 w - -,d1d4
