2r3k1/7n/p4p2/4pPpN/6P1/8/P7/1R3K2 w - -,b1b6
k1r1n3/pq1rbppp/2pp4/1p3N2/4PB2/1P1P1Q1P/1PP3P1/2KR1R2 w - -,f4e3
5r1k/4q3/1pR3pp/4pn2/4Q3/P2B3P/1P3PP1/6K1 b - -,f8f6
8/6k1/4q1p1/8/P2Pr3/5Q2/2N5/5BK1 w - -,a4a5
r4r1k/pp4pp/2pN3n/2q1P1N1/2P5/7b/P2Q2P1/R4R1K b - -,h6f5
r5k1/pppbr1bp/3p4/2nPqpP1/2P2N1P/2N2P2/PP1QBK2/3R3R w - -,h1e1
8/8/8/P1P2p2/4p3/3r2P1/4KP2/2k5 b - -,d3c3
r4rk1/1bq1bppp/p1npp3/1pn4Q/4PP2/PNNB4/1PPB2PP/4RRK1 w - -,b3c5
4rrk1/p1p2q2/Q2p1p2/P1p1n1pp/4PP2/2P3BP/2P3P1/4RRK1 b - -,g5f4
r1br4/5pk1/2R2p2/5P1p/1Pp1P3/p1N3P1/P7/2R3K1 b - -,d8d2
rnq1kbnr/pp2pppb/2p4p/3pP3/3P3P/6N1/PPP2PP1/RNBQKB1R w KQkq -,c2c4
1r1q1rk1/3bppb1/3p1np1/1pp1n2p/2PPP2P/1PN1BPP1/3QN1B1/R4RK1 b - -,c5d4
r2q1rk1/ppp3bp/2np2p1/5b2/2P1NP2/4B3/PP2B1PP/R2Q1RK1 w - -,d1d5
3q1r1k/2rB1pbp/2Pp2p1/p3p3/1p2P2P/1P1QN1P1/P4P2/5RK1 b - -,c7d7
rnbq1rk1/pp4pp/2p2n2/b2ppP2/6P1/P1NP3P/1PP2PB1/R1BQK1NR w KQ -,b2b4
1B4k1/1p1b2bp/p3q3/3p1pp1/3P4/2P4P/P1NQ1PP1/6K1 b - -,f5f4
k2r4/1p4b1/1Pn1B3/p2R2pp/4Pp2/P4P2/1P3BPP/6K1 w - -,b2b3
4r1k1/1R3ppp/8/p2P4/8/6P1/qP1Q1PKP/8 b - -,h7h5
rn1qkbnr/1p3ppp/p3p3/2PpP3/8/2NQB3/PPP2PPP/R3K1NR b KQkq -,b8d7
8/1kp3p1/1p1p2np/4p3/1PP1P3/3KBPrP/6P1/R7 b - -,g3g2
2kr3r/1pqb1p1p/p1n1pp2/8/5PQ1/1NPB4/PKP3PP/3R3R w - -,g4h4
r4r2/pppb1pk1/7p/4n3/1P2P1pP/6P1/P2NB1P1/3R1RK1 b - -,d7e6
8/4rpk1/6pp/1p6/2pR4/2P4P/1P4PK/8 w - -,d4d5
5rk1/5pp1/2pq3p/rp1b4/1PpP3P/2P2NP1/5P2/2KQR1R1 w - -,b4a5
r1q1k1r1/p4p1p/3Bp1p1/3p4/3P4/2P2B1P/n1PQ1PP1/1R4K1 w - -,c3c4
r6r/pbb1knp1/6np/P3pp2/BP6/2P2N2/1B3PPP/3RR1K1 w - -,d1d7
8/6R1/1P5p/5k2/8/5p2/1r5P/5rBK w - -,b6b7
rnbq1rk1/pp2pp1p/1n4p1/2P5/5B2/2P1P3/P4PPP/2RQKBNR b K -,d8d1
2r4r/4bkpp/4pp2/N2pP3/2p3P1/2P1P3/PP5P/R4RK1 w - -,a1c1
2r1r3/1q3pnk/2p3pp/Q2p4/N3P3/1P3P1P/P5P1/3RR1K1 b - -,g7e6
3b2k1/7R/p1pr4/1p3BP1/P2p4/1P3K2/2P5/8 w - -,g5g6
r5k1/ppp2pB1/1b6/3b3N/B5n1/2P5/PP3PP1/R5K1 w - -,g7d4
5k2/1pp2pp1/1p6/1P2P2p/P4Pn1/3R2P1/8/2rB1NK1 b - -,f8e7
3r2k1/1pr1qpp1/p3pnp1/R7/1P5Q/2P2N1P/3P1PP1/4R1K1 b - -,f6h7
5rk1/p2n2p1/b2q1nQp/5p2/1p1P3B/3NPP1P/PP4P1/1K3R2 w - -,g6f5
r1bq1rk1/pp3ppp/3p1b2/3Q4/4RB2/5N2/PP3PPP/R5K1 b - -,c8e6
r1bqr1k1/1ppp1ppp/p1n2n2/2b1p3/2B1P3/2PP1N1P/PP3PP1/RNBQ1RK1 w - -,c4b3
1r3r1k/2p3pp/p3bp2/q1p1p3/4Q2P/1P2NPP1/P2RP3/3R2K1 w - -,h4h5
r2r1bk1/1b3p1p/pq2pPp1/1pp5/6QP/1P1BP3/PB3PP1/R2R2K1 b - h3,c5c4
4r3/1p4kp/p2p4/2pP2p1/2P5/1P1PR3/P4KPP/8 b - -,e8f8
8/8/4K1k1/8/R3N2r/8/8/8 b - -,h4h1
2r4k/p5pp/1p3q2/2r2p2/5Q2/P3PP2/1P1R1K1P/3R4 b - -,h7h6
r2qr1k1/5ppp/bp3n2/p1bP4/Q7/P2p1NP1/1P3PBP/R1BR2K1 w - -,f3e1
rnbqkb1r/1p3ppp/p3pn2/2p5/P1BP4/4PN2/1P3PPP/RNBQK2R w KQkq c6,e1g1
1rqb2k1/1p1nrp1b/p2p1n1p/P1pPp1pP/2P1P1P1/R1N2PB1/1P1NB1K1/Q4R2 b - -,b7b6
r2qr1k1/ppp2p1p/3pb1p1/4n3/2P2N2/1PQ3P1/P3PPBP/3R1RK1 b - -,d8c8
7k/p6p/Pp1p3q/1Pp1bp2/2P2Nr1/3P4/6PP/2Q2RK1 w - -,g2g3
5r2/2R2pk1/4p1p1/7p/7P/4P1P1/5P2/6K1 w - -,g1g2
rn1qk2r/pb1pbppp/1p2pn2/2p5/3P1B2/3BPN2/PPPN1PPP/R2Q1RK1 b kq -,d7d6
r3r1k1/3n1ppp/p1pq4/3p1b2/N7/1P2PB2/P4PPP/2RQ1RK1 b - -,e8e6
rn1qkb1r/ppp2ppp/4pn2/3p4/3P4/1P1B1PP1/PBP2P1P/RN1QK2R b KQkq -,b8d7
2r1b1k1/p7/7p/1p1p1Bp1/3q4/5PP1/P3Q1KP/7R b - -,c8b8
2r1k2r/1p1b1pp1/p1n1p2p/2qpP3/P7/2P2N2/1PB2PPP/R2QR1K1 b k -,a6a5
r2r2k1/1pq2pb1/8/pB1p1QP1/P7/2P5/1P3B2/4R1K1 w - -,g1g2
8/5ppp/2pk3r/1p6/8/2R1P2P/1P3PP1/1K6 w - -,f2f3
1k6/1p2b2p/4N1p1/4P2n/1q3p1P/1B1R1P2/P6R/1Kr5 w - -,b1c1
1r4k1/3Q1p1p/3p2p1/3P4/3NP2q/1P6/6P1/6K1 b - -,h4e4
r3rk2/1p2qppB/p1p1bn2/2b1B2p/2P2P2/1P2N1RP/P1Q3P1/4RK2 w - -,c2c3
3rr1k1/p1q3p1/1pP2bp1/1P1pNp2/P2Q1P1P/2R3PK/4R3/8 w - -,c3a3
8/8/8/8/4K1p1/8/3kpB2/8 b - -,e2e1q
r1bq1rk1/1p2ppbp/5np1/p2P4/1n6/1BN1BP2/PPP1N1PP/R2QK2R b KQ -,a5a4
r1b2rk1/pp1nqppp/2p1p3/4P3/4N3/4P1B1/PPP2PPP/R2Q1RK1 b - -,b7b6
r4rk1/pp4pp/1qp1bpn1/3pp3/4P3/1BPPPN1P/PP2Q1P1/R3R1K1 w - -,d3d4
r1bqk1nr/1pp2ppp/1pnp4/1B2p3/3PP3/5N2/PPP2PPP/R1BQK2R b KQkq d3,e5d4
b2r4/4q2k/pQ1p2p1/2pP3n/2NbP3/5PP1/P4BB1/1R4K1 w - -,f2d4
rq2r1k1/3bbpp1/pB1p1n1p/3Pp3/PpN1Pn2/5P2/2P1B1PP/RN1QR1K1 w - -,e2f1
r3k2r/pb2b2p/2p1pp2/6p1/3P4/1PR2NB1/1P3PPP/R5K1 w kq -,g3c7
r1b1r1k1/1p3pp1/pbn2q1p/3p4/3NnB2/2P2N1P/PPQ1BPP1/R4RK1 w - -,f4e3
1r4k1/p4r2/2Q4p/2P5/2P1p3/q5P1/5PBP/4R1K1 b - -,a3c3
r4r1k/1pp3pp/2npbq2/p4n2/P3QP2/1NN3PB/1PP4P/2KR3R b - -,a8e8
2b5/p5kp/1p4p1/5p2/3Q4/q3PBP1/5PKP/8 b - -,g7h6
3r3k/1p3pbp/1nnq2p1/pB6/P2p3Q/5N2/1P3PPP/3RR1K1 b - -,g7f6
8/3kb3/1p1p4/p2P1p2/P1KP1Bp1/1P4P1/8/8 w - -,c4b5
2rqk2r/1b2bpp1/p3pn1p/1pn5/7B/2NQPN2/PP2BPPP/2R2RK1 w k -,d3d8
r1r5/1p1nkpp1/1p1bb2p/3pp3/8/2P1P1P1/PP1NNPBP/R4RK1 w - -,a2a3
r2q1rk1/2p1bppp/p1n5/1p1pP3/3Pn1b1/1B2BN2/PP3PPP/RN1QR1K1 w - -,h2h3:b1c3
1r3r1k/4qppp/p7/Q3p3/4P1b1/1P1R2P1/5PBP/3R2K1 w - -,d1c1
5rk1/2p2pp1/1p2p3/p3P3/3P3p/NP2P1q1/P7/1Q3R1K b - -,g3h3
1q2brk1/4bppp/B1np3n/2p3NQ/Pp2PP2/2P4P/1P3BP1/R2R2K1 w - -,h5e2
r2q1rk1/pbpnppbp/1p4p1/8/1P1P4/3BPN2/P4PPP/1RBQ1RK1 w - -,c1b2
4nrk1/Rp3qb1/1B1pb3/3Np1pp/1PP1Pp2/3B1P1P/4Q1P1/6K1 w - h6,c4c5
3rr1k1/1P3ppp/1n6/p3b3/P3NB2/1P6/2P2PPP/3R1RK1 b - -,e5f4
8/6qk/8/5Qp1/pP6/3P4/6PP/r4R1K b - -,h7h6
r2qrnk1/pb2bppp/1pn1p3/2ppP3/5B1P/2PP1NPB/PP2QP1N/R3R1K1 w - -,h4h5
2rr2k1/1b2qpbp/np2p1p1/p2n4/2NPN3/PP4P1/1B1Q1P1P/R3RBK1 w - -,h2h4
r3rnk1/1p3ppp/p1q5/2PN1b2/8/1Q6/PP2BPPP/3R1RK1 w - -,d5e3
8/5pk1/4p1p1/1B6/P2bq1Pp/7P/3Q1P2/5K2 b - -,e6e5
8/Pk3p2/4pb2/1B2n1pp/N3P2P/1P2BP2/r5P1/6K1 b - -,g5h4
3rn1k1/pr2qp1p/2pppbp1/8/NPP1P3/P2RBP1P/3Q2P1/3R2K1 b - -,d8a8
8/2b3pp/Qp3k2/5q2/8/6P1/7P/3RK3 w - -,a6f1
2r2bk1/R4Rpp/4rn2/8/4P3/3pB1PP/3N1PK1/8 b - -,c8e8
r3r1k1/2qbbppp/ppnppn2/8/P3PP2/1NN1BB2/1PP3PP/R2Q1R1K w - -,d1e1:g2g4
r2qk2r/pppnbppp/3p1n2/4p3/2PP2b1/2N1PN2/PP2BPPP/R1BQ1RK1 b kq -,e8g8
