r5k1/3R1p1P/8/5PK1/8/8/8/8 b - -,g8h7
r4rk1/pbp1q1pp/1p3n2/3p1pN1/3P3P/2nBP3/PPQ2PP1/1K1R3R w - -,c2c3
3r1rk1/pp2qppp/2p1b3/2Pp4/1P3P1b/P3P2P/3QB1P1/1RB1R1K1 w - -,e1f1
rnbq1rk1/pp1pppbp/5np1/8/3P4/5NP1/PP2PPBP/RNBQ1RK1 b - -,d7d5
r2q1rk1/2nbppbp/Pn1p2p1/2pP2B1/4P3/N1N2P2/PPQ1B1PP/R4RK1 b - -,c7a6
r2q2k1/3b1pn1/3p2p1/2pPp2p/p1P1P1NP/P2B2P1/1R1N1P2/3Q2K1 b - -,d7g4
r4rk1/ppp2ppp/1bn1q1b1/4p1B1/1P2P1P1/2P2N1P/P3QPB1/R4RK1 w - -,f3h4
rn3rk1/p1p2ppp/1p1q1b2/3p4/3P4/4PN2/PP2BPPP/2RQ1RK1 b - -,c7c6
r2k3r/1p1b1ppp/p2Bpn2/n1Pp4/8/2P1NB2/P4PPP/1R2R1K1 b - -,d7b5
R7/p2r2kp/6p1/1Rb2p2/8/2P4P/5PP1/6K1 b - -,d7d1
r1bq1rk1/ppp1bppp/2n5/3n4/3P4/2NB1N2/PP3PPP/R1BQ1RK1 b - -,c8g4
5r1k/p5p1/2p1b2p/1pPnP2q/7P/Pr4P1/1PQB1P2/R3NRK1 b - -,d5e7
r1b3r1/ppk1qp2/1n1p1n2/2pP2p1/B1P1p3/2P1P1B1/P2KNPP1/R5QR w - -,a4b3
8/3rbk2/p3p2p/1p2P1p1/1Pn1Np2/P7/5BPP/4R2K b - -,c4a3
6k1/6b1/8/3np3/r3N2P/8/5N2/1R3K2 b - -,d5e3
8/1k6/3B4/2K5/4N3/8/8/8 b - -,b7c8
6k1/r1n3rp/2Nppn2/8/1PP2p1q/3B2N1/4QPKP/5R2 w - -,c6a7
8/5r2/4R3/k5r1/2P1p3/8/1R3PK1/8 w - -,g2f1
r1bq1rk1/pp1np1b1/2pp1npp/5p2/2PP4/2N1PN1P/PP2BPPB/R2Q1RK1 b - -,d8e8
6k1/4pp1p/1p4p1/p1B1P3/bpP1PP2/6PP/P5B1/3rN1K1 b - -,b6c5
1rb2rk1/pp2n1bp/3pp1p1/n1p2p2/4PP1N/3P2P1/PPP2BBP/R2N1RK1 w - -,e4e5
1r4k1/4ppbp/1n1p2p1/1PnP4/2q1PP2/r1N2R2/4NBPP/2RQ2K1 b - -,c4b4
r1b2rk1/bp2qppp/p1n1pn2/3p4/1PP5/P1N1PN2/1BQ2PPP/R3KB1R w KQ -,a1d1
r3kb1r/pp3ppp/1npqpn2/8/3P4/2N2BP1/PPP2P1P/R1BQR1K1 w kq -,c3e4
4r1k1/1qnb1ppp/2Np1bn1/1P1Pp3/p3P3/3Q1NPP/1B3P2/2R2BK1 b - -,g6e7
r1bq1rk1/pppnp1bp/3p2p1/6N1/3Pp3/1P4P1/PBPQ1PBP/R4RK1 b - -,d7f6
r3k2r/pp1qppbp/2np1np1/8/3pP3/2P2N2/PP2QPPP/RNBR2K1 w kq -,c3d4
8/p3k1r1/4p1r1/R7/8/2P2RP1/1P4K1/8 b - -,e7d6
8/8/1bP3R1/p1k5/P3K3/8/8/8 b - -,b6c7
rnbqkb1r/pp3ppp/4pn2/2pp4/8/3P2P1/PPPNPPBP/R1BQK1NR w KQkq c6,g1f3
8/6k1/3b4/8/6K1/7R/7P/8 b - -,g7g6
3r2k1/1p1r1q2/p1p1bppb/P1p1p2p/2P1P3/1P1P3P/1B3PP1/1Q1RRNK1 w - -,b2a3
6k1/5pbp/1nq1p1p1/3nP3/p2P1P2/N4N2/P2BQ1PP/6K1 w - -,e2b5
rnbqkbnr/1p3ppp/p2p4/4p3/2P1P3/1N6/PP3PPP/RNBQKB1R b KQkq c3,g8f6
r2qk1r1/p1pb1p1p/1bp2n1Q/3p4/3NP3/2P1B3/PP3PPP/RN2K2R w KQq -,e4e5
4k2r/5p2/1pp2n1p/3q4/4p3/2Pb1BP1/P3Q2P/R1B2K1R w k -,f1g2
1rr3k1/1b2qppp/4p3/p2p4/3Q1P2/1PP3P1/P5BP/R2R2K1 w - -,a1c1
2brr1k1/ppq4p/2pp2p1/4bp2/2PB1N1P/1P4P1/P2QN1B1/3R2K1 b - -,e5d4
6nq/1nb2pk1/2p1p1p1/p2p4/P2P1PP1/BP1NQP2/2B3K1/8 w - -,d3e5
3rrbk1/pp3ppp/2b2P2/2p5/8/2N4P/PPP2PPB/R3R1K1 w - -,h2e5
4rrk1/1pqb2pp/p1nbpn2/3p4/1P6/1NPP1NP1/4QPBP/R1B1R1K1 w - -,c1g5
4r1k1/pb3p1p/4q1p1/6Q1/3bp3/3p4/PP1B1PPP/2R1NBK1 b - -,e6b6
r1b1k2r/p2nqpp1/1pp1p2p/3p4/1b1P1NPP/2NBPP2/PPPQ4/2KR3R w kq -,e3e4
r4rk1/1pqbbppp/pBnppn2/P7/4PP2/1NNB4/1PP1Q1PP/R3K2R b KQ -,c7b8
R7/5ppk/4p2p/3nB3/1br5/4P2P/5PP1/6K1 w - -,a8a7
4rrk1/1bpqbppp/p7/6Q1/P4B2/1B1P4/1PP3PP/4RRK1 w - -,g5g3
4r3/1kp3pp/1pp2q2/3p4/P2P4/1P1QP3/6PP/2R3K1 b - -,f6e7
3k4/2p1Rp1p/1p3r2/2rP4/2P3P1/4N2P/5PK1/8 w - -,e7e5
r2q1rk1/1p2bppp/n2pbn2/p3p3/4P3/1NN1BP2/PPP3PP/1K1RQB1R b - -,d8b8
3r2k1/p5bp/1p2r1p1/2p1Pp2/2PQ4/7P/PP2R1PB/4R1K1 b - -,d8d4
3q4/r4pbk/p2p2pp/1np1pP1n/2N1P2P/1P1PBQPB/1PR5/7K b - -,a7b7
8/1b2kp2/p2bnnpp/1p2p3/1P2P3/P2B1PPP/1B1NK3/5N2 w - -,d2b3
1rb3k1/r7/1p1q1bp1/2pPp2p/B1P1Pp2/1Q1N4/1R3PPP/1R4K1 b - -,f6d8
rnbqr1k1/p4pp1/3p1n1p/1ppP4/1b2P2B/2N2P2/PP2N1PP/R2QKB1R w KQ -,g2g4
4rrk1/p5p1/3N3p/1P6/3n2b1/3p2P1/P4PBP/R4RK1 b - -,e8e7
