8/7n/4k2P/3N1p2/3K1P2/8/8/8 b - -,e6f7
2r3k1/p2r1p1p/1p2pp2/2b5/2N5/1P2P3/P4PPP/3R2K1 w - -,d1d7
8/r3k3/1R2b3/6p1/4Pn1p/1P3P2/1KPR2P1/8 w - -,c2c4
r1bqk2r/pp2bpp1/3p1nn1/2pP4/2P1PN1p/2N5/PP2B1PP/R1BQ1RK1 b kq -,g6e5
5n2/8/5p2/6p1/kq6/6P1/p4P2/2QK4 w - -,c1c6
1rb5/pp2n1kp/3q1rp1/3N1p2/5Q2/2P3P1/PP3PBP/3R1RK1 b - -,e7d5
r1b1k2r/2q1bppp/p2ppn2/1p6/3NP1P1/1PN1B3/1PP1QP1P/2KR3R w kq b6,g4g5
6k1/4qpbp/1p1n1np1/PPp5/8/2N1B1PP/5PBK/3Q4 b - -,b6a5
7r/p1krbppp/2p1p3/4P3/2P2P2/P1P1B1P1/4K1NP/R7 b - -,h8b8
2r5/p4pkp/1p1n4/3Np1B1/2n1P3/2P2PP1/P5KP/1R6 b - -,c8c5
2r2rk1/1q1bppb1/1pn3pp/1B1p4/p2Pn3/P3PN1P/1PRNQPPB/2R2K2 b - -,e4d2
2r5/3q3r/3pbk2/p3p1pp/Pp1pPpP1/1P1P1P1B/2P2RQP/6RK b - -,h7g7
3qbr1k/p1r1b1np/1p1p1np1/3Pp3/1P2N3/2NQB2B/P4PPP/2RR2K1 w - -,e4g5
r1bqk2r/pp2npbp/2npp1p1/2p5/4PBP1/2NP4/PPP1NPBP/R2QK2R w KQkq -,h2h3
3r2k1/5pp1/p1pB4/4P2p/1PBbN1r1/P4K2/8/4R3 b - -,d8e8
1k1r1n2/pp1qb1p1/3p2pr/2pPp3/P5RP/2N1P3/1PP1QB2/2K3R1 w - -,a4a5
q5k1/4ppbp/1r1p1np1/1N1P4/P1Q1P3/5N2/1r3PPP/R4RK1 b - -,f6d7
rnbqkb1r/5ppp/p3p3/1p1nN3/3P4/1Q4P1/4PPBP/RNB2RK1 b kq -,c8b7
1r2r1k1/1b1qnpbp/3pp1p1/1p6/1P1PP3/1Q2B1PP/4NPB1/R1R3K1 w - -,a1a2
3r2k1/pp2bp2/2n1p2p/2p1P3/5q2/2P2N1P/PP2Q1BN/5rK1 w - -,h2f1
8/5R2/6p1/3k2Pp/8/1p3KP1/5P2/1r6 b - -,b1e1
2rr2k1/pq2bpp1/1p2pn1p/n7/1P1P4/P1N2PB1/B3QP1P/2RR2K1 b - b3,a5c6
1qr2n1r/4kp2/b2p2p1/NN2p2p/1Qn1P1PP/P4P2/1PP4R/1K1R4 w - -,b5d6
r1b2rk1/pp2ppb1/6pp/2qn4/P7/2PB1N1P/1P1B1PP1/R2Q1RK1 b - -,a7a5
r1bq1rk1/1p3ppp/p1n2n2/2bp4/8/P1N1PN2/1P2BPPP/R1BQK2R w KQ -,e1g1
8/3n4/p4k1p/3P1p2/3K4/P6P/4N1P1/8 w - -,e2f4
3b4/5k2/8/1p4p1/2nB2P1/3KP3/6N1/8 w - -,g2e1
r4rk1/pb2qpbp/1pn2np1/2pp1P2/3P4/2PBPQ2/PP1NNR1P/R1B3K1 b - -,a8e8
8/8/6p1/4Kb2/6k1/2R5/8/8 b - -,f5b1
8/KP1k4/8/8/8/8/2R5/1r6 b - -,b1a1
1r1r4/R2P1pk1/2B1b1p1/7p/1p1R4/8/1P6/7K w - -,h1h2
