6R1/8/5b2/5P1k/8/5r2/3K4/8 w - -,d2e2
r2q1rk1/p2n2pp/3b4/2p1p2n/N2pP3/1P3P2/P2BN1PP/R2Q1RK1 b - -,f8f6
2b1rbk1/2qn1p1p/p3p1p1/2p1P3/N1PpBP2/1P3Q2/1P1B2PP/5R1K b - -,d7b8
r1bq1rk1/pp3ppp/2n5/2bp4/4n3/P1N2NP1/1PQ1PPBP/R1B2RK1 b - -,e4c3
1r2rb2/2qn1p1k/bpppn1pp/8/1PP1PP2/1QN2NPP/3R1BB1/3R2K1 b - -,e8d8
8/r4k2/2p1p3/P2pP3/2n1PPp1/7Q/5RK1/4B3 b - -,g4h3
3q1rk1/rb1pppbp/p1n2np1/2N5/N4B2/6P1/PP2PPBP/2RQ1RK1 w - -,c5b7
8/5kp1/7p/4K2P/1r1B2P1/8/8/8 b - -,b4a4
8/pprb1p1p/3k4/3p1pP1/3P1P2/P4P2/3KB2P/R7 b - -,c7c6
8/6R1/1n6/pBkr4/P7/KP6/8/8 b - -,d5d8
8/1qBrbpkp/p1R3p1/1p1rp3/4Q3/4P1P1/PP3P1P/2R3K1 w - -,c7e5
8/R7/5r2/5n2/8/4k3/6K1/8 w - -,a7a3
2r1r1k1/1p3pp1/p7/3Rn1p1/4PqP1/1Q5P/PP3PB1/4R1K1 b - -,c8c7
rnbqkb1r/pp1n1ppp/4p3/2pp2P1/5P2/1PN1PN2/PBPP3P/R2QKB1R b KQkq -,b8c6
7r/kp3N2/p3p3/q2pP2r/b2P1p1R/P4Q2/1PP5/1KN4R b - -,h5h4
6k1/p5bp/Qp4p1/3p2r1/4p2q/1N5b/P1P1RP2/5K1R w - -,f1e1
5rk1/p5p1/1p2p2p/3bNq2/3Q1p1P/5P2/P5P1/2R3K1 b - -,f5f6
r4rk1/1bqnbppp/pp3n2/2p1p1B1/P3P3/N1PB1N2/1P3PPP/R2QR1K1 b - -,a8d8
8/2nbbk2/1p1p2pp/p1pP1p1n/P1P2P2/2N2N1P/1P1B1KP1/3B4 w - -,g2g3
4R3/8/7P/6r1/8/8/4pk1K/8 w - -,e8f8
rn1qk2r/3nppbp/b2p2p1/2pP4/8/5NP1/PP2PPBP/RNBQ1RK1 w kq -,b1c3
5r2/1r2N1bk/p4Qpp/5p2/P1B2B2/6P1/5P1P/5RK1 b - -,f8f6
1r2r1k1/3q1pp1/3b1n1p/p2pp3/P3Pn2/B2P1N1P/B1Q2PP1/1RR3K1 w - -,b1b8
5b1k/5R1p/7r/2q1pB2/4Q3/3p1P1P/6PK/8 b - -,d3d2
r5kr/pb3pp1/5q2/1PP1pP1p/1B2P2P/6N1/P4nP1/R3R2K w - -,h1g1
5qk1/7p/2r5/p1rp1pQ1/Pp2pN2/4P1P1/1PP2P1P/5RK1 b - -,g8h8
8/4r3/k7/1p1p4/5R2/P7/2q2Q2/5K2 b - -,c2d1
8/1p5p/3p2p1/p2Pp3/2k1KP1P/6P1/PP6/8 b - f3,e5f4
r2q1rk1/pp3pbp/3p2p1/4p3/4b3/4BP1P/PPPQB1P1/3R1RK1 b - -,e4f5
5bk1/5pp1/1q2p2p/p1p5/P1P1PB2/1P1Q4/6PP/6K1 b - -,g7g5
3R4/5Qpk/4p3/r6p/q7/7P/5PP1/6K1 b - -,a4a1
6k1/2q5/1p3pp1/1Pp5/r1PnPP1p/6PP/1R3QBK/8 w - -,g3h4
8/5k2/4R1p1/3K3p/4PP2/7r/8/8 b - -,h3f3
r3r1k1/pp3ppp/2bBpq2/8/2PP1n2/4QN2/P4PPP/R4RK1 b - -,f4g6
