8/1p1k4/6p1/1pK2n2/3B4/8/PP6/8 w - -,d4e5
5k2/6qp/3p2r1/Q2P1p2/2B1pP2/4n1nP/6PK/6R1 w - -,a5a8
3R4/p7/1p6/5rP1/P6P/4p3/4k3/6K1 b - -,f5f4
5r1k/p4bpp/1p3q2/1B2pQ2/1P2P2P/P5P1/5P2/5RK1 b - -,f6d6
r1r3k1/1p1b1pbp/1p2p1p1/3pP3/1P3P2/P1NR2P1/2P4P/2R2BK1 b - -,g8f8
3r4/3P2k1/R7/3R2p1/4B2n/4P3/5P1K/q5r1 w - -,a6a1
3n1k2/bppbn1r1/p3p2p/3pPp2/PP1P1P2/2NB1N1P/2P1KB2/7R w - -,b4b5
r1b2rk1/pp3ppp/1n1b4/4p3/8/1P2PN2/PB1PBPPP/2R1K1R1 b - -,f8e8
r2qr2k/3n2pb/p2b3p/8/PPBPpp2/2P1B3/4QPPP/R3R1K1 w - -,e3d2
1kr5/1p6/p2R2R1/8/4r3/2P3P1/PP6/2K5 w - -,d6e6
8/p1p2r1p/1k6/3QRp2/5P2/7P/PP4PK/2q5 w - -,d5b5
3rrk2/2b3pQ/p3qp2/2p2p2/2P4R/4P3/1P4PP/2B2RK1 w - -,h7g6
r3rbk1/1p1q1p2/1Ppnpnp1/3p3p/1BPP4/1Q2PBP1/3N1P1P/R4RK1 b - -,a8a1
rnbqkb1r/pppp1ppp/4pn2/8/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq -,g1f3:d2d4:f1g2
8/6k1/3K2P1/p6r/7P/1P6/P7/8 b - -,h5h4
r1bq1rk1/p4ppp/1pn1p3/8/2BPn3/P1B2N2/1P3PPP/2RQK2R w K -,e1g1
8/2k2p1r/2P2R2/7p/8/4K3/8/8 b - -,h5h4
3rr1k1/1b2bppp/pq2pn2/2n1N1B1/1p6/P1N1P3/1P2QPPP/1B1R1RK1 w - -,a3b4
8/5k2/3p4/7r/4R3/4B3/4K3/8 w - -,e3f4
8/6R1/p5P1/4kn1P/1P6/8/5K2/3b4 w - -,g7h7
2R3B1/4r1k1/5pP1/p7/P3pK1P/1r6/6P1/8 b - -,b3b4
8/8/Rp4p1/1P1kPpP1/4pr2/8/4K3/8 b - -,d5e5
r4rk1/p1qn1ppp/3b1n2/1pp1p3/3pPP2/1P1P2PP/PBPNQ1B1/R4RK1 w - -,f4f5
r5k1/B1pb1ppp/2pb4/2Nn4/8/3B3P/PPP3P1/4R1K1 b - -,d7e8
r1bqk2r/pp3ppp/2nb1n2/3p4/3P4/1PPBBN2/3N1PPP/R2QK2R b KQkq -,e8g8
8/8/8/p1k5/2p1r3/2P3K1/P6P/5R2 b - -,c5b5
3brr1k/1pqn2pp/p2pB3/P1pPp3/2R4P/1P4P1/2PBQP2/4R1K1 b - -,d8f6
8/2k4p/4B1p1/2P5/5P2/3K2PP/1r6/8 b - -,b2g2
6k1/1p3pB1/p3p3/8/2P3n1/1P6/P2N2K1/8 b - -,g8g7
5b2/7p/p3p3/N1ppk3/2P5/3P1K2/P4P1P/8 w - -,a5c6
4r1k1/1qR2p1p/3Q2p1/1p6/2nNb3/R7/5PPP/6K1 w - -,d6d7
5r2/4k3/8/p2pP1KN/2pP4/1nP5/RP6/8 w - -,h5f4
5rk1/r2bqppp/p2p4/3Pn2Q/1ppNP1B1/7P/1PP3P1/1K1R1R2 w - -,g4d7
4q2K/8/8/6Q1/7P/8/8/k7 w - -,h8h7
8/1p6/1K3k2/1p2np2/5N1p/1PP2P2/P5P1/8 w - -,b6b7
2b2r2/r4pbk/pp1p2pp/3Bn2P/P2NPPnq/6N1/1P4P1/R1BQR1K1 w - -,a1a3
r5k1/pp2rppb/5n2/2qp3p/3N4/1PPnPP1P/P2QN1P1/R4BKR b - -,a8e8
6rk/3p1rpp/p3p2n/1pq2pQ1/3N1P2/2P2bR1/P1P3PP/3R3K w - -,d4f3
r2q1rk1/pp1n1p2/2pb1pp1/3p4/3P1N2/2N1R3/PPPQ1PPP/R5K1 w - -,e3h3
r1bq1rk1/1p2pp1p/p2p1npb/n1pP4/2P5/2N3P1/PP1NPPBP/1RBQ1RK1 w - -,b2b3
3n4/5pk1/p2p2p1/2pP3p/1pP1rP2/1P3KPP/P7/3R1N2 b - -,e4e8
8/8/p7/1p3p2/1P3Pk1/1B2R1P1/1r6/4K3 w - -,b3d1
