8/2k5/4p1R1/1P2P3/1K6/4P3/4r3/8 b - -,e2b2
2b1k1rr/4qp2/p1n1p1pp/PpNpP3/1PnP1P2/2Q4P/3NR1P1/1B3RK1 b - -,e8d8
7k/6rn/3pB3/1p1PpQP1/5p2/4q3/1P3NP1/6K1 w - -,f5c2
1k1r2q1/1pn5/p3NQ1p/3pP1r1/1PpP4/2P3PB/3B3K/5R2 b - -,c7e6
2r5/5pbp/3pk1p1/4p1P1/pB2P3/P2K3P/1P6/3R4 b - -,g7f8
3r3k/3r3p/p4pqP/4p3/P1Q3p1/2P5/2b2PP1/1RB1R1K1 w - -,b1b6
4rrk1/pbq3bp/4p1p1/1p1p2Nn/2p2P1B/2P1P3/PPB1Q1PP/3R1R1K b - -,h5f6
r4rk1/pbqnbppp/1pn1p3/2ppN3/5PB1/1P1PP3/PBPN2PP/R2Q1RK1 w - -,e5d7
1r3rk1/2p1bpp1/p7/2qB2p1/R2PP3/5R1P/1P2Q1P1/6K1 b - -,c5c1
r7/pp1R1pk1/4p2p/8/P4P2/R7/4r1PP/7K w - -,h2h3
6r1/p1r2p2/1p1Nbk2/4pp1p/PPP4P/1K4P1/3R1P2/3R4 w - -,b4b5
r1bqkb1r/2p2ppp/p1n5/1p1pp3/3Pn3/1B3N2/PPP2PPP/RNBQ1RK1 w kq d6,f1e1:f3e5:d4e5
2kr3r/ppp1b1pp/5n2/7q/2Pn3P/P1NBQ3/1P3PP1/R3K1NR w KQ -,e3g5
r1q2bk1/p4pp1/2p2n1p/3pr3/5B2/2N2BPb/PPQ1PP2/3R2KR b - -,e5e8
8/p7/k1r5/4K3/8/3Q4/8/7q b - -,a6b7
r2qkb1r/1b1n1ppp/p1p1pn2/4P3/1p1P4/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,b4c3
8/pp3pkp/1q2bnp1/6Q1/4n3/2P2NPP/P2R1PB1/6K1 w - -,g5e5
3r2k1/pp1r1pb1/4p1pp/2qnP3/4QPP1/2PBN3/PP2R2P/3R2K1 w - -,g1g2
8/6k1/R7/5K2/1P5P/6r1/8/8 b - -,g7f7
4r3/ppq3kp/5pp1/4p3/8/1PP2Q2/1P3PPP/3R2K1 w - -,f3d5
6k1/7p/1p1N1n2/p4p2/2P5/1P4P1/P4K2/8 b - -,f6g4
1r3rk1/pp2bppp/3ppn2/1Nq3B1/4P3/8/PPPQ1PPP/1K1RR3 w - -,b5d6
2rr2k1/p3qpbp/1p2p1p1/2p5/P2P4/2P1PBP1/1Q3P1P/2RR2K1 w - -,b2b5
r1b1nrk1/p1q3bp/2pp1np1/4pp2/1PP1P3/2N1BP2/P2NB1PP/R2Q1RK1 w - -,b4b5
3r1rk1/5pB1/p5p1/1ppP4/5R2/P5Pp/1P3P1P/3R2K1 b - -,g8g7
8/6k1/1N1p1n2/8/1Q6/1P5P/P3nPPK/q7 w - -,h3h4
3rq1k1/p1nbr2p/1p1p2p1/2p2pP1/1PP2P2/P2PNB1P/3Q3K/4R1B1 b - -,d7c6
8/8/4p3/2n1p2p/k1P1P3/p3K1P1/8/2N5 b - -,a4b4
r3k3/4p2p/P1Kp2p1/2pP4/4P3/2P5/6PP/R7 b - -,e8f7
r1bq1r1k/pp3n1p/2p1pn1b/3p1pp1/2PP3Q/1P1BPP2/PB1N2PP/R3RNK1 w - -,h4g3
1qr1r1k1/1bb2p2/pp1ppnn1/6pp/1PPNP3/PQN2PPP/5BK1/2R1RB2 w - -,g2g1
5nk1/pb4rp/1p6/3p1R2/3P1NP1/3B4/PP1K4/8 w - -,g4g5
r1q2rk1/pbp1bppp/1p1p4/8/3N1P1P/2PBQ3/PPP3P1/1K1R3R b - -,e7f6
1r4k1/ppR2pbp/3pb1p1/4n3/5B2/1PN3P1/P3PPBP/6K1 b - -,b8c8
