r7/2k3P1/5K2/8/5P2/8/p7/3R4 w - -,f6f7
3rr1k1/5qbp/1Nppb1p1/4np2/2P1P3/Q3BP2/P3B1PP/2R1R1K1 b - -,f5e4
2kr3r/1pq2pp1/p2bp2p/2n4P/2PN2Q1/1PB3P1/P4P2/2KR3R b - -,d6e5
r4rk1/1b3ppp/p2ppn2/2q5/1p2PP2/3B1Q2/PPP2NPP/R4R1K w - -,a1e1
q1r3k1/p2r1ppp/1pN2b2/3P4/P7/1Q4P1/1P3P1P/R3R1K1 w - -,a1d1
8/4r3/R3pk1p/6pP/4RpP1/5P2/4K1n1/8 b - -,g2e3
3R4/kpn5/p2N4/r5p1/5p2/2P2K2/1P4P1/8 w - g6,d6c8
8/6b1/r5P1/6KP/6B1/2kp4/8/8 b - -,a6a5
4r1k1/2pb1pp1/2np3p/7n/1qP1PP2/3P1N2/1B1Q2BP/5RK1 w - -,b2c3
r3qrnk/ppp4p/n2p3b/3Ppb2/2P1N3/2N1B2P/PP1Q1P2/R3KB1R b KQ -,e8g6
2rq1rk1/pbpnbppp/1p2p3/3n4/2QP4/5NP1/PP2PPBP/RNBR2K1 w - -,e2e4
rb2r3/1p3pk1/3q2p1/p1p1PQ2/P1Pp4/1N4pP/1P4B1/R3R1K1 b - -,g6f5
6rk/p1p3qp/1P1pp3/3n1p2/1P1P2r1/P3PNP1/4K2P/Q2R2R1 b - -,c7b6
2r4r/p3pk1p/5ppn/nB1p4/3P4/2P2N2/PP3PPP/1R2R1K1 b - -,h6f5
r2qr1k1/5ppp/p2p1b2/1pp1nP1N/P7/2PPB1PP/1P1Q2K1/R4R2 b - -,g8h8
2Q1b3/4B1k1/6q1/p7/Pp1r4/2b2P2/P2p1KB1/3R4 w - -,g2h3
8/5p2/3P1pk1/pN1Q2pp/8/6PP/Pq3PK1/8 w - -,d6d7
8/r5pp/P3k3/R2p4/3Pp3/4P1P1/5PKP/8 b - -,e6d6
1k1r2r1/1pqb1p2/p1n1p3/4P3/3pNPn1/P2B4/1BP2QPP/2K3RR w - -,f2e2
r1bqrnk1/pp3ppp/2p5/4N3/1b1P2P1/2N1P1BP/PP3P2/R2QK2R b KQ -,c8e6
4rk2/2r2p2/1p4pp/pP1R1p1P/PbP1n3/1N2P1P1/2R1B1K1/8 w - -,h5g6
8/3q1kp1/1p3n1p/2pp4/5N1P/P2Q1PP1/1PP3K1/8 b - h3,b6b5
2k2b1r/1p1r2pp/p3bp2/3np3/2B5/6N1/PPPB1PPP/2KR3R w - -,g3e4
1r3q1r/3Bpk2/2np1p2/p1p3RP/1p2PQ2/1P1P2P1/P1P5/5RK1 b - -,c6d4
r2q1rk1/p2bppbp/2pp1np1/2p5/4PP1Q/2NP1N2/PPP3PP/R1B2RK1 b - -,a8b8
8/5b2/3p1k2/N6R/p3pP2/4P3/3K3P/r7 w - -,h5h6
2r3k1/5p2/1q2p1p1/1p1n3p/4Q3/1N1NbPP1/P3P2P/3R1K2 b - -,c8c4
3rr1k1/ppq2ppp/3n1n2/3p4/3N4/2P1N3/PPQ2PPP/R3R1K1 w - -,c2a4
2b3k1/pp6/8/5P2/5nP1/8/PP2BK1P/8 b - -,g8g7
r1b2rk1/5p2/pn4p1/1p2b2p/8/P4PN1/1P1B2PP/2KR1B1R w - -,d2b4
