1R6/8/8/8/1Ppk4/3r4/5K2/8 b - -,d4c3
8/3k4/PK6/8/1R6/8/8/r7 w - -,b6b7
1rb2rk1/2q2pbp/p1npp1p1/2p5/4P2P/P1nPN1P1/2PB1PBN/1RQ2R1K w - -,b1b8
4r3/3R1pkp/pq1p2p1/3Pp3/4P3/5NPB/r4P1P/2R4K b - -,a2f2
2r5/pp6/8/3Bn3/2P2p1k/5P2/PPK4P/6R1 w - -,c2c3
r1b2rk1/1pq1bppp/p1nppn2/6P1/4PP2/1NN1B3/PPP1Q2P/2KR1B1R b - -,f6d7
8/8/6p1/8/2N1pk2/2n5/5P1P/5K2 b - -,c3d5
6k1/p2b1rb1/1p1q2pp/3Pp1B1/4P2P/8/P2Q2P1/2R1K1N1 w - -,g5e3
1rbq1rk1/ppp2ppp/2nb4/4p3/3P4/2P2NP1/P1P2PBP/1RBQ1RK1 b - d3,c8g4:h7h6
7k/ppp2Bnp/3p4/3P2q1/4R1N1/1P5K/P5P1/8 w - -,g4e3
8/8/1p1K1R2/4r1p1/2k3P1/5P2/7P/8 b - -,e5e2
r2qk2r/ppp2ppp/2np1bn1/8/4PPb1/2NBQ2P/PPPBN1P1/2KR3R b kq -,g4e2
bqr2rk1/3n1ppp/p2ppn2/8/1PP1P3/1NN1QP2/4B1PP/1RR4K w - -,b3d2
8/7p/6p1/1R1Ppk2/3r4/1P2K1P1/7P/8 b - -,g6g5
1r5k/6pp/5nb1/p3p3/Bb6/1N4B1/PP5P/K4R2 b - -,f6g4
3r1r2/2p1qpk1/1p3np1/pPn1p2p/2B1P3/2N1QP2/PP4PP/2KR3R b - -,f8e8
8/2k2pp1/7p/pp1p4/3P4/PPnB1P1P/5KP1/8 b - -,b5b4
r2q1rk1/5pb1/2p1b1pp/3P4/3p4/2NP2P1/2Q1PPBP/1R3RK1 b - -,c6d5
r3n1k1/1p3pp1/1qp1n3/3p4/1P1P4/1NQ2PP1/3R2KP/5B2 b - -,a8a3
3r2k1/p4pp1/2p4p/2Pnr3/NP1p2b1/3B2P1/P2R1PP1/2R3K1 w - -,a2a3
r1bq1rk1/p1pnbppp/1p2pn2/3p4/2P5/1PN2NP1/PB1PPPBP/R2Q1RK1 b - -,c8b7
8/1Q3pkp/4p1r1/3pq3/1Br1n3/P5P1/2P4P/2RK3R w - -,c2c3
8/2k2p2/pn1p4/K2PpN1p/1P2P2P/5P2/8/8 w - -,a5a6
1q4k1/2rrnpp1/1p1Np2p/pP1nP3/5P2/P2Q2P1/3N1K1P/2R1R3 b - -,b8d8
r2qr1k1/pp1n1ppp/2pbpn2/8/3P4/2NBBQ1P/PPP2PP1/3RR1K1 w - -,c3e4
rbb4r/1p1n1kp1/4p2p/p2pP2P/PPp2Bp1/2P1PN2/2B2P2/R3K1R1 w Q -,c2g6
qr6/2r2k1p/B1n1bpp1/pPRp1p2/5P2/P7/1B4PP/2Q1R1K1 w - -,c5c6
r1br2k1/ppq2pbp/4p1p1/n1P5/4PN2/1BP1B3/P1Q2PPP/R4RK1 b - -,c8d7
8/6k1/1p1K2p1/p1p5/R1P5/2r5/8/8 w - a6,d6c6
3rr1k1/1p3pp1/2p2n1p/p3p3/Pbq1P3/2N1QN1P/2P2PP1/R3R1K1 w - -,e1d1
rn1q1rk1/pb3pbp/1p2p1p1/3p4/2PPn3/P1N2N2/1P1BBPPP/1R1QR1K1 w - -,c4d5
6k1/6pp/1n6/2p5/3p4/1P1K2P1/5P2/7B b - -,g8f7
2r2rk1/1p2b1pp/p2p4/Pq2pb2/5P2/1N2B1Q1/1PP2RPP/2R3K1 b - -,c8c2
r2q1rk1/1p1nbppp/p3p3/P1p1p3/4P3/1PNP3P/2P1QPP1/R1B2RK1 b - -,d7b8
2r3k1/3n1pp1/3Bp2p/1RP5/8/3rP3/5PPP/2R3K1 w - -,c1b1
8/1p2r2k/1P3qpb/p2p4/3P4/3Q1NP1/PR4K1/8 w - -,f3e5
2bq1rk1/5pb1/p2p2p1/3Bp2p/3nP3/4N2P/PrP1NPP1/R2Q1RK1 w - -,d5b3
6B1/8/8/2p2p1p/3k4/5K2/8/8 b - -,c5c4
1q1rrbk1/3n1ppp/2p1n1b1/1p2pN2/1P2P2N/2B3PP/2P2PB1/R1Q1R1K1 w - -,h4f3
r1b2rk1/p3qp1p/1p1pp1p1/8/1PB3P1/8/P2Q2NP/4RRK1 b - -,c8b7
3r4/pp3kp1/2q1pp2/2P5/1P6/6RP/6P1/Q5K1 b - -,c6c7
r2q1rk1/p4pbp/b1np1np1/2p1p3/PpN1P3/2PP1NP1/1P3PBP/R1BQR1K1 b - -,b4c3
2R2bk1/1p3p1p/6p1/3pp2n/qP6/P4PP1/3N1B1P/4R1K1 w - -,f2c5
