8/5N2/4p3/5p2/3n3R/4k3/6K1/1r6 b - -,b1b2
4n3/6k1/5p2/1p2pNpp/1Pp1P3/2P2PPP/5K2/8 b - -,g7f7
r1b1kb1r/pppn2pp/2n1pq2/3p4/3P4/2P2N2/PP1NBPPP/R1BQK2R b KQkq -,f8d6
6k1/8/3p2p1/2bP3p/2P1p1B1/6P1/R5KP/4r3 w - h6,g4e2
6k1/3qB3/rp3bb1/3Pp1pp/8/1P4PP/P5QK/2R5 w - -,e7f6
1kr1b2r/pp1qbp2/4p1p1/PPp1Pn2/N1PpNP1p/3P4/3B1QPP/1R3RK1 w - -,b1b3
8/5pk1/6p1/3K2P1/5r2/6R1/8/8 w - -,d5e5
1rbq2kb/2n2p1p/5np1/2ppr1B1/1p4N1/7P/1PPQBNP1/R4RK1 b - -,c8g4
3r2k1/Q4pq1/3r2p1/2pb4/7R/1P1B4/P1P5/1K3R2 b - -,c5c4
3r3k/pp5p/2np4/2n1qp2/8/1B2P1PP/P2R3K/3Q1R2 w - -,b3d5:d2d5
8/p5k1/8/3B4/P2P1p2/2r5/8/5K2 w - -,f1e2
8/R5pk/5r1p/8/8/6KP/8/8 b - -,h7g6
r6r/1p1bkp1p/pb1pp3/4n1p1/2P1P3/2N5/PPN1BPPP/3R1R1K w - g6,c2e3
r4rk1/5ppp/npq5/p3p3/P3nP2/1NP1BB2/1P4PP/R2Q3K w - -,f4e5
8/pp6/2p1k3/2P2r2/1P6/P5KP/3R4/8 b - b3,a7a5
r3k2r/pp3p1p/n3pnp1/2p5/2P1PP2/2P1B2B/P4P1P/2KR3R w - -,f4f5
2r5/p1r1nkp1/1p2pp1p/7P/2P2P2/1P1R4/P5P1/1KBR4 w - -,g2g4
5k2/r4pp1/1b5p/1PNp4/3P4/1K2n1P1/4N3/3R4 w - -,d1d3
2krr3/1pp4p/p2b2p1/3q1p2/3P4/2R1P1P1/P1Q4P/1R3NK1 b - -,e8e7
2rq1rk1/pp3pbp/2p1p1p1/8/3P4/2P1Q2P/PPB2PP1/R4RK1 b - -,d8b6
5K2/3q4/5Q1P/8/8/k7/8/8 b - -,d7c8
8/5k2/3R2p1/5p1p/3P3P/4K1P1/4P3/5r2 b - -,f5f4
8/5pk1/6pp/7q/8/4QPP1/4B1KP/8 w - -,e2c4
rnb1kb1r/ppp2ppp/8/3Nq3/8/4BQP1/PPP4P/R3KB1R b KQkq -,c7c6
r4rk1/pp3p1p/8/b1p2p2/P1Bn1P1q/2N5/1P4PP/R2Q1RK1 w - -,c3d5
8/2p3kp/3pB3/1p1P4/2r2P2/6P1/2nR1K1P/8 w - b6,e6f5
8/8/8/2p2p2/8/2kPr3/1r6/n4K2 w - -,f1g1
1rn1r1k1/2p1q1bp/pn1pp1p1/1p2P3/5PP1/PPN1B2P/2PQ2B1/3RR1K1 w - -,e5d6
r2q1rk1/pp2bpp1/2p1p2p/7P/3P2n1/3Q1N2/PPPB1P2/2KR3R w - -,h1g1
5rk1/5ppp/p2pb3/5q2/1Pr5/P5P1/3Q1PBP/R2R2K1 w - -,d2d6
5rk1/pp4p1/5np1/6P1/3N3Q/4q3/P7/3R2K1 w - -,g1g2
1r1q1rk1/5pbp/3pp1p1/Pb3n2/1p1P4/1P3QP1/3BNPBP/R1R3K1 b - -,d6d5
r5k1/1p3ppp/1q6/4P3/2P1P1PP/1n2B3/P1Q4R/3K4 b - -,b6e3
r2qrnk1/pp2bppp/2p1bn2/3pN3/3P1B2/2NBP2P/PPQ2PP1/R4RK1 b - -,f6d7
8/1pk5/2p2P2/p5r1/2P5/8/P2K4/5R2 b - -,g5g8
r1bq1rk1/ppp1npp1/1b1p1n1p/4p3/2N1P3/1BPP1N1P/PP3PP1/R1BQ1RK1 b - -,e7g6
2rqr1k1/1b1nppbp/1p3np1/pP1p4/P2P4/BQN1PN2/4BPPP/2R2RK1 w - -,h2h3
8/p1r2pkp/1p2p1p1/2b1P1B1/Q7/7P/PP2q1P1/3R3K w - -,g5f6
r4rk1/1pq2b1p/n1pp2p1/8/2P1B3/1P4P1/1R2NP1P/3Q1RK1 b - -,a6c5
r2q1rk1/ppp2ppp/2n2n2/3p4/1b4b1/4PN2/PBPPBPPP/RN1QK2R w KQ -,e1g1
2r3k1/2r2p1p/3qp1p1/3pNn2/3P4/pPP2Q1P/P1RR1PP1/7K w - -,f3d3
8/5k2/4p3/p3r3/2p5/1pP2K2/1P6/6R1 w - -,g1g4
r1b3k1/ppp2B1p/6p1/5q2/2QR4/1P4PP/P1P4K/8 b - -,g8g7
rnbqk2r/pppp2bp/5np1/4pp2/2PP4/2N1P1P1/PP3PBP/R1BQK1NR b KQkq d3,e5e4
3r3r/p1k2ppp/b7/8/2P2P2/2P1n3/PR4PP/6K1 b - -,h8e8
r4r2/pq1pnkpQ/1p2pp2/4P3/5P2/7R/P1P3PP/5RK1 w - -,e5f6
1Q6/5pkp/4p1p1/1P6/8/6P1/2q2K1P/8 w - -,f2g1
r4r2/1p2ppkp/2n3p1/1qp2b2/pP6/2P1QNP1/P3PPBP/2R2RK1 b - -,c5b4
r3kb1r/ppqn1ppp/2p1pn2/5b2/2PP4/2NNB3/PP2BPPP/R2Q1RK1 w kq -,a1c1
r3kb1r/1bqp1ppp/p1n1pn2/8/Pp2P3/1N1B4/1PP1QPPP/RNB2RK1 w kq -,a4a5
8/8/8/2p1pk1p/2r3PP/4BP1K/3P4/8 b - g3,f5g6
r4bk1/1q1n1ppp/2bppn2/1pp2P2/4P3/2PPNBBP/1PQN2P1/5RK1 b - -,a8e8
8/5pp1/4p1k1/3n3p/3r1P1P/RP2n1P1/4K3/2R5 b - -,e3f5
r1b1k1nr/3nqpb1/p2pp1p1/Ppp3Np/2BPP2P/2N1B3/1PPQ1PP1/R3K2R w KQkq -,c4b5
rnb1k2r/1pqpbppp/p3pn2/8/4P3/1N1B4/PPPN1PPP/R1BQ1RK1 w kq -,a2a4
r2q1rk1/ppp1pp1p/1nn3p1/4P3/4PBb1/1QN2P2/PP4PP/R3KB1R b KQ -,g4e6
r1bq1rk1/1p2n1pp/1ppp4/5n2/4BPP1/1NN1p3/PPP1Q2P/2KR1R2 b - -,f5h6
6k1/p5p1/Pr1bp3/3p1p1p/1ppPqPrP/2P1P1P1/1P3R1K/R1Q5 w - -,f2g2
2r1nr1k/5ppp/3p4/B2bp3/4P3/P3bP2/6PP/3R1R1K w - -,d1d5
r2r2k1/pp4pp/n3p3/PNb2p2/8/4P3/1P1B1PPP/2RR2K1 w - -,d2c3
2r2k2/pp3ppp/8/3p4/8/2P2P2/P5PP/2R1K3 w - -,e1d2
8/1k1r4/2R2B2/2K5/8/8/8/8 w - -,f6e5
3k2r1/p3R2r/Pp1p3P/2pP4/q1P3PQ/8/1P2R3/6K1 b - -,g8g4
4q1k1/p2r4/3P1pp1/5n1p/P7/3Q3P/5PPB/4RK2 b - -,e8f7
2Q2bk1/3r1p1p/4p2P/6P1/4P3/pP1q1P2/P5K1/5R2 b - -,d3b5
r4r1k/bppq2pp/p1np3n/3Bpb2/8/2PP1N1P/PP2RPP1/R1BQ1NK1 w - -,c1e3
r3r3/2p2p1p/1pnp1kp1/p4b2/2P5/PP2P3/3NBPPP/2R2RK1 w - -,e2f3
rn1qk2r/1p2bppp/p2pbn2/2p3N1/4P3/2N5/PPP2PPP/R1BQKB1R w KQkq -,g5e6
