8/2k1N3/2B5/K7/P7/8/1r6/8 w - -,c6b5
r4br1/1q1knp2/4bB1p/P2pPpp1/BppP4/6QP/1P2N1P1/R4R1K b - -,d7c7
8/8/8/2B2p1k/5b2/r6p/P1R3p1/6K1 b - -,a3f3
2r1r1k1/4bppp/pp1qn3/2p1p3/P7/2NPBQPP/1PP2PK1/R3R3 w - -,e1e2
5r1k/p2q2pp/2p5/3p4/P3r3/bP1Q4/2P2PPP/R4RK1 w - -,a1a3
5r2/1p2q1kp/p1p5/6n1/6Q1/2PB4/PP4P1/5R1K w - -,g4d1
2r2r1k/1b1n2qp/pp1p1bp1/3Ppp2/PPP5/1RNB1P2/3Q2PP/5RBK b - -,b7a8
6k1/6p1/p1p4p/5p2/1P1BpP2/P1P5/4q1bK/6R1 w - -,g1g2
rnb2r1k/1p2q1pp/1n2Pb2/pPpp1P2/3N1B2/P1NQ2P1/6BP/R4RK1 w - -,d4e2
5r1k/1p4pp/q1p1Q1n1/6B1/1b2P3/6N1/2P3PP/3R3K w - -,h2h3
8/2k5/1p6/4p3/1QPnBp2/KP3P2/P4q2/8 b - -,c7d7
6k1/p2n2p1/1p2pP1p/1Pp5/P1P2P2/3B2PP/8/6K1 b - -,d7f6
8/P1Q3nk/2p3p1/2B5/1Pq1p3/7P/2P4K/8 w - -,c7f4
r2qk2r/pp1nbppp/2ppbn2/8/2PQP3/1PN3P1/P3NPBP/R1B2RK1 b kq -,e8g8
r2r2k1/pp2qnbp/2p1b1p1/2P2p2/Q3P3/2N1B2P/P3BPP1/1R1R2K1 w - -,e4f5
1r1qnrk1/4ppbp/2bp2p1/8/1p1BP3/P1N2PP1/5RBP/1R1Q2K1 w - -,f2b2
8/p1p1kp2/1p3pr1/4p3/qP2P3/2PQ2P1/3R2K1/8 b - -,a4e8
2kr1b1r/1bq1n3/p1n1R2p/1P1p2p1/2p5/P1N2N2/5PPP/R1BQ1BK1 b - -,a6b5
