8/6p1/p3rknp/2R1p3/4P1KP/2B5/1P6/8 b - -,g6h8
5rk1/3r2bp/1pn5/p1p2qp1/P7/N1PbR1BP/1P3PN1/R1Q3K1 b - -,c6e5
5rn1/p1p5/1p1p2k1/3P1Rp1/2PKB1P1/8/PP6/8 w - -,e4f3
r1bqkb1r/ppp1npp1/2n4p/4P1B1/2Pp4/5NP1/PP2PP1P/RN1QKB1R w KQkq -,g5e7
3r4/6p1/1kr4p/pp1pP1pP/3P4/4KPR1/1R4P1/8 w - -,e3d2
r4rk1/pb1n1pp1/1p2pn1p/2PqN3/8/3B4/PPP2PPP/R1BQR1K1 w - -,c5c6
8/6k1/4P3/5K2/5P1R/8/7p/7r b - -,g7g8
r2r1k2/pp3p2/7p/8/3nBNP1/Pb3P2/1P1R2K1/7R b - -,d4e6
2r2rk1/2q1ppbp/2Bn1np1/p2P4/1p6/4BN2/PP2QPPP/2R2RK1 b - -,d6f5
2r1r1k1/4bppp/pq2bnn1/1ppp4/3P4/P1NBPP2/1P2NBPP/1Q1R1R1K w - -,d3c2
rq2r1k1/1p1nbppp/2p1p1b1/8/3PP3/p1N1B1PP/PP2QPB1/R2R2K1 w - -,b2b3
r3nrk1/ppbq1ppb/2p1p2p/3n4/3P4/NQ2P2P/PP1NBPPB/2RR2K1 w - -,h2c7
r2qk2r/1pp1npp1/p3bb1p/8/3PN3/4PN2/PP3PPP/2RQKB1R b Kkq -,e7d5
r4rk1/2q1bppp/pn2b3/Np1pp1Pn/4P3/2N1BP2/PPPQ3P/1K1R1BR1 w - -,e4d5
2q2rk1/p4pp1/4p2p/3nQ3/1r6/3R1N2/PPP2PPP/1K2R3 b - -,c8c5
1r3rk1/p4ppp/2p1p3/B2n4/P1BQ4/1P2PP2/4KP1q/2R5 b - -,e6e5
5r2/4qpk1/1ppb2p1/7p/P7/4P2P/BPQ3P1/5RK1 w - -,c2c3
2k1r3/pp6/4n1p1/qP1Q1p2/2p5/2P1B2P/2P2PP1/5BK1 b - -,a5c3
r3r1k1/1pq4p/n1p1b1p1/p3Np2/4PP2/2P3P1/3R2BP/3Q1RK1 b - e3,f5e4
2b1r1k1/p1qn3p/5pp1/b1pRp3/2P5/4BN2/P4PPP/3Q1BK1 b - -,a5c3
5rk1/1b3pb1/1Nn1qnpp/1BB1p3/Q3P3/p7/5PPP/R4RK1 b - -,c6d4
3r2k1/1pq2pp1/p3bn1p/2rp4/5N2/P1N1PQ1P/1P1R1PP1/3R2K1 b - -,d8d7
4rk2/ppp3b1/3p2n1/3P1N2/2P1rP2/5K2/PP6/R1B4R b - -,e4e1
rnbqkb1r/pp3ppp/3ppn2/2p5/4P3/5NP1/PPPPQPBP/RNB1K2R b KQkq -,b8c6
8/3R2p1/p3nr1k/1p3p1p/8/P1N3P1/1P3PPK/8 b - -,e6c5
8/R5kp/1p3pp1/1r1n4/5q2/5P2/5Q1P/2R4K b - -,g7h6
8/5p1k/r1q3p1/P1r1p2p/2p4P/R1Q1P1P1/5P2/R5K1 w - -,a3a4
