6k1/2R3b1/6p1/6P1/1B3P2/4K3/8/3r4 b - -,g7b2
1rbqk2r/5ppp/p1np1b2/3Np3/1pP1P3/8/PPN1BPPP/R2QK2R b KQk -,e8g8
1n4k1/p3bppp/4p3/4P3/P2N1P2/2B3P1/6KP/8 b - f3,g7g6
r3k2r/p1p2pp1/npq1p1n1/3pP3/3P3P/P1P5/2PB1PP1/R2QK1NR b KQkq -,g6h4
4k3/8/2p5/1p1p2p1/1P1P3P/2P1NK2/3r4/7R b - -,g5h4
1k3r2/pp1q1r2/1bp1b1p1/4p3/2PpP2p/3P1P1P/PP2N1B1/1KQ2R1R b - -,b6c7
5q1k/6p1/2p4p/Q1bp4/P7/2P5/5PPP/6KN w - -,g2g4
3r1rk1/pp2bppp/2p2n2/4N3/1q2PP2/1bN3P1/1PQB2BP/R2R3K w - -,c2c1
6k1/R7/6p1/3Pp2p/4N2P/5rP1/4n2K/8 w - -,d5d6
8/6k1/6p1/7p/5R1P/4P2K/5P2/6r1 b - -,g7h6
rnbqk2r/ppp2pbp/3p1np1/8/3NP3/2N3P1/PPP2PBP/R1BQK2R b KQkq -,e8g8
4r1k1/pp2r1p1/3b3p/2Np4/1P6/P1R1Bb2/Q4P1q/2R1K3 w - -,a2b3
3rnrk1/1p3ppb/2pqp2p/3p4/pPP5/P2P1NPB/R3PP1P/Q1R3K1 b - -,e8c7
1B6/1p3r2/2p5/6k1/PPPn2pp/4R3/5K2/8 w - -,f2g1
rn2Qrk1/1p3ppp/p1b5/6B1/6P1/2N4P/PPP2P2/R3K2R b KQ -,f8e8
8/2p4p/3pkn2/1P1N2p1/p2KP1P1/P6P/8/8 b - -,f6d5
7k/3R4/8/8/5K1P/6P1/8/4r3 w - -,g3g4
r2qk2r/pb1nppbp/1p1p1np1/2p5/3P1B2/2PBPN2/PPQN1PPP/2KR3R b kq -,a8c8
r1bqkb1r/pp3ppp/2np1n2/1Bp1p3/4P3/1P3N2/P1PPQPPP/RNB1K2R w KQkq e6,c2c3
1r2r1k1/1p1bq1b1/pB1p1n2/P2P1p2/1P3P2/2N2RpP/3QB1P1/2R3K1 w - -,f3g3
5r1k/3b2pp/1b1p4/1p1qP1N1/2p2PP1/4R2P/P1Q1K3/6B1 b - -,g7g6
8/8/p3Qb2/2pP1k2/5q2/4R3/P5K1/8 b - -,f5g5
3r3k/1p1r1p1p/1R3p2/b2Bp3/p1P4N/P6P/1P2bPP1/1R4K1 w - -,b6b5
r1bqk1r1/7p/p1p1p1pb/2PpB3/Np1P1P2/4P2P/PPQ5/2KR3R b q -,a6a5
7k/2b3pp/2P2p2/2NPp3/8/3r2P1/5P1P/2R3K1 b - -,d3d5
r1b2rn1/3nq1kp/p2p2p1/1p1Pp3/PPp1Pp2/2P2PP1/5Q1N/1NRBR1K1 b - -,f4g3
r1bq1rk1/ppp1np1p/4pbp1/4N3/2BP2Q1/B1P5/P4PPP/1R2R1K1 w - -,g4f3
q4rk1/p2n1pbp/PpbP2p1/2p5/5P2/2P4P/1P3PP1/R2QR1K1 w - -,f2f3
3rr3/ppq2pk1/4nnp1/6p1/1PP2P2/1N1P4/3Q2B1/3RR1K1 w - -,f4g5
rnbqkb1r/pp3ppp/4pn2/3p4/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq -,c4d5:g1f3:c1g5:c4c5
r2r2kb/pb2pp1p/1p1p1npB/2q1n1N1/4P2Q/N1PB3P/PP3PPK/3RR3 b - -,h8g7
5k2/5p1p/RP4p1/1rpN4/1p1bP3/1P3P1K/6PP/8 b - -,c5c4
1r1r4/2k4p/R1p1b3/2np1N2/1p3P2/3BP2P/P4K2/3R4 w - -,f5d4
r4rk1/1p3ppp/p4n2/2b1pQ2/Pq6/4B1PP/1P2PPB1/R2R2K1 w - -,e3g5
r2q1rk1/pp2bppp/2n1pn2/3p2Bb/3P4/2PB1N2/PP1N1PPP/R2QR1K1 w - -,d1e2
8/7p/6p1/5p2/P3p1k1/4P1P1/RP3K1r/8 w - -,f2g1
8/1npknrp1/pp3pp1/3P4/PP1K1NPP/5N2/8/4R3 w - -,d4c4
8/8/5k2/5p2/8/8/pR5K/r7 w - -,b2e2
r4k2/3b2pp/3qp3/1pRp1p2/3P1P2/PQ2P3/5PBP/6K1 w - -,g2f1
8/5pk1/1PR3p1/1r5p/4K2P/4P3/5P2/8 w - h6,e4d4
r1b1kb1r/pppp1ppp/2n2n2/4q1B1/3NP3/2N5/PPP2PPP/R2QKB1R w KQkq -,g5f6
2r1r3/3n1pkp/1qp1pbp1/p2n4/3P3P/P2N1QP1/1P1B1P2/1BRR2K1 w - -,d3c5
8/2p5/8/r2p1kp1/1R6/4PP2/3K4/8 b - -,c7c5
2r1q1k1/pp5p/1b2p1p1/4Pr2/1P3p2/PR5Q/1B3PPP/3R2K1 b - -,c8c2
2Q5/p5k1/5b2/4q1p1/1PB4p/2P5/KP6/8 b - -,g7h6
2r2nk1/1p2bppp/p3p3/1b1pP3/1P1P1PP1/R4N2/1P1B2KP/1B6 w - -,a3c3
r2q1rk1/pp3pp1/5n1p/2bP1b2/4p3/2N3P1/PP2PPBP/RN1Q1RK1 w - -,e2e3
3r1rk1/1b4b1/4p2p/p5pP/4P3/P2PRNPB/2n4K/1R6 w - -,h3e6
6k1/2p3p1/7p/3n1P2/1p6/3Nr3/PP3K1b/2R1N3 b - -,h2d6
4k3/R3R3/7P/8/P4PK1/4r1P1/8/6r1 b - -,e3e7
8/5p2/2pk2pp/1p2p3/4P1P1/1B1N2P1/3K3P/1r6 w - -,d3c1
2r4r/1p1b2k1/p2qp1p1/3p2Pp/P2P1P2/1P2Q1P1/5N2/R1R3K1 b - -,h5h4
1rb1r1k1/2qnbppp/pp1pp3/n7/P2NPP2/1PN1BB2/2PQ2PP/3R1R1K w - -,d4e2
rnbq1rk1/pp2ppbp/5np1/2pp4/5P2/3PPNP1/PPP3BP/RNBQK2R w KQ c6,e1g1
8/4npk1/p1prqrp1/1pRp3p/PP1P3P/2RBP1P1/2Q2PK1/8 b - -,e7g8
8/4k2Q/3p4/8/2qb1p1p/5B1P/5PK1/8 b - -,e7d8
r1b2rk1/p2pppbp/1p2qnp1/8/2P1PP2/1QN1B3/PP2B1PP/R4RK1 w - -,c4c5
1r6/4R3/8/8/K7/6p1/8/5k2 w - -,e7f7
5r2/1p2pr2/2p1Rn1p/p2p1kp1/P2P4/2P2P1P/1P4P1/4RNK1 b - -,f8e8
6r1/3k4/pp1ppr2/7p/P1P1RP2/1P4PP/7K/4R3 b - -,g8g6
8/1R3pp1/6kp/1pB5/8/2n2KPP/1r3P2/8 b - -,b2b3
r2qk2r/pp1n1pb1/2p1p1p1/3pPn1p/3P1Pb1/2N2N2/PPPQBBPP/R3K2R w KQkq -,g2g3
8/6pk/p7/1Rp5/P7/1P3KP1/1r5P/8 w - -,b5c5
r1bqkb1r/1p2nppp/p1np4/2p1p3/P3P3/2N3P1/1PPPNPBP/R1BQK2R w KQkq -,d2d3
6k1/5p2/4p1p1/1Rb1P2p/r7/2BK1P2/6PP/8 b - -,c5e7
2rqr1k1/pb2bppp/1pn1pn2/3p4/2PP4/1P1B1N2/PB1NQPPP/2R2RK1 w - -,f1d1
2R3k1/1b3p2/p4Bpp/3pP3/p5P1/8/1P4P1/6K1 b - -,b7c8
8/pp6/4k3/2ppPr2/5B2/2P4r/PP1K1R2/8 w - c6,b2b3
1r4k1/Qq1bb1pp/3p1p2/1p1Pp3/2p1Pn2/2P1B3/1PBN1PPP/R5K1 w - -,g2g3
6k1/p4p2/1prp2p1/8/7R/2P2P2/PP3P2/3K4 w - -,d1d2
r1br2k1/1p3p1p/p2P2p1/5q2/3QNb2/8/PP3PPP/3RRBK1 w - -,e4f6
r2r4/1p3n1k/p2pb3/6p1/2P1P3/1P4R1/P3Q1PP/6K1 b - -,h7g6
5r1k/1q5P/4p3/p1p1P3/3p2RN/P1P5/4Q1K1/8 w - -,g2g3
r4rk1/pp1qn1bp/2p1b1p1/4pp2/2PpP3/3P1PP1/PPQBN1BP/2R2RK1 b - -,f8f7
4r3/k7/8/8/1p4RP/8/7K/8 b - -,e8b8
r3k3/1b3p2/p1q1pPr1/2p5/2P2Bp1/1P5p/P2Q2PP/2RR2K1 w q -,c1c3
r4rk1/p5p1/2pq3p/3n1p2/3Pp3/1P2P3/1P1N2PP/R3QRK1 w - -,d2c4
r2qkb1r/pbpnnp2/1p1pp1pp/8/2PPP3/2NB1N2/PP3PPP/R1BQR1K1 w kq -,e4e5
1qr3k1/1n1bbppp/1N1p4/3Pp3/pP2P3/4BN1P/5PP1/Q1R3K1 b - -,c8c1
8/p4pk1/P1p2q2/2P5/6p1/4Q1P1/7K/8 w - -,h2g1
4r1k1/1p4p1/p1p4p/3pN2P/3Pn1P1/P5P1/1P4K1/5R2 w - -,e5d7
5Q2/1p6/p1k2N1p/2q3p1/6P1/PP5P/2b5/5K2 w - -,f8c8
7r/P3k1p1/8/5p1r/4pP2/4P1KP/2P5/Q7 b - -,h5h3
r2q1rk1/4ppbp/bn1p2p1/2pPN3/4P3/2N3PP/PP3PB1/R1BQR1K1 b - -,g7e5
5r2/1pp1r2k/3p3p/1N1Pp1nP/2P5/5P1b/PP2B3/R3KR2 w Q -,f1f2
2r3k1/1p3pnp/1q4p1/p3P1P1/3p1P2/7P/1P3BB1/2R3K1 w - -,c1c8
r1b1k2r/2qnbppp/p2p1n2/1p2p3/4PP2/1NN5/PPP1B1PP/R1BQ1R1K w kq b6,e2f3
2r3k1/pp3pp1/2n1p3/6Pp/2P5/4B2P/P1P2PK1/3R4 w - -,d1d7
2r3k1/pr2ppbp/1p4p1/8/1nP5/N1N1P1P1/P4P1P/R1R3K1 b - -,a7a5
r1b1r1k1/4qppp/2p2n2/p1p5/2P1PB2/P5PP/1PQ5/R3KB1R b KQ -,f6e4
r1bqkb1r/1p3ppp/p1n1pn2/3p4/3P1B2/2N2N2/PP2PPPP/2RQKB1R w Kkq -,e2e3
1b4k1/3q1pp1/pBp5/2Pp4/3NbP2/4Q1P1/PP1K4/8 b - -,g7g5
2rr4/1pq2pbk/p2pp1pp/8/PnP1P3/1P1n1P2/N3N1PP/1R1Q1RBK b - -,d6d5
r1b4r/3p1p1p/pB1kp3/1p1Nnn2/8/3B4/PPP2PPP/R3K2R w KQ -,d3f5
2nB4/8/k2p2B1/2pPp2p/2bbP2N/6P1/6KP/8 w - -,g6h5
r1b2rk1/ppp1nppp/1bnp1q2/8/4P3/1NN1B3/PPP1QPPP/2KR1B1R w - -,h2h4:c1b1:h2h3
2b2rk1/1rqnbppp/3p1n2/1ppPp3/1P2P3/2P2N1P/2BNQPP1/R1B1R1K1 w - -,d2b3
4r2k/p4R1p/1pprq1p1/2p5/2P1p3/3P3P/P1P2QP1/5RK1 w - -,f7f8
4Q3/pp4bk/8/8/1P6/P1Pr4/2K2P1P/qN6 w - -,e8e4
8/2k5/K2p1pnp/3Pp1p1/4P1P1/1P3P1P/1P3B2/8 b - -,g6f4
5rk1/1pp1pqbp/r1n5/p1R2pp1/3P4/PP2P1P1/1B1NQP1P/5RK1 b - -,c6d8
1b6/4k2p/5R2/3K1P1r/2PB4/8/8/8 b - -,h5h4
6Q1/6n1/3p4/2pP1k1p/1p4pP/1P2r1P1/7K/8 w - -,g8g7
3r4/2k5/4P3/6q1/6p1/1Q6/2PR4/2K5 w - -,b3c3
r1bq1rk1/p2nppbp/3p1np1/3P4/1pP5/1P1BP3/1N3PPP/R1BQK1NR b KQ -,d7c5
2k4r/1pq4p/p2bp1r1/8/2pPp3/2P3P1/PPN1Q1NP/5R1K w - -,e2e4
8/5pb1/4p1k1/8/2n1P3/1r3KP1/RPR5/8 w - -,f3e2
8/2k5/1p6/7n/PPKPN3/6p1/8/8 w - -,e4g3
8/8/8/p1K5/kp5p/7P/8/4Q3 w - -,c5c4
r5k1/1rqn1pp1/1p1p3p/pR1Pp3/R1P1P3/4BP2/3QB1PP/6K1 b - -,a8c8
3r2k1/p4pp1/1p3b2/2pq4/8/P1PPB2P/1P1Q2P1/5R1K w - -,f1d1
r1b1r2k/1p5p/p1p2ppb/2P1P3/P2R2P1/8/4BP1P/1RQ3K1 b - -,h6c1
8/4pk2/r5p1/P1pPR3/1r5P/2N2PK1/1P4P1/8 b - -,b4b2
6k1/pp2pp2/1n2b1pp/3r4/4NPP1/1P5P/1P2Q3/6K1 w - -,e4c3
r1b1kb1r/1pqp1ppp/p3p3/4n3/4P3/2NBB3/PPP2PPP/R2Q1RK1 w kq -,f2f4
5rk1/1p3q2/p7/3pn2p/4p1pP/PP2P1P1/6Q1/1B1R3K b - -,f7f2
7k/7p/p2p1r1q/4p1R1/2P1P3/p2P2P1/1r5P/2Q2RK1 w - -,h2h4
5r1k/1p4p1/p1bb4/P1pN1q1p/2P1pP2/4Q1P1/1P1R3P/R6K b - -,h5h4
r2qkb1r/ppp2ppp/2np1n2/3P4/8/2N2B2/PPP2PPP/R1BQK2R b KQkq -,c6e5
r2q1rk1/1p2ppbp/p1np1np1/2p5/4P3/2PP3P/PP1NQPP1/R1B1RBK1 b - -,f6d7
1rbq1rk1/2p1bppp/3p1n2/1p1N4/3pP3/1B1P4/1PP2PPP/R1BQ1RK1 w - -,d5f6
r4rk1/p1n4p/2p3p1/2p1N3/2P5/1P4Nb/P2P1P2/R2R2K1 b - -,f8f6
8/P7/1K4pk/2R2p1p/5P1P/6P1/1r6/8 w - -,b6a6
rn1q1rk1/p1ppb1pp/1p2p3/5p2/2PP1P2/2NB1b2/PP2QPPP/2KR3R w - -,e2f3
2b1rbk1/pp1nqpp1/4p2p/3r4/1PN3Q1/P6P/1BP2PP1/R3RBK1 b - -,d7f6
N6r/1p2bppp/1p1kb3/1P1p4/P2P4/R7/5PPP/3R2K1 w - -,a8b6
r1b2k2/1p3p1R/2p1p3/p7/P1B2r2/8/5PPP/3R2K1 w - -,c4f1
r1b2rk1/pp3qpp/2n1p3/5p2/1b1P4/1B3N2/PP3PPP/R1BQ1RK1 b - -,h7h6
4r1k1/p5qp/1p2p3/2r5/P7/2P1QBP1/5P1P/2R3K1 w - -,h2h4
r1b1nk2/pp3ppp/2p1p3/1nP1N3/2N1P3/1P4P1/P4PBP/3R2K1 w - -,a2a4
8/5k1p/4Q3/pp6/4P3/6P1/P4PK1/8 b - -,f7e6
2r2rk1/pb1qnpbp/1p2p1p1/2pp4/2Pn4/PPNP1NP1/2QBPPBP/1R1R2K1 w - -,c2a2
r4rk1/4ppbp/p1npb1p1/q2N2Pn/1p2P3/4BP2/PPP1NQ1P/1K1R1B1R w - -,e3b6
r1r1n1kb/1pqb1p1p/3p2pP/2nPp1B1/p1N1P3/P1N5/1PQ1BPP1/R4RK1 w - -,c2d1
5r2/pp1np1kp/3pbp2/6pP/1P1NPPP1/P7/4r3/R3K2R w KQ -,e1e2
3rrb2/2k3pp/1Bp1bp2/Np6/1P3P2/2P3P1/PR5P/R4BK1 b - -,c7b6
8/1r1pkp1p/4p3/4P3/Rr3P2/8/5K1P/3R4 w - -,a4b4
r3qrk1/1ppb2b1/3p1npp/3Ppp2/1PP1P2B/5P2/3NB1PP/1RQ2RK1 w - -,b1a1
r4k1r/pQ1b1p1p/3p1b2/q4P2/3p4/1P6/P1PP2BP/R2N1K1R b - -,a5f5
2r2rk1/p2nqppp/b1p1pn2/2b5/3PPB2/1Np3P1/2Q2PBP/R2R2K1 w - -,d4c5
4r3/2pb2kp/1p1p1qp1/p2Pp3/P1P4P/1P2R1P1/5PB1/3Q2K1 w - e6,d5e6
Q7/8/6pk/6p1/5qP1/5B2/3r1PK1/8 b - -,f4f6
r1b1r1k1/ppb2pp1/2p2nnp/4pN2/4P3/2P2N2/PPB2PPP/R1BqR1K1 w - -,e1d1
r3kbr1/3q1p2/b7/p2p2p1/4P3/1PP1Q3/P4PPP/R1B1K2R w KQq -,e4d5
5r2/ppq1pk1p/6p1/1RP2p1n/3Q4/P2P1PP1/4P1K1/5R2 w - -,d4d5
r1bqk2r/1pp2ppp/3p1n2/p1nPp3/2P1P3/2N2NP1/PP1Q1PBP/R4RK1 w kq -,f3e1
2r1kr2/1q1bbp2/3pp2R/ppn2P2/3NP3/PBN5/1PP3Q1/1K1R4 b - -,b5b4
2br4/1p2q2p/rnp1pkp1/p3Np2/P1pP3P/R3P1P1/1PQ1BP2/3R2K1 w - -,c2c1
1r1qr1k1/2p2pp1/p1np1n1p/1pb1p3/P3P3/2PP1N1P/1P3PP1/R1BQRNK1 w - -,a4b5
2R5/5pkp/4p1p1/8/4qPQ1/3r3P/6P1/7K w - -,g4g5
b5r1/2p2R2/1p2P2k/1P5P/5K1b/8/2P5/3R4 b - -,h4g3
r2q1rk1/pb2bppp/1pn1pn2/6B1/P1BP4/2NQ1N2/1P3PPP/R3R1K1 w - -,a1d1
8/5p2/3N1k1p/1p1n2p1/6PP/6P1/1Pb5/4R1K1 b - -,b5b4
8/1R6/5Kpk/p7/5r2/8/8/8 w - -,f6e5
r2qr1k1/p5pb/2p1np1p/2pppN2/4P1PP/1PPP4/P2Q1PN1/3R1RK1 b - -,d8c7
r4rk1/1ppn1pbp/3p1np1/p2Pp3/2P1PP1q/2N1B3/PP1QBPKP/2R2R2 w - -,e2f3
8/p7/1p3pkp/3Qn2p/2r5/8/P4PP1/6K1 w - -,f2f3
8/3B4/5p1p/n3p1p1/1k2P1P1/3K2P1/8/8 w - -,d7e6
6k1/5ppp/2p3r1/8/Pbq5/4rQBP/6P1/RN3RK1 w - -,f3f4
r7/7k/4b2b/Pp1p1p1p/4pP2/2P1B1PP/1P1RK3/R7 b - -,a8a6
2r2k2/5pp1/1q3n1p/1p6/p1rp2P1/P4BP1/1PPRQP2/3R2K1 b - -,f8g8
8/7p/1P2k3/8/4ppp1/8/P2RK3/1r1N4 w - -,d1b2
5rk1/q4pbp/3p2p1/pb6/1pn1PP2/5NPP/P1Q2n2/B1R1R1K1 w - -,c2f2
r1r2bk1/3n1p1p/p1q1p3/3p1p2/Pp1P1B2/1QP1PN1P/5PP1/R1R3K1 w - -,c3b4
rnb1k2r/ppqpppb1/5npp/6B1/8/1NN3P1/PPP1PPBP/R2QK2R w KQkq -,g5f6
rn1q1rk1/pb1p1pp1/4pn1p/1p4B1/3P4/P1Q1PN2/1P3PPP/R3KB1R w KQ -,g5h4
5rk1/3qr1pp/1p2N3/2pP4/p2pP2P/4nPR1/PP2Q3/2R4K b - -,e7e6
1r5k/2q3bp/pp4p1/2r2p2/2P5/P4QP1/6BP/3R1R1K w - -,d1d3
2r4r/1p3pp1/p1bnk2p/2Bp4/8/3BPP2/PP4PP/2RR2K1 b - -,h8d8
3R2bk/6r1/2p2Q2/2P1p3/1P2qp2/p4N2/6P1/6K1 w - -,d8a8
2r3k1/3R3p/4p1q1/r4p1N/1p2pQ1R/8/bb3PPP/5BK1 w - -,f4d6
3r1rk1/1pqn1ppp/2p3b1/p7/Pb1RP3/1QN2P2/1P2B1PP/5RBK w - -,f3f4
8/8/2BK4/pp6/8/P1kb4/8/8 w - -,d6c5
