8/6pp/4Q1k1/p7/P7/bBP5/7q/Kb6 b - -,g6h5:g6g5
4r3/K7/P5R1/1P3p1k/4p3/5b1p/7P/5R2 w - -,g6g3
rn1qk1nr/pp2ppb1/2p3p1/3pP2p/3P1Pb1/2N2N2/PPP1B1PP/R1BQK2R b KQkq -,g8h6
2r4k/3b3p/qn2r1p1/pp1pPpR1/1n1P1P1P/BPN5/P3Q3/5BRK w - -,a3b2
r1bqkb1r/1p1pnppp/p1n1p3/2p3B1/P1B1P3/2NP4/1PP2PPP/R2QK1NR b KQkq -,h7h6
5r2/p1r1qpk1/2p3p1/Q1Ppp2p/1R5P/2P1P1P1/P4PK1/1R6 w - -,b1b2
2r2rk1/2R2pp1/b2p2n1/p3p1q1/3PP3/5QB1/1P3RBP/7K w - -,c7c8
6k1/1pr4p/1R6/P5P1/5PK1/8/8/8 w - -,b6b5
6k1/2r3b1/8/2Nr2p1/1K1p2b1/1N6/PP1R3P/6R1 b - -,g4c8
3r1rk1/pB3p2/1p2pp1p/2n1N3/8/8/PPP2PPP/3R1RK1 b - -,f6e5
2r1q1k1/1p4bp/3pb1p1/1P1N1r2/2n2P2/pR4PP/P4BB1/4R1QK b - -,e8f7
r1br2k1/pp4pp/2p5/4p3/2P1B3/6P1/PP3P1P/R4RK1 w - -,f1d1
5rk1/4ppbp/p5p1/3bP3/p2P4/2q2N2/4Q1PP/3R1RK1 w - -,f1e1
8/4pk1p/1n2p1p1/1BKpP3/1P3P2/P1R3PP/8/3r4 b - -,b6c8
r1bq2k1/pp2rpbp/2nN1np1/2P1p1N1/8/4B3/PP2BPPP/2RQ1RK1 b - -,h7h6
8/4k3/5n2/5np1/8/B4KP1/B7/8 b - -,e7d7
8/R7/6kp/6p1/6P1/4PK1P/P5r1/8 b - -,g2h2
r2r2k1/pb3pbp/2p2np1/1p2p3/2n1P1P1/P1N4P/1PP1NPB1/2BR1RK1 b - -,g7f8
r1bqk2r/pppnnpb1/3pp1pp/6B1/3PP3/2NB1N2/PPP2PPP/R2Q1RK1 w kq -,g5e3
rn2k2r/1bq1bppp/pp1ppn2/8/2PNP3/P1N1BP2/1P4PP/2RQKB1R w Kkq -,f1e2
4nrk1/p3bppp/2r1p3/q2pB3/2pP2P1/P1PbPP1P/3N1R2/R1QB2K1 b - g3,e7h4
1q1b1r1k/1r4pp/3pn3/3Np2b/1PR4P/4N3/5PP1/3Q1RK1 w - -,d1h5
