8/1P6/7k/2R5/5r2/2K4p/1P6/8 b - -,f4f3
6k1/3b1p2/1p1p2p1/pPpP2P1/2Pq4/P6P/6K1/1BQ5 w - -,c1e1
2kr3r/pbp1nq2/1pn2p1p/6p1/4Q3/1PN2NP1/P3PPBP/2R2RK1 w - -,e4a4
8/k5pp/p1P1Np2/K2Bp3/3nP3/7b/5P1P/8 w - -,e6g7
r1b2rk1/pp3pp1/7p/3pq3/6n1/3BP3/PPQ1NPPP/2R1R1K1 w - -,e2g3
8/b3rppk/2B4p/qP6/2R1PB2/6P1/3R1PKP/8 w - -,d2c2
8/5k1p/p2p4/3p4/PP1n3r/2KR3P/8/8 w - -,d3d4
r2qkb1r/pp1nnppp/2p1p3/3pP3/3P4/2P2B1P/PP3PP1/RNBQ1RK1 b kq -,e7g6
4rrk1/1pq4p/2bR2p1/2P1pp2/PQP5/4R2P/2B2PP1/6K1 b - -,e5e4
3br1k1/pq1n1r1p/1p4pB/1Pn1pp2/P1Pp3N/3P1PPN/R5KP/3QR3 b - -,c5e6
1nnrk2r/1pq2pp1/pp1p3p/1P1Bp3/P1N1P1b1/2PPQN2/5PPP/R4RK1 w k -,f3h4
2k1r1r1/1ppnbp2/p2p2qp/P2PpN2/2P1N2P/5Q2/1P3PP1/R4RK1 b - -,h6h5
r2qkb1r/pp2pppp/1nnp4/4Pb2/3P4/1B3N2/PP3PPP/RNBQK2R w KQkq -,b1c3
1rbq1rk1/2p2p1p/p4np1/2Pp4/1p2PP2/1P4PP/PQ1N2B1/2RR2K1 b - -,f8e8
2R2rk1/pp6/3p1npp/3q1p2/1P1QpP2/4P2P/P4NP1/5RK1 b - -,d5d4
r2q1rk1/1p2bppb/n1p1pn1p/3pN3/3PP3/pPB3P1/P1PNQPBP/R3R1K1 w - -,a1c1
8/5n2/r6k/6p1/4N1P1/1R3P2/5K2/8 b - -,h6g6
r1b2rk1/1pq3bp/p3p1p1/2p1p1B1/3nP3/5N2/PPP3PP/R2BQR1K w - -,c2c3
5rkb/7p/p2p2pP/1p1PrqP1/2P1p3/P4n2/1P2B1Q1/1KBR1R2 b - c3,b5c4
1r2n1k1/p3Bp2/6pp/4P3/2b1BP2/4bNPP/6K1/3R4 w - -,f3d4
R2q1rk1/1bpnbppp/2np4/1p2p3/4P3/1B1P1N2/1PPN1PPP/2BQR1K1 b - -,b7a8
3r1rk1/pp3pb1/7p/1n1B4/6PN/4R2P/PP1N1P2/R5K1 b - -,d8d5
