3r4/8/6p1/PR3pkp/4p3/1P2P2K/8/8 b - -,d8d3
1R6/rpr2k2/1R2pp1p/p7/P1P2PP1/1P3K2/8/8 b - -,c7e7
r2q1rk1/4ppbp/p1n3p1/1p6/Q2PP1b1/4BN2/P2RBPPP/R5K1 w - b6,a4d1
r3r1k1/1p1n1pbp/p2p1np1/3P4/P1BqPP2/2N2Q1P/1P1B1RP1/R5K1 w - -,c4d3
8/6R1/p1pP4/1pPr1k2/1P2b3/5pB1/5K2/8 w - -,d6d7
1q2b1k1/p6r/B1p1p3/2PpPppp/Q4P2/4P1P1/P5P1/5RK1 w - -,a4b3
r1b2rq1/pp2n1k1/6pR/4PpQ1/8/2PB2B1/P4P2/2R1K3 w - -,g3h4
r1b2rk1/2p2pb1/p2p1n1p/1p1Pq3/2P1P1PQ/2N2P1P/PP1RB3/2K4R b - -,f6d7
1r1qr3/p2b2kp/3p1np1/n1pPpp2/2P2P2/P1Q1PBP1/R2N3P/1N2R1K1 b - -,g7f7
2br1rk1/ppq1bppp/2n1pn2/6B1/3P4/2NB1N2/PP2QPPP/2R1R1K1 b - -,c7a5
r4rk1/ppq1nppp/2nb4/3p2B1/6b1/1N3N1P/PPP1BPP1/R2QR1K1 b - -,g4d7
r1bq1rk1/p1p2ppp/1p1p1n2/n2Pp3/2P5/P1P1PN1P/5PP1/R1BQKB1R w KQ -,f1e2
8/2br2kn/p2p2pN/2pP2P1/2P2Q1P/P2B4/5RK1/4q3 b - -,d7e7
r2q4/pp3kp1/2n1ppn1/3p4/1b1P2P1/2NQB3/PPP2PB1/R3K3 w Q -,e1c1
r2q1rk1/pp3ppp/1bn5/3p1b2/4n3/1NP2N2/PPQ1BPPP/R1B2RK1 w - -,e2d3
3r2k1/1p1qnr1p/p3bpp1/2bp4/5B1P/P1NP2Q1/1P2NPP1/3R1RK1 b - -,e7f5
2k3rr/pp1qb3/4p3/2Pp3n/3P1p2/4P3/PP4B1/R1BQ1RK1 b - -,h5g3
r1bqk2r/3nbppp/1pn1p3/p1p1P3/2Pp4/3P1NP1/PP2QPBP/RNB2RK1 w kq -,b1a3
8/5p2/6k1/p6p/2p3p1/B1P3P1/rP6/2bNK3 b - -,a5a4
5r1k/pp2p1b1/2p2nQ1/1P1P4/P4p2/R1B1p1Pq/4P2P/2R3K1 b - -,f8g8
4rr1k/2bR2pp/R7/2p5/8/1PP2P2/4N1P1/5K2 b - -,c7e5
r1b1k2r/1p2bppp/p1n1p3/2pq4/2NP4/2PBPN2/PP4PP/R2Q1RK1 b kq -,d5h5
