8/8/8/pp3k2/7K/6Pp/PP3P2/8 w - -,h4h3
r5k1/5pb1/6p1/p2p3p/8/1P5P/P2B1PP1/4R1K1 w - h6,g1f1
2r1r1k1/1p3bp1/7p/1pBP1p2/1P1R4/P3p3/5PPP/4K2R b K b3,b7b6
r1bqkbnr/pp3ppp/2npp3/2p5/4P3/3P1N2/PPP1QPPP/RNB1KB1R w KQkq -,g2g3
2rr4/4bkp1/pqp1p1p1/1p6/6Q1/2N3B1/PP3PPP/2R3K1 w - -,c1e1
5k2/8/5Pp1/3B1b2/5PK1/8/8/8 w - -,g4f3
r1r3k1/3b1ppp/n2p4/3Pp1b1/1p1qP1P1/P3NP2/P1BB2P1/R2QR2K w - -,a1b1
4q1k1/r3Pnbp/pp1pQp2/3p2pP/P2P4/5N2/1P3PP1/4R1K1 w - -,g2g4
4r3/1p3p2/4b1kp/P2qQp2/4p3/6P1/1R3P1P/5BK1 w - -,e5f4
3R4/5p1k/4PPp1/6r1/2p5/2P3K1/1P6/8 w - -,g3h4
2k1r2r/pp3b2/3p2p1/2pPpqBp/2P5/3P4/PP2QP2/K2R3R w - -,h1g1
1r4k1/8/6PK/8/6P1/8/R7/8 b - -,b8c8
2r3k1/5n1p/6pP/2Bp1p2/p2P4/P3R3/5P2/6K1 b - -,f7h6
1r2k2r/3n1ppp/bq2p3/Rp1pP3/1P1Q1P2/2P5/1N2B1PP/4K2R w Kk -,e1d2
r1bqkb1r/pp1n1ppp/2n1p3/1NppP3/3P4/4BN2/PPP2PPP/R2QKB1R b KQkq -,c5d4
8/7p/p1p2k1B/1pPp2p1/1P1P4/3K4/P7/8 w - -,d3e3
rnbqkb1r/pp3ppp/2p2n2/8/2QPp3/2N1P3/PP2NPPP/R1B1KB1R b KQkq -,c8e6
8/7Q/3K4/5k2/8/4r3/8/8 b - -,f5f4
2r2rk1/1p2qpp1/p1p2N1p/8/P1Qp4/4P1P1/1P3PKP/2RR4 b - -,e7f6
2k5/5p2/1p2pBn1/1P2P2p/P3K3/8/7P/8 w - -,f6g5
2r2rk1/pp1q1nbp/4B1p1/P1p1p3/1n1pP3/5NBP/1PPNQPP1/R3R1K1 b - -,d7e6
r2q1rk1/pp1nppbp/4b1p1/2p5/2NP4/2n1PN2/PP2BPPP/2RQ1RK1 w - -,b2c3
n7/2p1kp1p/6p1/2Bb4/8/3B2P1/4KP1P/8 b - -,e7e6
3b4/5k2/4p1p1/1n1pP1Pp/p1pP3P/PnP2NB1/1KN5/8 w - -,g3f2
2r3k1/r5qp/p1p1pp2/2Rp4/3Pb2B/1P2PP2/P5P1/3Q1RK1 b - -,g7h6
r1bqk2r/2p1bppp/p1pp1n2/8/5P2/1P3N2/PBPP2PP/RN1QK2R w KQkq -,e1g1
R7/2k5/P1n5/2K5/8/8/8/8 b - -,c6b8
5rk1/5Rp1/8/7p/2B5/P4b2/5Pn1/2R3K1 b - -,f8f7
r2q1r1k/1p1n2bp/p1ppbnp1/4pp2/PPP5/2NPPNP1/2Q2PBP/1RB2RK1 w - -,c1a3
r3r1k1/1b2qppp/p4n2/1p1p2B1/2B5/P1N2P2/1PP3PP/R2Q1RK1 b - -,d5c4
8/6k1/1R4P1/2r5/p7/P2K4/1P6/8 b - -,g7h6
4r1rk/2bq1ppn/1p5p/2p2P2/1PPpP3/R2P1N1Q/3B3P/6RK w - -,b4b5
8/8/4k2p/5pp1/8/1PK3P1/R4P1P/1r6 b - -,h6h5
2r2rk1/Nb4p1/1pnbq2p/3p1p2/3Pp3/PQ2P1P1/1P1NBPP1/2R2RK1 b - -,c6a7
3nQ3/1pk2pp1/p3p2p/2P2q2/1P2N3/P4PP1/2K5/8 w - -,e8e7
rn2kb1r/pp2ppp1/1qpp1n1p/5b2/2PP1B2/4PN1P/PP3PP1/RN1QKB1R w KQkq -,d1b3
4q1k1/1ppb2bp/nn1p3r/1N1P1p2/2PNpP2/1P2B1P1/Q3B1RP/7K b - -,g7f6
6R1/6n1/4p2r/3pK1k1/3P4/3BP3/8/8 b - -,g5g4
1kr2r2/pp5p/1qn1b1p1/1N1pp3/PP5P/3B2P1/1QP2P2/1R3RK1 w - -,a4a5
1n1r1rk1/1pq3pp/4bp2/p1p1pP2/P3P3/4B1P1/1PP3BP/R2RQ1K1 b - -,e6f7
5rk1/2p5/bb3N2/4np2/4B2B/8/1p3PPP/3R2K1 b - -,f8f6
8/2bn3p/4p1k1/6P1/1pN4P/1P6/P3KB2/8 b - -,c7d8
1kq5/ppp5/3p1R2/Pn2r2p/3p2pP/1Q1P2P1/1N1K2B1/8 w - -,a5a6
7R/8/pk6/2p5/2P5/1P3p2/P4P2/1b3K2 w - -,f1e1
2r3k1/3r2pp/q3bp2/4p3/npN1N3/b2P2P1/2Q1PPBP/1R1R2K1 b - -,a4b6
6rk/1b1r1p2/pR3p1p/2pp1p1P/6P1/7B/PPPK4/4R3 w - -,b6f6
2bqkn1r/rp2bp2/2p4p/p1PpP3/P7/BPN2BP1/2Q4P/4RRK1 b k -,h6h5
1k6/2ppqp2/1nb5/p1N1bB2/P1P2BP1/1P2Q3/2K5/8 b - -,d7d6
8/8/4k3/1r2pb2/1P3p2/5P2/1R1K3N/8 b - -,b5b8
r3kb1r/1pqn1ppp/p1bpp3/3nP3/1P1P4/P4N2/4BPPP/RNBQR1K1 w kq -,c1b2
8/4k3/8/4P3/7p/4K2P/5Nb1/8 w - -,e3e2
r3r1k1/ppqnbppp/4pn2/2P5/8/1QP2NN1/PP1B1PPP/R3R1K1 b - -,d7c5
6k1/p4pp1/1p2p2p/8/R7/P3P1P1/1P2rPP1/6K1 b - -,e2b2
k1r5/pq3pbp/1pNp1np1/2nP4/PQ1B1P2/4r1P1/6BP/R2R2K1 b - -,e3b3
8/1R6/5pk1/8/3BK3/8/8/5r2 w - -,b7b6
r4rk1/pp2n1pp/2qb4/8/2pP1p2/2P3P1/PP1NQPKP/R1B1R3 w - -,e2e4
