8/7p/P2R1pk1/8/r2p4/8/5K2/8 w - -,a6a7
8/2p3p1/4R2p/r1kp4/P7/2P2P1P/7P/6K1 w - -,e6e7
r2qr1k1/1b3ppp/pn1b1n2/1p1P4/1P2p3/PNN1P3/1B2BPPP/R2Q1RK1 b - -,a8c8
8/4N3/6P1/1k1pb3/8/3K4/8/8 w - -,e7d5
r5k1/pp2ppbp/2rp2p1/8/N3PP2/3B3P/PPPB1nP1/2KR3R w - -,c1b1
6R1/1p1kp3/1B4p1/Pp2q2p/1P6/2P4P/6P1/7K b - -,d7e6
r1bq1rk1/3n1ppp/p3p3/1pbpP3/3B1P2/2N2B2/PPPQ2PP/R3K2R b KQ -,b5b4
4r3/3q1p1k/1pNp1Pp1/3P1bQp/4n2R/7P/2B3P1/7K w - -,h4h5
5k2/pn3ppp/1p1qp3/8/1PPQ4/P4N2/4KPPP/8 b - -,f7f6
8/ppp1R2p/3p2qk/3P1r2/2P5/4Q3/PP4P1/6K1 b - -,h6h5
8/1pp2pk1/3p2p1/8/1PP1qp2/2N1bNPb/r3Q2P/1R5K w - -,c3e4
5k2/1pp5/1p1p4/5nN1/2P1R3/3q1PR1/PP5P/7K w - -,g3g1
r3k2r/ppqnbp1p/2p5/4Bbp1/P1N5/2N3P1/1P2PPBP/R2Q1RK1 b kq -,d7e5
r1bqk2r/b1p2pp1/p1np1n1p/1p2p3/4P3/1BPP1N1P/PP3PP1/RNBQR1K1 b kq -,e8g8
r1b1k2r/pp1n1ppp/2p1p3/q2p4/2PP4/2P2NP1/P1Q1PPBP/R3K2R w KQkq -,e1g1
4r1kn/5pp1/1q3n1p/2pPp3/1rN1P2P/4P1PB/RPQ2R1K/8 b - -,b6b8
2kr4/pp2r1p1/2p4p/8/2P3R1/P5PP/1P3PK1/5R2 w - -,g4f4
r7/1p3p2/2bpkB2/1np3P1/r1B5/4PP2/5K2/2R4R b - -,a4c4
4Q3/6pk/p3p2P/1p3q2/1P6/2p3P1/1r3P2/5RK1 b - -,h7h6
7r/5ppk/p2Pp2p/3pP3/1q6/4QP2/P4P1P/R4R1K w - -,e3d3
r2qk2r/1p3p1p/1np1ppb1/p7/P2P4/1B3NP1/1PPQ2PP/R4RK1 b kq -,b6d5
8/6pk/6p1/5pP1/5K2/1R2P1r1/8/8 b - -,g3g4
8/p1r1k3/8/R4p1p/6bP/8/6P1/5K2 w - -,f1f2
1krr4/pp2bpp1/4p1p1/n2pP3/qn1P2P1/1R5P/PP3P2/RNBQ1BK1 w - -,b1c3
3r1k2/5b2/3q2p1/p5Pp/3p4/P2Q1BP1/5PK1/3R4 w - -,f3e4
4r1k1/3n1p1p/p2p2p1/2pP3b/NrPqPP2/1P4Q1/5N1P/R3R2K w - -,a1b1
r4rk1/1b1n1ppp/4p3/qp1p4/3PnB2/2PBPN2/2Q2PPP/2R2RK1 w - -,c2b2
r1bqk2r/p3bppp/2pp1n2/2p1p3/4P3/5N1P/PPPP1PP1/RNBQR1K1 w kq -,c2c3
r1bqk2r/p1pn1ppp/1bpp4/8/N3P3/1P1B4/P1P2PPP/R1BQ1RK1 b kq -,b6d4
1n1qr1k1/3r1p1p/p1p3p1/1p2bb2/2p1P3/BP4P1/P1RN1PBP/3Q1RK1 b - -,f5e6
r3r3/ppp3k1/5nn1/3PpPp1/2P2p2/2B2P2/PP1RB2P/2K4R b - -,g6h4
4rkr1/1pp1qp1Q/p2p4/4P3/3P4/2P5/PPBN2PP/6K1 w - -,h7h6
2kr4/1pn2p2/p1p3pp/8/2P5/1PB2P2/2P2KPP/R7 w - -,a1e1
8/4b1kp/4p3/rp1p2p1/2pP2P1/P3P1NP/1PK5/5R2 b - -,a5a8
r2r1bk1/1bq2p2/ppnp2p1/3pP1Np/3P4/N5Q1/PP1B1PPP/2R1R1K1 w - -,e5e6
8/3n1pk1/6p1/3P3p/3p1P2/8/5P1P/3B2K1 w - -,d1c2
8/p7/4kp2/3p2b1/PP2r2p/3KpR2/1R4PP/8 b - -,e6e5
rnq1nrk1/ppp1bppp/3pb3/1P2p1N1/2P5/2NP2P1/P3PPBP/1RBQ1RK1 b - -,e7g5
r1b4r/ppp1k1b1/8/3p4/8/2PB3Q/PP3PPP/4R1K1 b - -,e7d8
rnbqkbnr/p1p2ppp/1p2p3/3pP1B1/3P2Q1/2N5/PPP2PPP/R3KBNR b KQkq -,d8d7
r4rk1/pp2nppp/8/3qPb2/4p3/2B5/PPQ1BPPP/R3K2R w KQ -,e1g1
2rq1rk1/p2n1pbp/2p3p1/1bNp4/5B2/1P4P1/P2QPPBP/2R1R1K1 b - -,d7c5
1r6/2r2pb1/p4kp1/nppBp3/4P1pP/1PP5/P3KP1N/R2R4 w - -,h2g4
3r2k1/bB3ppp/p3q3/4n3/4Q3/BP2P1P1/P4P2/5RK1 b - -,h7h5
3r2k1/1pp3pp/6b1/2P2r2/1P1n1P1q/2Q5/1B3PBP/R4RK1 w - -,a1e1
3r1b2/6k1/2pNB2p/p1q5/Pn4P1/5Q2/5P2/3R2K1 b - -,c5g5
2rq1r2/p2bppkp/1p4p1/n2B4/3QP3/2P2P2/P3N1PP/1R3RK1 b - -,g7g8
r1bq1rk1/pp2b1pp/2p1p3/3pPp2/2P5/1P1BP3/PB1Q1PPP/R2R2K1 b - -,b7b6
r3rnk1/p1p2ppp/1p1q1b2/8/2PP2Q1/5N2/P2B1PPP/3RR1K1 w - -,d2g5
1Rb5/1p2r2k/6p1/2p2p1p/2B4P/4P1P1/5P1K/8 w - -,b8c8
r1b1k2r/pp2bpp1/1qn1p2p/3pPn2/3P3P/3B1N2/PPN2PP1/R1BQK2R b KQkq h3,c8d7
3Rbk2/3n2rp/2N5/3PpBp1/2P2p2/5P2/6PP/6K1 b - -,d7c5
r1r5/N3ppbk/3p2pp/3P4/4PP2/P5PP/R2n2K1/1R6 w - -,a7c8
1r1q1rk1/3nppbp/b2p2p1/2pP4/P1n5/2N3P1/1PQNPPBP/R1B1R1K1 w - -,d2c4
r4rk1/1b4pp/p4p2/np1PpN2/1bq5/7P/PPB2PP1/R1BQR1K1 w - -,e1e4
r3r1k1/pp3p2/5np1/5b1p/1PP1p3/7P/P2NBPP1/2RR2K1 w - -,d2f1
