8/p7/8/p1N1p2k/P3P1p1/1P6/6K1/4b3 b - -,h5h4
r2b1rk1/3b1ppp/p2ppn2/1p1N4/1PP1P3/4BP2/P2Q2PP/2Rq1RK1 w - -,d5f6
3qr3/4bpk1/2p1n1p1/2P1p3/N2pP3/3B2Pb/2R1Q2P/R5K1 b - -,e7g5
2r3k1/1pq2pb1/p2p3p/3Pp1p1/1r2P1Q1/4N3/P4PPP/R2R3K b - -,c7c3
rn1q1rk1/pb3ppp/1p1b1n2/2ppN3/3P4/1P1BP3/PB1N1PPP/R2Q1RK1 b - -,b8c6
r4rk1/ppq3bp/4b1p1/4pnB1/4Q3/N1P4P/PP3PPN/3R1RK1 w - -,a3c2
r2qkb1r/pp2pppb/1n1p4/2pPNPPp/4P2P/2N4B/PPP1Q3/R1B1K2R b KQkq -,d6e5
r2r2k1/pb2bppp/1p2pn2/2n5/2BN1B2/2N1P2P/PP3PP1/2RR2K1 b - -,a8c8
3r2k1/pp2rpp1/2pq1n2/2N5/3P3P/P5P1/5P2/2RQ1RK1 w - -,d1b3
6r1/2P1k2K/5p2/6p1/6PP/8/2R5/8 b - -,g8c8
5r1k/1p1r2pp/1qp1p3/p1nBQ3/P7/1PN1R3/2P2PPP/R5K1 b - -,e6d5
2rqr1k1/pb2b1np/1pp1pppQ/8/P1PPP1P1/3B1N1P/5P1B/3R1RK1 w - -,e4e5
5rk1/3Q1p2/p1r3pp/1p6/4b3/PB2P3/1q3PPP/3R1RK1 w - -,b3f7
rnb1k2r/ppp1qppp/3b1n2/8/2pP4/5N2/PP2BPPP/RNBQ1RK1 w kq -,e2c4
8/5R2/1p4pk/1n1B3p/8/4P1P1/5PKP/3r4 w - -,d5b3
2k5/ppb1qp2/2p1n1p1/4P1N1/3r3P/7Q/PP1BR3/1K6 b - -,e7d7
1r4k1/3q1nbp/3p2p1/2pP4/2N1BP2/4B1nP/1P6/R4QK1 w - -,f1g2
2r1k2r/2qnbppp/pn1pb3/Np2p1P1/4P3/P1N1BP2/1PPQ3P/2KR1B1R w k -,h2h4
rn1qkb1r/pp2pppp/5n2/3p1b2/3P4/2N2N1P/PPP2PP1/R1BQKB1R b KQkq -,e7e6
r2q1r2/p1n2pkp/2pp2p1/1p6/2nPNQ2/P4N1P/1PP1RPP1/3R2K1 w - -,f4c1
6k1/p3p2p/1p4p1/8/2RP4/4P1B1/P2n2PP/5K2 w - -,f1e2
1rn2rk1/2pbqppp/1p1pp1n1/pP6/2PP4/P3PNP1/1BQ2PBP/R3K2R w KQ -,e1g1
r2q1rk1/1p1n1pp1/2p1bn1p/p1b1p3/2N1P3/5PP1/PPP1QNBP/R1B2RK1 b - -,b7b5
2R5/7k/8/8/5PR1/7P/r3r1PK/8 b - -,e2f2
8/7p/6pk/8/8/2Q1P2P/5KP1/3q4 b - -,d1d5
r3r1k1/1p2qpp1/3p1n1p/1Np5/1n2P1P1/pP5P/P1PQ1PB1/1K1RR3 b - -,e8d8
1r6/4kppp/1b1p4/1r1Bp3/4P2P/2P2PP1/1P6/1R3K1R w - -,f1e2
6k1/5pp1/7p/1p2p3/4P3/1nPpBP1P/1P3KP1/8 w - -,e3b6
4rbk1/5ppp/R3b3/4N3/Pp3P2/3P2PP/7K/2R5 b - -,f7f6
8/p4pkp/1pNbp1p1/1P6/r2Pp3/1R2P1P1/5P1P/5K2 w - -,f1g2
8/8/7p/5pkP/2r3p1/6P1/4KP2/3R4 w - -,d1d5
r1k2b1r/p1p2pp1/1p5p/1b2P3/2pB1PP1/1P5P/P1P1R2N/5RK1 w - -,a2a4
r1bq1rk1/p2nbppp/1pp1p3/3n2B1/3P4/2NBPN2/PP3PPP/2RQK2R w K -,g5e7
8/8/P6p/1Rbk4/2p3PP/1p2p3/4K3/8 b - -,d5c6
2n3k1/1p3pp1/2p4p/3b4/3B4/1p4P1/P1B1KP1P/8 w - -,a2b3
3r1rk1/2p1qpnp/1p4p1/1PpPP3/2P2R2/3B4/4Q1PP/R5K1 w - -,a1e1
3Q4/5pk1/p3B1p1/3p3p/1n3P2/3q2P1/5P1P/6K1 w - -,h2h4
r2b1rk1/p1p2ppp/2p5/4P1N1/8/5R2/PPb3PP/R1B3K1 w - -,f3c3
3r2k1/p1qr1pb1/1p1Np1pp/2PnP3/1P1B4/2P2Q2/P5PP/3R1R1K b - b3,d8f8
8/1p2r1k1/p1pR4/2P1PB1p/1P3Kp1/5nP1/P7/8 w - -,d6d7
2r3k1/2r1bpp1/2qp3p/1p2p3/1P2P3/R1PQ1N1P/5PP1/3R2K1 w - -,f3d2
2r3k1/1p3pbp/p3r1p1/1q2n3/1P2B3/P3B2Q/5PPP/3RR1K1 w - -,e4d5
1r6/3R1rk1/b3ppp1/4b2p/2P5/1P2BB2/P5PP/2K4R w - -,d7f7
r5k1/p1pnq1pp/1p1p2b1/3P4/2P2Q2/P1B2N2/1P4PP/R5K1 b - -,e7e4
2r1k2r/1bq2pbp/pnnpp1p1/2p3P1/1p1PP2P/1P3P1B/P1PQNB2/1K1R2NR w k -,h4h5
8/pp5p/2pk3r/3p2pr/3Pp3/1P2PnPP/P1R1NP2/2K4R w - -,h3h4
r3k2r/ppqnbppp/1npp4/5PP1/5B2/2N5/PPPQ1P1P/2KR1BR1 b kq -,e8c8
3r2k1/2q2rbp/4b1p1/2p1p1QP/p2p4/P2N2P1/1P2PPB1/2RR2K1 w - -,h5g6
8/8/8/8/8/4N1k1/4K3/7q w - -,e3f1
2r4r/pp2b1kp/1q2p3/n2pN1p1/3P4/P1NbP1P1/1P2Q1P1/2R1K2R w K -,e5d3
8/p7/6p1/2pb4/2Np1k1p/PP1P3P/2P2KP1/8 w - -,c4d6
6k1/1rr2pp1/3qb2p/p3N3/QN1Pp3/P5P1/4PP1P/1R3RK1 b - -,a5b4
2r2rk1/3bqppp/2p1pn2/p3N3/Pp1P4/1B6/1PP2PPP/3RQRK1 b - -,f8d8
2rq2k1/1p1bbpp1/r3p3/p2pP2p/Pn1P4/2B1N2P/1P1Q1PP1/RB2R1K1 w - -,f2f4
8/3q2kp/1pQ2np1/p1pP1p2/P3r3/1P3R2/8/3R3K w - -,c6b6
3r2k1/2qP1p2/2pRnQp1/p1p4p/2P2P1P/1P4P1/P5BK/8 w - -,d6e6
1br5/p3k2p/1pBn1pp1/1P2p1P1/P6P/4PN2/4KP2/2R5 b - a3,d6f5
1r4k1/5pbp/p2p2p1/1p3n2/4R3/2P2P1P/PP3P2/3R2K1 w - -,f3f4
8/5pkp/2b1ppr1/p3n3/4P3/q5NP/3Q1PPK/1B1R4 w - -,g3h5
8/8/6R1/1k1p1pP1/2pP1P2/2P1P2p/7r/4K3 w - -,g6h6
rnbqkb1r/pp1ppppp/1n6/4P3/2p5/2P5/PPBP1PPP/RNBQK1NR b KQkq -,b8c6:d8c7
r5k1/2R3p1/7p/8/p7/R1P4P/1r3PP1/6K1 w - -,c7c4
8/p3q1k1/P1b2pp1/2P2r2/3rpQ1P/4R3/2R4P/5BK1 w - -,f4g4
r1b2q1r/ppk1bp2/1n2p1pp/n2pP3/2pP3P/P1P1BQ2/1P1NNPP1/R3KB1R w KQ -,e2c1
2r5/5pk1/pn3np1/1b6/1B2pP1p/P3N2P/3RBKP1/8 w - -,b4e7
r2q1r1k/1b3p1p/p1np2p1/3Np1b1/R3P3/2P5/1PN1BPPP/3Q1RK1 w - -,d1d3
r1bqk2r/pppp2pp/2nb1n2/1B2p3/3P4/5N2/PPP1QPPP/RNB1K2R b KQkq d3,e5e4
2r2rk1/2qnb1pp/pp1p4/3Ppp2/P1P2P2/4B3/1P1NQ1PP/2R2RK1 b - -,c7b7
1r2n1rk/pp1bbq1p/3p1p2/1PpPpP2/P1N1P1BP/3P1QR1/3B3K/6R1 b - -,e7f8
