6k1/7p/3p2p1/8/4P3/4R3/3r3P/7K w - -,e3f3
3rr2k/ppq3Bp/2n3p1/3B1p1n/P4P2/7Q/1P2NP1P/3R1RK1 b - -,c7g7
4r1k1/1R3pp1/8/p2P4/8/5qP1/1P3PKP/8 w - -,g2f3
1rq3k1/3b1p2/5Pp1/3p3r/1P1N3P/2P3Q1/7R/R6K b - -,b8a8
r2r2k1/ppq1ppbp/2bp1np1/8/1PPBP3/P1N2P2/4B1PP/R2Q1R1K w - -,b4b5
3rr3/1bR2pk1/pN1p1np1/P2P3p/1p2P2P/4RQPB/1q3P2/6K1 b - -,b7a8
r1b2b1r/pp2kn1p/2p1p1pn/5p2/4P3/2NNBPP1/PPP3B1/R3K2R b KQ -,e6e5
8/6p1/4B1k1/4pp2/nP6/3K2P1/5P2/8 b - -,g6f6
4rbk1/1bqn1ppp/3p1n2/1p2p3/1NpPP3/2P2N2/1PB1QPPP/2BR2K1 w - -,d4d5
r2qkb1r/1p3ppp/p1p1pn2/P1p5/4P1b1/2N2N1P/1PPP1PP1/R1BQK2R b KQkq -,g4h5
8/5k2/8/P2Rp1p1/3b3p/r2N4/4K3/8 w - -,d3e5
5k2/7p/6p1/R3P3/8/7P/5PPK/3r4 b - -,f8e7
2r3k1/p4qp1/2rb1p1p/2p5/P1R5/3Q2P1/3B1P1P/2R3K1 w - -,d2e3
7k/7p/8/PB2pp2/4n3/4P3/2R5/3r2K1 w - -,g1g2
3r2k1/p4pp1/1PQb4/5q2/3P3r/4B3/5P2/1RR4K w - -,h1g2
4rbk1/1pq2p2/r3bp1p/4p3/1PP4N/2Q3P1/5PBP/4RRK1 w - -,c4c5
1k4r1/pb3p1r/1p2pP2/3pN2p/q1pPn3/P1P1Q1PB/2P4P/1R3RK1 w - -,b1b4
r1b1r3/ppk3bp/2p2ppn/8/5P2/2P2NPP/PP1NK1B1/R1R5 w - -,e2f2
2b4r/1pp3k1/p1p5/N5pp/4P3/1P2KPP1/P1P5/7R w - -,f3f4
r1b1kb1r/pp1ppppp/2n2n2/2q5/2P1P3/2N1B3/PP3PPP/R2QKBNR b KQkq -,c5a5
rn1q3r/1bk1bp1p/1p2p1p1/pP1pP3/2pP1P2/P1P2N2/2BQN1PP/R4RK1 b - -,b8d7
3r4/ppp2pk1/4b1pp/8/2P1P3/1PN2R1P/P3B1P1/3r1K2 w - -,e2d1
8/8/1n2k1p1/p3N1P1/5P2/6K1/8/8 w - -,g3g4
8/5k1p/8/Q7/1p5P/6P1/4q2K/8 w - -,h2h3
r2qr1k1/pp3pbp/2pp1pp1/2n5/2P1P3/1PN2QPB/P4PKP/2R4R b - -,e8e5
r1br1b2/pp4kp/2n2p1n/4p1p1/2B1P3/2N3BP/PP1N1PP1/2R1K2R b K -,h6f7
r4k2/5pp1/pn5p/1pppN3/5P2/PPP4P/5KP1/4R3 b - -,a8c8
rnbqr1k1/pp3ppp/2p2n2/3p4/1b1P4/2NBP3/PP2NPPP/R1BQ1RK1 w - -,f2f3:e2g3
r1b1k2r/pp2bppp/4p3/q7/3pB3/2P2N2/PP2QPPP/R3K2R w KQkq -,f3d4
rb3r1k/1b2qp2/p1n2p1p/1pN1p2Q/1P6/P3P3/BB4PP/2R2RK1 b - -,b8a7
r3r1k1/5p2/1qp3pb/3p1n1p/p1PPpNnP/P3P1PN/1B1Q1P2/1KRR4 b - -,g4f6
4r1k1/1b5p/2qp1Pp1/Q1p5/2PR4/5nP1/R4N1P/5B1K b - -,f3d4
3rk2r/pp3ppp/4p3/3P4/1b2QP2/8/P2qKP1P/1R5R w k -,e2f3
2r3k1/p3bppp/4pn2/4nb2/1r3B2/1NN3P1/PP2PPBP/R4RK1 b - -,e5c4
1n2r3/ppkb1R1Q/8/1n2p1p1/1P1pP2q/3P1BN1/2PB3P/7K w - -,h7h4
2r2qk1/6pp/3p2n1/1p1P4/p7/P2Q2P1/1P4BP/R5K1 b - -,f8f6
r1bq1rk1/pp1nbppp/2p1pn2/8/2pP1B2/2N1PN1P/PP3PP1/2RQKB1R w K -,f1c4
