8/1p6/1B6/1K3b2/8/P7/5p2/5k2 b - -,f5d3
6k1/p1q2pp1/bpp2n1p/8/6P1/4NB2/PP2PP1P/3Q2K1 w - -,h2h4
2r3k1/2q1bppp/p2p2b1/4n1P1/1p5P/2N3Q1/PPPB4/1K1RR3 b - -,b4c3
r1bqnrk1/ppp3bp/3p4/1PPPppp1/2N1Pn2/B1N5/P4PPP/R2QRBK1 b - -,g5g4
r1bqk2r/pp1nnp2/3B2pp/2pP4/2P4P/2b5/PP2BPP1/R2QK1NR w KQkq -,b2c3
5b1k/2R3p1/4p2p/p3P3/6P1/4P3/7P/6K1 w - -,c7c8
2rqr1k1/p2n1pbp/bp3np1/4p3/4P3/1P1P1NP1/PB1N1PBP/RQ3RK1 b - -,d7c5
r6r/pp1k3p/2b2p1P/3qp3/2Rp2Q1/3B2P1/PP3P2/2R3K1 b - -,d7c7
2r2rk1/pp3pbp/1q1pb1p1/n7/P7/4B1PP/RPP1NPB1/3Q1RK1 b - -,b6b4
4k3/5p2/7R/1p3Np1/1P6/8/2Pr3P/6K1 w - -,h6b6
1R6/p2r1pp1/4pk1p/8/P4P2/4PK2/5P1P/8 w - -,b8b5
1Rb2r1k/5qpp/2Pp2r1/2pPp3/5p2/6P1/1Q2PPBP/R5K1 b - -,h7h5
8/pp3rkp/2p1r1p1/q3P3/P2P1p2/1P1R1P2/5QPP/3R2K1 w - -,h2h3
r3kb1r/1pnq1pp1/2b1p2p/3pP2P/p1nP1P2/P1NB4/1P4PN/R1BQ1RK1 w kq -,f4f5
6k1/Pq3p2/5Pp1/3p2Qp/4r3/8/6PP/2R4K b - -,g8h7
r3kb1r/pp1q1ppp/2nppn2/8/3PP3/5N2/PP3PPP/RNBQR1K1 b kq -,f8e7:d6d5
r1bqk2r/1ppnppbp/p2p1np1/8/2PPP3/2N1BP2/PP1Q2PP/R3KBNR b KQkq -,c7c5
6k1/p4p2/4r1pp/1B1b4/3b3P/PP1p2P1/3R1P2/5NK1 w - -,d2d3
1k1r3r/p2qb3/1pR1p2p/3pP1p1/3P4/3nB3/PP1NQPPP/5RK1 w - -,c6c3
r5k1/pbp2ppp/1bNq1n2/3p4/3P3r/1P2PN2/PBQ2PPP/R1R3K1 b - -,h4h5
rq3rk1/pp1bppbp/2np1np1/8/2P1P3/2N1BP2/PPN1B1PP/R2Q1RK1 b - -,f8c8
2r3k1/pq4Bp/6p1/8/3Pp3/1P6/P2Q2PP/5RK1 b - -,g8g7
1rb2rk1/2q1bppp/p2p1n2/1p2P3/3BP3/P1N2B2/1PP3PP/R3QR1K b - -,d6e5
5k2/5ppp/1pp5/p1r5/3K1P2/4R1P1/1PB4P/8 b - -,c5c2
3b3r/kpr2pp1/pq2p1p1/3pP1N1/Qn1P1PBP/1P4P1/3R1RK1/8 b - -,b4c6
8/4p3/3p2k1/1prP4/3R1PK1/1P6/8/8 b - -,g6f6
r3r1k1/pp2nppp/1qnb4/3p2N1/6bB/1NP5/PP2BPPP/R2Q1RK1 b - -,g4e2
1r1r2k1/p2bq1b1/1p2pP1p/6pP/3p4/P7/1PQ2PPN/1B1RR1K1 b - -,g7f6
r2q1rk1/1pp2ppp/p1npbn2/2b1p3/2P5/1PN1PNP1/P1QP1PBP/R1B2RK1 b - -,d8d7
5rk1/1p2q1pp/1br1p1p1/p2pP3/PB1P1P1P/1P1R1NP1/4Q3/3R2K1 b - -,e7b4
r3k2r/pp1n4/2p2n1p/6p1/1bP1p3/2N1P1BP/PP2B2P/2R1K2R b K -,e8e7
1k1r3r/p1q5/1pn2p1p/3pp2P/3P4/B1P4R/2PQ1PP1/R4K2 b - -,e5e4
r1b1qrk1/pppn2bp/5pp1/3Np3/2P1P3/4QN1P/PP2BPP1/2KR3R b - -,e8d8
3rkb1r/pb3ppp/3p4/1N2B3/1p2P3/7B/PPP2P1P/2KRR3 b k -,d6e5
r1bqkb1r/2pn2pp/p1p1pp2/3pP3/3P4/1N3N2/PPP2PPP/R1BQK2R w KQkq -,e1g1
2r1r1k1/p5b1/1p1pp3/2n5/6p1/2P2NPP/PP4K1/3RR1B1 w - -,h3g4
r1bq1rk1/pp2pp2/7p/n1P5/4P1pP/2b3B1/P2NBPP1/2RQK2R b K -,d8d4
r4r1k/2q1bp1p/p2p4/1p1Pp1p1/4PnP1/1P6/1P3PP1/RBBR1QK1 b - -,c7d7
2qrr1k1/p4ppp/n4n2/8/Q1Pp1N2/P7/1R3PPP/2BR2K1 w - -,f2f3
2rrbnk1/pp4p1/4p2p/3pP3/1n3P1q/4B1N1/PPB3PP/2RQ1RK1 w - -,c2b1
