8/6k1/6q1/1P2K1p1/2P2pQ1/7P/8/8 w - -,g4d7
2r1k2r/pb1q1pp1/1p1ppb2/8/5P1p/2NP3P/PP1BQ1P1/4RR1K w k -,f4f5
2b2b1r/rpNn1k2/p1n4p/3R4/4N1p1/6B1/PP3PPP/R5K1 w - -,a1d1
3rr1k1/1p4pp/p2ppn2/P1q1n3/4P3/2NB3Q/1PP3PP/R4R1K w - -,h3g3
8/8/p5R1/k4p2/3Kb3/8/8/8 w - -,d4c5
r3k2r/pbpnq2p/1p2pp2/1N2N3/1P6/P7/2PQ1PPP/2KR1B1R b kq -,d7e5
rn2kb1r/pp3ppp/1qp1pn2/3p3b/2PP3N/1QN1P2P/PP3PP1/R1B1KB1R b KQkq -,b6b3:f8e7:b8a6:g7g5:b8d7
1r2nrk1/pp1qp2p/3pn1p1/2pB1p2/1PP5/P1BPP1PP/5P2/1R1Q1RK1 b - -,e8f6
rn1q1rk1/pppnppbp/3p2p1/8/2BPP3/5Q1P/PPP2PP1/RNB2RK1 w - -,f3d1
5rk1/1r1bb1pp/1n2p1q1/n2pP3/p1pP1B1P/P1N2NPB/1P4R1/3Q1RK1 w - -,g1h2
2rbr1k1/1b3pp1/p3pn1p/1pn5/4P2B/PBN2N2/2P2PPP/R3R1K1 w - -,b3a2
b4bk1/8/4q2p/2p1Npp1/1pP1BP2/1P5P/3r1BP1/4RQK1 b - -,a8e4
3r2b1/2p1r1k1/R4p2/4p1p1/4P3/2P2PKQ/8/8 w - -,h3f5
5r1k/2pq1rbn/1p1p1np1/1P2p3/1NP1P3/3Q1PpN/3B2KP/2R2R2 w - -,h2g3
1b6/p5p1/4K1k1/1p3pRr/1P1B1P2/P3P2P/8/8 b - -,h5g5
rnbqk2r/pppp1ppp/8/4N3/1bP5/8/P2PPPPP/R1BQKB1R w KQkq -,c1b2
q5k1/1brnppb1/p2p2pp/3P4/3pP3/5NB1/P3BPPP/1R1Q2K1 w - -,f3d4
5rk1/p4ppp/Bn2p3/b7/3B4/4P1P1/P4P1P/2R3K1 b - -,f8d8
r4rk1/3qppbp/n2p1np1/2pP4/4P3/2N3Pb/PP3PBP/R1BQNRK1 w - -,a1b1
3rqnk1/bp2r1p1/5p1B/2p1pP1Q/1p1p2RN/3P3P/1P3PPK/2R5 w - -,h4g6
8/8/6p1/6k1/pr1pB1p1/2b5/P1P2RKP/8 b - -,b4b2
3rr2k/pp3pbp/6p1/5q2/4nP2/1B3N1P/PP2QPP1/2R2RK1 w - -,c1d1
1r3k2/4pp2/b2p3N/2pPn1p1/Pr2P3/1P3RPP/3R1PB1/6K1 w - -,f3f5
r2qr3/pp1bppkp/3p1np1/3P4/3N1P2/2P3PP/PP1Q2B1/R3R1K1 b - f3,a8c8
r4rk1/1p1nbpp1/p3pn1p/3p4/2PB4/1PNN1PP1/1P2P1KP/R4R2 b - -,d5c4
5k2/p4pp1/B3p1p1/8/1b6/1P1KP2P/5PP1/8 b - -,b4e1
2k5/pp3p2/r3p1pr/3p4/P2P3P/2P3P1/3K1P2/RR6 b - -,h6h8
3r2k1/3b1pbp/nn1Pp1p1/1P6/5p2/6PP/2QR1PB1/rN1R2K1 b - -,d8c8
4r3/p4pk1/1p4p1/4P1Pp/P1PR4/1P1R3P/4r3/6K1 b - -,e2e5
8/5bk1/5pp1/4p2p/7P/4QPB1/6PK/1q6 w - -,g3f2
8/2p2ppp/1p6/1P2k3/2P1N3/3n1P1P/6P1/6K1 w - -,e4g5
3qr2k/5p1p/pp2pPpQ/8/1P1Pb3/P6R/6PP/5RK1 b - -,d8d4
5r2/5k2/2R4p/2P3p1/P3n3/8/3B2PP/6K1 w - -,d2e1
3r3k/6p1/5p1p/p3P3/2Kn4/1P2N1P1/3R3P/8 b - -,f6e5
6R1/8/8/3K4/pr6/1k6/8/8 b - -,a4a3
8/3N1p2/4p3/P4kP1/8/1KP5/6rB/5b2 b - -,g2h2
r4rk1/pb1n2pp/4n2q/4pp2/1PBp4/P2Q1PP1/1B1N2KP/4RR2 b - -,g8h8
8/3q2kp/p5pb/P3P3/5n2/5Q2/1r3PPP/R3R1K1 w - -,a1d1
r3r1k1/p4pp1/1q1p1bbp/2pP4/1nB1P3/R1N2N1P/1P3PP1/3QR1K1 w - -,c3a4
r4k1r/p4ppp/1pnPp3/2p1Pn2/q2P2Q1/P4N2/2PBKPPP/R6R w - -,c2c3
r4rk1/2qnbpp1/2p1pn1p/p1Pp4/3P3B/P1NQPN2/5PPP/1R3RK1 b - -,f8b8
2r2rk1/p2qnpp1/1pp1p2p/5n2/3PNP2/P2Q2P1/1P1R1PBP/3R2K1 b - -,f8d8
1k1r4/1p1n4/p3b3/2p1p3/2P1p1B1/4N1P1/PPKR4/8 b - -,e6g4
r3r1k1/ppp2ppp/8/4p3/5n2/2PP1n2/PP1B1P1P/2KR1B1R w - -,d2f4
6k1/7p/pn1r1r2/2p2pNQ/q7/8/P5PP/2R1R2K b - -,h7h6
3Q4/7k/p7/P3KP2/1P6/8/4q3/8 w - -,e5f6
8/4kp2/8/1QPq4/5p2/7P/5P1K/8 b - -,f4f3
6k1/p7/4p1p1/3bn1Pq/1p1p4/3P2Q1/PPPB1K2/R7 b - -,e5g4
r4n1k/1p1qn3/4prpp/p2pP3/5P1P/3B1N2/PPPQ4/2K1R1R1 b - -,f6f7
3r4/1p1n1k1p/rq1Ppnp1/pN2Qp2/2P2P1P/1P2N1P1/P3R2K/3R4 w - -,e5b2
r1bqk2r/p4ppp/4pn2/2b5/1p6/1B2PN2/PP3PPP/R1BQ1RK1 w kq -,b3a4
3r2k1/2NP1p2/1R5p/1Bp2p2/8/8/5bPK/2r5 w - -,b6h6
4r1k1/pp1rq3/2p3p1/2P1P3/8/2Bp2P1/P2Q3P/4R1KB w - -,d2e3
r1bq1rk1/ppppbppp/2n2n2/4p1B1/2B1P3/3P1N2/PPP2PPP/RN1Q1RK1 w - -,c2c3
3r1r2/1p4kP/3p4/p3qp2/P4R2/2PpP1Q1/1P6/1K1R4 b - -,g7f7
r1b2rk1/p3bppp/1pn1p3/3p4/3P4/2PBP1B1/2RN1PPP/1R4K1 w - d6,e3e4
4n1k1/pp1bBpp1/7p/3p4/3Pp3/1P2P3/P3BPPP/6K1 w - -,g1f1
5r1k/p3Npp1/3n3p/5Q2/3q3P/6R1/5PPK/8 w - -,e7g6
8/p7/4k2p/4p2P/1pp1K1P1/7r/PP4R1/8 b - -,a7a5
r1br2k1/3n1pb1/p5p1/1p1pp3/2q5/BRP2NP1/P1B1PPK1/1Q5R b - -,e5e4
5r2/1q2bp2/k1p1p1p1/1p1rP2p/pPpP1P1P/P1P2QP1/2R2B2/R3K3 w - -,c2e2
4r2r/8/3k2b1/Rp1pp1Bp/2p4P/2n3P1/2P2PB1/4R1K1 b - -,e8a8
r1bq1rk1/1p2ppbp/p1np1np1/8/4P3/2N3PP/PPP1NPB1/R1BQ1RK1 b - -,c8d7
7r/2bn1k2/2p5/1pPnppB1/1P6/3N2PN/4PPKP/R7 b - -,e5e4
