8/p1R2qk1/6p1/8/5Bp1/8/5P2/2K5 b - -,f7c7
r1bq1rk1/ppp3bp/2n5/3p1p2/3Pn3/3BPN2/PP4PP/R1BQRNK1 b - -,g8h8
r2q1rk1/1b1nppbp/pp1p1np1/8/2PN4/1P2PNP1/PB3PBP/R2Q1RK1 w - -,d1e2
r1b2rk1/ppq2ppp/2n2n2/2p1p3/3P4/P1PBP3/4NPPP/R1BQ1RK1 w - -,c1b2
r1bq1rk1/pp1n1ppp/2pb1n2/6B1/2BP4/2N2N1P/PP3PP1/R2QR1K1 b - -,h7h6
r1bq2rk/pp4bp/2n1ppp1/5n2/2PPN3/B2BPN2/6PP/1R1Q1R1K w - -,d1e2
8/8/p7/R7/2r1p1k1/4P3/3K4/8 b - -,c4c6
rnb1k2r/1pqp1ppp/2p2n2/p1b1p3/2P1P3/P1N2N2/1P1PBPPP/R1BQK2R w KQkq -,e1g1
8/8/8/2bB4/2n2k2/2N1p3/4K3/8 b - -,c4d6
r1b3k1/1pqn1pbp/p2p2p1/2pP2B1/P3r1P1/5N1P/1PQ1PPB1/R4RK1 b - -,e4b4
6rk/pp3n2/5q2/1Q1p2p1/3P1pR1/2P2N1P/rP3K2/6R1 w - -,f3g5
r5k1/2p2q1p/2p3p1/p1npR3/5p1Q/1P6/PBP2PPP/6K1 w - -,h2h3
6k1/1pr2pbp/6p1/N3pb2/6P1/2P2B1P/Pn3P2/3R2K1 w - -,d1d8
5r2/2p3rk/7p/PpN1p3/1PbPPp2/2P3p1/5RPP/R5K1 w - -,h2g3
8/3k2Pb/7b/4K2P/3B4/4p3/Pp1r4/7R b - -,h6g7
r3q1k1/2p2pbp/pp1p1np1/2nP4/P7/2P2Q1P/1P3PP1/RBB2NK1 w - -,b1c2
8/8/p4k2/1p1bn3/3N1p2/2P2P2/PP1KBR2/7r w - -,a2a3
r3r1k1/1pp2q2/3p3p/p2Pp1pn/2P3Q1/PP2R1BP/5PP1/1R4K1 b - -,e8f8
2kr3r/ppq2p2/2pnp2p/6p1/Q2P4/2P2NP1/PP3PP1/1R2R1K1 b - -,c8b8
4B3/K6P/5k2/7r/5p2/5b2/8/8 w - -,e8h5
r2qk1nr/p4pbp/1pp1b1p1/2p1p3/4P3/2NPB3/PPPQNPPP/R3K2R w KQkq -,e1g1
6k1/5p2/p1nnb2p/Pp1p2p1/1P1P2P1/2B2P1P/2B1N3/6K1 b - -,f7f6
R7/3n1ppk/7p/1p1r4/1Pp5/2B3P1/1P3PKP/8 b - -,d7e5
3b4/6pk/7p/4KP2/6P1/8/NPr5/2B5 w - -,e5e4
1r4k1/3q1pbp/2pP1np1/p1B2P2/8/Pr4PP/1P1R1QBK/4R3 b - -,b3b2
4r1k1/pp5p/5pp1/bP6/5B2/4P2P/5PP1/2R3K1 w - -,c1d1
rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,b7b6:b8d7:f6e4:c7c6:e8g8:h7h6
3r4/p2Pqpbk/1p4p1/3pN2p/1P1Q1P2/P6P/6P1/5RK1 w - -,d4d5
r7/5p1k/pbr1P1Np/1pnq4/8/P1Q5/1PP3PP/1K3R2 w - -,f1f7
r1b2r1k/1p2qppp/p1pn4/P7/2B1PR2/Q7/1PPN2PP/R5K1 b - -,c8e6
6rk/p3b2p/2pn3B/3p4/3P2P1/4N2P/P3P1B1/5K2 w - -,g2f3
b7/8/1K1k2p1/P2p2p1/1N1P1pP1/5P2/7P/8 b - -,d6d7
8/1p2k3/p1p3p1/2P3Kp/1P5P/P7/4BP2/1b6 b - -,e7e6
2b4k/2p3r1/p2q4/2pPQ1p1/2B3P1/1P5P/P5K1/4R3 w - -,c4d3
