8/5b2/2p5/1kP1K3/3PB3/P7/8/8 w - -,e5d6
r1b1k2r/pp2ppbp/2np1np1/7q/2P5/2B2NP1/PP2PPBP/RN1Q1RK1 w kq -,b1d2
3rr1k1/ppp2p2/2np3p/2b1pBQ1/4P3/2Pn3P/PP1N1PPN/R4RK1 b - -,h6g5
8/8/2p1kpn1/2P4p/2KP3P/5P2/5B2/8 b - -,g6f4
r1B2rk1/6b1/3p3p/n1q1p3/2P2p1N/R2QN1P1/3K1P1P/7R b - -,f4e3
5rk1/5ppp/8/8/1p1N1q2/8/1P2Q1PP/R5K1 b - -,f4d4
r5k1/1ppqnrb1/p2p1n1p/2PPp1p1/4Pp2/1QNN1P2/PP1B2PP/R4RK1 b - -,a8b8
6k1/5pp1/p1r3p1/1p1pR3/r2P4/P1P5/3K1PPP/2R5 w - -,c1a1
r1bqr1k1/pp1nbppp/2pp1n2/4p3/2PP4/2N1P1PP/PP2NPB1/R1BQK2R w KQ -,e1g1
rn3rk1/ppq3bp/3p2p1/2pP1b1n/8/1QN1B3/PP1N1PPP/R3KB1R w KQ -,f1e2
r5k1/2p2r1p/p1nqp1p1/1p4B1/3PP2P/8/PPPQ4/2KR2R1 b - h3,a8f8
r6r/pp1bkp1p/2n5/4pp2/3p4/P4N2/P1P1PPPP/2KR1B1R w - -,e2e3
4r3/1p4k1/p2p2n1/PbpP1p2/7p/R1N2P2/1P4PP/3RrBK1 w - -,d1e1
2rqr1k1/ppn2bpp/2pp1n2/5pb1/P1PPp3/BPN1P3/1Q1NBPPP/2R2RK1 w - -,d4d5
3r1rk1/1pp1qppp/p1n2n2/3pbb2/5N2/1PN1PB2/PBP2PPP/R1Q1R1K1 b - -,c6b4
rqr3k1/3n2bp/pp1pb1p1/P3pp2/1PP1P3/1N2BP2/3QB1PP/1RR3K1 b - -,b6b5
8/2p3pp/1k2bp2/pNp1p3/1nP1P3/1PK2P2/5RPP/r4B2 w - -,f1d3
8/1p1r4/p1pPk2p/2P2Rp1/PP2K1P1/7P/8/8 w - -,e4d3
r4rk1/bpp1npp1/3p1q1p/Pp2p3/2N1P3/1QPP1N2/5PPP/R3R1K1 w - -,b3b5
4b3/p6p/2p1k1p1/1nP5/PPN2P2/3K2P1/8/8 b - -,b5c7
r1r5/1p1k2p1/1p2pn1p/1N3p2/1n1b4/3P2PP/PP1B1P2/R1R2BK1 b - -,d4c5
r1n5/2pb2qk/1p1b2pp/3Pp3/4P3/P3B1PP/1P1N1RBK/2Q5 b - -,d7b5
2rqr1k1/1p2n1bp/2n1bpp1/p1ppp3/2P5/PPNP2P1/2NBPPBP/1RQ2RK1 b - -,b7b6
8/p4pk1/6p1/1p2r3/1P4pP/P2R2P1/5PK1/2bN4 w - -,d3c3
8/2p1k2p/R5p1/1p6/8/6PP/PPP2PK1/3r4 b - -,d1b1
r4b1r/1pk2p1p/p3bp2/4p3/4P3/2N5/PPP3PP/2KR1B1R w - -,c3d5
3b4/3q1k2/1p3p2/1Np2p2/2P1P1Q1/P3K3/8/8 w - -,g4f5
8/6k1/b4n2/7p/1pN4P/1P6/1PPKN3/8 w - -,e2f4
8/7p/4ppp1/3b4/1pk2P1P/4P1P1/1KB5/8 b - h3,f6f5
8/q3r2k/pp1Q2p1/5p2/2PR1Pp1/7P/PP4P1/6K1 w - -,h3g4
2brr3/1p3pkp/p4np1/2qpn3/3N1N2/1P2PP2/P4QPP/1B1RR2K b - -,g7g8
8/1p3k1p/pbb3p1/4pp2/5P2/1N4P1/PPP1N2P/4K3 b - f3,f7e6
r2q1k2/2p1bpr1/p5p1/1p1p4/8/2P5/PP1NRPPP/R2Q2K1 b - -,g7h7
5rk1/Bp2bp1p/2r1p3/6pq/1P4nP/P1NQ2P1/5P2/R2R2K1 w - g6,h4g5
8/5p2/Pk6/1B6/4n3/6p1/8/2K1B3 w - -,b5f1
5k2/1p6/1rp1R1P1/5p1p/2B5/1P4KP/6P1/8 b - -,b6b4
2rq1rk1/pp1b1pp1/2n1pn1p/3p4/3P4/P1NBPNP1/1P3PP1/2RQ1RK1 b - -,c6a5
4n1k1/pp3q1p/2pbnpp1/3p4/3P3P/1BPN1Q2/PP1B1PP1/6K1 w - -,b3c2
1r3qk1/bpp2pp1/p2p1n1p/8/2PP3P/1P4PB/PB1Q1P1K/4R3 w - -,d4d5
r3r1k1/1pp2ppp/pb1q2b1/3P4/P1BNn3/2P1B2P/1Q3PP1/2R1R1K1 b - a3,e4c5
1r3bk1/2p2pp1/2n1rn1p/4p3/1p2P3/2PqNQNP/1P3PP1/R1BR2K1 b - -,d3b5
r4rk1/pbq1bppp/2n1p3/2p1p3/PpN1PP2/1P1P2P1/1BPQ2BP/R3R1K1 b - f3,e5f4
8/R4k2/3p1np1/7p/4p1pP/p3P1K1/r4P2/8 b - -,f7e6
3r1rk1/pp2bpp1/2p1pn1p/NPPb4/P2P1B2/1Q6/3RBPPP/3R2K1 b - -,d5b3
8/6pk/K4p1p/4pP2/2R5/8/8/8 b - -,h6h5
r2qrbk1/3b1ppp/p2p1nn1/1p1Pp3/PPp1P3/2P1BNNP/5PP1/RB1QR1K1 w - -,b1c2
4b1q1/2k2p2/4pQnR/1p1pP3/p1pP2P1/P1P2P2/1PB5/7K w - -,c2g6
r2q1rk1/5pp1/3p1b1p/p1pPn2n/PpB1P3/1P3P2/R3NBPP/3Q1RK1 w - -,a2c2
5rk1/n3q2p/pp2p1p1/1b2Np2/1P1P4/P1R1P3/3Q2PP/1B4K1 b - -,f8c8
1R6/5pk1/5p2/1pB1p2p/1P5P/2n1PP2/3r2PK/8 b - -,d2d3
1Q6/4kp1p/2bp4/p1b1p1r1/4P3/2P3P1/P4P1P/5RK1 w - -,b8c7
