8/2p4p/p7/1p3k2/1Pn2P2/P4K2/5P2/7R w - -,h1h7
K7/R7/8/1rk5/8/8/8/8 w - -,a7b7
6k1/5b2/3p2p1/2p2P2/1nPpP3/2q3Qp/4BK1P/5N2 b - -,c3g3
2k2b1Q/pp2qp2/6bp/3p4/3N4/3Pr2P/PPPB4/2K2R2 b - -,e3h3
2bqnrk1/r2n1ppp/pp1b4/2p1p3/2P1P3/2NQBNP1/PP3P1P/R3RBK1 b - -,d8f6
2b2rk1/2q2pp1/1pN3r1/3Pp2p/1pP1P1nb/3Q2PN/4B2P/1R3R1K b - -,h4f6
r1bqr1k1/2p2pbp/p1pp1np1/8/P3P3/2N1B2P/1PP1BPP1/R2Q1RK1 w - -,e2f3
4n3/2rnk3/pr1pp1p1/R4pPp/1PP1bP2/1NB1P2P/1K1R4/5B2 w - -,b2a3
8/8/5k2/8/5p2/6p1/R3P1K1/4r3 b - -,f6f5
rnbq1rk1/p1p2pbp/1p2pnp1/3p4/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,f3e5
rr4k1/3n1pbp/6p1/PqP2b2/2NRp3/B1Q3P1/5PBP/R5K1 b - -,d7c5
1rr2k2/pp1bppbp/2np2p1/2nN4/2P1PP2/1P4PP/P1NB2BK/2R1R3 w - -,e1d1
rn3rk1/4ppbp/4b3/p2p2BP/qppP2P1/4PP2/PPP4Q/1NKR1B1R w - -,h5h6
2rqr1k1/1bp2pbp/p2p1np1/1pnPp3/2P1P3/1P3NNP/P1B2PP1/R1BQR1K1 w - -,c1e3
3r1rk1/1q4pp/p2p4/1b1P1p2/4p3/1PP5/R2Q1PPP/R2B2K1 b - -,b5d3
1r3rk1/pb2qpp1/Bpn1pn1p/2pp4/P2PP3/2P2N1P/1P1NQPP1/R4RK1 w - -,a6b7
3rkb1r/2p1pppp/p1P2n2/3P1q2/pB6/5B1P/PP3PP1/R2Q1RK1 w - -,d1a4
r6r/3k1ppp/2pb2q1/1p1p4/1PnP4/2NRBQ2/2P2PPP/1R4K1 b - -,g6e6
3r4/1q3pk1/p5n1/Pp5p/1P1b3P/4R1P1/3N1P1K/4Q3 w - -,e3e2
r1q1rbk1/ppp2pp1/3p2np/4p1n1/1P1PP3/2P1NNB1/P1Q2PPP/R3R1K1 w - -,f3g5
6r1/P1k5/K3pb2/2B2p2/1PN5/7p/7P/8 b - -,c7c6
2r1k3/1p3p1p/p3p3/4Pn2/2P3r1/1P6/P4B1P/R2R1K2 w - -,d1d3
3r4/6pp/1pk1p3/p1rpPp2/P2R1P2/R1PK4/1P4PP/8 b - -,c6b7
8/1p6/3nk3/1p1p1pb1/1R1P4/P3N1P1/1P3BK1/2r5 b - -,c1c8
2r1k2r/pp1n1pp1/3bpqp1/8/3PP3/1B4P1/P4P1P/R1BQ1RK1 b k -,g6g5
8/5pk1/8/5Bqp/6P1/6Q1/7P/7K w - -,g4h5
8/1p4k1/2b3r1/7p/2P3p1/2K3Q1/8/8 w - h6,g3e5
1r3rk1/2p2ppp/p3bb2/2p5/5n2/2P1N3/PP1N1PPP/R1B2RK1 b - -,f4e2
2r1b3/1p1k1p2/p1q1p2p/4P3/3Pp3/P1N1P2P/1P1Q4/4K1R1 w - -,g1g4
1r1q1rk1/1p1nppbp/2bp2p1/1N6/1RP1PP2/3P2PP/3BQ1B1/5RK1 b - -,d7c5
2rqkb1r/pp1bnppp/2n1p3/3pP3/3p4/N1P2N2/PP2BPPP/R1BQ1RK1 w k -,c3d4
5rk1/1b1R1ppp/p3p3/1rp5/N1p2P2/2K5/PPP3PP/4R3 b - -,b7g2
r3nr1k/p7/q4pp1/3RP1pP/8/Pp3NQ1/1Kb2PP1/7R w - -,h5g6
8/6k1/7p/4P1p1/8/6P1/b4KBP/8 b - -,g7f7
