1R6/1P3pk1/6P1/5P2/8/8/4K3/1r6 w - -,g6f7
8/2r2k1p/2pb1pp1/p2p4/1PQP2P1/P1N4P/5PK1/4R3 b - -,d5c4
8/p7/8/6P1/1k3K2/8/8/8 w - -,g5g6
8/pbN2p1p/5kp1/1pP5/7P/P1n3P1/2B2P2/6K1 w - -,c2d3
8/8/4pkp1/4N2p/3P1P1P/3B1KP1/8/3r4 w - -,d3g6
8/KR6/P1k5/8/8/8/8/r7 w - -,b7b2
5n2/1b5p/1p1k2p1/4ppP1/BPP4P/2N1KP2/8/8 w - -,c3b5
4r1k1/5pp1/7p/1Q6/P2pq3/6PP/4PP1K/3R4 b - -,e4e2
1r4k1/4q1p1/p4n1p/3bp3/8/brBB2P1/1NQ2P1P/1R3RK1 b - -,b8c8
rn2k1nr/pp1b1pp1/1q2p2p/3pP2P/6P1/1NP5/PP3PB1/R2QK1NR w KQkq -,d1d4
r2q1rk1/pp1bbppp/2n1p3/3pP3/3P4/2PB1N2/P4PPP/R1BQR1K1 b - -,a8c8
6k1/1b3pbp/1n1p2p1/3Pp3/qPp1P3/5NNP/3Q1PP1/B5K1 w - -,a1c3
rnbqk2r/pp2ppbp/3p1np1/2p5/2P5/1P3NP1/PB1PPPBP/RN1QK2R b KQkq -,e7e5
8/p3b3/1p1p2k1/PP1Pp1P1/4Pp1K/3B1b2/8/4B3 b - -,e7g5
8/8/1r6/7K/7P/4k1P1/4p3/R7 b - -,b6d6
1r5k/p7/6pp/2p2b2/3r4/1PN3P1/P1P3P1/1K1RR3 w - -,e1e7
r5k1/pp2rppp/1qb1p3/3n3Q/3PN3/6P1/PP1R1PBP/R5K1 b - -,a8d8
r3r1k1/1bqnppbp/2p3p1/pp4B1/2PPP3/Q4N2/P3BPPP/1R1R2K1 b - -,b5b4
rnr3k1/p4pbp/b5p1/3Pp1B1/Ppp1P3/5N1P/1P2BPP1/2R1K2R w K -,f3d2
2r2rn1/1p3ppk/pb1p3p/2p1pP2/4P2q/P1PPB3/1PBQ1P1P/R3K2R b KQ -,h4d8
3r1rk1/6b1/p3p3/1p3p1R/2pP1P2/P1P1BK2/1P6/R7 w - -,a1g1
4rnk1/p1q2ppp/1pr2n2/3pPN2/3P4/P2Q1P2/1B2R1PP/5RK1 b - -,f6h5
5r1k/p4rp1/3R3p/8/5R2/6P1/5PK1/8 b - -,f7f4
4R3/8/5k2/8/8/8/r3N3/4K3 b - -,f6f7
r1bqk2r/2pnbppp/p3pn2/1p6/2BP1B2/2N1PN2/PP3PPP/R2QK2R w KQkq b6,c4d3
r1bqk2r/ppp2ppp/1b1p1n2/4n3/2B1P3/2P2N2/PP3PPP/RNBQ1RK1 w kq -,f3e5
r1b2r1k/ppp3bp/8/2NnNp2/8/6P1/PP1B1P1P/R3KB1R b KQ -,g7e5
8/pb4k1/4p1r1/2p1n1rp/1p2P3/1P2R1NB/P1P4K/6R1 w - -,g1d1
6r1/p5k1/1p5p/2pnp1r1/3p1pPR/P2P1P2/1PP2KN1/4R3 b - -,d5e3
r6r/1k1n1ppp/pp1pp3/PP6/3bP3/R1NP4/3BKPPP/1R6 w - -,a3b3
2br1rk1/1p4bp/p7/5p2/2PB4/1P1R1P1P/P5P1/3R2K1 b - -,g7d4
1k1r3r/ppq2ppp/4pn2/1b6/3N1P2/2P3P1/PP1RQ2P/1K5R w - -,d4b5
2kr3r/1pp1npp1/p1q2b2/3p1b1N/3P3p/P1N1BQ1P/1PP2PP1/2KRR3 b - -,f5e4
3r2k1/6pp/p4p2/1p1q4/3P4/P3Q1P1/5P1P/3R2K1 b - -,g8f7:a6a5
r1bqk2r/pp1pbppp/2n2n2/2p1p3/4P3/5NP1/PPPP1PBP/RNBQ1RK1 w kq -,f1e1
6r1/pp3rbk/4p1q1/3p1b1p/3P1Pp1/1P1BR1P1/PB1Q3P/2R3K1 w - -,d2e2
5r2/pr5k/3p2pp/2pP1q2/1pQ2p1P/3P1b2/PPP5/2K1RB1R w - -,h1h2
rnbqk2r/pp2ppbp/5np1/2p5/8/3PN1P1/PPP2PBP/R1BQK1NR w KQkq c6,g1e2
r1bqr3/p3b1kp/1p2pp2/3n1npP/3P4/P4NN1/1P1Q1PP1/1BBRR1K1 w - -,d2d3
2r4k/2r1qpp1/1p2p2p/p1n1N3/8/2R1P3/PP2QPPP/2R3K1 w - -,e2b5
2r5/6k1/2Np2p1/1P2p1bp/3nPq2/3K1P2/5QPP/R6R b - -,d4b5
rnb1kbnr/pp2pppp/2p5/q7/8/2N5/PPPP1PPP/1RBQKBNR w Kkq -,b2b4
8/1R3kp1/2n3p1/4p3/2r3PP/P3PK2/5P2/8 b - -,c6e7
5rk1/1b2q1pp/1b2pr2/p2pN2Q/P2Np3/4P1P1/1PR2P1P/2R3K1 w - -,h5g4
r3kbr1/pp2ppnp/1q6/3pPp2/7N/2P3P1/PP1N1P1P/R2QK2R w KQq -,d2b3
2rr2k1/pq3pb1/1pn1p1p1/2p2n1p/2P4P/P2PP1P1/Q2BNP2/1R1RN1K1 b - h3,d8d7
2rqn1k1/1p1bppbp/3p2p1/3P4/3NP3/pP1BB1PP/P4P2/R1rQ2K1 w - -,a1c1
1k2n1r1/ppp2pp1/1qn1R2p/5B2/8/P1B3Q1/1PP2PPP/3K4 w - -,e6e3
r1bq1rk1/pp3pp1/2nppn1p/2p5/2PP4/2PBP3/P1QN1PPP/R1B2RK1 b - -,b7b6
8/5bk1/8/4pp2/7p/4BP1P/7K/8 b - -,g7g6
r5k1/4pp1p/npPp2p1/3P4/1P6/6PP/5PB1/2R3K1 w - -,c6c7
5r2/3q1Prp/Q1kp3b/1p1p3B/7B/2P5/PP4PP/5R1K b - -,c6c7
r2q1rk1/pp2b1pp/2pp1np1/2n1p3/2P3P1/1P1PP2P/PB1NBP2/R2QK2R w KQ -,d1c2
1r4k1/4qp2/1r1p1n1p/N2Pp1pP/RPp1P1P1/2Q2P2/6K1/1R6 b - -,e7d7
6k1/5pp1/7p/2rq1b2/1P2pP2/2P4P/4Q1P1/4R1K1 w - -,b4c5
r1bq1rk1/1ppp1ppp/p1n2n2/2b1p1B1/4P3/1BPP1N2/PP3PPP/RN1QK2R b KQ -,c5a7
r3r1k1/1p1bbppp/1qn1p3/p2p4/P2P1B2/2PB1N2/1P1Q1PPP/R4RK1 w - -,f1e1
r2qrk2/pp1np1nQ/2p1bpp1/4B1N1/4B1P1/2NP4/PP2PP2/R3K3 w Q -,h7h8
4r1k1/ppb5/2p5/2P3Q1/3P4/P6P/1Pq1r1B1/KR3R2 b - -,g8h8
r1br2k1/1p2bppp/p1p1p3/4P3/8/2N5/PPP2PPP/R1B1R1K1 b - -,b7b5
r3kb1r/3n1pp1/1qp1pnp1/pp6/3P4/2N1PP2/PPQBB1PP/2KR3R w kq -,c1b1
3N1nk1/p7/1p4p1/3Pp3/4P1n1/2QB1pq1/PP1K4/8 b - -,g3f4
6r1/5k2/3b1p2/7p/p1RPp2P/4P3/PK6/4B3 b - -,g8g2
3r2k1/pp3ppp/5n2/4n3/2rNp3/2P1P3/P4PPP/R1B2RK1 w - -,a1b1
r1b1k2r/1p1n1ppp/p1p1p3/q5B1/PbPPp3/4P3/1P1NBPPP/R2QK2R w KQkq -,g5h4
rnbq1rk1/pp3pbp/3p2p1/2pPp2n/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 w - -,g2g3
4nqk1/3n1ppp/B1N5/2bpP3/1P6/4BP2/6PP/2Q3K1 b - b3,c5b4
rn1q1rk1/1pp1bppp/4pn2/p2pN3/3P1P2/3PP3/PP1N2PP/R1BQ1RK1 b - f3,a5a4
3b4/p4p1p/1pp1k1p1/8/P1P5/3NKPPP/1P6/8 b - c3,a7a5
8/7p/5K1P/6p1/6k1/8/8/8 w - -,f6g7
r2q1rk1/1p1b1pb1/2pp1npp/2nPp1P1/p1P1P2P/2N1B3/PP1NBP2/R2QK2R b KQ -,h6g5
r1q1k2r/2pbbppp/p1pp1n2/8/4PP2/2N4P/PPP1B1P1/R1BQ1RK1 b kq -,h7h6
4qrk1/1pr1b1pp/pP1p4/3P4/4pp2/1R3PP1/1PP4P/3QKB1R b K -,c7c5
3b4/2p4p/4p1p1/1p1kP3/1Pp2PP1/2P1BK2/7P/8 w - -,e3d4
8/5pk1/p2Qpbp1/7p/PP1BqP2/6K1/6PP/8 w - -,d4f6
R7/8/8/5Kp1/Pk5p/7r/8/8 w - -,f5g5
r6r/ppk3pp/2p2n2/5p2/2P2P2/5K2/PP4PP/RN1R4 w - -,b1c3
r5k1/1b3ppp/1p3n2/p1npr3/3N4/1P4P1/P3PPBP/2R1RNK1 b - -,g7g6
r3r1k1/p2b1p2/1pp4b/2p1p3/4P3/2NP2P1/PPP3KN/R4R2 w - -,f1f2
1r2rn2/5pk1/Q1pbpqp1/3nN1Rp/3P1P1P/PR6/1PBB2P1/6K1 b - -,b8b3
r2r2k1/q4ppp/5b2/p3p3/4P2P/1N3P1R/PPP1Q3/1K1R4 b - -,d8d1
r4r2/pp4kp/2nNppb1/8/1PB2PP1/P7/5K1P/R2R4 w - -,c4e6
6k1/5pPp/4p1p1/4B3/2pP4/8/4q1KP/1Q6 w - -,g2g3:g2g1
5n2/4kp1p/1p4p1/p1r1p3/2b1P3/PB3P2/2P1NKPP/2R5 b - -,f8e6
8/3b3p/3k1p2/4p1p1/2B1PP2/4K1P1/7P/8 b - -,h7h6
6k1/5p2/6p1/p2K4/2p2P2/2P5/Pr5P/5B2 b - -,b2a2
