6k1/7p/8/1Rb3PK/8/8/8/8 b - -,c5a3
r2q1rk1/1b1p1pp1/ppn1pn1p/8/1bPN3B/2N1P3/PPQ1BPPP/3R1RK1 b - -,a8c8
r3r1k1/5ppp/2p2b2/2Bp4/p2P2P1/6P1/PP2RP2/R4K2 b - -,e8e2
r1bq1rk1/1p3pbp/p2pPnp1/2p1n3/2P1P3/2NBBP2/PP2N1PP/R2Q1RK1 b - -,f7e6
rn1qkb1r/pp3ppp/2p1pn2/3p3b/3PP3/2NB1N1P/PPP1QPP1/R1B1K2R w KQkq -,c1d2
r1bqk2r/pp1nbppp/4p3/n2pP3/2pP3P/P1P2N2/1P2NPP1/R1BQKB1R w KQkq -,c1e3
rn2kb1r/1bqp1ppp/p3pn2/8/1p2P3/1NNB4/PPPBQPPP/R4RK1 w kq -,c3d1
2r5/4pk1p/3p1pp1/3P4/1rpQPP1P/2R5/6P1/6K1 b - f3,c8c7
1rb2r2/2qnppkp/pp4p1/2pP4/8/1Q1P2P1/P2NPPBP/R4RK1 b - -,d7f6
r1q1r1k1/2p1bpp1/p1N1pn1p/1p6/3PP1PP/1P3Q2/1B3PK1/R1R5 b - h3,e6e5
8/4P2R/p7/1p6/1P6/8/3K1p2/4rk2 b - -,f1g2:e1e6
3R4/2r5/8/4n3/4k3/1K6/8/8 b - -,e5c6
1r6/R2bqpk1/1p1r2p1/p2Pp2p/4P3/PPQ3PP/6BK/5R2 w - -,h3h4
r5k1/4bpp1/4b2p/3pPp1P/2pP1B2/2P2NP1/2q2PK1/2R1Q3 b - -,c2a2
2r3kb/p2b1p2/3Bp1p1/1p1qP2P/3N4/1Pn2P2/1KPQ4/R6R b - -,c3e2
2r3k1/4np2/4p1p1/p1N4p/2bPB2P/2R3P1/5P2/6K1 b - -,c4d5
r1b2k2/2n2pp1/1p1N4/pP1pP2p/2pP1P2/2P4P/2B2KP1/R7 w - -,f4f5
2b2k2/1p5p/1r1b2p1/p1nN1p2/3B2P1/P6P/1P4BK/5R2 w - -,h2h1
r5k1/2r1ppb1/b2p2p1/q1pPn2p/Pp2PN1P/1Q1P1PP1/R2B2K1/2R2B2 b - -,a8c8
8/7p/3n2p1/1p1kp3/6PP/3BK3/P7/8 b - -,e5e4
8/8/3k4/1b6/3pp3/1B6/2PK4/8 b - -,d6c5
