8/5k2/1K1p1p1Q/3Pp2p/1q2P3/5P2/8/8 w - -,b6c6
5rk1/5pnp/q2p2p1/4p3/4P3/2Q1N1PP/5P2/2R2BK1 b - -,a6a8
6kr/p5b1/5ppp/5b2/1p1q1BP1/1P6/PKR1Q1BP/4R3 w - -,b2b1
r7/r3pp2/2kp3p/p1b5/R3PP2/P6R/1PP3P1/1K3B2 w - -,h3h6
r4rk1/1b1qbppp/p7/3p4/1P3B2/P1N2Q2/5PPP/R3R1K1 w - -,a1d1
8/8/8/PR6/4k3/r7/3K4/8 w - -,d2c2
5k2/KR6/P4Pp1/8/4p2P/1r6/8/8 b - -,b3a3
r1bqk2r/4npbp/pp2p1p1/2pp4/P1BnPP2/3P1N2/1PP1N1PP/R1BQ1RK1 w kq d6,f3d4
4r1k1/1q2ppbp/2r1nnp1/p2N4/3P4/1Q2P2P/P3BPPB/1R3RK1 b - -,b7b3
r1bqkbnr/1p3ppp/p1npp3/2p5/4P3/2PP1NP1/PP3PBP/RNBQK2R b KQkq -,g8f6
rnb1k2r/p4ppp/2p1pn2/1p1qN3/PbpP4/2N1PQ2/1P2BPPP/R1B1K2R b KQkq -,d5f3
8/4r3/6p1/6k1/4Bp2/R4K1p/8/8 w - -,a3a5
r7/pbr3p1/6kp/1p1pR3/1P1PnP1P/2P1N1P1/P7/2R1B1K1 b - -,e4d6
r1b1r1k1/ppq2ppp/2p5/3np3/2BP4/PN2PP2/6PP/R1Q2RK1 b - -,d5f6
5r2/5qkp/1p1p2p1/3Pp1b1/1N6/4P2P/PP2Q1P1/4R1K1 w - -,e3e4
5rk1/p2p2pp/1p2p3/3b2r1/8/2PB1P2/PP3KPP/R6R w - -,c3c4
8/7k/5p2/5pp1/7P/6P1/8/4K3 b - -,h7g8
8/8/1pk3pp/pR2K3/P6P/1P4P1/2r5/8 b - -,c2c3
r4rk1/1pbbqp2/2p1p1pp/p3P3/3P4/8/PPQN1PPP/1B1R1RK1 b - -,f7f5
bb1rr1k1/1q1n1pp1/4pn1p/3P4/3N4/N3BPPP/1P1R1QB1/3R2K1 b - -,f6d5
r4rk1/ppqb1p1p/3b2p1/8/3P4/2PB1Q2/P4PPP/R1B2RK1 b - -,c7c3
3r1n1R/1pkr2p1/2pn2P1/3p1P2/1b1P1N2/3BP3/1P3K2/2B3R1 b - -,c7b6
rn1qkbnr/ppp2ppp/2b1p3/8/4N3/3PBN2/PPP2PPP/R2QKB1R b KQkq -,g8f6
r2r1k2/p2bppbp/Bp4p1/3Nn2n/1P1NP3/P3BP2/6PP/3RK2R w K -,e1f2
3r2k1/5pp1/1p3n1p/p2p4/PP2q3/4PN1P/1Q3PP1/2R3K1 w - a6,b4a5
5N2/5kp1/1r3n1p/p7/8/B7/5PPP/5RK1 w - -,f1a1
r1b3k1/p1R1Brp1/2p5/3pRp2/7p/3P4/PPP2KPP/8 w - -,f2f3
8/8/1pBk2p1/1P6/8/2n5/5K2/8 b - -,d6c5
2r3k1/1p2ppbp/3pbnp1/6B1/2PNPP2/3B3P/r5P1/1R2R2K b - -,c8c7
6k1/4qpp1/8/2p2Q1p/8/1P2P3/2K5/8 w - -,c2d3
r1br2k1/1pq1bppp/p2ppn2/4n3/P2NPP2/2N1BB2/1PP3PP/R2Q1R1K w - -,d4b5
r7/8/7p/3k4/7P/5PK1/4R3/8 w - -,f3f4
r1b1k2r/1pq2p1P/p2pp2p/4n3/3NP1Pb/2N5/PPP1Q2P/2KR1B1R w kq -,c1b1
8/8/3p2PK/5r1P/2P2k2/8/1P6/6R1 b - -,f5e5
r1bqk2r/pp4bp/2n1ppp1/1N1n2B1/Q2p4/5NP1/PP2PPBP/R3K2R w KQkq -,g5d2
rn1qkb1r/pp2pppp/5n2/3p1b2/Q7/2N2NP1/PP1PPPBP/R1B1K2R b KQkq -,d8d7
2r1r1k1/1p1bbppp/p2p4/3P3q/3B1Q2/1B5P/PPP3P1/4RRK1 w - -,d4g7
rnb4r/ppp1kppp/3b1n2/8/2BP4/5N2/PP3PPP/RNB1K2R w KQ -,e1g1
6k1/RR1r4/2p2p1p/8/6P1/4K2P/8/3r4 b - -,d1d3
r1b1kb1r/ppq2ppp/2n1pn2/2p5/2PP4/3BPN2/P4PPP/RNBQ1RK1 b kq -,f8e7:e6e5
r1br4/1p4k1/pbnBp1p1/8/2B1N3/3R4/1P3PPP/5RK1 b - -,e6e5
1r1q1nk1/3b1ppp/p1p2n2/1p6/P1PP4/2NB1P2/5BPP/1R2Q1K1 b - -,b5c4
r1b1kbnr/p2p1ppp/2q1p3/1pp5/3PP3/2N2N2/PPP2PPP/R1BQK2R w KQkq b6,d4d5
3rr1k1/n5qp/pp1p2p1/2pPP3/P4P1P/1P4QB/7K/4RR2 b - -,g8h8
4r2k/6pp/5b2/3R4/2PN4/R1P1rP2/5KP1/8 b - -,h8g8
3k4/5p2/p1BP2p1/1pN1r3/1P6/2P5/P4K1P/8 b - -,d8c8
r1b1qrk1/ppn1b1pp/2pppn2/5p2/2PP4/1PN3PN/PB1QPPBP/4RRK1 b - -,e6e5
