8/8/8/4p1k1/4P3/8/3K3R/5r2 w - -,d2e3
8/6kp/2B5/2p2p2/1p3P2/2b3PP/P3R1K1/3r4 w - -,c6a4
8/4N3/8/5P1p/7P/5n1K/5k2/8 b - -,f3g5
3rr1k1/pbqn1pbp/1ppp1np1/4p3/P2PP3/2NBBN1P/1PP1QPP1/3RR1K1 w - e6,d4e5
4r2k/7Q/pp1p1n2/3Pr2p/P1p4b/7P/1PPBN2K/R4R2 b - -,h8h7
3r2k1/pp3p1p/5Q2/2p4N/3q2n1/8/PP4PP/5R1K w - -,f6f7
r2qk2r/1b1nbpp1/p2ppn1p/2p5/Pp2P1P1/3P1N1P/1PP1NPB1/R1BQ1RK1 w kq -,e2g3
r6r/3qpkb1/1p1n1p2/p1pPp1pp/P1P1P1P1/1P2NPB1/2Q3KP/R3R3 w - -,h2h3
3r1rk1/pp1bqpbp/2n2np1/2p1p3/4P3/N1P1BN1P/PPB2PP1/R2QR1K1 w - -,d1c1
2bq1rk1/p4pbn/3p2p1/1r6/1p2PNPp/3PB2P/P2Q2B1/1R3RK1 w - -,b1b4
2kq1b1r/pp4pp/2n2p2/8/5PPP/1P2Q3/PB6/1K3B1R b - -,d8d5
rbb3k1/1p1n2pp/1Pp5/p1P2p2/3P4/N5P1/P1N3BP/4R1K1 b - -,d7f6
5r2/4ppk1/1q1p1np1/2pPnP1p/2P2N2/1p3PQ1/1P2B1PP/r4R1K w - -,f1a1
r1b2rk1/1pq1bppp/p3pn2/4N1B1/8/3B4/PPP1QPPP/3R1RK1 b - -,f6d5
2rr2k1/pp2ppb1/4qn2/4N1p1/3pP3/6B1/PPP1Q1P1/1K3R1R w - -,f1f5
8/4k3/8/6p1/4P3/3R3P/5K2/6r1 b - -,g1h1
6k1/1R4p1/1p5p/r7/1p3N2/2n2KP1/P6P/8 b - -,a5a3
5bk1/6n1/6qp/1p1Q2N1/1P1p1P2/8/6NK/8 b - -,g8h8
r1r1bbk1/pp5p/4R1p1/3P2B1/3p2P1/3B3P/PP6/R5K1 w - -,d5d6
8/5pk1/4p3/2Nn3p/2R5/1P3P2/1r6/6K1 w - -,c4d4
3r1r1k/1p2n1pp/3pb3/pq2pp2/4P3/P1PNQ1P1/1P1R1PBP/5RK1 w - f6,f2f3
r3kbnr/pp1nppp1/2p4p/q2p1b2/2PP3B/2N1PN2/PP3PPP/R2QKB1R b KQkq -,e7e6
8/p4N2/8/R4n2/1P3pk1/P7/r7/3K4 b - -,f5e3
rn1qkbnr/pb1p1ppp/1p2p3/2p5/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,e1g1
k7/1R3p2/P1p1b1p1/1pP3P1/1b1KP3/5Pp1/8/5B2 w - -,b7c7
3Q3b/1p3q1k/p1R3nP/3p1pp1/3P2N1/1P4BP/1P3PK1/8 b - -,b7c6
8/4kprN/8/p3p1PP/2p5/P5R1/1pP3b1/1K6 w - -,h7f6
r3q3/pbpn2k1/1p2p2p/3pP3/5b2/2PB4/PP1NQ3/2KR3R w - -,e2g4
r1r3k1/pp1nq1pp/2b1p3/2PpNp2/3P1P2/2Q5/P3PPBP/1R3RK1 b - -,d7e5
2r2rk1/1p3ppp/p7/4q3/n7/2P1B1P1/PP1R2QP/R5K1 w - -,e3d4
r4rk1/pp1nqppp/2p1b3/4p3/2P5/2NP1B2/PP3PPP/R2QR1K1 w - -,d1e2
r2q1rk1/pp3p1p/2n2pp1/5b2/8/2P2N1P/PP2BPP1/R1Q2RK1 b - -,f5e4
r2q2k1/1p3p1p/2p1bbp1/p7/P4B2/1PP3P1/2Q2PBP/4R1K1 b - -,d8b6
4qr1k/1pp4p/pb1p4/3PppQP/1P2P3/8/1B5P/5R1K b - -,f5e4
rr4k1/3nq1pp/b2p4/3Pp3/RPp1P3/4Q1P1/3N3P/2R2BK1 b - -,a6b5
2r1k3/R2p2p1/4p3/2P5/3K1PP1/2P5/8/8 w - -,a7a6
r2q1rk1/pp1bb2p/2pnp3/3pBpp1/2PP4/1Q4P1/PP1NPPBP/R4RK1 b - -,d7c8
4r3/p3k3/1p2r1pp/1Pp1P3/2Pb2KP/6B1/P3R3/4R3 w - -,e1f1
r2B4/2P2k2/3P4/6pp/P7/5p1P/5P1K/4R3 w - -,d8g5
5r1k/6p1/3b1q1p/p2P4/1rB2P2/4Q1P1/2R2P1P/2R3K1 b - -,a5a4
5rk1/pp2ppbp/2n1b1p1/3q4/1P1P1B2/5N2/P3BPPP/2Q1R1K1 w - -,f3g5
5rk1/p1q3bp/1pPrp1p1/4p3/Q3B3/3b2P1/PP3P1P/R1B1R1K1 w - -,e4d3
5r1k/pp2q1pp/5n2/2p5/N1Ppr3/3Q3P/PP1R1PP1/5RK1 b - -,f8e8
3b1k2/5p2/1p2q1n1/p2p4/1Pb5/P4BQP/7P/2N1R2K b - -,e6f6
2r3k1/5p1p/4pqp1/8/3RB3/r5P1/2PQ1PKP/8 b - -,a3c3
r1b2rk1/ppQ2p2/3p2p1/3Pq3/4Pp2/3B1P2/PP4RP/2R3K1 w - -,c7c3
rn1qk2r/pbpnbppp/4p3/1p1pP3/7P/3P1NP1/PPP2PB1/RNBQ1RK1 b kq h3,c7c5
r4rk1/2q2p2/2p2np1/2Pp1pb1/3P3p/2B1P1P1/2Q2PBP/RR4K1 w - -,a1a8
r4rk1/1nq2pbp/p3p1p1/5NP1/Pp3P2/7Q/2P2BBP/3R1R1K b - -,e6f5
2r1k1r1/5p2/p2qp3/1b6/3N1nP1/1Q4RP/2P5/1R2KB2 w - -,f1b5
r3kb1r/p3pppp/n2p1n2/q1pP4/2Q1P3/1P6/PB1N1PPP/R3K1NR b KQkq -,a6c7
8/8/3n4/2bNp1k1/6B1/5K2/8/8 w - -,g4d7
6rk/pp3R1p/2qpP2Q/2p3P1/2P5/8/PP6/7K w - -,h1h2
r1bq1rk1/ppp1bppp/8/nP1nN3/2B5/2PP4/P4PPP/RNBQ1RK1 b - -,e7f6
8/6pk/3P4/4Bp2/p3nPp1/P5P1/7P/2q3QK b - -,c1a3
r5k1/5pp1/3p1q2/1BpP4/Pp1bPp2/1P3P2/6QP/3R3K w - -,b5c6
r7/5p1p/5k2/p2R1N2/8/PP6/5P2/6K1 b - -,a8b8
r1bqkb1r/pppnpppp/3p1n2/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -,g2g3:f2f4:f2f3:g2g4:g1f3:g1e2:f1c4:c1e3:h2h3
8/pr2k3/R2np3/3p2p1/N2P2P1/5K2/P7/8 b - -,d6e4
r5k1/1p4b1/4qn1p/2p1p1pP/2PpP3/pB1P1QP1/P2B2K1/5R2 w - -,f3e2
r4rk1/ppp2pbp/5np1/2BPp3/q3P3/5P2/PP1NQ1PP/R4RK1 b - -,f8c8
r4rk1/1p1n1ppp/1pp1p3/5b2/3Pn2P/2N5/PP2PPBP/R1B1R1K1 b - -,e4f6
1r3k2/5pp1/2B1b2p/p2N4/8/n5P1/4PP1P/3R2K1 b - -,b8b1
