8/5p2/1k6/8/PK3r2/2R2P2/8/8 w - -,b4b3
r3r1k1/ppq1ppb1/3p1np1/3Pn2p/2PN4/1P2B1PB/P4P1P/R2Q1RK1 w - h6,f2f3
8/8/p2k4/1b2R3/pKpP4/2P5/2P5/8 b - -,d6c6
r1bq1rk1/pp2npbp/2pp1np1/3Pp3/2P1P3/2NN4/PP2BPPP/R1BQ1RK1 b - -,a7a6
r1b1r1k1/pp3nbp/2pp4/3N1P2/2PQ3B/5P2/PP2B2P/R4R1K b - -,g7d4
2r4r/pp2bpk1/4p3/3qPp1p/2pP1R1P/P5P1/1P1B1P2/R2Q2K1 w - -,a1c1
2rqr1k1/pb1n1ppp/1p2p3/7n/3P4/P1PB1NB1/4QPPP/R1R3K1 w - -,d3b5
1rr5/5ppp/4Bk2/2p5/pP6/P5P1/3RPP2/4K2R b K -,f7e6
4k3/4Np2/p7/3pQ1P1/4PB1p/8/P1q2K2/8 w - -,f2g1
4r1k1/2p3p1/r1bp2qp/P1n2p2/2PB4/R3PP2/6PP/1R1BQ1K1 w - -,e1f2
r3kn2/1bp1b1qp/pp3n2/4Q3/P1B5/3P1P2/1PPB2PP/2KR3R b - -,a8c8
8/3b4/1p1p1pp1/p3p1k1/P1P1P1P1/1P2P1K1/n7/1N1B4 w - -,d1e2
3r1rk1/1pq1bppp/1np2n2/3p4/3PbPPN/pPN1P3/P3B2P/2RQBRK1 b - -,f6e8
3rr1k1/pbq1bpp1/2nppn1p/1pp5/4P3/2PP2NN/PPB1QPPP/R1B1R1K1 w - -,c1f4
2r2k2/Bp3p1p/8/1R6/5b2/6PP/P1r2P2/1R4K1 b - -,f4d6
r2qkb1r/1bp2p2/pn1ppnpp/1p6/3PP1PP/2N1BP1N/PPPQ4/2KR1B1R w kq -,g4g5
2rq1rk1/p2nbppp/2bp1n2/1p2p3/1PP1P2P/2N2NP1/P1QB1PB1/R1R3K1 w - -,c4b5
r2r3k/pb3Bp1/1p5p/2p5/3P2q1/2P2R2/P5PP/3QR1K1 w - -,d4d5
2rq1rk1/p4ppp/1p2p1n1/3p4/2nP4/2PN1BPP/PP3P2/R1Q1R1K1 b - -,d8f6
rnbqkb1r/pp1p1ppp/4p3/3nP3/2Bp4/2P5/PP3PPP/RNBQK1NR w KQkq -,c4d5
r1bq1rk1/ppp1ppbp/2n3p1/1B6/3PP3/2P2N2/P4PPP/R1BQK2R w KQ -,e1g1
r1bq1rk1/pp2b1pp/4p3/2pp4/1nPPQ3/5NP1/PP3PBP/R1B2RK1 w - -,e4e2
3qk2r/3rnpb1/p1p1p1pp/p1Q5/3PB3/4BN2/1PP2PPP/3R2K1 b k -,e8g8
1nr4k/3q2b1/b4ppp/p2Bp3/1p2P1PP/1P2Q3/PB1R1P1N/6K1 b - -,d7e7
2q2rk1/1rp2pbp/p3p1p1/1p1nN3/3P4/2P2QBP/PP2RPP1/3R2K1 b - -,b7b6
1r2q1k1/2p2pp1/2rb3p/R2Rp3/1p2P3/1P1Q2P1/PB3PKP/8 b - -,b8a8
rnb1r1k1/1p2pnbp/p1p2pp1/q2p4/3PP3/BPN2N2/P1P2PPP/1R1QRBK1 w - -,a3b2
7q/4n1k1/1n1p1p2/1BpPp1pr/2P1P1N1/P4PP1/2Q3K1/R7 b - -,h5h3
8/6k1/5R2/1P4p1/6N1/3n2PP/2r2P2/5K2 w - -,f6c6
7k/1p1P3p/pN1q4/P1p1p3/3b1n2/8/1P3PQ1/5R1K w - -,g2g5
8/1B6/Pk5p/6p1/6P1/8/r7/5K2 w - -,f1g1
r1r3k1/1p1qnpbp/pB1ppnp1/8/2P1PN2/1PN2P2/P5PP/2RQ1RK1 b - -,c8c6
3r1rk1/1pp3pp/p1p5/b7/4Pn2/1P3P2/PBR3P1/R4NK1 w - -,f1g3
r4rk1/5pb1/pqpp1npp/1p2nb2/2P4B/P1N1P3/1PQNBPPP/3R1RK1 w - -,e3e4
r1q2rk1/ppp3p1/3n1n2/1b1pB3/1P6/2P3NP/P1B1QPP1/R3R1K1 w - -,e2d2
3r1rk1/pb1q1p1p/1p2ppn1/8/3P4/P1NB3Q/1P3PPP/3RR1K1 b - -,d7c7
