6k1/4R2p/4pp2/pp1r4/8/1PP1K3/P6P/8 b - -,d5d1
7r/p4pk1/1pp1bqp1/8/3QPpP1/P1N4P/1PP3K1/3R4 b - -,c6c5
2k5/p4q1p/1p4rn/3p2p1/2pP4/P1P2P2/1P1N1QP1/4K2R b - -,g5g4
3r1r2/p1n1pqbk/3p2pp/1PpP1p1n/8/P2Q1NPB/3BPP1K/3R1R2 b - -,d8b8
8/2R2pp1/pr1npk2/8/1PP1b3/P4P1P/5KP1/3R4 b - -,d6e8
5r1k/3nR1bp/1p1R2p1/1bp5/3P4/2P2N2/P4PPP/6K1 b - -,d7f6
3r1r2/1b2qp1k/4p1pp/p1pp4/PpP1PP2/2RP1QB1/2N3PP/2R3K1 b - -,b4c3
r5k1/1p3r2/1P4p1/2RN1pP1/3PpPnp/1q2P3/p3Q1P1/R5K1 w - -,e2c4
r1bqk2r/ppp1ppbp/2n3p1/3n4/8/2N1PN2/PPQP1PPP/R1B1KB1R w KQkq -,a2a3
1r3r1k/3q3p/B2pb2b/2nNpp2/p4P2/2P1N3/1P2Q1PP/3R1R1K w - -,f4e5
r4rk1/1p1nqpbp/2p5/p1n1P1p1/5P2/2N1BB2/PPP2Q1P/3R1RK1 w - -,d1d6
1k1r3r/pp2qpnp/2p1bnp1/3pN3/3P1PP1/2N1P3/PPQ1B2P/1K1R3R w - -,b1a1
8/8/r7/P7/6p1/R5P1/2K2k2/8 b - -,a6c6
8/5kp1/8/5p2/b1p5/5P1P/2p3PK/2R5 w - -,c1e1
8/1pp5/3k4/p2P2p1/P1P4r/1P2p1KP/4R3/8 b - -,h4e4
2brr1k1/1p3ppn/2pp3p/p7/Pq1nP3/2R1B1PP/2PQ1PBK/4R3 w - -,e3d4
2kr3r/pbp1q3/1p1p1n2/3P1pp1/1P5p/P3PN1P/4QPPB/2KR2R1 w - -,e2c2
3rr1k1/1b3p1p/pp3Ppb/2qp4/2PB4/1P1Q4/P2N2PP/4RRK1 b - -,d5c4
r1bq1rk1/2p1n2p/1p1p1npb/3Ppp2/PBP1P3/2NN1P2/4B1PP/R2Q1RK1 w - -,d3f2
r1b2rk1/pp4pp/1nn2p2/1NR5/4P3/5NP1/PP3PB1/3R2K1 b - -,c8g4
7r/1k2r1p1/p6p/1pbn1R2/3pN1P1/1P1P3P/1BP5/R5K1 b - -,c5b6
k5r1/1p2R3/p2Q4/P2p4/3P3p/8/7K/5q2 w - -,e7g7
r3r1k1/pb5p/1p1q2pb/1P1Pp3/QP2n3/5NB1/2R1BPPP/3R2K1 w - -,g3h4
8/4P3/5k2/8/8/bR6/4r1K1/8 w - -,g2f3
8/3kpp2/8/3P2P1/2pb3P/6N1/2K2PB1/4n3 w - -,c2d2
8/pkp4p/1b6/6p1/pP6/2P4P/4r1P1/R3B2K w - -,h3h4
8/5p2/pnk1p1pp/1p2P3/1P1KNP2/P5P1/7P/8 b - -,b6d7
4r1k1/pQ1n2q1/1p1Pp2p/8/2P2r2/2P2pBP/P4PP1/3R1RK1 w - -,c4c5
6k1/2p2ppp/1p1b4/4P3/Q3q3/2P4P/P4PP1/5RK1 b - -,e4a4
2r4r/6kP/5p1R/p2pp3/Pp1b2P1/3N1P2/1P6/1K5R w - -,g4g5
8/1p4p1/Pn2k2p/4p3/P3p1P1/6K1/R3PP1P/2r1B3 b - -,b7a6
r1bq1rk1/1p3ppp/p3pb2/3n4/3PB3/2N2N2/PP3PPP/2RQ1RK1 w - -,d1b3
8/5pk1/4r3/p1n3P1/1pPNP3/1P3P1b/P1Q5/6K1 b - -,e6e8
7Q/6p1/p2b3k/3q1p1p/1p2p3/1P2P1P1/7P/4B1K1 b - -,h6g6
8/2R2pk1/1p1rp1pp/3p4/5P2/P3PP2/1P2K2P/8 b - -,g6g5
8/1p1b1p2/3kp3/4n1p1/p1P3P1/1N2K1P1/PP2B2r/6R1 w - -,g1d1
6k1/1p2Rp2/p2Q1Pp1/P1Pb1q2/1P6/8/6PK/8 w - -,e7e8
8/8/5pk1/2N2n2/2b2r1p/7P/3R2B1/6K1 b - -,f5e3
1rbqr1k1/pp2pp1p/3p2pb/3N4/2PP4/1P4P1/P3QPBP/R3R1K1 b - -,e7e6
r1bq1rk1/pp2p1bp/2p2ppn/2p5/4P3/2NP1N1P/PPP2PP1/R1BQ1RK1 w - -,c1e3
r2r2k1/3q2bp/1p3pp1/p2Ppn2/8/PNB2Q1P/1P3PP1/R2R2K1 b - -,d7d6
1r3rk1/p2q2bp/1p1P2p1/4ppN1/1P1B4/2nQ2PP/P4PB1/1R1R2K1 b - -,e5d4
8/5pk1/4p3/4P1pp/2r5/6PP/R4PK1/8 w - -,f2f3
1q1rr1k1/4ppbp/bn1p2p1/2p1n3/4PN2/1PN1BPP1/P2Q2BP/1R1R2K1 w - -,g1f2
b1r2r1k/p2pq1p1/1p1pp2p/3P4/1PP2PB1/P5P1/7P/2RQR1K1 b - -,e6e5
6k1/1p4p1/5pbp/2P1p3/1Nn5/PqB1P2P/5PP1/2Q3K1 b - -,g6e4
3rk2r/2q1bp1p/2n2p2/2p1p3/1pN1P3/2P2N2/1P3PPP/R2QR1K1 w k -,d1e2
r4rk1/pp1n1pbp/2pqp1p1/3n4/3P4/1BP2N1P/PP3PP1/R1BQR1K1 b - -,b7b5
2b2rk1/5p1p/p2Qp1p1/8/P6q/3B4/2P2PPP/1R4K1 w - -,b1b8
Q7/pp1rkp1p/8/8/2Bnb3/1P5P/P1P5/5K2 b - -,e4c2
