8/5nB1/p3k1p1/P7/5KPP/8/8/8 b - -,f7d6
r4rk1/1bqp1pp1/pp1bpn1p/2p5/4P3/PPNP1n1P/1BP2PP1/R2QRBK1 w - -,d1f3
4r1k1/7p/p1q3pP/1p1p2P1/1P1bpP2/P5K1/Q7/2BRn3 w - -,d1e1
r1bq1rk1/1p1nbppp/p1p1pn2/3P2B1/3P4/P1N1PN2/1PQ2PPP/R3KB1R b KQ -,e6d5
r2qr1k1/1b1nbppp/pp1ppn2/2p3B1/2PP4/2N1PN2/PP2QPPP/1BRR2K1 b - -,d8c7
8/p1p5/6p1/5pk1/P1Bq4/1P6/5R1P/5K2 b - -,d4e4
8/2k2p1p/6p1/4K1P1/8/1R2P2P/rp6/8 b - -,a2a5
4rk2/4P3/1ppR4/3b3p/2P2p2/1P3P1P/P4KP1/8 b - -,f8e7
r2q1rk1/1p4bp/n1p1b3/p1P1pp1n/P4P2/2NBB3/1P1QN1PP/3R1RK1 b - -,a6b4
2r2rk1/1b3pp1/p2bqn1p/2pp4/8/P1N1PB2/1P1R1PPP/3QNRK1 b - -,f8d8
r2qkb1r/pp2pppp/5n2/2Pp1b2/1n3B2/4PN2/PPPN1PPP/R2QKB1R w KQkq -,f3d4
r2q1knr/bp3ppp/p1npb3/3Np3/4P3/1N1BB1Q1/PPP2PPP/2KR3R w - -,f2f4
2k5/pp3p2/2pr3p/2b5/8/P1P2N1R/1P6/4K3 b - -,c5e3
r3k2r/1pqbbpp1/p2pp3/2n2Pp1/3NP2P/2N2Q2/PPP5/1K1R1B1R w kq -,h4g5
5rk1/pp2r1p1/2p3q1/2bp1p1p/3P3P/P1R1P1P1/1PQ2PK1/R7 w - -,c3c5
rnbqk2r/ppp2pp1/5b1p/3p4/3P4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,d1b3
r5k1/p4ppp/4p3/3q4/Q1r1p3/P3P3/1P3PPP/2R3K1 w - -,c1c4
r2qkbnr/pp1n1ppp/2p5/4p3/2P3b1/5NP1/PP2PPBP/RNBQ1RK1 b kq -,g8f6
r3rbk1/pp1b2np/1qpn1ppB/3p4/3P4/1QPB1N1P/PP2NPP1/R3R1K1 b - -,d7f5
r2q1rk1/1pp1npb1/4p1np/p2p4/2PP2b1/PPB1PNP1/1Q1N1PB1/R3R1K1 w - -,e3e4
8/7k/8/5p2/P3pP2/1P6/1q3B2/5QK1 w - -,f1h3
6q1/pb2pr1R/1p3kp1/1Bpp4/4rPQ1/2P1P3/PP1K2P1/7R w - -,h7h8
r5k1/3b2bp/1q1p2p1/1p1P4/1N1pPp2/3B4/PQ3PPP/R5K1 w - -,f2f3
r3brk1/4bppp/p1p1p3/8/P7/4BB2/1PP2PPP/R2R3K w - -,e3b6
2r2bk1/1q1r1p1p/p3pPp1/Pp1bP3/1P1Bp1P1/2P1Q3/7P/R2R1BK1 w - -,d1d2
k5r1/1R3R2/8/1p6/1P6/K1P5/1P5r/8 w - -,b7b5
7k/1p4p1/pBn4p/4p3/4K3/2P4P/P7/8 b - -,h8g8
r3nrk1/3nqp1p/1pbp2p1/4p3/1PP1P3/1NNB4/2Q2PPP/2R1R1K1 b - -,d7f6
8/1r4k1/1p1Q2pp/1Pp1Pp2/4b1P1/4P2P/5K2/8 w - -,d6f6
r1b2rk1/1p2ppbp/3p1np1/q5B1/2P1P3/1pN5/P2QBPPP/1R3RK1 w - -,a2b3
1r1r1qk1/p1Nb1pb1/1p1Pp1pp/8/8/4Q1P1/PP3PBP/3R1RK1 w - -,d1d2
6R1/1r6/3p2p1/2nP1p2/3K1k1p/5B1P/6P1/8 b - -,g6g5
rnb1k1nr/pp2bppp/2pq4/4p3/8/2N2NP1/PPPPQPBP/R1B1K2R b KQkq -,f7f6
r3r1k1/1p1n1ppp/1pp1pn2/3p1b2/2PP4/2N1PNP1/PP2BPP1/R4RK1 w - -,a2a3
8/5pk1/6p1/4P1Kp/5P2/p3r1P1/P2R3P/8 w - -,d2c2
r4rk1/p3q2p/1pR2p2/4nQp1/1P6/3B2P1/P4P1P/R5K1 w - -,c6e6
4rrk1/pb1qn1bp/1p1pp1p1/2p2p2/2PnPP1N/2NPB1PP/PP1Q2BK/3R1R2 b - -,g8h8
r2q4/1pp2p1k/p3b1rp/4PpN1/5Q2/2N1B2P/PP3P1K/R3R3 b - -,h6g5
5rk1/1p3p1p/p5p1/q2pP1Q1/3P2bP/P1r5/6P1/1BR2RK1 b - -,c3c1
3r1bk1/1b1q2p1/pp3p1p/2pP4/8/1P4PP/PB2RPB1/3Q2K1 w - -,g1h2
2r3k1/R5p1/2bB1p1p/2P2P2/6P1/5PK1/8/8 w - -,f3f4
3rrbk1/1bqn1p1p/3pp1p1/1p4Nn/4PP2/1P5Q/PB2N1PP/1B1R1R1K b - -,h7h6
3r4/1pkrb1pp/p1n2p2/3Bp3/6P1/2P1B2P/PP1R1P2/2KR4 w - -,d5e6
r1bq1r1k/1pp1p1b1/p4npp/2PPpp2/8/1QN3P1/PP2PPBP/R1BR2K1 w - -,c1d2
r7/pppb1p1k/3p1q1p/3P2p1/P2P3n/4Q3/BP1B1PPP/2R3K1 b - -,a8e8
r1b1kb1r/1pqn1pp1/p2p1n1p/4p3/2B1P3/2NQBN2/PPP2PPP/R3K2R w KQkq -,c4d5
8/8/1R4kp/3B1pp1/3p3P/3Pb1K1/1P3r2/8 b - -,g6g7
r6r/1p1nk2p/1p2pn2/6p1/4pN2/2N2P2/PP4PP/R4RK1 w - -,f4h3
r3k2r/4bpp1/p1p1b3/1p2q2n/4P2p/3BB2P/PPPQN1P1/1K1R3R w kq -,e2d4
3rr3/5bkp/1p4p1/p1p5/3bB2P/1P2BP2/P4KP1/2R1R3 b - -,e8e7
r4rk1/p4pp1/4bq1p/1Nbp4/8/P2B1Q2/2P2PPP/R4RK1 w - -,f3f6
3R4/6pk/p3r2p/1p5P/8/PPP3K1/1n3B2/8 b - -,e6c6
3R4/8/1r5p/4kp2/4p3/7P/5K2/8 w - -,h3h4
1rbq1rk1/p3ppbp/1p1pn1p1/1Pp5/2PnP3/P1NN2P1/1B1P1PBP/1R1Q1RK1 b - -,e6c7
8/4k3/3p2KR/7P/4P3/8/8/5r2 b - -,f1f4
r4q1k/1p1r2bp/2bp2p1/p2BpnN1/2P5/1P1R1P2/P4BPP/3RQ1K1 b - -,f8f6
r1r2bk1/1p3p2/p1n1b2p/1q1pP3/1P1P3Q/P4N2/3B1PPP/R4RK1 b - -,b5d3
2rqk1nr/pp3p2/2n1p1p1/3pP2p/3P1Q2/N1PB4/5PPP/R3K2R b KQk -,a7a6
1r1q1rk1/4np2/p2pb1pb/1p1Np2p/4P3/2P1N2P/PP2BPP1/R2Q1RK1 w - -,e2f3
r1bq1b1r/1p3k1p/p1p3p1/2np4/6n1/2N2NP1/PPQBPP1P/R3KB1R w KQ -,f1g2
r3kb1r/pp1npppp/2p2n2/7b/1q1P1B2/2NB1P2/PPP1N1PP/R2Q1RK1 w kq -,d1d2
2r2k2/5q1p/2p3p1/1Q1p1p2/3Rn3/P3P1P1/5PBP/2R3K1 b - -,c6b5
3r1bk1/1qn2ppp/r7/p1ppN3/Q4N2/4P3/PP1R1PPP/3R2K1 w - -,h2h4
r2qk2r/pp1nbnpp/2p1pp2/3pPb2/3P4/1N3N2/PPP1BPPP/R1BQR1K1 w kq -,e5f6
2bq1rk1/1pp2ppp/pNpbr3/4pN2/4P1P1/1P1P1P2/PBPQ3P/3R1R1K b - -,c7b6
8/Q6k/p3qnp1/1p1pN3/7p/7P/1P3PPK/8 b - -,h7h6
r1b2rk1/1p5p/1qp3p1/2bpPp2/p2NP3/5PP1/PPQB2BP/R4R1K b - -,c5d4
r5k1/pp3r1p/4N1p1/1P1n4/5p2/P2Pp1N1/4P2P/R1R2K2 w - -,g3e4
k7/1r3p2/1P1Nq3/3B2p1/3P2P1/2Q1P1B1/r4P2/4K3 b - -,e6d5
2r3k1/pp1q2bp/1r2p3/3p1p2/2nPpB2/PPN3P1/Q1R1PP1P/3R2K1 b - -,c4a5
r1bqk2r/pp2nppp/2p5/2bp3Q/B2pP3/3P4/PPPN1PPP/R1B2RK1 b kq -,e8g8
4B3/8/1p6/4pb2/3k4/P4PKp/8/8 b - -,d4e3:d4c3
4rrk1/1p6/p2Q1n1R/3P1p2/1P1BpP2/6P1/6K1/1B1q3R b - -,d1f3
3r3r/1b2qpk1/pp1p4/4pP2/1PP1PnPp/P4R2/5Q1N/4RBK1 w - -,f3f4
r3k2r/pp1qppbp/2np1np1/8/3PP3/1P3N2/P4PPP/RNBQR1K1 b kq -,d6d5
2rqrbk1/pp3p1p/2n2np1/2P2b2/N2N4/5P2/PP2BBPP/2RQ1R1K b - -,c6d4
8/8/8/3R1p2/8/5k2/3K1P2/r7 b - -,f5f4
3k4/5pp1/p1bp3p/1P1N1P2/P1K3P1/7P/8/8 b - -,a6b5
3rr1k1/2q2p1p/3b2p1/ppnPP3/6P1/1P4QP/1BP3B1/R4RK1 b - -,e8e5
8/6p1/1kr5/p2Bp3/Pp6/1P1R4/1KP2n2/8 w - -,d3g3
1r2n1k1/2pq1pp1/4p2p/1rR1P3/pp1P3P/3Q2P1/P2N1PK1/1R6 w - -,b1c1
1qr2rk1/5pb1/1n1p2p1/1p5p/1P1pP2P/1Q1P4/3B1PP1/R2R1BK1 w - h6,g2g3
8/1k1b4/4BpR1/4pP1p/p2r4/4K2P/8/8 b - -,a4a3
1Q6/8/2r4p/1pk1PPpP/4K1P1/2P3r1/1P6/8 w - -,b8a7
5rk1/2n1qnpp/3p4/p1p1PP2/Pr6/1P2P2P/1BQN4/2K1R2R b - -,f7e5
8/p4pk1/4p2p/4P3/1P4r1/2BB4/5P2/5K2 b - -,h6h5
8/1pb1kpp1/p1p3p1/P1P3P1/1P3n1P/5Q2/2B2P1K/q7 b - -,a1e5
2k2r2/p1q2ppp/3Pp3/6P1/5Q2/2P5/P4P1P/6K1 w - -,d6c7
1rb1k2r/pp1pppbp/nq6/2pP1p2/2P5/4PN2/PP1N1PPP/R1Q1KB1R w KQk -,a1b1
7k/1r5p/1Q2n3/p2bPp2/3P1p1q/2R2B2/P4R1P/5K2 w - -,c3c8
5rk1/q4pbp/1p2pnp1/6B1/P1P4P/6P1/3Q1PB1/4RK2 w - -,d2b4
r1b1r1k1/1pp2pp1/1b1P1n1p/pP6/4p3/B1R1P1P1/P2N1PBP/5RK1 b - -,c7d6
r2q1rk1/pp2n1pp/1bn1p3/3p1p2/3P4/1PN1PN2/PB3PPP/R2Q1RK1 w - f6,f3g5
3r1rk1/pp3ppp/8/8/1q1n4/2N5/PP1Q1PPP/2RR3K b - -,f8e8
5krr/1pp2p2/p2p1q2/2PPp2p/1P2Pp1n/2R3P1/P4PBK/2Q3R1 b - -,h4g2
r2q1rk1/1ppbppb1/p1np1npp/8/2PP4/2N1BNPP/PP2PPB1/R2Q1RK1 b - -,a8b8
