8/5k2/1R6/1p3rp1/1P4K1/8/8/8 b - -,f5e5
r1b4r/pp2ppkp/6pn/1B6/8/2P2N2/PP3PPP/R4RK1 w - -,f1e1
4R3/2r5/p5pk/2p5/2N5/8/P5K1/8 w - -,e8e6
1r6/6pk/2p1r1q1/3pPp2/Q4Pbp/4P1P1/2R2K1P/5BR1 b - -,g6h5
k1r5/pp1r1p1R/4q1p1/2Pn2P1/3Pp3/1Q2B1P1/P7/1K3R2 w - -,f1f2
r1q1r1k1/pp2bpp1/2Pp3p/4n3/3N4/1PB3P1/P1Q1PPKP/R4R2 b - -,b7c6
1r1qrk2/5pn1/1p1PpNp1/p1p1P2P/P1P1Q3/7R/5P1P/4R1K1 b - -,g6h5
2rqrbk1/1bpn1ppp/p2p1n2/4P3/P3P3/2pB1N1P/1PQN1PP1/R1B1R1K1 w - -,b2c3
3r4/6p1/1p2kpbp/p3p3/P5P1/1P2NP1P/R1P1K3/8 b - -,e6d6
3r1nk1/p1p4p/1p2pqp1/5r2/7Q/1P1B2R1/P1P2PPP/5RK1 w - -,h4f6
2b5/p1r3kp/2p2pp1/2Pp4/8/3B3P/P1P2PP1/4R1K1 b - -,g7f7
5k2/7p/6p1/1B1N1p2/2P1p3/6KP/r5P1/8 b - -,g6g5
6k1/pp1b3p/2p1pr1q/4Prp1/1P1P4/6P1/P3Q1R1/4R1K1 w - -,e5f6
6k1/2q2pbp/pp2p2P/4P1P1/5Q2/3r4/PPP5/1K3R2 w - -,c2d3
2qbknr1/2rb1p2/2p1p3/1pPpPP2/pP1N3p/P5PB/1B2QR1P/5R1K w - -,g3g4
2r1qrk1/4bpp1/p4n1p/B5N1/2pP2b1/6P1/P1Q2PBP/1R3RK1 w - -,g5e4
B3r1k1/p3b2p/6p1/5b2/1NP2P2/8/P2n1BPP/5RK1 w - -,f1e1
5r1k/1p4p1/2b3Bp/5P2/7P/1r6/4R2K/4R3 w - -,e2e7
2r3k1/pp2qpb1/1r1pb2p/6p1/3NP3/P2Q2P1/1P1N1PP1/3RR1K1 b - -,b6b2
r7/pp4b1/2p1k2p/5p1B/2P1p2P/8/PP3PP1/4K2R w K -,e1e2
r2qk2r/ppnbb1pp/2n2p2/2p1p3/8/2NPBNP1/PP2PPBP/R2Q1RK1 b kq -,a8c8
2k5/1R3Br1/2P2K2/b7/8/8/8/8 b - -,a5c3
