8/8/6p1/Rp6/4nk2/P3N3/5r2/6K1 w - -,e3f1
4n3/p1k2p2/4p2p/8/1PK2P2/5BP1/7P/8 w - -,c4b5
5bBk/7p/5p2/4pN2/1p1pn3/6PP/P2Q2RK/5q2 w - -,d2e2
2n2k2/7p/2P1p3/2p3p1/8/2PB2P1/6KP/8 w - -,d3a6
8/8/3p4/3Pp2k/4n3/5K2/8/4B3 b - -,e4g5
3q1rk1/p1rbb1pp/4p3/1BPpPp2/3Pn3/2N1P3/3B2PP/R2Q1RK1 b - -,e7g5
8/8/8/1p1k2p1/1P3pP1/3Pp3/2NnP1K1/8 w - -,c2a3
r2q1rk1/1b5p/1n1pp3/5ppQ/1p1Pp3/P3P1P1/1N3PBP/2R1R1K1 w - -,a3b4
rnbq1rk1/pp2p1b1/7p/2p2pp1/2P5/2N1PNP1/PP2BPP1/R2QK2R w KQ -,d1d8
r2q1rk1/pp1bbppp/2n1pn2/3p4/1PP5/P4NP1/1B2PPBP/RN1Q1RK1 w - -,b1d2
3r1rk1/pbqnbppp/1p2pn2/2pp4/2P5/1PN1PNP1/PB1PQPBP/2RR2K1 b - -,c7b8
3k4/2p2p2/1p5p/p1p1Pnp1/P1P5/1P3P1P/1B3KP1/8 w - -,g2g4
1rr3k1/5p2/4p1p1/1p1p1q1p/pP1Pn3/P1PQ3P/4RPP1/2R1N1K1 w - -,e2c2
r2r2k1/p3pp1p/1pp1q1p1/2nnP3/P1Q4P/1P4P1/1B2PPBK/R4R2 b - -,d5c7
rnb1kb1r/ppp2ppp/1q6/4P3/4p3/6Q1/PPP2PPP/RNB1K1NR w KQkq -,b1c3
5rk1/pp2b1pp/2n2p2/2p1p3/4P3/2PrB1PP/PP1NKP2/R6R b - -,f8d8
3q4/r2P2kp/p2R2p1/1p6/8/6PP/P3QP2/b5K1 w - -,e2e1
1r1r2k1/p2q1ppp/2p1p1b1/1p3n2/1QPP4/B1P3P1/PR3PBP/5RK1 b - -,b8c8
r5k1/bppbrpp1/p4q1p/P2PR3/5p2/2PB1N1P/1P1Q1PP1/R5K1 w - -,e5e7
rn3rk1/1q2bppp/pp2p3/2p5/P3N3/3P2P1/1PP2P1P/R1BQ1RK1 w - -,f2f4
r1bqkb1r/pp3ppp/2n1pn2/2pp4/5P2/1P2PN2/PBPP2PP/RN1QKB1R w KQkq -,f1b5:a2a3
r2qk2r/pp1nbppp/2p1pn2/7b/4p3/3P1NPP/PPPN1PB1/R1B1QRK1 w kq -,d3e4
5rk1/1p3pp1/3r4/p6p/3pRPn1/P2B4/1PP3PP/4R1K1 w - -,e4e7
3r1rk1/pR4p1/4p3/2p5/4pP1p/8/5P1P/2N1K2R b K -,f8f4
r2q1rk1/1p1nbppp/p2p1n2/2pPp3/2P1P1b1/2N1BN2/PP2BPPP/R2Q1RK1 w - -,f3d2
r1bq1rk1/pppn1pbp/4pnp1/3p4/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,d1b3:b2b3
