8/4k1p1/p4p2/6PP/5P2/2K1n3/1B6/8 b - -,e3d5
r1bqk2r/1p1n1ppp/p2bpn2/2pp4/2PP4/2NBPN2/PP3PPP/R1BQ1RK1 w kq -,b2b3
3k3r/pp3pp1/4p1p1/nP1n4/3P1PP1/P4R1P/6K1/2R5 b - -,d8d7
r2qrnk1/1b3pBp/p2p2p1/2p1p3/2P1P3/3P2NP/1P3PPN/R1Q1R1K1 b - -,g8g7
rnbq1rk1/1p4bp/p2p2p1/3Ppp2/P3Pn2/2N1BP2/1PBQ2PP/R3K1NR w KQ f6,a4a5
r2qkbnr/ppp2ppp/2n5/3pp3/8/3P1BP1/PPP1PP1P/RNBQK2R w KQkq e6,b1d2
3k1r2/pbq1n1b1/r3p2p/2p3pP/P1npP3/1R3NPB/2PB1P1N/1Q2R1K1 b - -,c4d2
r5k1/2p3p1/r1bpq2p/P1n2p2/2PB4/R1Q1PP2/6PP/1R1B2K1 b - -,e6g6
r2q1rk1/pp1bbppp/4pn2/P5B1/1nBP4/2N2N2/1P1Q1PPP/R3R1K1 b - -,a7a6
8/r3npk1/pp1qb1p1/3p2Qp/1P1P1P1P/P2B4/3N2P1/4R1K1 w - -,d2f3
r3k1nr/1b1pqp2/p3p1p1/1p6/3pP3/1B1P1QP1/PPP3P1/R1B2RK1 b kq -,f7f5
rn1r2k1/pp3pbp/2p2np1/4p3/P7/5BPP/1PPNPP2/R1B1R1K1 b - -,b8a6
2r3k1/1Q2ppbp/6p1/3P4/4P3/4B3/PP1K1P2/6q1 w - -,b7c8
1r3rk1/3q2bp/bn1pP1p1/2p2p2/P3P3/1PN3PB/R1QB1P1P/3R2K1 b - -,d7e6
r7/3nkppp/P3p3/3p4/8/1RP2P2/5P1P/R5K1 w - -,c3c4
r5k1/pbn1qp1p/3p2p1/3P4/3R4/QNN4P/1P3PP1/6K1 w - -,d4e4
1r2k2r/3bqp2/4p1p1/p1npP1Np/1n1N1Q1P/1P6/1PP2PP1/1K1RRB2 w k -,f4f6
r2r2k1/pp2bppp/1q2b1n1/3p4/8/1N2PBBP/PPQ2PP1/R2R2K1 w - -,b3d4
rn2kb1r/1bq2ppp/p2ppn2/1pp5/4PP2/2NP2PP/PPP1N1B1/R1BQ1RK1 b kq f3,f8e7
r2q1rk1/p2n1pp1/3p3p/2pP4/1n1bPP2/R7/1P1NB1PP/2BQ1R1K b - -,f7f5
r4rk1/3n1p1p/1q2p1p1/3pP1P1/1p1P1N2/pP1QP2R/P5P1/5RK1 b - -,a8c8
2r2rk1/p2nqppp/4p3/2bn4/Q1N5/4PN2/P2B1PPP/1R1R2K1 b - -,d7b6
r5k1/3p1ppp/4nn2/8/P2N4/5PP1/r1B3P1/2RR2K1 w - -,c2b3
3r2k1/2R2p2/4p2p/pq3r2/Np2Q2P/1P4P1/4RbK1/8 b - -,f2d4
r2r2k1/5ppp/p1q2n2/1pb1pP2/4P1N1/P7/1PPNQ2P/R4R1K w - -,g4e5
1r1qbrk1/6b1/p1npn1pp/P1pNpp2/Q1P5/2NPP1P1/3B1PBP/1R3RK1 w - -,b1b8
3r1b2/p2k1p1r/1pp2p1p/3p1N1P/P2P2P1/3KP3/P4P2/1R5R w - -,h1c1
2b2r1k/p2q1rp1/7p/2p1BP2/2P1B2P/1P4Q1/4R1P1/6K1 w - -,g3e3
1r3rk1/p4p1p/1pPP2p1/4b3/8/3B3P/P4PP1/1RB3K1 w - -,c6c7
3r2k1/3P1p1p/5bp1/8/1R3P2/7B/4n2P/3R3K b - -,g8f8
r2q2k1/pbp1rppp/1p3n2/1B1Ppn2/PP6/BQN1P3/5PPP/3RK2R b K -,f5d6
2r2rk1/p1qn1ppp/1p2pn2/2pp4/P2P4/2P1PQ2/1BP1NPPP/R1R3K1 b - -,f6e4
5rk1/1p3ppp/1r6/p2p4/P1n2q2/2P2N1Q/1P2RPPP/4R1K1 b - -,b6h6
r4rk1/1p2R1p1/p3p3/1b1pP2p/3P4/4QpqP/PP1N1R2/4K3 b - -,g3g1
1r1q1rk1/4ppbp/3p1np1/2p5/1n2P3/Q1Nb2P1/PP1N1PBP/R1BR2K1 w - -,a3a4
2r1kb1r/1b3ppp/p2pp3/qp4P1/3QP2P/2N2P2/PPP5/1K1R1B1R b k -,b5b4
rnbq1rk1/pp1pnpbp/4p1p1/2p5/2B1P3/2PP1N2/PP2QPPP/RNB2RK1 b - -,d7d5
r1bq1r2/1p4k1/2p2b1p/p2pNPp1/P2P2Pn/1P2Q3/3B3P/3RR1KB b - -,h6h5
8/1p3P2/3k3R/2n1p3/P7/3p1rN1/7P/3K4 b - -,d6d5
8/p7/Rb1r4/1Pp1p1pk/2P1PpRp/2KP1P1P/8/8 b - -,h5g6
3r4/3r4/5bk1/1p2p1p1/p1nP2N1/P3P3/1P2R1K1/2NR4 b - -,e5d4
1r5k/6b1/6Q1/p3pp1p/2Pq3P/1P4PK/8/3B1R2 b - -,d4d3
8/1p1b2k1/pB2rp1p/4n1pB/8/2P1P2P/5PP1/3R2K1 w - -,b6d4
6r1/4k1r1/2p1bp2/p1b4p/P1PpPB1q/1P1Q4/R5P1/3B1RK1 w - -,e4e5
r2qnrk1/1p1nppbp/2p3p1/2Pp4/1P1P2b1/1N2PN2/1B2BPPP/R2Q1RK1 w - -,b4b5
r1bq1rk1/pp1n2bp/n1pp2p1/4Pp2/2P5/BP3NP1/P2NPPBP/R2Q1RK1 b - -,d7e5
1rbbqr1k/1pp3pp/p4n2/3Npp2/2P5/1QB1PP2/PP2B1PP/2R2RK1 w - -,b3a3
r2q1rk1/pp2bpp1/3pbn1p/4p3/4P1P1/2NQB2P/PPP2PB1/R4RK1 w - -,c3d5
r6r/pp2kppp/2pbp3/8/8/1B1R4/P1P3PP/1K5R b - -,a8d8
k1n3rr/pp2bp2/4p1qP/n2pP3/b1pP1B1p/P1P1QN2/1P1NRPBK/1R6 w - -,b1g1
8/7p/3p1kp1/8/2P4P/N3R1P1/2r1BK2/1q6 b - -,c2e2
