8/8/8/4KP2/8/5r2/5kpR/8 b - -,f2g3
5Q2/3qR1pk/1p3p1p/2p5/7P/5NP1/r4PK1/8 b - -,d7g4
5k2/p2r1ppp/5b2/2p5/PpN5/3PP1P1/1P3K1P/3R4 b - -,h7h5
2rr2k1/1p3ppp/p7/P3PpPq/1P1BpP1P/2P3Q1/4b2K/R3R3 b - b3,e2f3
rnbqkb1r/1p3ppp/p4n2/2pp4/P1B1P3/2N5/1P3PPP/R1BQK1NR w KQkq -,e4d5
r4rk1/1p2bpp1/1q2pnp1/pNn5/P1P5/1P4N1/1BQ2PPP/3R1RK1 b - -,f8d8
r1bq1rk1/pppnnpbp/3p2p1/4p3/2PPP3/5NP1/PP3PBP/RNBQ1RK1 w - -,b1c3
8/1p1k4/p4P2/3p1p2/4n2P/P3P1N1/KP3P2/8 b - -,e4d6
r1b2rk1/pp3ppp/2p5/q3P3/1bP1p3/2N1P3/PPQ1BPPP/R4RK1 b - -,b4c3
r1bqkbnr/pppppppp/2n5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq d3,d7d6:e7e5:d7d5:e7e6
8/P3Rpk1/3n2p1/7p/7P/2NK2P1/4P3/r7 w - -,e7c7
5k2/r4pp1/8/1P2K2P/8/8/7P/1R6 b - -,f8e7
2r2k1r/1p3p2/2b1pNp1/q3P2p/p1pP1P2/PnN5/1P4PP/3RQR1K w - -,e1h4
1r5k/3R3p/4p3/2p5/p1P2p2/P6P/1PQ3PK/4q3 b - -,e1g3
6r1/rp3k1p/2p1pp2/p3P3/P4n2/1R3N2/1PP2P1K/6R1 w - -,g1g8
r1n2rk1/1p4bp/6p1/pNP1qp2/4p3/1P4PP/P1R2Q2/3RN1K1 b - -,c8e7
r2qk2r/pp1nn1bb/2p1pp1p/3pP1p1/3P4/1N2BN2/PPP1BPPP/R2Q1RK1 w kq -,e5f6
3r4/1k1P4/4B3/8/4ppp1/8/4KP1P/8 b - -,b7c7
1r2r1k1/5b1p/3q2p1/p1pp1p2/P2N4/2PQPB1P/6P1/5RK1 w - -,d4b5
