8/3k1p2/3P1rp1/3P4/6N1/6KP/8/8 b - -,f6d6
8/p2n4/3P2k1/8/3K1R1p/8/8/8 b - -,g6g5
7r/1kp2rp1/2b5/2pNRPP1/1pP2K2/pP6/P2R4/8 b - -,h8h1
5rk1/pp1bpp1p/1q1p1npQ/4n3/3NP1PP/2P2P2/P1P1B3/2KR3R b - -,f8c8
7r/3rk3/1pQ1p2p/5p2/3b2p1/P7/1P6/K4N2 b - -,h6h5
rn1qk2r/pb3ppp/1p1bpn2/3p4/3P1P2/2PB1Q1N/PP1N2PP/R1B1K2R b KQkq -,d8c7
3R4/8/8/p3k2p/Pp2bp1P/1P6/4K1P1/2rB4 b - -,e4g2
2r1rqk1/pb1n1pbp/1pp1pnp1/8/2PPp3/PPN2NP1/1BQ2PBP/2R1R1K1 w - -,c3e4
8/8/8/1pk5/4Q3/1r6/3K4/8 w - -,e4e5
3q2k1/5pp1/Bppnr2p/p3n2R/P3Pp2/BPN5/4Q1PP/7K b - -,d8f6
1nr2k2/pbq3pp/1p2Qn2/2p5/2BP4/8/PPP2PP1/R1B1R1K1 w - -,c1f4
1r3rk1/2qbppbp/p2p2p1/n1pP4/2P3n1/2NQN1P1/P2BPPBP/1R3RK1 w - -,e3g4
b4rk1/4bppp/2r5/N2np3/N2p4/3B1P2/3B2PP/RR4K1 b - -,c6e6
8/1R3ppp/4k3/3n4/3B3P/4PP2/2r3P1/6K1 b - -,g7g6
1n1r1b2/1kpq4/1p5p/4R1p1/1pQp4/P4N1P/2PB1PP1/7K w - -,a3b4
1r4k1/3b1pqp/n2p2p1/3Pp3/1pp1P1P1/2P1QPN1/1PB3P1/6KR b - -,b4b3
2r2r1k/5p1p/4p2P/p2pq3/P1n3Q1/1pPb2P1/5PB1/R1R2NK1 b - -,f7f5
2B5/8/8/2bNp1k1/3nP1p1/8/4K3/8 w - -,e2f2
rnbqk2r/pp2ppbp/2pp1np1/8/2P1P3/2N2NPP/PP1P1P2/R1BQKB1R b KQkq -,e7e5
2k4r/p6p/2pR1pp1/5p2/4p2P/2P1P3/PP3PP1/2K5 b - -,c8c7
8/2R4p/2R3k1/5p2/p3pr1b/P4r1P/1P3B2/5K2 b - -,h4f6
8/2k1b1pp/B1p5/p3p3/2P1N3/6P1/Pn2KP1P/8 b - -,c7b6
4r2k/1pr3p1/1p1q3p/pPb2p2/2RpPP2/PQ1P2PP/1B4K1/R7 w - -,e4e5
8/8/8/7p/4nNp1/6P1/6K1/4k3 b - -,e4f6
6k1/ppp1r2p/1q1n2p1/5pQ1/7P/6P1/PP1R1PBK/8 b - -,g8f8
8/P2k3p/1P1p1p2/8/7P/7P/r7/5BK1 w - -,b6b7
r4rk1/1pqn2p1/p2p3p/P2P1pb1/1PP1p3/8/2R1BPPP/3QBRK1 w - -,c4c5
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b - -,d7d6:f8e8
7R/8/4p2P/8/4k1p1/7r/6K1/8 b - -,e6e5
2qB2k1/p2p1p1p/3Pr1p1/1pp5/1n6/2Q3P1/1P3PBP/3R2K1 b - -,c8d8
