8/Q2bk2p/1p6/4P3/1q6/8/4BK2/8 b - -,b4d4
2n2r2/2pkn1p1/pp3pp1/8/PPpP1NPP/3K1N2/8/4R3 w - -,d3c4
3k4/1p3p2/p1q1pn1p/2P3p1/8/1B2Q2P/PP3PP1/7K w - -,e3d4
6k1/2R1Qpb1/3Bp1p1/1p2n2p/3q4/1P2N2P/5PPK/r7 w - -,e3c2
3r4/1kp2p2/1p2b1p1/4P2p/P1K2n1P/1N4P1/3R4/2N5 w - -,c4c3
r2q1rk1/1pn1p1bp/2p2Pp1/p7/P1PPN3/4PQ2/3B2PP/2R2RK1 b - -,e7f6
rnbqk1nr/1p3pbp/p2p2p1/2p1p3/4P3/2N3P1/PPPPNPBP/R1BQ1RK1 w kq -,d2d3
r1bqk1nr/pp1nppbp/2p3p1/8/4N3/6P1/PPPPNPBP/R1BQ1RK1 b kq -,g8f6
r1bqk2r/ppp2p2/2np3p/2b1p1p1/2BPP3/2P2NP1/PP4PP/RN1QK2R b KQkq -,c5b6
4b3/N2k1rrp/2pp1p1R/p3p3/PpRPP3/1P2P3/1P4PP/6K1 b - -,g7g4
r1b3k1/1p5p/3bprp1/1B1p4/3P1P2/P1R1P3/1P1N3P/5RK1 w - -,f1c1
r1bqk2r/pp2bppp/2n1pn2/6B1/3P4/2NB1N2/PP3PPP/R2QK2R w KQkq -,e1g1
r3r1k1/ppq1bppp/5nn1/3b4/8/1NB2N1P/PQ3PP1/R2R1BK1 w - -,f3d4
8/4k3/1R6/5p2/1p4p1/6P1/5PK1/1r6 b - -,b4b3
2r1r1k1/1pbn2p1/p1pBppbp/2PpP3/1P1P4/5P1P/1P1NB1P1/R4RK1 w - -,f3f4
2r2k2/3n1p2/p1p1b2p/1p2p3/4P1P1/P1N1KB1P/1PP5/3R4 b - -,d7b6
rnbq1rk1/ppp2ppp/4pn2/8/1b1P4/2N2B2/PPP2PPP/R1BQK1NR w KQ -,a2a3:g1e2
2rr2k1/1p1qbppp/2p1pn2/2P5/p1RP4/P3B1N1/1P2QPPP/3R2K1 b - -,c8a8
r1bq1rk1/p3p1bp/1pp2ppn/2p5/4P3/2NPBN1P/PPP2PP1/R2Q1RK1 w - -,a2a4:d1d2
8/1p3r1k/2pn2pp/p2p4/3PpP2/1P2P1Nq/P3QPRP/7K b - -,f7g7
4Q3/p7/8/1p3rk1/1PpP2p1/2n5/7P/6K1 w - -,e8e3
8/pp5p/5kp1/3r4/3p1P2/P5P1/1P1R3P/4K3 b - -,f6f5
r1bq1rk1/p2nbppp/1p1p1n2/P1pPp3/2B1P3/2N2N2/1PP2PPP/R1BQR1K1 b - -,b6a5
2r3k1/6bp/3B2p1/pp2n3/8/8/4RPPP/4R1K1 b - -,e5c4
r3k1nr/pppb3p/2nq1p2/5Pp1/1bPpP3/3B1N2/PP1N2PP/R1BQK2R w KQkq g6,e1g1
8/1p1kbp1p/4p3/p2pPP2/5r2/1Pr3N1/P3RPKP/5R2 w - -,f5e6
