8/4kp2/6p1/p5Pp/Pr5P/1PR3K1/8/8 w - -,c3d3
4n3/1p1bbk1p/p3p3/3pB2B/3P4/2N5/PP4PP/6K1 b - -,f7f8
8/8/2p1r1p1/5pKp/7P/6k1/2R3P1/8 w - -,c2d2
8/2p5/1p5p/p4pp1/P1P1b3/1P2k1PP/3N4/4K3 w - -,c4c5
rn1q1rk1/1b2bppp/p2ppn2/1p6/3NP3/P1N1B3/BPP2PPP/R2Q1RK1 w - -,a2e6
8/5bkp/1p4p1/1P3p2/7P/2r1P3/3R1PPK/8 w - -,d2d6
r6k/2rq1p2/3Np1pb/4P2p/nN1P3P/2nQ1PB1/2R3P1/R5K1 b - -,a8a7
5k2/2p2r2/1bPp2p1/3P4/1R4Pn/3R4/8/7K w - -,d3c3
2kr3r/pp1nbpp1/1qn1p2p/3pP2P/1P1P1PP1/P2Q1N2/4N3/R1B1K2R b KQ -,c8b8
3q4/1p4k1/p2P1np1/P7/3p4/4Q1P1/4B1K1/8 w - -,e3e5
8/ppk5/2pb4/3b3p/3p1P1P/1P4r1/P1PBB2R/5K2 b - -,d5e4
3r2k1/pp3pp1/1q4np/2r5/6Q1/P3RN1P/1P2RPP1/6K1 b - -,b6c7
8/5pk1/4p1p1/2p4p/7P/1P3QP1/P4PK1/3q4 b - -,d1d4
1r2qrk1/2p2bb1/p1np3p/1P2p1p1/4Pp2/P1BP1P2/1PQNN1P1/R3K2R b KQ -,a6b5
8/2qn1k2/4ppp1/1Q1p3p/1N1P1P1P/4K1P1/5P2/8 w - -,b4c6
r2k1b1r/1p1nppp1/8/1pNP2B1/8/8/P4PPP/2R1K2R w K -,c5b7
3r1r1k/p5pp/3P2q1/P2Q4/3Bpp2/3b4/1P3PPP/2RR2K1 w - -,c1c7
r1b1r1k1/p2n1ppp/3B4/1p1P4/3P4/1PnB1N2/6PP/R4RK1 w - -,f1c1
