8/2n2ppp/1k6/n7/1p1PPPP1/8/1KR4P/8 w - -,d4d5
8/8/3k3p/4n3/3K4/5P2/P3B2P/8 w - -,d4e4
3b4/6k1/p1B5/2B1p1pp/PP6/6PP/2b2PK1/8 w - -,a4a5
8/2b4p/6p1/1k1p1p2/p2P4/Pb1NBPP1/2K4P/8 w - -,c2c3
8/p1p1p3/6k1/p2P4/P4bP1/2P2N1P/1P6/7K w - -,b2b3
8/5p1k/6p1/p3p1p1/P3P1P1/2N1qP1P/2Q3K1/8 b - -,e3c5
1rbq1rk1/1p2npbp/p1npp1p1/2p5/2P5/1PN2NP1/PBQPPPBP/3R1RK1 w - -,e2e3
r1q1kb1r/1b1n1ppp/p3p3/B2pP1P1/3N1P2/P2B4/P1P2Q1P/R3K2R b KQkq -,f8a3
3r1rk1/1bq3pp/p7/1p2p3/n2pP3/P4B2/1PPNQ1PP/1R3R1K b - -,d8d6
1r3rk1/p1ppqpbp/bnp3p1/4P3/2P1QP2/P2B2P1/1P1N3P/1RB2RK1 b - f3,f7f5
2r1r1k1/1b3pp1/4p3/qp2R1pQ/8/P2P4/5BPP/5RK1 w - -,e5g5
2b5/1p1p1B2/3P3k/p1P5/5p2/8/P4PPP/6K1 b - -,h6g7
8/pkrnpp1p/2Rp4/PP1P2p1/6P1/6KP/5PB1/8 w - -,h3h4
8/p3kpp1/P2n4/3P2p1/r1p3P1/5K1P/2R2P2/5B2 w - -,f3e3
8/1p6/p1pkp3/Q4pp1/P2q1n1p/1P1B1P1P/K1P3P1/8 b - -,f4d3
r3r1k1/pp3ppp/2n2n2/6N1/2BPbN2/2P5/PP4PP/4RRK1 b - -,e4g6
r1b1k2r/ppq1bppp/2pp1nn1/4p3/2PPP3/2N1BN1P/PP2BPP1/R2QR1K1 b kq -,e8g8
r1bqkb1r/5pp1/p2ppn1p/4n3/Np1NP1P1/4BP2/PPPQ3P/2KR1B1R w kq -,d2b4:h2h4:c1b1
r2q1rk1/6bp/p1b3p1/3p1n2/1R1Pp3/6P1/P2R1PBP/3QNNK1 b - -,a6a5
2r3k1/1p3ppp/3r1B2/1p6/2pP4/P4P2/1P4PP/3R1R1K b - -,d6f6
2r3k1/1b2nppp/p3p3/1pPqP3/3N3P/P4Q2/1B3PP1/2R3K1 b - -,d5f3
3r2k1/2nrbpp1/p1qp3p/2p5/2P1PPP1/1P1R2BP/P1N1Q2K/3R4 w - -,e2f3
rn1k1bnr/ppp3pp/4bp2/4p3/2P5/2N2N2/PP2PPPP/R1B1KB1R w KQ -,e2e3
8/2r2k1p/3n1p2/1p3P2/5K2/2B5/7P/R7 w - -,a1a6
1rb2rk1/p1p2p1p/1n2q1p1/3pP3/4QP2/bPN5/P2B2PP/1K1R1B1R w - -,e4c2
8/Pbk2p2/4p1p1/2K1P2p/5P1P/6P1/8/8 b - -,b7c6
3br2k/5qn1/1p1p4/p1pP1p1p/P1P1pPP1/1P5P/2NQR3/6RK w - -,e2h2
4r1k1/5pp1/p1p2b2/5P1p/NqnB4/1P6/P4PPP/3RRK2 w - -,e1e8
1r4k1/1pp1r1pp/pn1b4/N3pp1P/1P4n1/P2PPN2/2R1KPP1/B6R w - -,f3d2
r2q1rk1/4pp1p/6p1/p2P4/2p3b1/Q1bnPNB1/P1R2PPP/3R2K1 w - -,c2c3
8/4kp2/R6P/7b/3BP3/4K3/p7/5r2 b - -,h5g6
2r1r1k1/1p1bnqpp/p2Bpp2/3n4/2P5/QB1R1N2/P4PPP/3R2K1 b - -,d5b6
r2q1rk1/pp2np2/2ppb2p/6p1/B2bP3/2P1N1P1/PP3PP1/R2Q1RK1 w - -,d1d4
5rk1/1pp2pp1/1pnp1n1p/r3p3/1P2P1q1/3P1NPb/PBPQ1P1P/R3R1KB b - -,a5a4
8/5p2/8/2k4P/2b1PPB1/pp6/3b4/1K1N4 b - -,c4d3
r3kb1r/1q1p1p1p/1P2pp2/8/5P2/2P1B3/5QPP/R2R2K1 b kq -,f8e7
r1bq1rk1/pp3pbp/n2p1np1/2pPp3/2P1P3/2NB1N1P/PP3PP1/R1BQ1RK1 w - -,a2a3:c1g5
r2r4/1p2kpp1/2p1p2p/3n3P/Pp1P4/1P2BP2/2P3P1/2KRR3 b - -,d5c3
2r3k1/p2q1pp1/1p3bp1/3PBb2/3P3P/1Q4P1/PP3RB1/6K1 b - -,c8e8
r4rk1/pp2qp1p/1np1b1p1/4b3/4P3/1PN3P1/P1Q2PBP/R1B2RK1 w - -,c1b2
r4rk1/p1q2p2/1p4p1/5p1p/1PB4R/8/P2Q2PP/4R1K1 w - h6,h4d4
rn1q1rk1/1b3pp1/1pp2b1p/p2p4/1P1P4/1QN1PN2/P4PPP/2R1KB1R w K a6,b4a5
q1QK4/4Bkp1/4p3/4P2p/7P/8/8/8 b - -,a8c8
r2q1r2/1bp3bk/p2p2pp/1p1Nnp2/3BP3/P4P2/R1PQ2PP/1N3RK1 w - f6,d5f4
1qr1r1k1/pb1nppb1/1ppp1npp/8/1PPP3B/PQN1PN2/4BPPP/2RR2K1 w - -,c1b1
r1bq1r2/p2pp1kp/2p1n1p1/4Pp2/2P4Q/2N2N2/PP3PPP/3R1RK1 b - -,f5f4
r1b2rk1/1p1pppbp/pqn2np1/8/2PN4/1PN3P1/P3PPBP/R1BQ1RK1 w - -,d4c6
r1bq1rk1/p1p2pbp/2pp1np1/8/2P1P3/2N1BP2/PP4PP/R2QKB1R w KQ -,f1e2
8/8/2Pkr1p1/1KQn2Pp/7P/8/8/8 b - -,d6e5
1q4k1/5p2/6p1/3p1b1p/3P1Q1P/1P3PP1/8/5BK1 b - -,b8b3
6k1/5Rp1/p3p2p/2brP3/8/P1B5/1P2Q1PP/2qr1R1K b - -,c5a3
3rrbk1/1pqn1b1p/2pp1pp1/p7/PnP1PP1P/1PN2NP1/3Q1BB1/1R2R1K1 b - -,d7c5
r1r5/2p1q1k1/p2p1pp1/Pp1P2np/1P1PPQ1P/2R5/3N2P1/2R4K b - -,g5f7
5rk1/7p/1p6/1PpPqPb1/8/rP2p3/2Q3BP/4RR1K b - -,f8f6
3r4/5kpp/p1b1p3/1p2Ppq1/5N2/P7/1PPQ2PP/2K4R w - -,d2e3
r4rk1/pp1n1ppp/4p1b1/q1p5/nbPPP3/1Q3NP1/P2N1PBP/R1B2RK1 w - -,a2a3
r1b2rk1/4ppbp/Pp3np1/3pB3/8/2N1P3/PP2BPPP/2R2RK1 b - -,c8a6
8/4k3/pB1b4/5p1p/8/4PK1P/8/8 w - -,f3e2
2brr1k1/p3q2p/1ppNppp1/2P5/1n1P4/1B4Q1/P4PPP/3RR1K1 b - -,d8d6
6R1/1kp5/8/8/p1n5/P3r1P1/K7/8 b - -,e3a3
6k1/1p3pn1/2q3p1/2p1P1Np/r1Pp1P2/2pP2P1/5Q2/4R1K1 w - -,f2c2
rn1qk2r/pp2bppb/2pnp2p/8/3P1BPP/2NBQN2/PPP5/2KR3R b kq -,h7d3
1k2r3/1bq5/p6p/2p3p1/Pp1r4/4N1bB/1P2QPP1/R4RK1 w - -,f2g3
2r4k/1q3pp1/p3p2p/1b1pP3/4nP2/RNP1Q3/1P4PP/3B2K1 w - -,b3d4
4rbk1/1p1r4/1P1p3p/R1pP1p2/1p2PB2/1P3P2/7P/5RK1 w - -,f1e1
1r2br2/pp5k/1npqPpp1/7p/P2n1N2/1P3NQP/5PB1/R3R1K1 w - -,f3d4
8/8/4b3/6k1/8/1pBP2Kp/8/8 w - -,c3b2
8/1p4k1/1b3np1/p2p4/P1r5/4n2N/1P2R1B1/R6K w - -,a1e1
5r1k/p3qn1p/1p2bb2/2p1p3/P1N1Pp2/1PPQ3P/1N3BP1/R5K1 w - -,a1d1
r2r2k1/ppR1ppbp/4q1p1/1B1pPb2/3Pn3/1Q2BN1P/PP3PP1/3R2K1 b - -,e6b6
r7/3kbp2/6p1/1r6/2R1P2p/p4P1P/R2BK1P1/8 w - -,d2c1
r1bqr1k1/3n2bp/pp1p2p1/2pPnp2/P7/2N1P1BP/1P1NBPP1/R2QR1K1 w - -,d1c2
3R2k1/1p4pn/p3p1Np/2p4P/2P5/1P4P1/P4P2/6K1 b - -,g8f7
r1bq1bk1/pp4r1/3p1n2/1N1Pp2p/4PpPn/1Q5P/PPR1BNP1/4BRK1 b - -,h5g4
r2qk1nr/1bp1ppb1/1n1p2p1/p5Np/Pp1PP2P/4BP2/1PPQ2P1/R2NKB1R w KQkq -,f1b5
r1bqkbnr/pp3ppp/2n1p3/2pp4/4P3/3P1NP1/PPPN1P1P/R1BQKB1R b KQkq -,g8f6:d5e4:f8d6:g8e7:g7g6
5r2/p5pp/2k1p3/2b5/P1p1P3/2P3B1/2K3PP/3R4 w - -,d1d2
2rqr1k1/pp1b1pp1/4pb2/4N2Q/3P4/2P5/P4PPP/R3R1K1 w - -,h5f7
6k1/6p1/5p1p/1KP4P/4Q3/8/1q4P1/8 w - -,b5c6
6k1/p5p1/2pb4/1pP4p/3B2n1/1P2P3/P2K4/8 w - -,c5d6
8/6pp/P4k2/4n3/2p5/3b3P/4Bb2/2RK4 b - -,f6e6
5rk1/3p2rp/3Rpp2/1p6/7Q/PPq3P1/5P1P/3R2K1 w - -,h4e4
r1b4k/ppp2n1p/1n5P/3Pr1p1/3N4/2N5/PP2B3/2K3RR w - -,g1f1
r4bk1/5p2/2n3pB/3Np3/2p1P1P1/1pP2N2/1P5R/1K6 b - -,f8h6
2r3k1/1b4pp/p3qp2/1p1pN3/3P4/2R5/PP3PPP/2Q3K1 w - -,c3c8
3r2k1/1Q2pp2/p5p1/7P/3q4/P7/1P1r4/K1R4R b - -,g6g5
2kr1b1B/1ppn4/3P4/1PPq2pp/6nN/P4N2/6PP/R1Q1R1K1 b - -,d7c5
r4rk1/3nqpp1/p4n1p/bp1ppb2/8/PPNPPN1P/1B2BPP1/2RQ1RK1 w - b6,b3b4
Q7/4bpk1/pq4p1/1p5p/1P2N2P/P4KP1/5P2/8 b - -,e7f6
5r2/8/1k2p2p/3pK1p1/p4PP1/4P2P/1PB5/8 w - -,c2a4
3rrbk1/p1qn1ppp/2p2n2/1p2p2b/4P2N/1PB1N1PP/P1P2PB1/R3QRK1 b - -,c7b8
r4rk1/ppp2ppp/3p4/2nP1P2/2P1pPq1/2P1B3/P1Q3PP/R4RK1 w - -,e3c5
r1bqr1k1/1ppn1pbp/n5p1/p3p3/2P5/BPN3P1/P2NPPBP/R2Q1RK1 w - -,d1c2
rnbq1rk1/1p2ppbp/p1pn2p1/P7/Q1pP4/2N2NP1/1P2PPBP/R1BR2K1 b - -,c8f5
8/5k1p/2pn4/p2p1qp1/8/1PQ3P1/5P2/4R1K1 w - -,c3c6
2r2rk1/p5pp/1p1pb3/n4pq1/2PPp3/4P1P1/P2NBP1P/2RQK2R w K -,e1g1
3r2k1/pb3p1p/1p4p1/3PN3/2r5/1n2P2P/P4PP1/1B1R2K1 w - -,e5c4
