8/3n4/5Pk1/7p/4PP2/P7/1P3BK1/8 b - -,d7f6
r1bq1rk1/1pppnpbp/p1n3p1/4p3/BP2P3/5N2/PBPP1PPP/RN1Q1RK1 w - -,f1e1
2r1r1k1/pp1b1pq1/3pp1p1/6Pn/2nNP3/1B6/PPPQN3/1K4RR w - -,b3c4:d2d3
r1b2rk1/p2nbpp1/4q2p/1BppP3/1p6/5N2/1PQN1PPP/R4RK1 w - -,f1e1
r2q1rk1/3nbppp/p2p4/npp1p2b/P3P3/2PP1N1P/1PBN1PP1/R1BQR1K1 w - -,d2f1
2rq1rk1/p3bppp/1pn5/3pP2b/3p1B2/2P2N1P/P1PQB1P1/1R3R1K w - -,c3d4
6k1/r7/3p1p2/2pP2pP/1pB1PnP1/1P2R3/2R4K/r7 w - -,h2g3
r3r3/pp1b1pkp/2nP2p1/8/2p5/8/PPBN2PP/3R1RK1 b - -,f7f5
rn1q1rk1/pb2bpp1/1p1np2p/2pp4/2PP4/1P1BPP2/PBQN2PP/RN3RK1 w - -,d4c5
7r/2p3kr/p2b4/4pP2/Pp4P1/3R3Q/1PP3P1/7K b - -,g7f6
r1bq1rk1/pp2n1p1/4pp2/3p4/8/1N6/PPP1QPPP/R1B2RK1 b - -,c8d7
r4rk1/5N1p/pp6/2p2p1Q/Pn3p1B/7P/1q4P1/R4BK1 w - -,f7g5
6k1/pp2r1pp/3p1r2/2pP4/P1P2P2/2PqPP1b/3B1R1P/R5QK w - -,g1g3
1kb1r3/p4p1p/1pq2nr1/8/P1pP3P/1PP2Pp1/6P1/R1QR1BK1 w - -,f1c4
8/B3k3/7K/1p4P1/1n6/8/8/8 w - -,a7c5
r1bqk2r/pp2ppbp/2p3p1/3nN3/3P3P/8/PPP2PP1/R1BQKB1R w KQkq -,h4h5
5rk1/7p/3p4/4bp1Q/4p3/6P1/3R1P1P/2q2BK1 w - -,d2d1
8/p4rk1/1p2R3/2pPN1p1/2P2p2/5PK1/PP6/8 w - -,g3g4
8/1b5p/5k2/1R2p1p1/2N1PpP1/6bP/3r4/1B4K1 b - -,d2d1
r4r1k/1b4p1/3p4/n2Pp1P1/P3Bp1q/5P2/2P1Q2P/4RR1K w - -,f1g1
r2q1rk1/1b1nppbp/p2p2p1/np4P1/4PP2/PNN1B3/1PP1B2P/R2Q1RK1 w - -,b3a5
8/p3p1k1/1p1RPrp1/1P3r2/P6p/2R4P/1n2K1P1/8 b - -,e7d6
r3n1k1/p2q1rb1/1p1p2p1/2pPp1P1/2P1P2R/1Q2B3/PP1NK3/7R b - -,e8c7
r4rk1/pp1qbpp1/3p1n1p/2p5/P1B1PBb1/2NP1n2/1PPQ2PP/R4RK1 w - -,g2f3
r2r2k1/pp2bppp/2q1pn2/2p1B3/2P5/N3PPP1/P2P3P/1RQ2RK1 b - -,f6d7
2n1k3/3n2pp/4pp2/1p6/1P2PP2/3KN1P1/1B5P/8 b - -,d7b8
4r1k1/5p1p/1n3np1/1P1bpPb1/8/3R2N1/7P/3R1BK1 w - -,f1g2
8/3nk1pp/3bpn2/7r/Q7/2R3P1/K7/8 b - -,h5g5
8/5R2/8/2Pp4/1p1P3k/3K3P/8/4b3 b - -,h4h3
2r1r3/4ppkp/2bp2p1/ppqP2P1/5P2/1B3Q1P/PPP4K/3RR3 b - -,c6d7
