8/8/3nk3/R4p2/3r4/5B2/8/6K1 w - f6,g1f2
1n3r1k/2R1p2p/p7/1p6/8/Q5P1/P3q2P/2R4K w - -,a3c3
r4rk1/ppq1bppp/2p1pn2/6B1/3P4/5N1P/PPP1QPP1/R3R1K1 b - -,a8d8
8/5k2/1R3b2/2p5/1pP1P3/1P6/1r3B1P/5K2 b - -,b2b3
r1bq1rk1/pp2bppp/4pn2/2p5/2BP4/5N2/PPP1QPPP/R1B2RK1 w - c6,d4c5
8/p3rpk1/8/4p3/1PRpB1P1/P2Rb1K1/8/5r2 w - -,c4c2
r1br4/3pkp2/p3pn1p/6p1/1pN1P3/4PP2/PPPR3P/2KR1B2 w - -,c4d6
1r2r1k1/2n2pb1/1Nqp2p1/Ppp1p2p/1P2P3/1Q1P2P1/3B1P1P/1RR3K1 b - -,g7f8
3k3r/3b1p1p/3p1N1b/1p2p3/1pP1p3/8/PPn1KPPP/3R1B1R b - -,c2d4
4r1k1/ppq1rppp/2pb1n2/4p2b/8/PP1P1NPP/1BPQRPB1/4R1K1 b - -,c6c5
rn2kb1r/pp3ppp/1qp1pnb1/8/3P1B2/1BN3N1/PPP2PPP/R2QR1K1 b kq -,f8e7
8/7p/1p5K/1k6/6P1/8/8/8 b - -,b5c5
8/4k3/1n1p4/3Pp3/1B6/3K4/8/8 w - -,d3e4
r2q1bk1/pp3p1p/4p1p1/1b2P3/2p5/2P3Q1/P4PPP/R2R2K1 w - -,d1d8
4r2k/p5p1/b1p4p/4p3/1p1PQ2P/1B2P1K1/P2q1P2/R6R b - -,e8f8
r1b2rk1/2q1bppp/p1ppp3/8/4PPn1/3BB3/PPP1N1PP/R2Q1R1K w - -,e3g1
6k1/p6p/1p2p1p1/1n1qBr2/3P4/2P5/PP4QP/R5K1 b - -,a7a6
2r2rk1/pb3pbp/1p1qpnp1/8/3P4/1BP2N1P/P2BQPP1/2R1R1K1 w - -,f3e5
rq1bb3/p5kp/R1P2pp1/1PQpNp2/5P2/2P4P/6P1/5R1K w - -,e5d7
8/8/6pk/5p2/1R3P1K/5r2/8/8 w - -,b4a4
2kr3r/ppp2pp1/2nq1n2/3p3p/3P4/P1N1PB2/1P3PPP/R2Q1RK1 b - -,c6e7
3k4/3P3p/8/7P/8/2N5/P5K1/Q7 w - -,g2f3
r1b2rk1/1p2ppb1/p2p1np1/q1pPn2p/2P1PP2/2N1B2P/PP2BNP1/R2QK2R b KQ -,e5d7
r4rk1/1b1np1bp/pq4p1/1p1pPP2/3PnP2/3BBN2/PP2QN1P/R4RK1 b - -,g6f5
5r2/1p6/3k4/p4r2/P4PRP/1P1B2K1/8/8 b - -,f5c5
rn1q1rk1/pb3ppp/1p1bpn2/2pp4/3PP3/2PB1N2/PP1N1PPP/R1BQR1K1 b - -,d5e4
r3kbnr/pppq2pp/2n1bp2/4P3/1PPp4/P4N2/3NPPPP/R1BQKB1R w KQkq -,e5f6
8/4bR2/4r3/4p3/4k2P/3p2P1/4PNK1/8 b - -,e4e3
rn2qrk1/pb4pp/1p1p1n2/2pp1BN1/2P5/2P1P3/P4PPP/R1BQ1RK1 b - -,g8h8
5rk1/pp5p/3p2pb/2p1p1n1/2P1P3/1P1BP2q/P1NBQ2P/R6K b - -,g5f3
1r1q1rk1/1n2ppbp/p2p1np1/1ppP4/2P3b1/1P3NP1/P2BPPBP/2RNQRK1 w - -,e2e4
7r/2R5/1p1pk2p/p3nqpQ/P2Bp3/7P/1P3PP1/6K1 w - -,h5d1
5rk1/1ppnqrpp/p1n1p3/P3P2b/2NP4/5N2/1P1QB1PP/R4R1K b - -,c6b4
