8/5p1k/7p/5Pp1/2P4r/8/2R2P2/4rNK1 w - -,g1g2
r1bqk2r/ppp1b1pp/4pn2/3pN1B1/2PPp2P/2N1P3/PP3PP1/R2QK2R w KQkq -,f2f3
2b3k1/6pp/2Nrpq2/3r1p2/1P3P2/P3Q1P1/4P2P/3R1RK1 w - -,d1d5
r1br2k1/1p1n1pb1/1qn1p1pp/p3P3/1P1p1B1P/P2P1NP1/2N1QPB1/R3R1K1 w - -,e2e4
r3qbk1/pp6/2p2pp1/4pN2/1Pb1P1P1/P3BP2/1QP2K2/R7 w - -,f5h4
r3k2r/p4ppp/2n1bp2/q2p4/3P4/1RN3P1/2P2PBP/3Q1RK1 w kq -,d1d3
1nnrr1k1/1p1q2p1/pp1p2Np/1P2p2Q/P1N1P3/2PP1R2/6PP/R5K1 b - -,d7e6
2r3k1/6pp/p3p3/6N1/1p3P2/1P6/P3RKPP/1n6 b - -,b1c3
r1bqk2r/1p2bppp/p1p1pn2/6B1/4P3/P1N5/1PP2PPP/R2QKB1R w KQkq -,d1d8
1r3rk1/2q2bpp/2p1pn2/1pPp1p2/1P1P1P2/2N1P3/4BP1P/R2Q1RK1 b - -,b8a8
2r2rk1/1p3ppp/p3pn2/q2p4/5P2/1Q1P1NP1/PP3P1P/2R1R1K1 b - -,c8c7
r4rk1/ppp2pp1/3b1q1p/8/2PpB3/3P2Pb/PP1N1P1P/R2QR1K1 b - -,c7c6
3R4/p1r1ppbp/4P1pn/2Nk4/8/4BP1P/5P2/6K1 b - -,d5c4
8/6pk/5p2/2Q4p/4p2P/5qP1/5P1K/8 b - -,f3g4
8/8/8/k1p5/P1P5/2K3b1/8/8 b - -,a5a4
1k3b2/2r5/prPp4/3PpB2/5pPp/2K2P1P/P1R5/2R5 w - -,c2b2
rn2kb1r/pp3ppp/2p1pn2/2Pp1b2/3P1B2/1q2PP2/PP4PP/RN2KBNR w KQkq -,a2b3
4r2k/p6p/P1R1p3/1p6/3Pp3/1B4rP/1P3K2/3R4 b - -,g3b3
8/8/8/1R2K3/6k1/5n2/8/8 w - -,e5f6
r1b1k2r/pp2bppp/4pn2/8/8/1NP3P1/PP3PBP/R1B1K2R w KQkq -,c1e3
8/8/8/1Q4K1/4pP2/6P1/3n1k2/7q w - -,f4f5
3qr1k1/5pp1/R5p1/1Pp5/1n1b4/1B1Q2P1/1P3PKP/5N2 w - -,d3f3
4r1k1/5N1p/p2b2p1/1b1p4/3B3r/2P3P1/1P3RP1/R5K1 b - -,d6g3
