8/8/4R3/8/4b1P1/4k1K1/8/6r1 w - -,g3h4
1q1r2k1/1b3ppp/r7/4pN2/R3P2P/1p4P1/3Q1PB1/R5K1 w - -,d2b2
r1br2k1/1pq2pbp/p1n2np1/2P1p3/7Q/2N1PNPP/PB3PB1/R1R3K1 b - -,h7h6
3r2k1/6p1/3q1p1p/1p2p3/pNbnPP2/P5PP/1P3Q1K/2R2B2 b - -,d4f3
5bk1/Q4pp1/7p/2p5/7P/2B3P1/1Pq2P1K/8 w - -,h2g2
r1bq1rk1/1p3ppp/1ppp1nn1/4p3/4P3/1BPP1N1P/PP3PP1/R1BQR1K1 b - -,d8e7:h7h6
r1b1rbk1/1p2qp1p/2pp2p1/p1n1n3/2P1P3/1PN1BP2/P1NQ2PP/3RRBK1 w - -,e3g5
6k1/6p1/p1bB3p/P7/3r4/7P/5RP1/6K1 w - -,d6c5
r1bq1rk1/ppp1bppp/3p1n2/3Pp3/2P1P3/2NnBN2/PP3PPP/R2QK2R w KQ -,d1d3
rn1qk2r/pb1p1ppp/1p2pn2/8/2PP4/N4NP1/1P2PPBP/R2QK2R b KQkq -,e8g8
4r3/1b1nrRpk/p6p/1pp5/3P4/1Q4NP/PP3PP1/6K1 w - -,d4c5
r1b2rk1/ppp2ppp/8/8/1bBnP3/P1N5/1P3PPP/R4RK1 w - -,a3b4
2R5/6p1/1k2p2p/8/6P1/r4PK1/7P/8 b - -,b6b5
2r2rk1/1bq3pp/p2ppb2/n1p2p1P/4PP2/R1PPB1P1/1P1QR1BN/6K1 w - -,e3f2
r4rk1/4q1pp/2p5/p1b1pp1b/4Q1P1/P3PN2/1P3P1P/R1BR2K1 w - f6,e4c6
3qkb1r/rp3pp1/p1n1pn1p/3p1b2/3P1B2/1QN1PN2/PP2BPPP/2R2RK1 b k -,f8e7
r2qr1k1/1ppb1p2/3p1np1/p1nPp2p/2P1P3/1PN5/P1Q1BPPP/2R1RNK1 w - h6,f1d2
r1b1k2r/pppnppbp/6p1/8/3PP3/2P5/P4PPP/R1B1KBNR w KQkq -,g1f3
4r3/ppk3pp/1n6/B1p2b2/1PP1pP2/8/P5nP/2KR3R w - -,b4c5
8/8/6k1/6p1/8/6RP/r5PK/8 b - -,g6h5
8/1R2n1k1/1p1r1b2/7p/8/7P/6K1/1B2R3 b - -,g7f7
2nq4/1r1k1b2/3p1b2/1p1Pp2p/1Pp1Pp2/P1N2P2/4KBrQ/1N5R w - -,h2g2
r1b2rk1/pp1n1ppp/2p2n2/q2p2B1/1b1P4/2NBPN2/PPQ2PPP/R3K2R w KQ -,e1g1
2r1r1k1/4qp1p/2pbn1p1/1p1p4/1P1P1PP1/4PN1P/3QNK2/1RR5 w - -,b1b3
8/8/3kp2P/3p4/2pn1KN1/P1r5/R7/8 b - -,c3f3
8/p1n1rk2/1p2p3/5p2/P1Bq4/8/4QP1P/4R1K1 w - -,g1h1
2rqrbk1/1p1n1p1n/p2p3p/3Pp1pP/4P1P1/2N1B1N1/PP2QPK1/R1R5 b - -,h7f6
rn1q2k1/p3rpbp/bp1p1np1/2pP4/P7/2N3P1/1P1NPPBP/R1BQR1K1 w - -,g2f1
4k3/P1n2pp1/2Nb3p/2p5/3p4/1P1B3P/5PP1/6K1 w - -,d3e4
