8/5p2/4p3/3pP1p1/3P2P1/2kNK3/6b1/8 w - -,d3f2
r1bq1rk1/1p1nppbp/p2p2p1/2pP4/2P1PP2/2N3PP/PP2Q1B1/R1BR2K1 b - -,a8b8
8/1r3p1k/Rbp5/p4NPp/P2PKP1P/8/8/8 w - -,f5d6
7Q/4n3/2bp1kr1/1p3p2/8/1P1P3P/P1P2KP1/R7 b - -,f6f7
r1b1qrk1/ppn3bp/2p2np1/5pN1/2P1p3/QPN3P1/P3PPBP/R1BR2K1 w - -,c1f4
2r1rbk1/3n1ppb/1p1qp2p/3p4/1B6/P2P2P1/1Q2PPBP/1NR1R1K1 b - -,d6e5
6k1/5p1p/P1n3p1/2pB4/1r1b4/6B1/5PPP/4R1K1 b - -,c6a7
r2Q2k1/p4pb1/2p3pp/4p3/4NnP1/4BP2/PPP4P/2K4R b - -,a8d8
4r1k1/p2R1p1p/1p3Bp1/4b3/4q3/1Q4P1/5P1P/6K1 b - -,e4e1:e8f8
r1b2rk1/p1p3pp/2pp4/2b5/4P2q/2NN3P/PPP2RP1/R1B1Q1K1 b - -,c5f2
rnbqkbnr/pp3ppp/2p1p3/6B1/2pP4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,f8e7
r6r/5kpp/2p1bp2/2P5/1BN5/P7/5PPP/3R2K1 w - -,c4d6
2r1k2r/1p3ppp/1p4n1/8/2b5/2P5/P4PPP/1R2KBNR w Kk -,f1c4
r1r3k1/p2bnpbp/4p3/q2p1p2/N7/1PNQP1P1/P4PBP/2RR2K1 b - -,a8b8
1rr1n1k1/2qbppbp/2np2p1/1p6/1P2P3/2NP1NPP/3BQPB1/1RR3K1 b - -,c7d8
1r3rk1/3q2pp/p1np4/3Npbb1/1pP5/1P4P1/P1N2PBP/R2Q1RK1 w - -,c2e3
2k5/1p5p/p2p4/3Prpb1/4p3/6P1/PP3RK1/5R2 b - -,e4e3
4r1k1/2q3b1/p2Np1Q1/1p5p/3P3P/2P2n2/P1BR1P2/6K1 w - -,g1h1
5R2/8/1p6/p3k2p/r6P/7K/8/8 w - -,f8h8
r2r2k1/p1q2p1p/Bp2nbp1/3R4/RP6/4PN2/Q4PPP/6K1 w - -,d5d8
r1q2r1k/1bp1bppp/p4n2/4p3/Pp2P1P1/1B3Q2/1PPN1P1P/R1B1R1K1 w - -,h2h3
4r1k1/5pb1/2R4p/4p1p1/1P2Q3/3PB2q/2P2P2/6K1 w - -,b4b5
6rk/5r2/2p1q1pP/1p1pPp2/2nP1P2/PR4RP/7Q/2B3K1 b - -,f7h7
8/1pbk1pp1/p6p/2P5/1P2P3/P3N1PP/6K1/8 w - -,g2f3
r3r1k1/1pq1ppbp/p3b1p1/P2p3n/3P4/2NBB3/1PP2PPP/R2QR1K1 w - -,d1f3
r1bq1rk1/pp1nppbp/5np1/6N1/3N4/2PB3P/PP3PP1/R1BQ1RK1 b - -,e7e5
rnbqk2r/pp2ppbp/3p1np1/3P4/2P5/2N2N2/PP1BBPPP/R2QK2R b KQkq -,c8g4
r1b1k2r/ppppnpp1/7p/8/3qP2P/2N4R/PPP1QPP1/R3KB2 b Qkq -,d7d6
r1q1k2r/pp1n1pp1/2p2np1/2bPp3/2P1P3/1QN1B1P1/PP4BP/R3K2R w KQkq -,e3c5
1qrr1bk1/5ppp/8/1b3N2/ppN5/1P3P2/P4QPP/1R2R2K w - -,c4e5
8/1p5k/1r4pP/2p1pp2/3q1n1N/1p1P1Q2/P1K1PP2/3R4 w - -,a2b3
r1bq1rk1/p4ppp/2n1pb2/2P5/1p2P3/3P1N2/PP2NPPP/R2QKB1R w KQ -,d3d4
2kr1b1r/ppp1ppp1/2n2n2/5q1p/2PP2b1/4BN2/PP1NBPPP/R2Q1RK1 b - -,a7a6
r4rk1/1p4pp/p1nNpp2/3pP3/1q1P4/1P1Q4/P4PPP/2RR2K1 w - -,d3h3
r1r3k1/2q1bppp/4p3/p3N3/1p3P2/8/PPP1Q1PP/1K1R3R b - -,e7d6
r2qk2r/pp3p2/2b1p1p1/2b1P3/2Pp1PP1/6Rp/PP1K1QnP/RNB2N2 b kq -,c5b4
3Br1k1/1p3p2/p2n3b/P5p1/6P1/1NP5/1P6/2K2R2 w - -,d8c7
6k1/1p2q2p/pn2p1pb/4P3/3P2P1/P1R2Q1P/1P4K1/8 w - -,h3h4
1rb2rk1/3q2pp/2n2b2/1ppnpp2/8/2PP1NP1/1PQN1PBP/R1B1R1K1 w - -,d2b3
2rq1rk1/p3bpp1/b6p/n1pnpN2/4B3/3P4/PPP2PPP/RNBQ1RK1 b - -,d5f6
5rk1/5p2/p1bq2pp/8/2PRP3/7P/6P1/5RK1 w - -,d4d6
r1r4k/1p2p2p/p5p1/5pB1/8/1N3P2/Pb3P1P/2R2RK1 w - -,c1d1
r1bqr1k1/pppn1pbp/3p1np1/8/2Pp4/1PN2NP1/P1Q1PPBP/R1B2RK1 w - -,f3d4
r3r1k1/p1qnnppp/1p2p3/2ppP3/P2P4/B1P2NP1/2P1QP1P/R2R2K1 b - -,a8c8
8/p4pk1/1p4p1/4rn2/2p1N3/2P4P/PP6/5RK1 w - -,e4d2
8/6p1/4pk1p/7P/r2NKP2/3B4/8/8 w - -,d3c2
1k6/p7/2Rb1r1p/1P1B4/5pp1/P7/6K1/8 w - -,a3a4
r3kb1r/1bqn1ppp/p2ppn2/8/Pp2PP2/1N1B4/1PPNQ1PP/R1B2RK1 w kq -,g1h1
r1bqk2r/1p1p1ppp/pbn1pn2/6B1/4P3/1N3P2/PPP1B1PP/RN1QK2R w KQkq -,d1d2
2r2b1r/1p1k1ppp/p1n1p3/1B1p4/7B/4P3/PP3PPP/2R2RK1 w - -,b5e2
r3qr2/2p1b1kp/2b1pnp1/ppPp4/1P1P2P1/P2B3P/1BQN1P2/R4RK1 w - -,a1e1
1k1rr3/pppq2pp/2np1pb1/8/8/1PP1BP1P/P1PQB1P1/2KRR3 w - -,e2f1
1R6/2n1rpk1/2Bp2p1/1p2q2p/7P/4P1P1/1P1Q1PK1/8 w - -,b8d8
1r2r1k1/1pp2pp1/7p/8/4R3/P5P1/1P3PKP/5R2 w - -,f1e1
r1bq1rk1/1p1p1ppp/p1nPpb2/8/5B2/2N3P1/PPP2PBP/1R1Q1RK1 b - -,b7b6
3rr1k1/1p1npp2/p1qp2p1/3N3p/2PQPP1P/1P4P1/P5K1/2RR4 w - -,d1f1
r4rk1/1p2qpbp/2n1pnp1/p1P5/PP6/B1N1PQ1P/B4PP1/R2R2K1 w - -,b4a5
rnbqk1nr/pp2ppbp/3p2p1/2p5/5P2/5NP1/PPPPP1BP/RNBQK2R w KQkq -,d2d3
3r2k1/p2r1ppp/4pbn1/Q1R5/3Pq3/5N1P/PB3PP1/2R3K1 w - -,c5c8
r1b1k2r/3p1ppp/p1n2B2/qp1p4/1b2P3/2N2N2/PP2BPPP/R2QK2R b KQkq -,g7f6
rnb1k2r/p2qbppp/1p2pn2/2pp4/4P3/2PP1NP1/PPQN1P1P/R1B1KB1R b KQkq -,d5e4
8/8/1R5k/p3r3/P1K5/8/8/8 b - -,h6g7
2r2rk1/p2b1npp/p4p2/4pP2/1n1pP1P1/1P1Pb2P/3NN1B1/3Q1R1K w - -,d2c4
r5k1/2p4p/pn3p1b/N2p4/3P4/1PB5/2r2PPP/1R3RK1 w - -,c3b4
8/8/2PR4/6k1/8/8/2r5/5K2 w - -,f1e1
r2qk2r/pb1nbppp/2p1pn2/1p6/3P1B2/2NBPN2/PP3PPP/R2Q1RK1 b kq -,e8g8
8/5p1p/1p1r1k2/p2P1b2/3R1P2/P4B2/1P2RK1P/2r5 b - -,c1c5
r1br2k1/ppb2ppp/1n6/4p3/P1N5/1P4P1/4PPBP/R1B2RK1 b - -,b6c4
5k2/1p6/3R3N/6P1/1p6/1Pb2K1P/P1r5/8 b - -,c2a2
k3r1r1/p2q4/PnbBp3/Rp1pPpp1/2pP4/2P3P1/2PQ1PB1/1R4K1 b - -,g8g6
r1b1k1nr/ppq2pp1/2pb3p/4N3/2B1PB2/2N5/PPP3PP/R2QK2R b KQkq -,d6e5
8/5pk1/6p1/4qr1p/8/3Q3P/6P1/3R2K1 b - -,g7h7
6k1/1p1r1p1p/6p1/1R1B4/P4P2/2b1r1P1/7P/2R4K b - -,b7b6
3k4/1brp1p1p/pR2p1p1/1p2P3/5PP1/P1N1K3/1PP4P/8 w - -,g4g5
4rrk1/3q1pb1/6p1/p1pP2Pp/1p2P2P/1P3RN1/P1PQ4/3R3K w - -,f3e3
8/6pk/2Q5/1p3q1p/p2P3P/P1P2PB1/2r3PK/8 b - -,b5b4
8/3k3p/1B1p2p1/1n1Pppb1/2N1P3/3P1PP1/3K3P/8 w - -,d2c2
1r4k1/pp3ppp/5n2/8/1QP5/4q1P1/PP4BP/5R1K w - -,c4c5
2k1r1r1/ppqb4/2n3p1/3pppB1/P1pP4/2P1Q2P/2P2PP1/1R2RBK1 w - -,d4e5
r3q1k1/pb4pp/1p3r2/b2P4/1n2p3/B1N1RN2/5PPP/R2Q2K1 b - -,e8g6
r4rk1/1b1nbppp/1q2pn2/1ppP4/1P6/3P1NN1/B1PB1PPP/R2QR1K1 b - -,f6d5
8/5p1p/pp1kp3/5p2/P1PN1P2/1P2K1P1/7P/r7 w - -,e3d3
b5k1/q2npp1p/3p2p1/1r5P/1Q2P3/P4PP1/6BK/8 w - -,b4b5
r1br2k1/1pn1qppp/p1p5/8/1P6/2B1P2P/P3BPP1/R1Q1K2R w KQ -,a2a3
r7/1p1rk3/2p1bpp1/p1n1p2p/P1P1P3/1P3P1P/3R2PK/N2R1B2 w - -,h2g3
7R/8/8/1p3r2/3P2k1/3K3p/8/8 w - -,d3e3
3r1rk1/1pq1ppbp/p5p1/n1p4n/P3P1b1/N1P1B3/BPQN1PPP/R3R1K1 b - -,h5f4
6rk/pp1nr3/4p1qb/P1npP3/2p2P2/R5P1/1PP1N1B1/2BQ1RK1 w - -,c1e3
1q4kr/1b3p2/p2Pp1pp/3nQ3/5PN1/3P1N2/1Pr3PP/R4R1K b - -,c2c6
4r1k1/7p/p1P1P1pB/1p1pR3/1PbN4/P7/6P1/6K1 w - -,e5e3
