6R1/8/5k2/4pp1n/7p/5P2/4N1PK/4r3 w - -,g8f8
1r6/2p5/2r1p1k1/pp1nBp2/3P2pP/P1PR2P1/5K2/2R5 b - -,c6c4
7k/8/3p1b1p/2pP2p1/1p2KP2/6P1/r2B3P/1R6 w - -,d2e1
rnbr2k1/pp2ppbp/6p1/8/3PP3/3BB3/P2K1PPP/2R3NR w - -,g1e2
1k6/p1p3pp/p1P4r/2R3p1/1P3bP1/P1N3r1/7R/7K b - -,h6h2
r3k2r/q2b1p2/p1n1p1p1/3pP2p/P4P2/1NRB4/1P2Q1PP/5R1K b kq -,c6d4
r2qkb1r/pp1n1ppp/2p1p3/2p1P3/5P2/3P3P/PPP1QP2/RNB1K2R b KQkq -,f8e7
8/3r4/6P1/4k3/2K5/3B4/8/8 w - -,c4c3
5r2/pp2Np1k/3p1np1/q6p/4P3/2r5/PPPQ4/2K3RR w - -,d2c3
r2q1rk1/p3n1bp/1pn2pp1/1N3b2/2Pp1B2/3P1NP1/P2Q1PBP/1R2R1K1 b - -,d8d7
r6r/1R1k1ppp/3Pn3/3p1p2/3P4/p1B2P2/5P1P/R5K1 b - -,d7d6
2kr3r/pp3pp1/1b2p3/3n4/3n2P1/PN4P1/1P1BB2P/1R3RK1 w - -,b3d4
8/p6p/5kp1/1P3p2/PR2p1PP/4P3/5P1K/r7 b - -,f6e5
5rk1/2q2p1p/2bp2pb/1p2pP2/1Pn1P3/2PQ2PP/4N1BK/5RB1 w - -,f1a1
r2qk2r/pp1n1ppp/2p1pn2/3p4/1b2P3/2NP1QPP/PPP2PB1/R1B1K2R w KQkq -,e1g1
6k1/5pp1/7p/1pp2P2/2p1r2P/N1Pn4/5P2/1R4K1 w - -,a3b5
rn2k2r/pbpqbppp/1p6/3pN3/3P4/2N3P1/PPQnPPBP/R3K2R b KQkq -,d7e6
8/3r1pk1/Bpprbqp1/p3p3/P3P1P1/1PP2P2/4Q1P1/1R3NK1 w - -,e2f2
r4rnk/2pb1qpp/1p1p4/2nPpp2/pNP3P1/2P1PP1P/P2Q3B/3BR1RK w - -,g1g2
2b2bk1/R3p2p/3p4/1p1P4/5p2/3PBnNP/2r2P2/5B1K w - -,e3f4
6k1/7p/4R1p1/8/1pp1p2b/7P/1Pq2PK1/5R2 b - -,g8f7
8/6pk/7p/1P2R3/5p2/1r3P2/4K3/8 b - -,g7g5
2r5/4kpp1/p2p1q2/np1p1P2/P2PpR1r/1PP1P3/3NQ1P1/2R3K1 w - -,f4h4
r1bqk2r/ppp1bpp1/3p3p/7n/3nP3/2N1BP2/PPPQ2PP/2KR1B1R w kq -,d2d4
r3r1k1/p6p/1pp5/4B3/Q1PpP1q1/6P1/PP5P/R4RK1 b - -,e8e5
2r2r1k/pp5p/4q1p1/3N1p2/3P2n1/1Q2PR2/PP5P/5RK1 w - -,h2h3
rn1qk2r/pp3pp1/2pbpnp1/3p4/2PP4/2NBP2P/PP3PP1/R1BQK2R b KQkq -,b8d7
r4rk1/pp1n1pbp/2pq2p1/3p4/1P1P2b1/1QN1PN2/P3BPPP/R4RK1 w - -,b4b5
3r2k1/1p1r1pb1/p3b2p/B2pp3/4n3/1PP2NP1/P2RBP1P/3R2K1 w - -,a5d8
r1b1k2r/p4ppp/1pn1p3/3n4/5B2/P1P1PN2/5PPP/3RKB1R w Kkq -,f4g3
r1b2rk1/1p2ppbp/1q3np1/p2pN3/P2P1B2/2PB4/1P1Q1PPP/R4RK1 b - a3,f6e8
2k5/1pp2pp1/p2p4/8/4P3/2P3N1/PP1q2K1/6R1 w - -,g2f3
2q1r1k1/ppb2r1p/3R1Pp1/4P3/2p2B2/6Q1/P1P3P1/3R3K w - -,d6d5
