2Q5/7k/5bp1/p2q3p/1p3R1P/5P2/5K2/8 w - -,f4f6
r7/p3k2p/8/3Q4/3p4/PP5P/5KP1/1q6 w - -,d5a8
r1b2nk1/2q2pb1/p1p3p1/1pP1p2n/4P3/1NN1BPP1/PPQ1BK2/3R4 b - -,f8e6
r2q1rk1/3bppbp/3p1Bp1/3B3P/pp2P3/2N2P2/PPPQ2P1/R3K2R b KQ -,e7f6
6k1/p4p1p/6pB/4P3/3p3P/1qbQ4/5PP1/6K1 b - -,b3b8
r1bq1rk1/1pp1nppp/1p6/8/1PBpP3/8/P2P1PPP/R1BQ1RK1 b - -,e7c6
r1b2rk1/q5np/p1pb1pp1/2Npp3/3PPP1B/3B4/PP2Q1PP/2R2RK1 w - -,e4d5
2rq1rk1/pb2bpp1/1p3n1p/1Bnp4/3Q4/2N1PN1P/PP3PPB/2R2RK1 w - -,f1d1
2r1k3/2b2p2/4pB2/3nP3/6N1/6P1/5PK1/1R6 w - -,b1h1
5rk1/pp1bbpp1/1q3n1p/3p4/3N3B/1NPQP3/5PPP/R5K1 w - -,a1b1
rn1qk2r/pb1p1ppp/4pn2/b1pP4/2p1P3/P1N3P1/1P2NPBP/R1BQK2R b KQkq -,e6d5
r4rk1/ppqb1ppp/2n1p3/2ppPn2/P2P2Q1/2PB1N2/2P2PPP/R1B2RK1 w - -,c1a3
2B5/8/3b4/2p2pp1/2Kp1k1p/1P5P/5PP1/4N3 b - -,g5g4
7r/kpr3b1/pp1Q3p/8/5B1P/5P1q/PP6/1K6 w - -,d6c7
rn1q1rk1/5pbp/p2pbnp1/1Pp3N1/P3P3/2N5/1P3PPP/R1BQKB1R b KQ -,d8e7
5bk1/5p2/4p1p1/1p2P1B1/4Q1P1/2P5/1PK2q2/8 w - -,c2b3
1r5r/3Rk2p/4p1p1/8/P1P1b3/1p4K1/1N6/3R4 b - -,e7f6
3r1r2/1bpnqpbk/pp1ppnpp/8/P2PPBP1/2N2N1P/1PPQ1P2/3RRBK1 w - -,f1g2
8/5p2/4kp1p/p2p4/2pP2PP/1r6/1PRRKP2/1r6 b - -,a5a4
8/1p6/2p2k2/1pb2P2/8/5B2/PPK5/8 w - -,f3e4
6k1/5p1p/1r4p1/4p3/3b3P/1p1N2P1/1P3P2/R5K1 w - -,a1a3
5r2/8/1k1p4/p2PnR2/2P1B3/1PK2p2/P7/8 b - -,f8f5
r5k1/1p3p2/4b1p1/p3P2p/1bq5/Q4N1P/PP4P1/3RB1K1 w - -,e1b4
r1n2rk1/bppb2pp/8/p2PppB1/N3P3/PP4P1/5PBP/R4RK1 w - -,e4f5
3r1rk1/1p3pp1/2pqbnnp/p1b1p3/B1PpP3/P2P1NNP/1P1BQPP1/R4RK1 b - -,d8a8
r3k2r/p2npp1p/b1pp1npQ/q7/1p1PP3/1B3P1N/PPP3PP/1NKR3R b kq -,c6c5
r4rk1/pppbq1bp/3p1np1/3Pp1Nn/2P5/2N1B1PP/PP1Q1P2/R3KB1R w KQ -,f1g2
r5k1/5p2/1p4p1/1Bp5/1p3P2/1P2rK1P/2P5/3R4 w - -,f3e3
2r1k2r/3p1ppp/p2Pp3/q2b4/1p1Q1Pn1/P7/1PP3PP/1KBR1B1R b k -,e8g8
2rqr1k1/pb1nbppp/1p1ppn2/2p5/2PP4/1P1BPN2/PBQN1PPP/2RR2K1 b - -,c5d4:d7f8
r1b1r1k1/p1qp1pbp/2p3p1/4P3/3QN3/1P3N2/P4PPP/R3R1K1 b - -,d7d5
r1bq1rk1/1p1nbppp/p2ppn2/8/2PP1N2/P1N1B3/1P2BPPP/R2Q1RK1 b - -,b7b6:d8c7
1rb2rk1/1pq1ppbp/p2p2pn/P1pPn3/4PP2/2NB3P/1PPNQ1P1/R1B2RK1 b - f3,e5d3
2q1r1k1/pb3rbp/1p3p2/3pnPp1/6P1/2B5/PP2BQNP/R2R2K1 w - -,g2e3
1k1qr3/2r5/Q7/1p1p2P1/5N2/P1p2R2/1P3K2/8 w - -,b2c3
7k/Rpr1p1b1/2q4p/2Pp1pp1/Q2PnP2/4P3/4N1PP/4B1K1 b - -,c6g6
rnbq1rk1/ppp2ppp/4pn2/3p4/1bPP4/P4NP1/1P1NPP1P/R1BQKB1R b KQ -,b4e7
2r2rk1/1bq3pp/3ppb2/p6P/2pPPPp1/RnP5/1P2RBBN/4Q1K1 w - -,h2g4
7k/p1q2pp1/7p/2p3r1/4p2r/P1Q1P1N1/1B1R1PP1/3b2K1 w - -,d2d1
r3r1k1/pbqn1pbp/1p1p2p1/4p1B1/3P2P1/2PB2N1/PP3PP1/2RQR1K1 w - -,d1d2
4n2k/q6p/5p2/3R1P2/4P2P/P2B4/KR1B2r1/8 b - -,h7h5
r1bq1rk1/ppp2pbp/2np2p1/4n3/2B1P3/2N1BN1P/PPP1QPP1/R3K2R w KQ -,f3e5
r3r1k1/pp3ppp/2n5/3pnp2/P7/1PP5/R2NBPPP/4R1K1 b - -,e5d3
qr1b1kr1/3n1pp1/ppbp1N2/4pP2/PPP1P2p/2NB3P/3BQ1PK/2R1R3 b - -,d8f6
r1b2rk1/pp1pppbp/6p1/q2N4/3nP1Q1/1B2B3/PPP2PPP/R4RK1 b - -,e7e6
1r4k1/p4p1p/1b4p1/2p5/2P1PP2/1b2B3/4BKPP/2R5 b - -,b8d8
rn3rk1/pbq2pp1/1ppbpn1p/3pN3/Q1PP4/2N3P1/PP2PPBP/R1BR2K1 w - -,a4c2
rr6/1bnn1pkp/p2p1q2/1ppPp1BP/P1P1P3/1PNB1P2/3Q1K2/7R w - -,g5f6
8/8/Q7/3pp1pk/8/6PP/5qNK/2r5 b - -,f2g1
8/3k4/5p1p/2bPp1pP/K1N1P1P1/5P2/8/8 w - -,a4b3
8/5pk1/1b2p3/4P3/4P2p/2B5/1P2K1P1/8 b - -,g7g6
5qk1/pbr2p2/1p4p1/6b1/1P1N4/P6P/B3Q1P1/3R2K1 w - -,e2g4
8/2R3pp/8/8/Pk1p3P/8/6r1/2K5 w - -,c7a7
r3kb1r/pppb1ppp/2n1pq2/8/2B2B2/2P2Q2/PPP2PPP/2KR2NR w kq -,f4c7
3r3k/5p2/pb6/4P1Nq/5P2/1P2n1BB/P7/6QK b - -,d8d1
1r4k1/2p2pp1/3p3p/8/3PPR2/2P1Q3/2q3PP/6K1 b - -,b8b2
r5k1/5p1p/4p1p1/3p4/qPpP4/1rP3PP/2RQ1PK1/2R5 b - -,a8a7
2r1r1k1/6p1/pq3p1p/1p5b/2pN1P2/P1Q1P2P/1P3RP1/4R1K1 w - -,f2d2
r3k2r/1b1pq1pp/6p1/1pp1P3/4PB2/1P4Q1/PP3PK1/R6R w kq -,f2f3
r1bqkb1r/1p1npp1p/p4np1/1B1P4/8/2N5/PP1PQPPP/R1B1K1NR w KQkq -,b5a4
8/1r4k1/pp2p2p/8/N1P5/1P2n2P/P1B3P1/7K w - -,c2e4
r4rk1/1ppqnppp/2n5/4pb2/1pPp4/1P1P1NP1/PB2PPBP/R2QR1K1 b - -,e7g6
4n1r1/3q1b1k/1p1p4/pNpP1pBp/P1P1pP2/1P4PP/4R1B1/4R1K1 b - -,f7g6
r4rk1/pp2ppbp/nqp1bnp1/8/3PP3/2NQ1NP1/PP3PBP/R1B2RK1 b - e3,a8d8
5rk1/ppr2pp1/5n1p/4p3/2BbP1qB/1P3Q2/P2R1PPP/1R4K1 w - -,h4f6
2b1rqk1/5pb1/pn1p1Bpp/2pP4/2P2P2/2NBr1NP/1PQ3PK/R4R2 b - -,g7f6
2rqrbk1/1b3p1p/p2p1np1/1pnPp3/4P3/1P3NNP/P2B1PP1/1R1QRBK1 b - -,h7h5
2rqkbnr/1p1b1pp1/p2p3p/4p3/P3P3/3Q1N2/1PP2PPP/RNB2RK1 w k -,b2b3
5k2/6p1/1p6/2pP3p/K3R2P/2r5/P5r1/R7 w - -,a1f1
2r5/8/pp2kBp1/3p1pP1/3P1Kb1/2P5/P7/1R6 b - -,b6b5
r1b1k2r/ppp1n1pB/2n5/4P1q1/1bP1PB2/8/P1Q3PP/RN3RK1 b kq -,g5h5
4rk2/6p1/1R5p/2p5/b1Pp4/3B3P/5PPK/8 w - -,h2g3
r2qk2r/1pp1npb1/p1npb1pp/8/2B1PB1P/2P2N2/PP1NQPP1/2KR3R w kq -,e4e5
8/8/8/8/2k5/K1b5/4n3/8 w - -,a3a4
3q4/1R3rk1/2Bp1n1b/3Pp2p/1P2P1n1/2N3P1/4Q1K1/6B1 w - -,b7f7
4rr2/p1qn2pk/2p2b2/2P2p2/2b4P/2N5/PPB2QP1/3R2KR w - -,c2f5
2rr2k1/pbq1bppp/4pn2/pQ1pP3/5P2/2N1BB2/1PP3PP/R4R1K b - -,a7a6
2kr2r1/1pqbnp2/p3p3/3pP3/P1n2P1P/2NQ4/2P3P1/1RB1KB1R w K -,h1h3
r5k1/2p3bp/1pPp2p1/3Pq3/B2pP3/P7/1PQ3PP/1R4K1 b - -,d4d3
4b2r/2r1k1p1/p3p1Bp/1p1pP2P/5RP1/PPP2RK1/8/8 b - -,h8g8
1qrb1rk1/1b1n1ppp/pp1ppn2/8/1PP1P3/PNN1BP2/3QB1PP/2RR2K1 b - -,d8c7
8/6p1/p3p1k1/1p2P1Pp/r2B3P/P1P1K1Pb/7R/8 b - -,h3f1
1n4k1/2R5/b5p1/r2P2q1/6Np/5P2/1Q2n1PP/7K b - -,b8d7
r2q1rk1/pb2nppp/1p1p1n2/2pPp1B1/2P1P3/2P2N2/P1B2PPP/R2QR1K1 b - -,e7g6
3n4/pp3p2/1n3kp1/2p4p/4PN1P/2P2P2/PPK1B1P1/8 b - -,d8e6
8/6k1/4B1pp/p7/1p6/4NK1P/Pr6/8 w - -,e6b3
r1nq1rk1/pp2ppbp/2n3p1/2Pp4/3P2b1/1PN1BN2/P2QBPPP/R3K2R w KQ -,h2h3
8/pr3pkp/4n1p1/1P1R4/2P5/6P1/3KNb1P/8 w - -,e2c3
r1b1r1k1/2p2pb1/ppn2qp1/4p2p/4Pn2/2PNB2P/PPQ2PPN/R2R1BK1 b - -,g6g5
8/6r1/1p2p3/p2p1bNk/P2P1R1P/1KP5/8/8 b - -,f5g4
5rk1/3qnp1n/pppNr2p/4P1p1/1P1P4/P5BP/6P1/3QRRK1 w - -,d1g4
8/8/8/6KP/8/1p6/1Prk4/5R2 w - -,h5h6
r2q2k1/pb1pb1pp/1pn1p3/8/3P1r2/2N2N1P/PP2BPP1/R2Q1RK1 b - -,c6b4
r2qrbk1/1b4pp/p4n2/1p1pNP2/1P1P4/1QN4P/1P4P1/R1B2RK1 w - -,c1f4
r4rk1/pb1p2pp/1pn1pb2/3nB2q/3PB3/P4N2/1PQN1PPP/2R2RK1 b - -,a8c8
7k/7p/5R2/p1r5/4p3/8/P3B1PP/6K1 w - -,a2a4
3r4/1r2kpp1/1p1p2p1/p1n1p1P1/2P1PPB1/1P4P1/P5K1/2RR4 b - f3,b7b8
3r1r2/1bq1bkpQ/p1p1p1n1/np3pP1/2pPPP2/P1N1B2R/1P4BP/3R2K1 w - -,h3h6
r1bqk1nr/pp1nppbp/2pp2p1/8/2PPP3/2N2N1P/PP3PP1/R1BQKB1R b KQkq -,d8c7
2R2nk1/4Qpp1/8/1P6/5K1P/4PP2/q5r1/8 b - -,a2c4
r2q1rk1/pp1b2pp/2p1p3/3pPpb1/2PP4/2N1P2P/PP1QB1P1/R4RK1 w - -,a1c1
r1b1k2r/2qpbppp/ppn1pn2/8/P3P3/1NN3P1/1PPB1PBP/R2QK2R w KQkq -,f2f4
r1bq1rk1/ppp1ppb1/3p2pp/8/2PPn2B/4PN1P/PP2BPP1/R2Q1RK1 w - -,f3d2
8/3k4/7R/6p1/7P/1B1n2PK/5r2/8 b - -,g5h4
3r2k1/p2n1ppp/Prn1p3/1B6/1p6/4PP2/1P3P1P/2RRB1K1 b - -,b6b5
2kr1b1r/pp4pp/4p3/2npP3/P1p2B2/5P2/1P2P1PP/R3KB1R w - -,e2e3
3r1rk1/qp3ppp/2p1pn2/p7/P1BP2Pn/1P1Q3P/1BP2P2/R2R2K1 b - -,b7b5
5r2/1R5p/p2k4/1b1pp2p/3n4/4KP2/PP6/1B3R2 w - -,f1f2
rr4k1/3nppbp/bq1p2p1/2pPn3/P7/1PN2NP1/2QBPPBP/1R3RK1 b - -,a8a7
1r6/5pk1/p3pQpp/4P3/8/6B1/4qPP1/2R3K1 b - -,g7g8
rnb2rk1/4ppbp/pq1p2p1/1BpPP3/5P2/2N2N2/PPP3PP/R2Q1RK1 w - -,b5e2
7r/5pk1/1r2p3/1pNp1np1/pP1P3p/P1P2P1P/4RKP1/2R5 w - -,f2e1
r3rbk1/p6p/1qp2p2/2Np1bp1/3Pn2P/5N2/PP1Q1PPB/2R2RK1 w - -,c5e4
3r2k1/1p3p2/2nN2b1/2PB2pp/5p2/P6P/1R1R1PPK/4r3 w - -,d6b7
r2q1rk1/1Rbb1p2/2p3p1/p1Pp3p/Q2Pp3/2N1P1P1/P4PBP/1R4K1 b - -,h5h4
1rbq1rk1/1p1pnpbp/p1n1p1p1/8/1pP5/P1N1P1P1/3PNPBP/1RBQ1RK1 w - -,a3b4
2nr4/p5kp/NpRbppp1/q2p4/3P2P1/P2BPQ2/1P3P1P/6K1 w - -,a6c7
r2bnrk1/1p1B1n2/1B1p4/P2P3p/1Q2Pp1q/5PpP/1PR3P1/R5K1 w - -,b6d4
8/5k2/6rR/8/3N4/5p2/5K2/8 w - -,h6h7
8/3N4/8/1n1k1p2/NPn5/3pp1P1/8/4K3 w - -,d7c5
2r2r1k/2q2ppp/p1nbp3/1p6/8/1PP1N3/PB3PPP/R2Q1RK1 w - -,d1h5
r2r4/p1k2pp1/2p2n1p/1pn1p3/2b1P3/5PP1/PPP1N1BP/1KNR3R w - -,b2b3
8/5kpp/2n1p3/1pPpP3/1P6/2B4P/6P1/6K1 b - -,f7g6
r4rk1/1pp1ppbp/p2n2p1/1P1n4/3P4/P2NPN2/5PPP/1RR1B1K1 w - -,b5a6
2r2r2/4ppkp/pq1p2p1/1p1P4/PPn1P3/8/2PQB1PP/R4R1K w - -,d2g5
2rq2k1/1p1nrbpp/p1p1p3/P2p1p2/1PPP4/2QN1PP1/4P1BP/3RR1K1 w - -,e2e4
r1br2k1/p1q2p1p/1pn1p1p1/2p5/2BPP3/2P3P1/P2QNPP1/2RR2K1 b - -,c8b7
5R2/1p2r3/p1p3k1/2P1BbPp/3P4/2P5/P4P2/6K1 b - -,f5e6
8/p7/8/1P1k1p2/P7/8/4K3/8 w - -,a4a5
r1b2rk1/p5bp/1pn1p1p1/3q1p2/2NPpB1P/1QP5/PP2NPP1/2KR3R w - -,c4e5
8/2k5/3n4/3KN1p1/4P3/8/5P2/8 b - -,d6b5
r7/3Rbk2/5p1p/3b2p1/P2B2P1/2P4P/P4P2/KQ2q3 b - -,e1b1
6r1/2pr4/1p3k1b/pP4pp/P2Ppp2/5P1P/1N2KP2/3R2R1 w - -,f3e4
6k1/1q3pp1/p3p2p/1pQ1P3/1PR2P2/P5P1/5K1P/8 b - -,b5c4
8/1p1k2pp/4n3/1p2p3/1B4PP/4K3/PP6/8 w - -,e3e4
8/1b3pk1/p1nq2pp/1p2p3/1P2P3/P1QB3P/4NPP1/5K2 b - -,c6d4
2rrk3/1p3p2/p3p3/4P2P/1P1NRQ2/2q5/5PP1/4R1K1 b - -,d8d4
2rq1rk1/3b3p/p2p2p1/nppPb3/4Pp2/PP3P2/N1Q1BBPP/1R3RK1 b - -,g6g5
r2q1rk1/1b1n1ppp/1p2pb2/2p1N3/pP3P2/P7/1BPPQ1PP/2KR1B1R w - c6,b4b5
r7/1pprq2k/2p2bp1/2P1p2p/p3P3/PbRNQPP1/1P1B3P/2R3K1 b - -,f6g7
8/8/3k2P1/1p1b4/3B3p/3P4/3K4/8 b - -,h4h3
8/p3rp1k/1p2qnb1/1Qpp4/2P3p1/1P2PP2/P2R2P1/3R1NK1 b - -,g4f3
r7/1pr1kp1p/p2p4/3Pn1p1/P1PR4/4P3/P3B1PP/3R3K b - -,a8c8
r1bqk2r/pp3pbp/3pp1p1/5n2/2PnN3/4P1P1/PP3PBP/R1BQ1RK1 w kq -,e3d4
r1bqN1k1/pp3ppp/2p2nn1/8/2PP4/1P3pP1/PBQ2PBP/R4RK1 w - -,e8f6
3rr3/p1k2ppp/b7/8/2P2P2/2P1n3/PR4PP/6K1 w - -,b2f2
r3rbk1/ppqn1ppb/2p2n1p/4pN2/4P3/PP4PP/1BPNQPB1/R4RK1 w - -,e2f3
r1B2r1k/6bp/2bp2p1/p1p1p3/4P3/q1N1B1P1/PP1R1P1P/3R2K1 w - -,b2a3
