8/8/1p1rpk2/p7/8/PR6/1P3PP1/6K1 w - -,b3b5
r6r/5kb1/2p3pn/p2pN2p/P2P1B2/2P2P2/6PP/4Q2K b - -,g7e5
6k1/5pp1/1p1p4/1Pp1p1q1/2P1Pn2/3P1P1p/2KQ4/4R3 b - -,g5g3
2rqr3/pp3kpp/3p1n2/1n6/P1Nb1P2/BP2p1P1/3Q3P/2R2R1K w - -,d2d3
rnb1kb1r/p3pp1p/2pp1np1/qp6/3PP3/2NBBP2/PPP1N1PP/R2QK2R b KQkq -,b8d7
8/7p/8/3N1p2/5K2/3k4/8/8 b - -,h7h5
r1b2rk1/ppp1npb1/2n2qpp/4p3/QPB1P3/2P1BN2/P2N1PPP/R3K2R w KQ -,a1d1
r1bq1rk1/1p1nbppp/1n2p3/3pP3/p2P3P/2NB1N2/PP1BQPP1/R3R1K1 b - h3,h7h6
2r4r/5p2/1pb1pk2/p1p2npQ/2PpN3/3P2P1/PP3P2/R3R1K1 b - -,c6e4
3r2k1/3B1pp1/5b1p/5Q1P/7P/1Pq1KP2/P1r5/3RR3 w - -,f5d3
r1bqkbnr/1p3ppp/p1n5/3p4/3p4/5N2/PPPNBPPP/R1BQ1RK1 w kq -,d2b3
r4rk1/pp1nq2p/2p3p1/3p1p2/3P4/2NQPP2/PP1n2PP/4RRK1 w - -,d3d2
r1bqk2r/pp2bppp/3p1n2/8/3pP3/5Q1P/PPB2PP1/RNB2RK1 w kq -,f3d3
Q7/6kp/bp3p2/2q5/8/1P2BB2/5KPP/5R2 b - -,c5c2
8/7k/6Rp/5K1P/1r3P2/8/8/8 w - -,g6d6
2R5/4k1n1/3p4/3P2P1/1P3p2/r1p5/4BPK1/8 w - -,c8c7
4r3/ppB2rpk/2p3np/P4q2/8/2PR1PQ1/2P2P1P/3R3K w - -,c3c4
8/3r2p1/1B1b1p2/P2p1bk1/7p/1P3P2/1K2R1P1/3R4 b - -,d6e5
r4rk1/pp3ppp/1qnbpn2/3p4/3Pb3/PP2BN1P/2PNBPP1/R2Q1RK1 b - -,a8c8
r3k2r/p1pn4/1p1ppq1p/3P1pp1/2P1b3/P1P1P1B1/3Q1PPP/R3KB1R b KQkq -,e6d5
r1n4k/Np1bp1bp/3p2p1/8/8/1P6/1P3PPP/R1B2RK1 w - -,c1e3
5k2/3Q4/4P2p/8/5P2/KP6/4q3/8 b - -,e2a6
r4rk1/pbq1bp1p/1pn1pnp1/2ppN3/3P1P2/2PBP2R/PP1N2PP/R1B1Q1K1 w - -,e1g3
r3r1k1/pbp2pbp/4p1p1/2p1P3/2B5/5N2/PPP2PPP/R3R1K1 w - -,f3d2
3r2k1/ppq2pp1/2prpbp1/8/3P4/P1PR1BP1/1P2QPKP/3R4 b - -,b7b6
rr4k1/p3n1bp/3p1np1/qb1PppB1/1p2P1P1/3B1P1P/PP1QN3/1KNR3R b - -,f5f4
2r3k1/4qpp1/3p2b1/p7/1rPRP1p1/2Q4P/2BR1P2/6K1 w - -,h3g4
1r2n2k/p4q1p/6p1/3Bb3/2P5/7P/1P4P1/4R1K1 w - -,d5f7
r4k1r/p2nnppp/b3p3/2ppP1B1/2P5/P1P2N2/5PPP/3RKB1R b K -,f7f6
1r1rn1k1/2p1qp1p/bp3bp1/p2Bp3/P3P3/N1P1BPP1/1P3Q1P/R2R2K1 b - -,f6g5
1r4k1/7p/1p4p1/PR1B4/3b4/6PK/2r5/1R6 b - -,g8f8
br4k1/p4p1p/6p1/q2nP1N1/2p2PB1/2n5/P1QB2PP/5RK1 w - -,g5e4
3b4/n2k4/4pr2/1p1pB3/pP1P2Pp/P6P/2R1N1K1/8 b - -,f6f7
4k3/2b2p2/1p1n2p1/2nB4/2PN1PP1/5K2/PB6/8 b - -,c7d8
8/p2Pk3/2B3n1/PPN5/2pK4/2P5/8/5r2 b - -,g6f8
5bk1/p7/6qp/2p1p1p1/P3b3/1P1PN1P1/2P1KR2/7R w - -,d3e4
1rbq1rk1/2p2pbp/1pnppnp1/p7/P1PP4/2N1BNPP/1P2PPB1/R1Q2RK1 w - -,f1d1
b5r1/7k/1p1Np2p/1P2Pp2/2P3q1/4Q1P1/3R3K/8 b - -,g4h5
r1b2r2/2qnppkp/3p1np1/p7/PppPP3/3B1NNP/1PPQ1PP1/R4RK1 w - -,d3e2
r1bq1rk1/pp2bppp/2n2n2/1BPp4/8/1N3N2/PPP1QPPP/R1B1K2R b KQ -,f8e8
3r2k1/ppp3pp/2p3q1/8/2P1P3/2Q1P2K/PP1r2PP/5R1R b - -,g6g2
r1bqkbnr/pppp1ppp/8/4n3/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq -,e5g6:f8b4:e5f3
8/5pk1/4p2p/1B4p1/1r1b2P1/7P/3R1PK1/8 w - -,b5c6
r2q1rk1/1ppn2pp/p2bbp2/2p1p3/P3P3/1P1P1N2/1BPN1PPP/R2Q1RK1 w - -,d2c4
Q1K5/6k1/4p1p1/4PrP1/8/8/8/8 w - -,a8b7
1R6/8/2bk4/3p2p1/r1p5/2P2B2/3K2P1/8 w - -,b8g8
2rrbk2/5pb1/3p1n1p/1p1Pn1p1/1P4P1/2N4P/B3NPK1/2BRR3 b - -,e5g6
4rr1k/2R1Np2/p2B2p1/1p4q1/7p/3B4/PPP2nPP/4R1K1 b - -,f2d3
r2r4/p1R2pk1/1p2b1pp/4q3/1P1bN3/5B2/6PP/2Q1R2K b - -,a8c8
2r5/p2kbp1p/1p1n4/1P1Np3/1R4p1/PN2P1P1/5PP1/6K1 b - -,c8c4
4R3/p4pk1/2p4p/8/4N1q1/2PB4/PP2KP1P/8 w - -,e2e3
1r4k1/p1r1p2p/B2p2p1/3Pb3/4P1P1/2PK4/1P1R4/7R w - -,d2f2
r2q1rk1/pb1nbppp/1p2pn2/2ppN3/3P1B2/2PBP2P/PP1N1PP1/2RQ1RK1 b - -,d7e5
4k3/Rp2r2p/6p1/3Pb3/2P1R3/1P1K4/6rP/8 b - -,g2b2
8/5p2/2k1p3/2p2p1p/r1K2P1P/p7/2P2P2/R7 w - -,c4b3
2b1rr2/1p3k1p/1np2bp1/p1Np4/P2N1P2/1PP2BP1/5K1P/3RR3 w - -,h2h4
8/7p/5qpk/6b1/2Q5/PP3P2/3pK1P1/1R6 w - -,b1h1
8/8/p2k4/1p3P2/3K3p/8/P6P/8 w - -,f5f6
