8/pp6/2b5/8/2r1pK1P/P3N3/3k4/6R1 b - -,c4a4
8/p6r/kp3BbP/6P1/2pP4/5QK1/2P5/3Bq3 w - -,g3f4
r4rk1/1p3ppp/1p2q3/1Pp5/8/P2P1Q2/1BP3P1/5RK1 b - -,a8e8
r2qr1k1/pp3pbp/2p1b1p1/8/Q2PP3/3BnN2/P4PPP/2R2RK1 w - -,f2e3
8/5p1p/4bpk1/4p3/6K1/4PP1P/3N2P1/8 w - -,g4h4
1r6/2r5/1p1kppp1/1R2p2p/2P1PP1P/3PK1P1/R7/8 w - -,a2a6
r4rk1/pb4pp/1pn5/4p3/2P5/P5N1/2B3PP/R3R1K1 w - -,c2e4
5rk1/2pb1ppp/pbnp3n/1p4Bq/3P4/2N2N1P/PP3PP1/R2Q1RK1 w - -,c3d5
rn1q1rk1/pp2bppp/2p1pn2/5b2/2QP4/4PNP1/PP3PBP/RNB2RK1 b - -,b8d7
1r1qr1k1/1ppbnpbp/p2p1np1/8/P1PN4/1PN3PP/1B2PPB1/R2Q1RK1 w - -,e2e4
1r4k1/6b1/4p2p/1b2Pp2/1P4pP/p1q3P1/1N1Q2P1/1K1RR3 b - -,c3b2
3n1r2/Rb4k1/3p1p2/2pP1Pp1/1pP1q1Np/1P2N2P/6P1/Q5K1 b - -,f8f7
rn3rk1/p2pqppp/1p2p3/2p1P3/1nP1b3/3P1N2/PP2BPPP/R2Q1RK1 w - -,d3e4
r1bq1rk1/pp2ppbp/2np1np1/8/8/1NN3P1/PPP1PPBP/R1BQ1RK1 w - -,h2h3:e2e4
3r4/2q2pk1/4p1p1/p1p1Pn2/2PpQP1b/1P5R/PN1B3P/3K4 w - -,e4f3
r1bqk1nr/pppn1pbp/3p2p1/4p3/3PP3/2P1BN2/PP3PPP/RN1QKB1R b KQkq -,g8f6
2r3k1/5pp1/3Qp3/3p3p/8/5PPP/1r6/R5K1 w - h6,g3g4
6k1/p5pp/1p1n1rr1/3Pp3/P1p1P2q/2P2PR1/4Q1KP/4BR2 b - -,h4f4
3r1r1k/1bq1bpp1/pn2pN1p/4P3/Pp1N4/3BQ1B1/2P3PP/1K1RR3 b - -,e7c5
r2q1r1k/ppp3bp/5pp1/5n1n/2BP2b1/2N1BN1P/PPP3P1/R2Q1RK1 w - -,e3f2
2r3k1/5p1p/6p1/1ppPb1r1/4P2q/7P/1P1Q1P2/2RNRB1K b - -,e5f4
8/8/P1n5/7p/6p1/4k1P1/8/5K2 w - -,f1g2
4Q2k/6q1/p2p1N1b/1p2pP2/P1P1P3/1P3K1P/8/8 b - -,g7f8
2r5/3k1rpp/p2b4/4p1PN/1p6/3P4/PK1BR2P/4N3 w - -,h5g3
1R2n3/5pkp/3p2p1/P3p3/r2bPP2/7P/2PR2PK/8 b - -,e8f6
2r5/2PK3p/8/R6P/8/8/1pk5/8 w - -,a5c5
2bk1br1/r4p2/p1pPpN1p/8/3n1p2/2P5/PP1K2PP/R4B1R w - -,f6g8
r5k1/p2q4/5Qp1/1p1P3p/2p5/2P4P/PP4r1/R4R1K w - -,h1g2
1q4nk/3Qn1pp/3p4/1BpPp1P1/4P3/P1N5/1P5P/2K5 b - -,e7g6
1rbq2k1/p4p2/2pb1n1Q/3p4/8/2NB4/PPP2PPP/4R1K1 b - -,d6f8
rnbqkb1r/ppp2p2/3p1p1p/3Pp3/4P3/2N5/PPP1NPPP/R2QKB1R b KQkq -,f6f5
