8/5pk1/7R/6Pp/2P2p2/8/8/5K1r w - -,f1f2
rn2kb1r/5p2/p3qP1p/2p1P1pQ/1p1p4/3P2PN/PPPB3P/R4RK1 w kq -,h3g5
5k2/5ppp/p2p1n2/3p4/1r6/NP3P2/2P2KPP/R7 b - -,f6d7
r1b1k2r/1pp1qpb1/p3p1p1/n2pPn1p/3P1P2/P1N2NPP/1PPQBB2/2KR3R w kq -,c3d5
2r5/q4pk1/P3b1pp/3p4/3P1Q1P/8/4BPP1/3R2K1 w - -,f4e5
7k/5B2/1p1q2Pp/p1p2p1n/P4P2/2P5/4Q3/4K3 b - -,h5f4
8/5qk1/1p2p2p/p2nP3/P1NP4/6PK/4Q3/8 b - -,f7f5
r1b2rk1/2q1bppp/2p1pn2/p1ppN3/4PP2/2NP4/PPPB2PP/R2Q1R1K w - -,d1f3
r3r1k1/1p1b1pbp/1npp2p1/q1n5/p1PNPP2/P1N3PP/1PQ2B1K/3RRB2 w - -,c3b1
2q2rk1/5pbp/1p1p1np1/3Pp3/1NN1P3/1P4Pb/5PB1/Q4RK1 w - -,b4c6
2k3r1/p1p2p2/q1n5/N2QP2p/6r1/3P4/P2B1bPP/1R5K w - -,a5c6
3r2k1/p4pp1/2q1p1np/2p5/N1P5/PPQ3RP/5PP1/3rR1K1 w - -,g1h2
8/1r6/3kp3/3p1p2/1P4p1/4P1P1/4PK2/1R6 b - -,d6c6
8/8/8/8/P2p1kPp/1P1B4/3b1K2/8 b - -,h4h3
2r1k2r/1p1nbpp1/p2p4/3Ppb1p/1q6/2N1B1PP/PPP1QPB1/1R3RK1 b k -,b4c4
r2q1rk1/pp1bppbp/2np2p1/7P/3NP3/2N1P3/PPPQB1P1/2KR3R b - -,a8c8
8/5k2/3P4/2K3pR/8/8/6rP/8 w - -,c5c6
r4rk1/1pnqbppp/3pb3/4p1Pn/4PP2/pPN1B3/P1PQN2P/1K1R1B1R b - -,e5f4
4R3/p4ppk/1bp4p/3n4/8/1P3P1P/3r2K1/1R6 w - -,g2g3
1k1r3r/ppp1qpp1/2n1pn1p/7P/3PN3/P2Q1N2/1PP2PP1/1K1R3R w - -,e4c5
r5k1/4bpp1/2qp1n1p/p3p3/P1P1P3/B4P2/2Q3PP/1R3NK1 b - -,e7d8
r4rk1/p4pb1/bp2p2p/3pn3/5p2/1N1P2PP/PPP3B1/1RB1R1K1 w - -,c1f4
r2r4/p1q2pkp/2pNbnp1/2P1p3/4p3/6P1/PPQ2PBP/2R1R1K1 b - -,e6d5
r3kb1r/1b1p1ppp/p1q1p3/1p1nP3/4NP2/3B4/PPPBQ1PP/R3K2R b KQkq -,d5b4
8/8/p2kr1p1/1p1p1p1p/P6R/2P2PP1/1P1K2P1/8 b - -,d6c5
3r1rk1/ppqn1pp1/2p1pN1p/3nP3/8/6BP/PPP1QPP1/3RR1K1 b - -,g8h8
3r2k1/R4b1p/B4p2/4p1p1/8/5P1P/4K1P1/2B5 b - -,d8d4
4k2r/1prqbp1n/p1p1p1p1/P1PpPn1p/1R1P1N1P/5NP1/1PKBQP2/R7 w - -,f4h3
8/p4ppp/2k5/3p1p2/PRpP1K1P/2P2PP1/2r5/8 w - -,f4f5
6r1/p1k1b1r1/1p6/2p1pb1B/2P1p3/1P2B1PP/P4NRK/8 w - -,h5e2
6k1/b2p1pp1/b2qp3/4n2p/1p2PNnP/1P4P1/PBr1NPB1/Q4RK1 w - -,f1d1
4rr1k/1b1pN1bp/p2P1pp1/1p5q/2p1P3/Pn3PB1/RP3P2/1B1Q1RK1 w - -,g1g2
2r2rk1/1p2qpp1/p1b1p2p/3pP3/2nP1N2/2P3P1/Q4P1P/1RR2BK1 b - -,c6b5
1r3rk1/p3pp2/2p3pb/1p1p3p/3P1P1P/2N2PPR/PPP5/2KR4 b - -,f7f6
3r3k/pp5p/2pbp3/8/2NP4/1P3b1P/P7/5R1K w - -,f1f3
r4rk1/1q1bppbp/pn1n2p1/8/1P6/QN1BPN2/P2B1PPP/2R2RK1 b - -,d7g4
8/6kp/4R1p1/p2P4/8/4p2P/6PK/3r4 w - -,e6e3
3q2r1/4k1P1/p2p1Q2/1p2P3/2r1b3/P7/1PP5/2KR2R1 b - -,e7d7
3r4/8/8/1kp1p3/4P2p/R6P/p3K3/8 b - -,d8d4
2r3k1/2q2pbp/pp1r2p1/P1pPp2n/8/1N2BQ1P/1PP2PP1/3R1RK1 w - -,a5b6
4r3/ppp3k1/5pp1/3P3p/5P2/7P/P2BnNPK/8 b - -,h5h4
8/6p1/p2k1p1p/2n5/5P2/3q1NP1/3Pr1KP/2R3Q1 w - -,g2h3
2r3k1/1R3ppp/p7/5P2/B7/2n3K1/3B2P1/8 b - -,c3a4
r1bqkbnr/5ppp/p1p5/2pp4/8/1P3N2/PBPP1PPP/RN1QK2R w KQkq -,e1g1
8/1p4p1/2p1nkp1/8/1P1nNPK1/8/P6P/1B6 b - -,f6e7
5r2/R1p1rppk/1nQpq2p/1P1n4/1P1Pp3/1B2P2P/3B1PP1/2R3K1 b - -,f8b8
1qb2rk1/6pp/p3p3/4Npb1/3P4/4PQP1/1r4P1/1BRR2K1 b - -,c8b7
4r3/1R3pk1/6p1/3P3p/4NP2/2b2KP1/7P/8 b - -,c3d4
8/5p2/4p3/1p1kPp2/pb1P1P2/1P1K4/8/2B5 w - -,b3a4
8/8/1N6/p7/4k3/2n3K1/8/8 w - -,g3f2
3r3k/4qn1p/1p2bp2/p3pN2/8/P5P1/1PQ1PPBP/2R3K1 b - -,e7d7
8/8/q7/8/R7/K1R3Pk/8/8 b - -,a6d6
8/8/4p3/2Kn1k2/8/8/8/4R3 b - -,d5f4
2r2rk1/1p1b1p1n/3p1q1b/pN1Pp2p/Pn2P3/R4PNP/1P2QB2/3BK2R b K -,g8h8
8/1R6/5p1p/8/5P2/6KP/1p4P1/1kr5 w - -,g3g4
r5k1/p1q2p1p/1p2pp2/2b5/4b3/2P2N2/PP2QPPP/3R2K1 w - -,e2e4
1r3rk1/p1pq1pp1/1pnpbn1p/4p3/1PPP4/P4NP1/1B2PPBP/2RQ1RK1 b - -,c6d4
2r3k1/p4pp1/1p2n2B/8/3pn3/5Q1P/1P3qP1/3RR1K1 w - -,f3f2
2r2k2/pp3p2/2np4/3N3p/8/PNB5/1PP1r3/1K5R w - -,h1h5
r2q1rk1/1p1nb2p/2p1pn2/p1PpBppb/3P4/P2NPPP1/1PQ1N1BP/2R2RK1 w - -,b2b4
4rrk1/ppnn1ppp/2pb4/3p1q2/1P1P4/P1NNP1P1/5PQP/R1BR2K1 b - -,e8e6
1r3rk1/2q1bppp/p2p1n2/n3p3/P1bPP3/1p1B1N2/1P3PPP/R1BQRNK1 w - -,f1e3
2kr4/2p2rp1/p3ppn1/2p2nPp/2PP4/2K1BN1P/PR3P2/1R6 w - -,d4c5
r5k1/2pbq1r1/1p1p4/3Pp2p/p1P1Ppp1/PnN2P1P/RP3QP1/3R1BK1 w - -,a2a1
5r1k/4N1bp/1p1N2p1/3Ppp2/Q3n1q1/1P4P1/5PK1/5R2 w - -,f1h1
r4b1r/p2k4/1p2p2B/2pbP2R/3p4/3P1N2/PP2KPP1/7R w - -,a2a3
r2r2k1/1b2qp2/1p2ppnp/1N1p4/2PR4/P3PP2/1P2B1PP/3QK2R b K -,e6e5
5rk1/ppq1bppp/1n2b3/B2pP3/2rN1P2/1N2Q3/PP4PP/R4RK1 b - f3,e6c8
5rk1/5p1p/7b/1p2Pp2/2q5/P2r1QP1/1B5P/3R3K w - -,d1d3
8/8/1p1pB2p/p1b2PkP/K1P3P1/1P6/P7/8 b - -,g5f6
r7/p4n2/1p1N2k1/2p5/1b6/6P1/1B2PPK1/7R w - -,d6e4
8/2q2k1p/p3r1p1/4np2/1BpQ1R2/2P3K1/P7/8 w - -,g3h3
8/4k1p1/1pn1pp1p/p3P3/2P2KPP/PP3N2/8/8 w - -,f4e4
4r1k1/pp3pp1/2q4p/8/2P2R2/3QR1P1/r4PP1/6K1 w - -,e3e8
r1bqk2r/pp1pppbp/1nn3p1/4P3/4QB2/2N2N2/PPP2PPP/R3KB1R b KQkq -,e8g8:d7d5
r1n3k1/1prq1pbp/3p1np1/pPpPp3/P3P1P1/3PN3/2QBBP1P/4RRK1 b - -,g7h6
8/1B5p/5p2/p4p2/Pn3P2/1k2K3/6PP/8 w - -,b7c8
2q1rbk1/5p2/5Pp1/R6p/2p5/2P3PP/5B2/3Q2K1 w - -,g1g2
q1r1rbk1/1b1n1pp1/3ppn1p/Np6/1P2PP2/B1N1Q1PP/P7/2R1RBK1 b - -,c8c3
5R2/8/r4nk1/8/7P/5NK1/8/8 w - -,f3e5
2rq1r2/1p2p1kp/p2p1pp1/3Pn3/1PP5/7P/PQ2BPP1/2R2R1K w - -,f2f4
3r4/8/8/6pk/1P2P3/R5K1/7P/8 w - -,g3f3
5n2/5k2/4p1p1/6Pp/1QP2q2/8/6P1/7K b - -,f8d7
r3kbr1/pp1qpp1p/2p2p2/3n1b2/3P4/3BBN2/PPPQ1PPP/R3K1R1 b Qq -,e7e5
4rbk1/6pp/2p1bp2/BqP5/2NP4/2Q5/5PPP/R5K1 w - -,c4d6
r2qk2r/pb1n1ppp/1p1ppn2/2pP4/1bP1P3/P1NB1P2/1P2N1PP/R1BQK2R b KQkq -,b4c3
2r2rk1/1p3pb1/q2np1pp/p7/Pn3B2/1B1P1N1P/4QPP1/1R1R2K1 w - -,g2g4
1k1r1r2/1pp3pp/p2b1n2/1P6/P1B5/2N1BQ1P/5PPq/2R2K2 b - -,a6a5
2r3k1/6pp/NP1p4/8/2p1b3/P1R5/6PP/6K1 b - -,e4b7
8/8/p3k2P/3p2R1/8/r4P2/6P1/3K4 b - -,a3a1
2r5/p3qpk1/1p1Nn1p1/1PpQP2p/7P/P7/5PP1/n3R1K1 b - -,c8f8
r1b4r/pp1n1kpp/5p2/8/8/B1P2N2/P3PPPP/R3KB1R w KQ -,e2e3
r1b1nrk1/pp1n2bp/1qp1p1p1/2p3N1/4P3/2N3PP/PP3PB1/R1BQ1RK1 b - -,d7e5
r1q1r1k1/5p1p/p2Q2p1/1p6/4Pn2/1P5P/P4P2/1B1RRNK1 b - -,f4h3
r2q1rk1/pb2bppp/1pp2n2/2np4/4PB2/2NP1NP1/PPQ2PBP/2R2RK1 b - e3,c5e6
br2r1k1/3npp1p/1p1p2p1/p1q5/P1PNP3/1P4PP/3Q1PB1/2RR2K1 b - -,d7f6
r2q1rk1/pp1b1pbp/1n2pnp1/3p4/3P4/PPN1PN1P/4BPP1/R1BQ1RK1 w - -,c1b2
r1bqkb1r/p2npppp/2pp4/8/3QP3/2N2N2/PPP2PPP/R1B1K2R w KQkq -,e1g1
8/8/6k1/p2R2p1/P2Nn1Pp/1P5P/2Pr4/6K1 b - -,d2d1
8/1p4kp/1R6/5p2/3r4/8/P4P1P/6K1 w - -,b6b7
r4rk1/pp2bppp/2p2n2/2n1N2b/3qP3/2N3PP/PPQ2PB1/R1B2RK1 w - -,c1f4
8/3Q3p/3n1kp1/p4p2/1q6/6P1/1P3P1P/5BK1 b - -,d6f7
3r4/2q2pk1/2p1p1p1/pp1rN1P1/Pb2RP1p/1P1P1Q1K/2P4P/R7 w - -,a1a2
r1bq1rk1/pppn2bp/3p2n1/2PPp1p1/4Pp2/2NN1P2/PP1BB1PP/2RQ1RK1 b - -,d7f6
8/1p3k2/p4PN1/8/2P2R2/4r2p/6bK/8 w - -,g6h8
r1bqnrk1/pp1nbpp1/2p4p/3p4/3P3B/2NBP3/PPQ1NPPP/R3K2R w KQ -,h4e7
2kr1b1r/ppqb2pp/4p3/2p1Pn2/1PPpNB2/8/P3BPPP/R2Q1RK1 b - -,d7c6
1k2r3/pp3ppp/2p2n2/b3PB2/8/8/1P2QPPq/1KNR4 w - -,g2g3
6k1/2b1npp1/4p3/1p1pP3/nPpP1N1P/2P1B1PN/r4P2/2R1K3 b - -,e7c6
5br1/pp1Rk2p/8/2p2Rp1/8/1P5P/P4PP1/B5K1 b - -,e7d7
4r2k/3brq1p/2p3p1/3p4/1R1Q2P1/7P/PP3PB1/5RK1 b - -,h8g8
1r1r2k1/3bq1bp/1p1p2p1/p1pPpp2/PnP1PP2/1PB3P1/3QN1BP/1R3RK1 w - f6,f4e5
5r2/pb2kp2/1n2p2p/1B6/Pp6/6P1/1P4PP/2R2RK1 b - -,b6d5
4r2k/p1Q2bpp/8/4p1p1/6q1/2PP1R2/Pr3NPP/R6K b - -,g4a4
1r3k2/2q5/1pP3Q1/p3p2p/P3N3/1PR2bP1/2P5/6K1 b - -,f3e4
r1q1r1k1/1p1bbppn/3p2np/p1pPp3/2P1P3/1PN1B1PP/P1Q2PBK/1R3RN1 w - -,b1e1
r4rk1/1b1p1pBp/pqnP2p1/nppB4/4P3/5N2/PP3PPP/RN1Q1RK1 b - -,g8g7
6R1/2pk1p2/1p1p1P2/2p3P1/2P1P3/5K1b/2P1B3/6r1 w - -,f3f2
2r2rk1/pp1b1pbp/6p1/3Pnp2/3q4/2N3P1/P1PQ2BP/1R3RK1 w - -,d2d4
5b2/8/p2k2P1/1p1P2N1/2p5/4rP2/2R2K2/8 b - -,e3b3
4rr2/ppqn2kp/2p3p1/8/4BPN1/3Pp1nP/PPP5/2Q1RRK1 w - -,f1f3
2Rr4/3Pb2k/5pp1/pB5p/P2pP3/5PP1/5K1P/8 b - -,h7g7
3n4/2pk3p/2p2pp1/2Pp4/3P2PP/1P2K3/5P2/4N3 b - -,d8b7
r1bqrbk1/pp1n1ppp/2pp1n2/4P3/2P5/1PN2NP1/P1Q1PPBP/R1B2RK1 b - -,d6e5
8/2p5/p1p2pp1/1pPk2p1/1P1P2P1/P2K3P/8/8 w - -,d3e3
2r1b1k1/p3r1p1/1pn1p3/3pP2p/5PP1/P2B2KP/2PB1R2/4R3 b - -,e8f7
r2qkb1r/pp3ppp/2npbn2/1N2p1B1/4P3/8/PPP2PPP/RN1QKB1R w KQkq -,b1d2:b1c3
1r4k1/2q2b1p/3Np1p1/2p3P1/5n1P/1P3Q2/2B5/3R2K1 b - -,e6e5
r1bq1rk1/2p3bp/1p1p2p1/2BPpp1n/p1P1P3/P1N2P2/1PBQN1PP/R4RK1 b - -,b6c5
2q1k2r/3nnp2/r1pBp1p1/p2pP1bp/P2P3P/2PQNP2/6P1/1R2K2R w Kk -,h4g5
8/3k4/8/P3B3/1K3P2/8/2b5/8 b - -,d7c6
r7/r3k3/2Pp4/1p1P1p1p/1P2pPpP/pP2K1P1/R7/7R w - -,h1c1
2rq1rk1/pbpnbpp1/1p1ppn1p/8/2PPPB2/2N2NP1/PPQ2PBP/3RR1K1 b - -,c7c5
r1bq1rk1/ppn2pbp/3p2p1/8/2Bp4/3P1N2/PPP1NPPP/R2QR1K1 b - -,c8g4
1r3rk1/p2b1q1p/1b1p4/2p2pp1/2P1N3/PN1P3P/1P2RPP1/1R1Q2K1 w - -,e4g5
3r4/5R1p/pnkqQ1p1/3p2P1/2pR4/8/1PP5/1K6 w - -,e6e1
r5k1/q2bpp2/p2p2p1/1p2b1Q1/8/2N5/PPP1N1PP/3R3K b - -,e5f6
5rk1/2p2r2/p6R/P1p3p1/1pPpP3/1P3P2/6K1/7R b - -,f7g7
8/4B3/5K1p/pp2Pp1k/2p2P2/P4r2/2b5/6R1 w - -,e5e6
8/5r1p/1k4p1/6P1/PP2KP2/R7/8/8 b - -,f7e7
8/p6k/1b3pp1/3RP3/P5P1/3R1P2/6KP/4q3 b - -,e1g1
N7/4k1p1/2P2pp1/2r2b2/p2R3P/4K3/1P4P1/8 b - -,c5c6
2r4r/2qb1kpp/pb2p1pP/1p1pP3/5PQ1/1N1B4/PPP5/1K1R3R b - -,c8g8
r2qkb1r/2p1pppp/pn3n2/1p1P1b2/3P4/1BN2P2/PPP3PP/R1BQK1NR w KQkq -,g1e2
8/6p1/B1pkp1p1/3p1p2/n2P1P2/5PP1/2K4P/8 b - -,a4b6
2b2r2/6kp/2p2npb/4p3/1PB1P2P/2N3P1/8/B2R2K1 w - -,d1d3
5rk1/6p1/1p2p2p/p2pP3/Pn3r2/1PR3KN/8/2R5 b - -,f4f5
r2n1rk1/ppp1qppp/3pbn2/4p1B1/2B1P3/2PP1N1P/P1P2PP1/R2Q1RK1 w - -,c4b3
rnbq1rk1/pp1p1ppp/4p3/b3P3/3N4/2P3Q1/P1PB1PPP/R3KB1R b KQ -,f7f6
3r2k1/1p1Prpbp/2p3p1/P4p2/2Bq1B2/3bNP1P/P2Q2P1/3R2K1 w - -,f4g5
r2qnrk1/pb1n1ppp/1pp1p3/3pP3/1bPP4/5NP1/PPQN1PBP/R1B2RK1 w - -,b2b3
2r1q1kr/p1n3b1/1p5p/2p1PR2/2PpB3/1P1P3R/P2B2KQ/8 b - -,e8e6
r2q3r/1p3pbk/pn1p1npp/3P4/5B2/2N2Q1P/PPB2PP1/R3R1K1 b - -,a8c8
8/3k4/1R6/3K3p/p7/1p6/r7/2B5 b - -,a2a1
4Q3/1q3pbk/4p1p1/r6p/P2P4/4B1PP/3R1P1K/8 w - -,d2c2
br1r4/2qn1p1k/pp1pp3/4n1p1/1PP1P3/PN1NQP2/6P1/2RR1BK1 w - -,g1f2
r3r1k1/pp3p1p/4q1p1/PP1R1n2/3p4/1Q1P2P1/3BPPK1/1R6 w - -,d2g5
r5k1/p4pp1/bpnb4/3p1pN1/8/2P2N2/PP3PPP/2BRr1K1 w - -,d1e1
