8/4p3/pR1b1k2/2nB4/2p2P2/4K3/1P6/8 b - -,c5a4
rr6/5pkp/p2p2pN/2pP1P2/4P3/2b1BQ2/1q2b1PP/R3R2K w - -,f3f4
r3kb1r/pp1n1ppp/1qb1p3/2p5/4n3/4BNP1/PPP1PPBP/RNQ1K2R w KQkq -,e1g1
r1b1kbnr/ppqp1p1p/2n1p1p1/8/3NP3/2N3P1/PPP2P1P/R1BQKB1R w KQkq -,f1g2
4qrk1/4ppbp/3p2p1/pb2P3/n2P1P2/4B1PP/2Q3B1/R1N3K1 b - -,a4b6
8/8/8/6p1/6P1/p3RP1K/r2k4/8 w - -,e3e5
6k1/8/3N1K2/5B2/8/8/8/8 w - -,d6f7
8/6p1/3p1k2/2pPbp1p/2B4P/1P4P1/r5K1/4R3 w - -,e1e2
6k1/2R2pbp/2N3p1/8/P3p3/6P1/r4P1P/6K1 w - -,a4a5
r4rk1/1b1qbpp1/p6p/1pp1nN2/P2pP3/1B1P3P/1PP3PN/R2Q1RK1 w - -,h2g4
6r1/p1r2p1k/4pn1p/3p1p2/1n1P3P/2P2PP1/PP2R3/4RNK1 w - -,c3b4
6k1/1p1b1pb1/p2B4/P2Q2pp/4n3/R3P2P/5PP1/2r1NK2 b - -,d7c6
3r1rk1/1b2qppp/p7/1pp1P3/5n2/1PN2B2/PQ4PP/R4R1K w - -,f3b7
8/2p2p2/1pp5/3k4/1P4P1/P2P4/2P5/6K1 w - -,c2c4
1r1qk1nr/p3ppbp/b1np2p1/2pN4/1p2PP2/3P1NP1/PPP3BP/R1BQ1RK1 w k -,f4f5
2kr3r/pp3pp1/2p1pn1p/3q3P/3P4/2B5/PPP1QPP1/R3K2R b KQ -,d5g2
2rq1rk1/pp2bppp/2n1pn2/8/3P1B2/2N2N2/PP2QPPP/3R1RK1 b - -,f6d5
2b2q1k/6rp/p1n3pQ/1pR5/PP1pN3/5P2/2P4P/4R2K b - -,f8f3
2r2rk1/1q3ppp/pn1bpn2/1p1pN3/3P4/1P2PP1P/PB1QN1P1/2R2RK1 b - -,f6d7
rn1q1rk1/pb1p1ppp/1p2p3/2b5/2P5/2Q2NP1/PP2PPBP/R1B2RK1 b - -,b7e4
1r2k3/1p3p2/p2p4/2PPp1q1/1P2P1b1/2NB1nQr/4NK1p/R6R w - -,g3h3
r2q1rk1/pp2bppp/1np5/2n1P3/2pB4/P1N3PP/1P3PB1/R2QR1K1 b - -,c5d3
8/6k1/7p/8/pR5P/P4K2/1P5r/8 w - -,f3g4
5rk1/4p2p/p3qp1b/1p2PP2/1N6/1Pr2bK1/P3Q2P/4RR2 w - -,f1f3
r1bqkb1r/3p1ppp/p1p1p1n1/2p1P3/8/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,c3e4
8/8/1ppk2p1/p6p/3PB3/1P2r1P1/1K4P1/3R4 b - -,e3e4
r1b1k2r/ppppq1b1/5n1p/3Pnpp1/2P5/2N1BP1N/PP2Q1PP/R3KB1R w KQkq -,e1c1
8/1p3kpp/p7/2b2p2/8/P1B2KPP/1P3P2/8 b - -,h7h5
r3r3/1p3pk1/2pb2p1/p7/P2NP1bq/2QPB3/1P4P1/R4NK1 b - -,d6e5
r1bq1rk1/pppp1pbp/2n2np1/4p3/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b - -,d7d6:f8e8
3K4/3P4/6k1/5Rp1/8/7P/4r3/8 w - -,f5d5
r4k1r/3qppn1/2p3p1/ppPp3p/3P3P/P1N1PP2/1P2Q1P1/2K3RR w - -,g2g4
r1bqr1k1/pp1n1pp1/3b1n1p/3N4/3N3B/3BP3/PP3PPP/R2Q1RK1 w - -,a1c1
1rbqr1k1/p4ppp/2pb1n2/3p2B1/8/3B1Q1P/PPP1NPP1/R4RK1 w - -,b2b3
rn2kb1r/p4ppp/2p1pn2/8/P2P4/1Nq1PN2/5PPP/RQB2RK1 b kq -,f8e7
rnbqk1nr/pp3pbp/3p2p1/2pNp3/2P1P3/3P1N2/PP3PPP/R1BQKB1R b KQkq -,g8e7
4r3/p3P3/1pk2B1p/3R4/2P2PK1/P5P1/4r3/8 b - -,e8e7
r2r2k1/2q4p/3b1pp1/p1p1p3/PpP2P2/1B2Qb1P/1P4P1/3RR1K1 w - -,g2f3
8/1p3pk1/p4qp1/7p/1P5P/Q5P1/5P1K/8 w - -,a3e3
2r3k1/1n1nqppB/1b2p2p/pp1bP3/1P3B2/P4NNP/5PP1/1Q1R2K1 b - -,g8h8
8/8/5k2/R4P2/5P2/6K1/8/3r4 w - -,g3f2
2n1qRk1/1p1b2pp/2n1p3/pN1pP3/Pb1P4/1P1QB1PB/6KP/4N3 b - -,e8f8
r2r2k1/3q2p1/1R1Npp1p/Q1B5/p2PP3/P2b1P1P/6P1/6K1 w - -,a5c3:a5d2
1rbqk2r/pp2ppbp/2np1np1/2p5/4PPP1/2NPBN1P/PPP5/R2QKB1R b KQk g3,h7h5
q4rk1/1br1bppp/3p1n2/1pn1pP2/1N2P3/1PN3P1/PB4BP/R2QR1K1 w - -,d1e2
5rk1/p1p1rp1p/3p2p1/1B1P4/R1b5/2b1B2P/P4PP1/1R4K1 b - -,c4d5
5r2/1p1k4/p1pb3p/6p1/1P1B1nP1/2PP1B2/P5KP/4R3 w - -,g2h1
8/pp2p1kp/3p1rp1/2qQ4/2r1P3/P1N2P2/1PP5/2KR3R w - -,d5c5
1q3b2/kp1B4/2p5/p2p2p1/P2P1p2/2P2P2/KP6/3Q4 b - -,f8g7
2q1rb1k/5p1p/1p1p1Pp1/p1p3P1/P1P1rP2/1P3Q1P/5BK1/1R2R3 b - -,d6d5
3r2k1/1bq2p1p/4r1p1/pB1nb1B1/P7/2p4P/R1P1NPP1/2Q1R1K1 b - -,f7f6
