8/p2r2k1/1bR2p2/8/2B1PPK1/1P6/8/8 w - -,g4f5
4rnk1/1p3ppp/8/1P1q1b2/3pp3/N3P3/2Q2PPP/1R3RK1 w - -,c2c4
1nb2rk1/1p2p2p/2pp1bp1/r7/pP1P4/5NP1/PBP2PBP/R4RK1 b - -,a5f5
r2qkb1r/1p3ppp/p1bp1n2/4p3/4P3/2NQ1N2/PPP2PPP/R1B1R1K1 b kq -,f8e7
1r2br2/2n1ppkp/p2q2p1/2QP4/2P5/3N1N1P/5PP1/R4RK1 b - -,e8d7
3r4/p3pkb1/4b1pp/1nB1Pp2/5P1N/P4B1P/1P4P1/4R1K1 b - -,d8d2
r2q1rk1/pp1bppbp/3p1np1/8/2P4Q/2N1P3/PP2BPPP/R1BR2K1 b - -,a8c8
2brr3/1p2q1kp/p1p3p1/2npPp2/3N4/Q3RB2/PPP2PPP/3R2K1 w - -,g2g3
1r1r2k1/p2q2pp/b4b2/2Qp1n2/1B3P2/N5PP/PP4BK/3RR3 b - -,d5d4
8/4r1p1/pp1k4/4r3/PP6/2P5/K4R2/5B2 b - -,b6b5
5k2/R3r3/8/8/4B1P1/p4K2/Pb6/8 w - -,a7a8
r1bq1rk1/pp1Nppbp/2p3p1/P7/3P1B2/4P3/2P1NPPP/R2Q1RK1 b - -,c8d7
4q1k1/1p1b2bp/6p1/3PpP1n/rB6/6PP/1Q3P2/1R2RBK1 w - -,g3g4
2k4r/1pp2ppp/p1p3n1/4P1B1/3R2b1/2b2N2/PPP2PPP/6K1 w - -,b2c3
4k2r/prpp4/6p1/2p2p2/2P3np/1PR2PP1/P3P2P/3NK2R b Kk -,g4f6
1r6/2N3k1/5p1p/5p1p/3P4/8/2R4K/8 b - -,g7f7
6nk/pp6/3Q2p1/2pP4/2P1BP2/4K3/P7/4q3 w - -,e3f3
r3r1k1/pp5p/3n1q2/1PnP1p1Q/2p2P2/8/1P3NBP/1R3R1K b - -,e8e3
1r1q1kr1/ppp1b3/3p2p1/5P1p/3BP1n1/1QP3N1/PP6/2KR3R b - -,g6f5
6k1/3n2pp/3Ppp2/2P1n3/1P5P/1B6/4R1P1/r4NK1 b - -,g8f7
r2r2k1/pb2qpp1/1p1p2np/3N3n/2P1p3/P3PP2/1P1R1BPP/3QKB1R b K -,b7d5
6k1/p4qb1/2N5/2pPp3/P3Pnp1/3P1rp1/1Q6/1R2B1K1 w - -,d5d6
8/1p4rk/2pn2pp/p2p4/3PpP2/1P2PPNq/P3Q1RP/7K b - -,e4f3
3r2k1/b2r1p1p/4q1p1/2p1p3/1P2P3/P2P3P/4Q1P1/2NR1R1K b - -,c5b4
2r5/7p/5kp1/5p2/2R1p3/1P4P1/1P3P1P/R5K1 b - -,c8d8
rn1q1rk1/pp3ppp/2p2n2/3p2Bb/1b1P4/2NB1P2/PPP1N1PP/R2Q1RK1 w - -,e2g3
r1bq1rk1/pp1n1ppp/2pbpn2/3p4/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 w - -,d1e2
rn1q1rk1/pp2bppp/2p1pn2/3p4/3PP3/2NP1N2/PP3PPP/R1BQ1RK1 w - -,c1g5
3r1r2/1p1bn1k1/p1ppnqp1/P3pp2/1PP1P2p/2N2P2/3QN1PP/R3RBK1 w - -,h2h3
2b2rk1/2q3bp/4p1p1/2p5/Nr6/pP4P1/P1QR1PBP/5RK1 b - -,c5c4
r3k2r/ppq1bpp1/1np1pnp1/3p4/2PP4/1QN1P2P/PP1BBPP1/R3K2R w KQkq -,c4d5
r4rk1/n2q1pb1/1p4n1/p1p1P1Pp/P1Pp2bN/N2P2B1/1P1Q2B1/4RRK1 b - -,a8e8
1rr5/3n1pk1/p1Bp2pp/4p3/Pp2P1b1/3R2P1/1PP2B1P/2K1R3 w - -,d3d6
1rbq1rk1/2p2ppp/1pn1pn2/p7/P1pP4/2b2NP1/1PQ1PPBP/RN1R2K1 w - -,b2c3
3rkb1r/4p1pp/2Q5/P1ppq3/4p3/2N5/1P3PPP/R3R1K1 b k -,e8f7
4r3/4qpk1/2p2np1/1rNp3p/1P3R2/4P1PP/2R2PK1/Q7 b - -,g6g5
2r2r1k/1p4pp/p1n1Q3/3N2P1/1bp2P2/3bB1K1/1q4BP/3R3R w - -,e6d7
4r1k1/pp1b1ppp/2pn1n2/q2p1P2/3P2P1/PP3P2/2B1NQ1P/R1B3K1 b - -,h7h6
3r4/5p2/N2np1k1/6pR/2PP2P1/8/5P1P/6K1 b - -,d6c4
r1b1k2r/1p3pb1/p1qp4/4p1B1/4N2P/8/PPP2P2/R2QK2R w KQkq -,e4d6
rn1q1r2/pp3pkp/2p1p1p1/3p4/1PP1n1b1/NQ1PPN2/P3BPPP/R4RK1 b - -,g4f3
3q2k1/1p1n2p1/p1p1b1Np/3pP3/3P4/6PP/1P3Q1K/5R2 b - -,d8e8
2r3k1/3p3p/4p1p1/8/p1rb1P2/5R2/P5PP/3R2BK b - -,d4g1
8/4Bp2/4p2p/r7/3P2p1/3n1kP1/5P1P/1R3K2 w - -,f1g1
r4rk1/2pnq1pp/2Q5/3Pppb1/4p3/PP4NP/1B3PP1/3RR1K1 w - -,b3b4
1q5r/5pk1/2Q2n1p/2p1b1p1/2Pp1pP1/P2P1P2/4BK1R/8 w - -,c6c5
r3r1k1/p1qn1pbp/1p2p1p1/P1p4n/2PP4/1QB2NP1/1P3P1P/R2R1BK1 w - -,f1g2
2r2rk1/pb2qppp/2nb4/2pn4/8/P3PN2/QP2BPPP/R2RB1K1 w - -,a2d5
r2r2k1/pp2bp1p/2p1q1pB/4P3/2P1Q3/3B4/b4PPP/3RR1K1 w - -,d1a1
r4rk1/pp2nppp/2n1b3/q7/1bpPN2N/6P1/PP2QPBP/R1BR2K1 w - -,a2a3
1rb1r3/2k3bp/2p3p1/p1N1pp2/3p4/1B3P2/PP1B2PP/1KR1R3 b - -,b8a8
7k/5b2/5P2/6K1/6P1/3Q4/7q/8 b - -,h2e5
